set,N,d,rule,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,m_p10,m_p90,pos_frac,pos_p10,pos_p90,deferred,delay_med,expired,ca,ma,cb,mb,win,unstable,med_seed,diff_H20_p10,diff_H20_p50,diff_H20_p90,diff_H60_p10,diff_H60_p50,diff_H60_p90,diff_H120_p10,diff_H120_p50,diff_H120_p90
S,3,inf,null,0.20682335088974058,0.07165886083698776,0.3416294270702337,-0.5554979095778989,-0.6743676448053715,-0.4415677701283355,0.9866666666666667,130.0,129.0,131.0,0.46923076923076923,0.4307692307692308,0.5230769230769231,0.0,,0.0,0.2571362556877448,-0.4185177627769652,0.17167439813211538,-0.5179391520927478,False,False,7022,-0.021742012651497902,0.0008800147574713358,0.02536294483949651,-0.04596254429866111,-0.002198829276879248,0.04092401768772534,-0.05588176875538662,0.003028280059639968,0.06579892406241589
S,3,inf,relvol,0.16993183376057597,0.16993183376057597,0.16993183376057597,-0.5963316418955996,-0.5963316418955996,-0.5963316418955996,0.9867948717948718,130.0,130.0,130.0,0.5307692307692308,0.5307692307692308,0.5307692307692308,0.0,,0.0,0.3161342463251997,-0.4150226472810696,0.059644526893682714,-0.5963316418955996,False,False,7100,-8.541077327478552e-07,-8.541077327478552e-07,-8.541077327478552e-07,-0.01577309551136863,-0.01577309551136863,-0.01577309551136863,-0.02592205020262553,-0.02592205020262553,-0.02592205020262553
S,5,inf,null,0.2303264938099301,0.12622436045440194,0.33945060141786854,-0.4916394300589004,-0.6065902487319832,-0.3973850865477066,0.9869615384615384,216.0,216.0,218.0,0.4734478344356732,0.4375871982412379,0.5069124423963134,0.0,,0.0,0.3089267666240545,-0.37983883493664883,0.16550447775680632,-0.4842548474340701,False,False,7067,-0.020288397337176276,-0.0032617134710923503,0.014386997230549184,-0.030374800966132598,-0.00017075754795842224,0.026094896003209647,-0.04065808670931026,0.005886162029419488,0.05145926119215384
S,5,inf,relvol,0.29969461799557506,0.29969461799557506,0.29969461799557506,-0.4998430374727183,-0.4998430374727183,-0.4998430374727183,0.9871538461538462,217.0,217.0,217.0,0.48847926267281105,0.48847926267281105,0.48847926267281105,0.0,,0.0,0.47307994155051136,-0.44029706042183797,0.16247928732290906,-0.4998430374727183,False,False,7100,0.0021981732291448328,0.0021981732291448328,0.0021981732291448328,0.01652960791783656,0.01652960791783656,0.01652960791783656,0.06166156619065835,0.06166156619065835,0.06166156619065835
S,8,inf,null,0.24308130704057496,0.17600321837790575,0.32986597917863975,-0.4486368612367364,-0.5270677885557264,-0.37347233341367136,0.9844471153846154,346.0,345.0,347.0,0.473912824304342,0.4492753623188406,0.49855907780979825,0.0,,0.0,0.34799974414517376,-0.3846740384929937,0.1744843240239009,-0.42290401555417134,False,False,7123,-0.013641632187608829,-0.0005293091513850316,0.013685109420411404,-0.02238464779164468,0.0011474665314212262,0.026239574633300438,-0.026594593731088013,0.003267489712184754,0.04575267851553018
S,8,inf,relvol,0.22443962731304246,0.22443962731304246,0.22443962731304246,-0.4710583054213225,-0.4710583054213225,-0.4710583054213225,0.984375,346.0,346.0,346.0,0.4682080924855491,0.4682080924855491,0.4682080924855491,0.0,,0.0,0.3703591290777548,-0.4104344009792723,0.10969468903955915,-0.4710583054213225,False,False,7100,-0.004760659370530385,-0.004760659370530385,-0.004760659370530385,-0.01308608960977567,-0.01308608960977567,-0.01308608960977567,-0.0076133542338273075,-0.0076133542338273075,-0.0076133542338273075
S,10,inf,null,0.2528731148424146,0.19186615289540937,0.3378058279192492,-0.42125082985666673,-0.49721191788403807,-0.3579190359575706,0.9834807692307692,432.0,431.0,433.0,0.48259860788863107,0.458207656612529,0.5046296296296297,0.0,,0.0,0.33936938637780345,-0.3760395223028288,0.20037283287133634,-0.3988882838829668,False,False,7197,-0.01178861582290013,-0.0012376264278559194,0.0123297714137725,-0.015661169487424912,0.003874753383637665,0.024242722816382716,-0.0219480260680615,0.01028244026510116,0.04506762882147189
S,10,inf,relvol,0.22004237060896292,0.22004237060896292,0.22004237060896292,-0.48571019477803823,-0.48571019477803823,-0.48571019477803823,0.9837307692307692,432.0,432.0,432.0,0.46064814814814814,0.46064814814814814,0.46064814814814814,0.0,,0.0,0.33037080079115744,-0.48571019477803823,0.1323255515897157,-0.4742045799803907,False,False,7100,-0.0016328985842927989,-0.0016328985842927989,-0.0016328985842927989,-0.014341070840760431,-0.014341070840760431,-0.014341070840760431,-0.01523109239824244,-0.01523109239824244,-0.01523109239824244
S,20,inf,null,0.22688971138510372,0.17925989536081596,0.27161860865522847,-0.4009660548563121,-0.45241272508945496,-0.3461169414944931,0.9817788461538461,862.0,861.0,863.0,0.473928157589803,0.45809614918213915,0.4912912173319714,0.0,,0.0,0.23935890783469527,-0.3541093812411372,0.21431149590249066,-0.3836978903943392,False,False,7053,-0.011499509361904924,-0.003844515150193295,0.0043604238804064565,-0.013364014597642313,-0.0016082623190956657,0.01198969138720442,-0.020170542834948253,-0.00025874214389868394,0.024859181898645825
S,20,inf,relvol,0.2515906093111946,0.2515906093111946,0.2515906093111946,-0.3976400260709369,-0.3976400260709369,-0.3976400260709369,0.9815384615384616,861.0,861.0,861.0,0.45876887340301975,0.45876887340301975,0.45876887340301975,0.0,,0.0,0.2694356293631539,-0.33090247692138886,0.2346867230654619,-0.3976400260709369,False,False,7100,-0.002212650731308056,-0.002212650731308056,-0.002212650731308056,0.005577760951488361,0.005577760951488361,0.005577760951488361,0.016076419052598406,0.016076419052598406,0.016076419052598406
S,30,inf,null,0.22807789300074466,0.18631920633791246,0.27124916218592426,-0.38486775677207746,-0.4385863614699158,-0.3343765821832748,0.981025641025641,1291.0,1290.0,1292.0,0.4787151575276035,0.46434108527131784,0.4930243358053136,0.0,,0.0,0.2297938853342627,-0.34165504859051754,0.22499772756503633,-0.36878119884075733,False,False,7074,-0.013264274345150078,-0.005980281960774681,0.001461788650155969,-0.013519159453137041,-0.0019500675712280369,0.008839230538874714,-0.013964599540564617,0.0038413708226837096,0.027143562480217705
S,30,inf,relvol,0.25791070644538205,0.25791070644538205,0.25791070644538205,-0.354072148279991,-0.354072148279991,-0.354072148279991,0.9798717948717949,1290.0,1290.0,1290.0,0.45968992248062013,0.45968992248062013,0.45968992248062013,0.0,,0.0,0.26171985899057093,-0.3362317838636932,0.2524787917689457,-0.354072148279991,False,False,7100,-0.0050169557484989365,-0.0050169557484989365,-0.0050169557484989365,0.004853730161734543,0.004853730161734543,0.004853730161734543,-0.003479190143979391,-0.003479190143979391,-0.003479190143979391
S,40,inf,null,0.22580995651306746,0.19213043686123216,0.26281444021723543,-0.37039625748051935,-0.41129015392756235,-0.3301795304183126,0.9805288461538462,1721.0,1720.0,1722.0,0.4790697674418605,0.46741775382870104,0.49215572341661823,0.0,,0.0,0.21595213028418292,-0.33339889564941766,0.23046933713748619,-0.36256219029366676,False,False,7021,-0.011076469858096249,-0.0050759202194832955,0.00109627081300402,-0.010543344984238942,-0.0006454370379408401,0.0082766922408973,-0.009443736165646484,0.005033476901949739,0.023074278078412242
S,40,inf,relvol,0.20684861030194046,0.20684861030194046,0.20684861030194046,-0.307998229228683,-0.307998229228683,-0.307998229228683,0.9804423076923077,1720.0,1720.0,1720.0,0.4441860465116279,0.4441860465116279,0.4441860465116279,0.0,,0.0,0.20283957506889583,-0.307998229228683,0.2075346096370605,-0.3057591198442595,False,False,7100,-0.005438598518056538,-0.005438598518056538,-0.005438598518056538,-0.004855376610552083,-0.004855376610552083,-0.004855376610552083,-0.014604765733342503,-0.014604765733342503,-0.014604765733342503
S,8,1.0,null,0.21050776675301064,0.12853652322271983,0.30267271446986044,-0.4388796319055739,-0.526173973555823,-0.3706570399660727,0.9745432692307692,345.0,344.0,346.0,0.4760532524435457,0.4492753623188406,0.5131926188068756,83.5,2.0,665.5,0.21970372280857853,-0.35437304492522015,0.19103014133697893,-0.4236335600447917,False,False,7025,-0.014523470181548245,-0.000886960026767112,0.013256028292529594,-0.02744287615088831,-0.002359637112301239,0.021069237167954922,-0.034265905572179386,-0.0008089531240935421,0.046599975140059396
S,8,1.0,relvol,0.22061454306887351,0.22061454306887351,0.22061454306887351,-0.46833931249513855,-0.46833931249513855,-0.46833931249513855,0.979423076923077,345.0,345.0,345.0,0.4579710144927536,0.4579710144927536,0.4579710144927536,21.0,2.0,275.0,0.23356563763808702,-0.43885194170502856,0.2069739774723689,-0.46833931249513855,False,False,7100,0.0066209325699483484,0.0066209325699483484,0.0066209325699483484,-0.0007674940375433092,-0.0007674940375433092,-0.0007674940375433092,-0.014660957807844432,-0.014660957807844432,-0.014660957807844432
S,8,2.0,null,0.24551884135923008,0.16418392706736457,0.3261261058001363,-0.4357270360581336,-0.5084681003966081,-0.3759330937206264,0.9810817307692308,346.0,345.0,347.0,0.4811594202898551,0.45204322694144256,0.5101449275362319,38.0,1.0,145.5,0.29532825578654864,-0.37711562461832593,0.1992995651971704,-0.42717603502413204,False,False,7063,-0.01260041273167209,0.00031822157032913856,0.01490717846358986,-0.02022978911865443,0.0010539949847566121,0.0228126929064767,-0.02933044394512923,0.010417571301611514,0.045838031948890835
S,8,2.0,relvol,0.1649925424217511,0.1649925424217511,0.1649925424217511,-0.4870342111585968,-0.4870342111585968,-0.4870342111585968,0.9827403846153846,346.0,346.0,346.0,0.4624277456647399,0.4624277456647399,0.4624277456647399,9.0,2.0,52.0,0.1702846234478812,-0.4870342111585968,0.15899646071056783,-0.46605171164970566,False,False,7100,0.00391419618236627,0.00391419618236627,0.00391419618236627,-0.018756809106758122,-0.018756809106758122,-0.018756809106758122,-0.011028874689845189,-0.011028874689845189,-0.011028874689845189
S,8,3.0,null,0.24969378154594823,0.16637868151007784,0.32637458757748244,-0.4525222846530609,-0.5232395080923171,-0.36776148413317195,0.9833894230769231,346.0,345.0,347.0,0.476878612716763,0.4495384872405296,0.5028901734104047,21.5,1.0,60.0,0.33045766654909103,-0.37548962048815915,0.19072902259726754,-0.4406196658496884,False,False,7120,-0.015421805757840698,-0.00034128746380172013,0.011784082455042274,-0.01855657702388286,0.002040226956195171,0.024765113376596693,-0.0270777465126882,0.010683269079635481,0.04739696558155362
S,8,3.0,relvol,0.23398912054427212,0.23398912054427212,0.23398912054427212,-0.47875893007264886,-0.47875893007264886,-0.47875893007264886,0.9842307692307692,346.0,346.0,346.0,0.47109826589595377,0.47109826589595377,0.47109826589595377,9.0,1.0,37.0,0.3300346021187035,-0.4501054130995412,0.15317466301742333,-0.47875893007264886,False,False,7100,0.0030467432989265304,0.0030467432989265304,0.0030467432989265304,-0.001017333594173997,-0.001017333594173997,-0.001017333594173997,0.023228982181137503,0.023228982181137503,0.023228982181137503
