coin,N,E,MMR,窗首,窗尾,期數,強平,強平日,年化,回落,BH年化,BH回落,曝險,進出場,資金費現金流總和（相對初始 1）,資金費結算筆數（在場期間）,判定格,嚴格優_年化,嚴格優_回落,L,CI年化,CI回落,CI回落_2L,出口,出口理由,描述_C1現貨規則,描述_槓桿買進持有,假訊號狀態,假訊號_年化百分位,假訊號_回落百分位,假訊號_強平組數
SOL,200,3.0,0.02,2021-02-26,2026-08-31,2012,False,,0.8177326505883662,-0.9015227265793407,0.44441521698869724,-0.9626992725584274,0.49254473161033796,43,-19.864882752727922,2973,過,True,True,2.0,"(-0.8118231800662493, 3.318110607235435)","(-0.11785427124040652, 0.2351155410411096)","(-0.12369689107739593, 0.22191707098340244)",出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,"[0.8741864594997315, -0.6601455294444698]","[-1.0, -1.0, True]",可得,99.5,99.7,994.0
SOL,50,3.0,0.02,2021-02-26,2026-08-31,2012,False,,0.20069406736156115,-0.9829296465801135,0.44441521698869724,-0.9626992725584274,0.4955268389662028,115,-6.070983928468994,2991,未過,False,False,,,,,,,,,,,,
SOL,200,2.0,0.02,2021-02-26,2026-08-31,2012,False,,0.901188041416076,-0.8203499939076522,0.44441521698869724,-0.9626992725584274,0.49254473161033796,43,-15.506689401026295,2973,過,True,True,,,,,,,,,,,,
XRP,200,3.0,0.005,2020-01-06,2026-08-31,2429,True,2025-10-10,-1.0,-1.0,0.31519662708689244,-0.8323958401465108,0.4862083161794977,93,-0.8993112185635702,3543,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[-0.009464516659737576, -0.9134773908749425]","[-1.0, -1.0, True]",,,,
XRP,200,3.0,0.01,2020-01-06,2026-08-31,2429,True,2025-10-10,-1.0,-1.0,0.31519662708689244,-0.8323958401465108,0.4862083161794977,93,-0.8993112185635702,3543,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[-0.009464516659737576, -0.9134773908749425]","[-1.0, -1.0, True]",,,,
XRP,200,3.0,0.02,2020-01-06,2026-08-31,2429,True,2025-10-10,-1.0,-1.0,0.31519662708689244,-0.8323958401465108,0.4862083161794977,93,-0.8993112185635702,3543,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[-0.009464516659737576, -0.9134773908749425]","[-1.0, -1.0, True]",可得,0.0,0.0,1000.0
XRP,50,3.0,0.02,2020-01-06,2026-08-31,2429,False,,-0.4244127313908155,-0.9983393966658894,0.31519662708689244,-0.8323958401465108,0.46438863729930013,173,-3.228985756544241,3384,未過,False,False,,,,,,,,,,,,
XRP,200,2.0,0.02,2020-01-06,2026-08-31,2429,True,2025-10-10,-1.0,-1.0,0.31519662708689244,-0.8323958401465108,0.4862083161794977,93,-0.8964098666972898,3543,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,,,,,,
DOGE,200,3.0,0.005,2020-07-10,2026-08-31,2243,True,2025-10-10,-1.0,-1.0,0.6716640654635133,-0.9233133281145806,0.43156486847971465,60,-8.12351511758726,2904,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.710706779357807, -0.8994896561983393]","[-1.0, -1.0, True]",,,,
DOGE,200,3.0,0.01,2020-07-10,2026-08-31,2243,True,2025-10-10,-1.0,-1.0,0.6716640654635133,-0.9233133281145806,0.43156486847971465,60,-8.12351511758726,2904,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.710706779357807, -0.8994896561983393]","[-1.0, -1.0, True]",,,,
DOGE,200,3.0,0.02,2020-07-10,2026-08-31,2243,True,2025-10-10,-1.0,-1.0,0.6716640654635133,-0.9233133281145806,0.43156486847971465,60,-8.12351511758726,2904,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,"[0.710706779357807, -0.8994896561983393]","[-1.0, -1.0, True]",可得,0.0,0.0,983.0
DOGE,50,3.0,0.02,2020-07-10,2026-08-31,2243,True,2025-10-10,-1.0,-1.0,0.6716640654635133,-0.9233133281145806,0.4253232278198841,121,-109.9199972504256,2862,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,,,,,,
DOGE,200,2.0,0.02,2020-07-10,2026-08-31,2243,True,2025-10-10,-1.0,-1.0,0.6716640654635133,-0.9233133281145806,0.43156486847971465,60,-17.23996626718124,2904,⛔ 發生強平，判不過（第 0 層）,False,False,,,,,,,,,,,,
