market,出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,Date,Year,Season,SecuritiesCompanyCode,CompanyName
tpex,,,,,,2264808.00,1320343.00,,,944465.00,,,944465.00,574806.00,,369659.00,-4955.00,364704.00,121092.00,243612.00,,,243612.00,91477.00,,335089.00,228074.00,,15538.00,314176.00,,20913.00,4.62,1150905,115,2,1580,新麥
tpex,,,,,,1084456.00,919472.00,,,164984.00,,,164984.00,90903.00,,74081.00,-23219.00,50862.00,6915.00,43947.00,,,43947.00,-40279.00,,3668.00,43393.00,,554.00,3114.00,,554.00,0.19,1150905,115,2,1584,精剛
tpex,,,,,,1169445.00,978093.00,,,191352.00,,,191352.00,155676.00,,35676.00,3049.00,38725.00,5836.00,32889.00,,,32889.00,58200.00,,91089.00,32889.00,,,91089.00,,,0.32,1150905,115,2,1586,和勤
tpex,,,,,,253109.00,156760.00,,,96349.00,,,96349.00,150259.00,0.00,-53910.00,-404.00,-54314.00,-16653.00,-37661.00,0.00,,-37661.00,4123.00,,-33538.00,-37661.00,,,-33538.00,,,-0.99,1150905,115,2,1591,駿吉-KY
tpex,,,,,,646718.00,451598.00,,,195120.00,,,195120.00,144013.00,,51107.00,121543.00,172650.00,50744.00,121906.00,,,121906.00,11153.00,,133059.00,103792.00,,18114.00,114945.00,,18114.00,2.61,1150905,115,2,1593,祺驊
tpex,,,,,,411957.00,330158.00,,,81799.00,,,81799.00,163262.00,,-81463.00,29034.00,-52429.00,845.00,-53274.00,,,-53274.00,3810.00,,-49464.00,-53274.00,,0.00,-49464.00,,0.00,-0.98,1150905,115,2,1595,川寶
tpex,,,,,,1083048.00,849199.00,,,233849.00,,,233849.00,260530.00,,-26681.00,21431.00,-5250.00,6381.00,-11631.00,,,-11631.00,-1614.00,,-13245.00,6178.00,,-17809.00,4564.00,,-17809.00,0.09,1150905,115,2,1599,宏佳騰
tpex,,,,,,41324.00,33697.00,,,7627.00,,,7627.00,34780.00,,-27153.00,8743.00,-18410.00,0.00,-18410.00,,,-18410.00,-647.00,,-19057.00,-18410.00,,,-19057.00,,,-0.20,1150905,115,2,1742,台蠟
tpex,,,,,,611976.00,359542.00,,,252434.00,,,252434.00,69413.00,,183021.00,22387.00,205408.00,43185.00,162223.00,,,162223.00,2809.00,,165032.00,,,,,,,3.64,1150905,115,2,1777,生泰
tpex,,,,,,498399.00,298303.00,,,200096.00,,,200096.00,114392.00,,85704.00,-186.00,85518.00,18142.00,67376.00,,,67376.00,13545.00,,80921.00,67376.00,,,80921.00,,,0.69,1150905,115,2,1780,立弘
tpex,,,,,,193290.00,165568.00,,,27722.00,,,27722.00,62491.00,,-34769.00,12157.00,-22612.00,1448.00,-24060.00,,,-24060.00,6721.00,,-17339.00,-24060.00,,,-17339.00,,,-0.51,1150905,115,2,1781,合世
tpex,,,,,,653052.00,288662.00,,,364390.00,,,364390.00,362759.00,,1631.00,16428.00,18059.00,6768.00,11291.00,,,11291.00,826.00,,12117.00,32173.00,,-20882.00,32474.00,,-20357.00,0.64,1150905,115,2,1784,訊聯
tpex,,,,,,30242528.00,26060715.00,,,4181813.00,,,4181813.00,1062695.00,,3119118.00,-196338.00,2922780.00,621572.00,2301208.00,,,2301208.00,121878.00,,2423086.00,2176131.00,,125077.00,2297978.00,,125108.00,3.66,1150905,115,2,1785,光洋科
tpex,,,,,,2252796.00,1611656.00,,,641140.00,,,641140.00,390992.00,,250148.00,7147.00,257295.00,51150.00,206145.00,,,206145.00,6845.00,,212990.00,206145.00,0.00,0.00,212990.00,0.00,0.00,4.63,1150905,115,2,1788,杏昌
tpex,,,,,,322124.00,251800.00,,,70324.00,,,70324.00,75919.00,,-5595.00,300.00,-5295.00,-875.00,-4420.00,,,-4420.00,691.00,,-3729.00,-4420.00,,,-3729.00,,,-0.11,1150905,115,2,1796,金穎生技
tpex,,,,,,463329.00,241743.00,,,221586.00,,,221586.00,202483.00,,19103.00,-9148.00,9955.00,80.00,9875.00,,,9875.00,10221.00,,20096.00,7933.00,,1942.00,17794.00,,2302.00,0.06,1150905,115,2,1799,易威
tpex,,,,,,147746.00,158671.00,,,-10925.00,,,-10925.00,37955.00,,-48880.00,50473.00,1593.00,-2676.00,4269.00,,,4269.00,-2416.00,,1853.00,9908.00,,-5639.00,7848.00,,-5995.00,0.21,1150905,115,2,1813,寶利徠
tpex,,,,,,4012631.00,2484132.00,,,1528499.00,,,1528499.00,578945.00,,949554.00,548804.00,1498358.00,197897.00,1300461.00,,,1300461.00,-7575.00,,1292886.00,1300461.00,,,1292886.00,,,2.24,1150905,115,2,1815,富喬
tpex,,,,,,5291734.00,5029860.00,,,261874.00,,,261874.00,143959.00,,117915.00,71816.00,189731.00,-1949.00,191680.00,,,191680.00,-3391.00,,188289.00,,,,,,,0.55,1150905,115,2,2035,唐榮公司
tpex,,,,,,672585.00,599836.00,,,72749.00,,,72749.00,33466.00,,39283.00,24475.00,63758.00,4926.00,58832.00,,,58832.00,7509.00,,66341.00,58832.00,,,66341.00,,,1.03,1150905,115,2,2061,風青
tpex,,,,,,459736.00,365389.00,,,94347.00,,,94347.00,66874.00,,27473.00,21349.00,48822.00,7917.00,40905.00,,,40905.00,25296.00,,66201.00,40905.00,,,66201.00,,,0.85,1150905,115,2,2063,世鎧精密
tpex,,,,,,894368.00,825983.00,,,68385.00,61.00,,68324.00,64677.00,,3647.00,-6393.00,-2746.00,-34.00,-2712.00,,,-2712.00,-4404.00,,-7116.00,-2708.00,,-4.00,-7093.00,,-23.00,-0.04,1150905,115,2,2064,晉椿
tpex,,,,,,1092466.00,897533.00,,,194933.00,,,194933.00,111275.00,,83658.00,97297.00,180955.00,36747.00,144208.00,,,144208.00,-19095.00,,125113.00,144208.00,,,125113.00,,,2.27,1150905,115,2,2065,世豐
tpex,,,,,,1457915.00,949116.00,,,508799.00,,,508799.00,394511.00,,114288.00,45308.00,159596.00,29486.00,130110.00,,,130110.00,6068.00,,136178.00,130110.00,,,136178.00,,,2.94,1150905,115,2,2066,世德
tpex,,,,,,464880.00,452010.00,,,12870.00,,,12870.00,78917.00,,-66047.00,-15561.00,-81608.00,-542.00,-81066.00,,,-81066.00,758.00,,-80308.00,-70091.00,,-10975.00,-69214.00,,-11094.00,-1.55,1150905,115,2,2067,嘉鋼
tpex,,,,,,347768.00,173344.00,,,174424.00,,,174424.00,128463.00,,45961.00,11922.00,57883.00,7094.00,50789.00,,,50789.00,3643.00,,54432.00,50789.00,,,54432.00,,,1.29,1150905,115,2,2070,精湛
tpex,,,,,,379587.00,355626.00,,,23961.00,,,23961.00,32509.00,,-8548.00,-1663.00,-10211.00,0.00,-10211.00,,,-10211.00,-693.00,,-10904.00,,,,,,,-0.37,1150905,115,2,2073,雄順
tpex,,,,,,807160.00,630960.00,,,176200.00,,,176200.00,74893.00,,101307.00,57.00,101364.00,20663.00,80701.00,,,80701.00,1970.00,,82671.00,78820.00,0.00,1881.00,80790.00,0.00,1881.00,1.86,1150905,115,2,2221,大甲
tpex,,,,,,1160457.00,1159458.00,,,999.00,,,999.00,106234.00,,-105235.00,3523.00,-101712.00,-548.00,-101164.00,,,-101164.00,42595.00,,-58569.00,-99831.00,,-1333.00,-58015.00,,-554.00,-1.48,1150905,115,2,2230,泰茂
tpex,,,,,,290411.00,247326.00,,,43085.00,,,43085.00,37970.00,,5115.00,16100.00,21215.00,4513.00,16702.00,,,16702.00,0.00,,16702.00,,,,,,,0.47,1150905,115,2,2235,謚源
tpex,,,,,,750324.00,430317.00,,,320007.00,,,320007.00,78435.00,,241572.00,6758.00,248330.00,49278.00,199052.00,,,199052.00,,,199052.00,201190.00,,-2138.00,201190.00,,-2138.00,2.01,1150905,115,2,2596,綠意
tpex,,,,,,1665458.00,831060.00,,,834398.00,,,834398.00,470635.00,,363763.00,2270.00,366033.00,78089.00,287944.00,,,287944.00,-1915.00,,286029.00,287745.00,,199.00,285830.00,,199.00,4.86,1150905,115,2,2640,大車隊
tpex,,,,,,1177268.00,707205.00,,,470063.00,,,470063.00,63484.00,,406579.00,88336.00,494915.00,34915.00,460000.00,,,460000.00,102458.00,,562458.00,411515.00,,48485.00,513973.00,,48485.00,1.25,1150905,115,2,2641,正德
tpex,,,,,,3411287.00,3122331.00,,,288956.00,,,288956.00,162216.00,,126740.00,2766.00,129506.00,31846.00,97660.00,,,97660.00,20359.00,,118019.00,97660.00,,,118019.00,,,2.79,1150905,115,2,2643,捷迅
tpex,,,,,,230354.00,101773.00,,,128581.00,,,128581.00,52447.00,,76134.00,230900.00,307034.00,70702.00,236332.00,,,236332.00,-302.00,,236030.00,236332.00,,,236030.00,,,2.72,1150905,115,2,2718,全心投控
tpex,,,,,,849745.00,725493.00,,,124252.00,,,124252.00,73153.00,,51099.00,-10435.00,40664.00,2434.00,38230.00,,,38230.00,,,38230.00,38230.00,,,38230.00,,,0.55,1150905,115,2,2719,燦星旅
tpex,,,,,,106218.00,94238.00,,,11980.00,,,11980.00,36034.00,,-24054.00,19731.00,-4323.00,976.00,-5299.00,,,-5299.00,,,-5299.00,-5686.00,,387.00,-5686.00,,387.00,-0.10,1150905,115,2,2724,藝舍-KY
tpex,,,,,,275608.00,101416.00,,,174192.00,,,174192.00,208014.00,,-33822.00,3581.00,-30241.00,780.00,-31021.00,,,-31021.00,1613.00,,-29408.00,-29584.00,,-1437.00,-28076.00,,-1332.00,-0.78,1150905,115,2,2726,雅茗-KY
tpex,,,,,,3289716.00,1636420.00,,,1653296.00,,,1653296.00,1432165.00,,221131.00,-18605.00,202526.00,55916.00,146610.00,,,146610.00,4848.00,,151458.00,147676.00,,-1066.00,152524.00,,-1066.00,3.47,1150905,115,2,2729,瓦城
tpex,,,,,,2653869.00,1321331.00,,,1332538.00,0.00,498.00,1333036.00,1176161.00,406.00,157281.00,-5112.00,152169.00,40996.00,111173.00,,,111173.00,10506.00,,121679.00,95169.00,,16004.00,100994.00,,20685.00,2.13,1150905,115,2,2732,六角
tpex,,,,,,1020429.00,868992.00,,,151437.00,,,151437.00,130707.00,,20730.00,-18913.00,1817.00,949.00,868.00,,,868.00,4.00,,872.00,1026.00,,-158.00,1054.00,,-182.00,0.02,1150905,115,2,2734,易飛網
tpex,,,,,,296112.00,152697.00,,,143415.00,,,143415.00,181820.00,,-38405.00,-14260.00,-52665.00,0.00,-52665.00,,,-52665.00,2332.00,,-50333.00,-46521.00,,-6144.00,-44189.00,,-6144.00,-0.58,1150905,115,2,2736,富野
tpex,,,,,,30245.00,19002.00,,,11243.00,0.00,0.00,11243.00,34212.00,0.00,-22969.00,-10285.00,-33254.00,0.00,-33254.00,0.00,,-33254.00,0.00,,-33254.00,-33254.00,0.00,0.00,-33254.00,0.00,0.00,-2.10,1150905,115,2,2740,華軒
tpex,,,,,,3448053.00,3078407.00,,,369646.00,,,369646.00,227899.00,,141747.00,-10998.00,130749.00,22286.00,108463.00,,,108463.00,,,108463.00,108463.00,,,108463.00,,,2.32,1150905,115,2,2743,山富
tpex,,,,,,5049526.00,4332554.00,,,716972.00,,,716972.00,469655.00,,247317.00,-28014.00,219303.00,46162.00,173141.00,,,173141.00,,,173141.00,173141.00,,,173141.00,,,5.12,1150905,115,2,2745,五福
tpex,,,,,,1012464.00,499123.00,,,513341.00,,,513341.00,444319.00,176.00,69198.00,-2500.00,66698.00,13102.00,53596.00,,,53596.00,51.00,,53647.00,47669.00,,5927.00,47720.00,,5927.00,2.41,1150905,115,2,2751,王座
tpex,,,,,,2190179.00,1043166.00,,,1147013.00,,,1147013.00,888252.00,,258761.00,13205.00,271966.00,52455.00,219511.00,,,219511.00,-3269.00,,216242.00,216346.00,,3165.00,213061.00,,3181.00,8.10,1150905,115,2,2752,豆府
tpex,,,,,,2989403.00,1760499.00,,,1228904.00,,,1228904.00,1046947.00,,181957.00,-29662.00,152295.00,30515.00,121780.00,,,121780.00,1046.00,,122826.00,121780.00,,,122826.00,,,2.60,1150905,115,2,2754,亞洲藏壽司
tpex,,,,,,1706889.00,1236268.00,,,470621.00,,,470621.00,304928.00,,165693.00,3500.00,169193.00,34160.00,135033.00,,,135033.00,740.00,,135773.00,135033.00,,,135773.00,,,2.90,1150905,115,2,2755,揚秦
tpex,,,,,,610188.00,298123.00,,,312065.00,,,312065.00,276828.00,,35237.00,9849.00,45086.00,9818.00,35268.00,,,35268.00,1725.00,,36993.00,37220.00,,-1952.00,38792.00,,-1799.00,1.53,1150905,115,2,2756,聯發國際
tpex,,,,,,1005646.00,474232.00,,,531414.00,,,531414.00,394667.00,,136747.00,30120.00,166867.00,33374.00,133493.00,,,133493.00,6102.00,,139595.00,,,,,,,2.07,1150905,115,2,2916,滿心
tpex,,,,,,28475.00,20817.00,,,7658.00,,,7658.00,31933.00,,-24275.00,1509.00,-22766.00,0.00,-22766.00,,,-22766.00,70.00,,-22696.00,-22766.00,,,-22696.00,,,-0.44,1150905,115,2,2924,宏太-KY
tpex,,,,,,3506633.00,2168083.00,,,1338550.00,,,1338550.00,1371889.00,,-33339.00,74915.00,41576.00,26713.00,14863.00,,,14863.00,8998.00,,23861.00,15132.00,,-269.00,24265.00,,-404.00,0.32,1150905,115,2,2926,誠品生活
tpex,,,,,,2624020.00,2072406.00,,,551614.00,,,551614.00,466273.00,,85341.00,-1825.00,83516.00,18957.00,64559.00,,,64559.00,,,64559.00,64559.00,,,64559.00,,,1.48,1150905,115,2,2937,集雅社
tpex,,,,,,465356.00,167822.00,,,297534.00,,,297534.00,271949.00,,25585.00,310.00,25895.00,4843.00,21052.00,,,21052.00,-11.00,,21041.00,,,,,,,1.37,1150905,115,2,2941,米斯特
tpex,,,,,,1188211.00,696176.00,,,492035.00,,,492035.00,435916.00,,56119.00,-4328.00,51791.00,10191.00,41600.00,,,41600.00,,,41600.00,41600.00,0.00,0.00,41600.00,,,1.78,1150905,115,2,2947,振宇五金
tpex,,,,,,1101442.00,637477.00,,,463965.00,,,463965.00,404451.00,,59514.00,-14909.00,44605.00,14290.00,30315.00,,,30315.00,11978.00,,42293.00,30315.00,,,42293.00,,,0.98,1150905,115,2,2948,寶陞
tpex,,,,,,3164715.00,2779610.00,,,385105.00,,,385105.00,312382.00,,72723.00,-539.00,72184.00,18639.00,53545.00,,,53545.00,-98.00,,53447.00,50454.00,,3091.00,50385.00,,3062.00,1.68,1150905,115,2,2949,欣新網
tpex,,,,,,41307.00,4525.00,,,36782.00,,,36782.00,43177.00,,-6395.00,-3045.00,-9440.00,0.00,-9440.00,,,-9440.00,69.00,,-9371.00,-9438.00,,-2.00,-9369.00,,-2.00,-0.73,1150905,115,2,3064,泰偉
tpex,,,,,,140399.00,91306.00,,,49093.00,,,49093.00,77296.00,,-28203.00,519209.00,491006.00,4959.00,486047.00,,,486047.00,131814.00,,617861.00,449239.00,,36808.00,579372.00,,38489.00,5.41,1150905,115,2,3066,李洲
tpex,,,,,,32759.00,22507.00,,,10252.00,170.00,482.00,10564.00,11637.00,,-1073.00,3412.00,2339.00,0.00,2339.00,,,2339.00,0.00,,2339.00,2339.00,,,2339.00,,,0.12,1150905,115,2,3067,全域
tpex,,,,,,1513710.00,1040970.00,,,472740.00,,,472740.00,294872.00,,177868.00,-44452.00,133416.00,51501.00,81915.00,,,81915.00,89153.00,,171068.00,53899.00,,28016.00,133315.00,,37753.00,0.49,1150905,115,2,3071,協禧
tpex,,,,,,90021.00,75506.00,,,14515.00,,,14515.00,27489.00,0.00,-12974.00,2067.00,-10907.00,0.00,-10907.00,,,-10907.00,-6920.00,,-17827.00,-10507.00,,-400.00,-17427.00,,-400.00,-0.27,1150905,115,2,3073,天方能源
tpex,,,,,,3210107.00,2595758.00,,,614349.00,,,614349.00,389927.00,,224422.00,78318.00,302740.00,71811.00,230929.00,,,230929.00,157538.00,,388467.00,230929.00,,,388467.00,,,1.02,1150905,115,2,3078,僑威
tpex,,,,,,2125567.00,928723.00,,,1196844.00,,,1196844.00,251044.00,,945800.00,36692.00,982492.00,196490.00,786002.00,,,786002.00,1592.00,,787594.00,,,,,,,7.75,1150905,115,2,3081,聯亞
tpex,,,,,,187055.00,28401.00,,,158654.00,,,158654.00,162412.00,,-3758.00,33233.00,29475.00,1924.00,27551.00,,,27551.00,31080.00,,58631.00,25775.00,,1776.00,56751.00,,1880.00,0.30,1150905,115,2,3083,網龍
tpex,,,,,,34557.00,12344.00,,,22213.00,,,22213.00,50650.00,,-28437.00,4599.00,-23838.00,0.00,-23838.00,,,-23838.00,-5245.00,,-29083.00,-23838.00,,,-29083.00,,,-0.35,1150905,115,2,3085,新零售
tpex,,,,,,69502.00,50065.00,,,19437.00,,,19437.00,41888.00,,-22451.00,3714.00,-18737.00,6.00,-18743.00,,,-18743.00,-195.00,,-18938.00,-16870.00,,-1873.00,-16959.00,,-1979.00,-0.06,1150905,115,2,3086,華義*
tpex,,,,,,4613348.00,3087015.00,,,1526333.00,67.00,61.00,1526327.00,959489.00,,566838.00,47509.00,614347.00,134299.00,480048.00,,,480048.00,5570.00,,485618.00,466085.00,,13963.00,471655.00,,13963.00,4.28,1150905,115,2,3088,艾訊
tpex,,,,,,765861.00,556650.00,,,209211.00,,,209211.00,147454.00,,61757.00,14038.00,75795.00,16778.00,59017.00,,,59017.00,581599.00,,640616.00,59017.00,,0.00,640616.00,,0.00,0.41,1150905,115,2,3093,港建*
tpex,,,,,,360109.00,281477.00,,,78632.00,,,78632.00,56807.00,,21825.00,-4470.00,17355.00,11.00,17344.00,,,17344.00,1610.00,,18954.00,17344.00,,,18954.00,,,1.73,1150905,115,2,3095,及成
tpex,,,,,,9847328.00,7153704.00,,,2693624.00,,,2693624.00,1520711.00,,1172913.00,547323.00,1720236.00,366849.00,1353387.00,,,1353387.00,1535855.00,,2889242.00,1510391.00,,-157004.00,3030635.00,,-141393.00,3.56,1150905,115,2,3105,穩懋
tpex,,,,,,1558134.00,1394800.00,,,163334.00,,,163334.00,106488.00,,56846.00,27934.00,84780.00,16322.00,68458.00,,,68458.00,62361.00,,130819.00,68458.00,,0.00,130819.00,,0.00,1.02,1150905,115,2,3114,好德
tpex,,,,,,3947.00,0.00,,,3947.00,,,3947.00,17336.00,,-13389.00,7489.00,-5900.00,290.00,-6190.00,,,-6190.00,3802.00,,-2388.00,-6190.00,,,-2388.00,,,-0.09,1150905,115,2,3115,富榮綱
tpex,,,,,,321210.00,206726.00,,,114484.00,,,114484.00,82632.00,,31852.00,5892.00,37744.00,6944.00,30800.00,,,30800.00,,,30800.00,,,,,,,0.95,1150905,115,2,3118,進階
tpex,,,,,,162390.00,105958.00,,,56432.00,,,56432.00,85388.00,,-28956.00,-666.00,-29622.00,42.00,-29664.00,,,-29664.00,772.00,,-28892.00,-29664.00,,0.00,-28892.00,,0.00,-0.73,1150905,115,2,3122,笙泉
tpex,,,,,,482657.00,343785.00,,,138872.00,,,138872.00,122515.00,,16357.00,1237.00,17594.00,3735.00,13859.00,,,13859.00,,,13859.00,12796.00,,1063.00,12796.00,,1063.00,0.27,1150905,115,2,3128,昇銳
tpex,,,,,,3322908.00,2112683.00,,,1210225.00,,,1210225.00,635318.00,,574907.00,411615.00,986522.00,202770.00,783752.00,,,783752.00,166910.00,,950662.00,786489.00,,-2737.00,953381.00,,-2719.00,27.27,1150905,115,2,3131,弘塑
tpex,,,,,,885182.00,497166.00,,,388016.00,,,388016.00,286181.00,,101835.00,73117.00,174952.00,20726.00,154226.00,,,154226.00,125460.00,,279686.00,162768.00,,-8542.00,288228.00,,-8542.00,2.19,1150905,115,2,3141,晶宏
tpex,,,,,,8855091.00,7796239.00,,,1058852.00,,,1058852.00,433830.00,,625022.00,5876.00,630898.00,139137.00,491761.00,,,491761.00,1722.00,,493483.00,491761.00,,0.00,493489.00,,-6.00,11.26,1150905,115,2,3147,大綜
tpex,,,,,,758791.00,426155.00,,,332636.00,,,332636.00,116448.00,,216188.00,25190.00,241378.00,49691.00,191687.00,,,191687.00,,,191687.00,,,,,,,3.21,1150905,115,2,3152,璟德
tpex,,,,,,556378.00,196621.00,,,359757.00,,,359757.00,232410.00,,127347.00,5389.00,132736.00,26701.00,106035.00,,,106035.00,-106.00,,105929.00,106035.00,,0.00,105929.00,,0.00,3.48,1150905,115,2,3158,嘉實
tpex,,,,,,4342980.00,3865903.00,,,477077.00,,,477077.00,448880.00,,28197.00,-7747.00,20450.00,11459.00,8991.00,,,8991.00,39356.00,,48347.00,7880.00,,1111.00,45489.00,,2858.00,0.05,1150905,115,2,3162,精確
tpex,,,,,,1247946.00,1034308.00,,,213638.00,,,213638.00,168526.00,,45112.00,301383.00,346495.00,14958.00,331537.00,,,331537.00,22361.00,,353898.00,331537.00,,,353898.00,,,3.50,1150905,115,2,3163,波若威
tpex,,,,,,495261.00,227357.00,,,267904.00,,,267904.00,135799.00,,132105.00,16375.00,148480.00,24544.00,123936.00,,,123936.00,2410.00,,126346.00,123936.00,,,126346.00,,,1.96,1150905,115,2,3169,亞信
tpex,,,,,,1413057.00,1056491.00,,,356566.00,,,356566.00,199198.00,,157368.00,805.00,158173.00,29401.00,128772.00,,,128772.00,11599.00,,140371.00,118771.00,,10001.00,127617.00,,12754.00,3.76,1150905,115,2,3171,炎洲流通
tpex,,,,,,546240.00,237741.00,,,308499.00,0.00,2553.00,311052.00,358210.00,,-47158.00,-13713.00,-60871.00,13162.00,-74033.00,,,-74033.00,-19235.00,,-93268.00,-79132.00,,5099.00,-82692.00,,-10576.00,-0.57,1150905,115,2,3176,基亞
tpex,,,,,,661500.00,546667.00,,,114833.00,,,114833.00,95623.00,,19210.00,2755.00,21965.00,2404.00,19561.00,,,19561.00,998.00,,20559.00,19221.00,,340.00,19919.00,,640.00,0.43,1150905,115,2,3178,公準
tpex,,,,,,2531129.00,1543131.00,,,987998.00,,,987998.00,173095.00,,814903.00,-4568.00,810335.00,169402.00,640933.00,,,640933.00,,,640933.00,640933.00,,,640933.00,,,3.40,1150905,115,2,3188,鑫龍騰
tpex,,,,,,89956.00,64684.00,,,25272.00,,,25272.00,36511.00,0.00,-11239.00,1712.00,-9527.00,1718.00,-11245.00,,,-11245.00,1578.00,,-9667.00,-11245.00,,,-9667.00,,,-0.26,1150905,115,2,3191,雲嘉南
tpex,,,,,,335238.00,312766.00,,,22472.00,,,22472.00,27234.00,,-4762.00,5788.00,1026.00,0.00,1026.00,,,1026.00,-42887.00,,-41861.00,1673.00,,-647.00,-41214.00,,-647.00,0.02,1150905,115,2,3205,佰研
tpex,,,,,,1606949.00,1273573.00,,,333376.00,,,333376.00,262800.00,,70576.00,927.00,71503.00,22788.00,48715.00,,,48715.00,42446.00,,91161.00,48372.00,,343.00,88700.00,,2461.00,0.82,1150905,115,2,3206,志豐
tpex,,,,,,823862.00,673065.00,,,150797.00,,,150797.00,222729.00,,-71932.00,36930.00,-35002.00,1224.00,-36226.00,,,-36226.00,33993.00,,-2233.00,-72307.00,,36081.00,-38275.00,,36042.00,-1.09,1150905,115,2,3207,耀勝
tpex,,,,,,6835813.00,5682496.00,,,1153317.00,,,1153317.00,507151.00,,646166.00,-34984.00,611182.00,91158.00,520024.00,,,520024.00,166764.00,,686788.00,520024.00,,,686788.00,,,3.40,1150905,115,2,3211,順達
tpex,,,,,,1736008.00,1113503.00,,,622505.00,,,622505.00,177309.00,,445196.00,37338.00,482534.00,137564.00,344970.00,,,344970.00,212641.00,,557611.00,329540.00,,15430.00,542181.00,,15430.00,5.62,1150905,115,2,3213,茂訊
tpex,,,,,,1895341.00,981297.00,,,914044.00,,,914044.00,352952.00,,561092.00,30350.00,591442.00,123199.00,468243.00,,,468243.00,604436.00,,1072679.00,468243.00,,,1072679.00,,,5.20,1150905,115,2,3217,優群
