# commit=a9667348a run=2026-09-20 10:11 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
group,period,H,n,value,ref,note
⑤2015-2016 硬納入（不判定）,2015-2016,120.0,17,-0.3578755845755489,0.3131728322568017,④死水；value＝超額 pp（CI -1.23～+0.52）；ref＝rev_hi24 覆蓋率 %
⑥結構性缺 rev_hi24,全部,,7,,56.0,KY；ref＝合計檔數
⑥結構性缺 rev_hi24,全部,,44,,56.0,其他；ref＝合計檔數
⑥結構性缺 rev_hi24,全部,,5,,56.0,金融（28xx／58xx 代號區）；ref＝合計檔數
⑥結構性缺 rev_hi24,主格,,51,11.832946635730858,431.0,①營收＋回檔；value＝占這批主格列 %
⑥結構性缺 rev_hi24,主格,,109,25.290023201856147,431.0,②正在噴出；value＝占這批主格列 %
⑥結構性缺 rev_hi24,主格,,47,10.904872389791183,431.0,③純技術＋回檔；value＝占這批主格列 %
⑥結構性缺 rev_hi24,主格,,224,51.972157772621806,431.0,④死水；value＝占這批主格列 %
⑧bars<120 擋掉（流動性合格）,擬合窗／追認格,20.0,149,1.0634120075191822,1.0701257524719154,股-月 149；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,擬合窗／追認格,60.0,149,1.7996583030292688,3.3656798190751536,股-月 149；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,擬合窗／追認格,120.0,149,2.2698366714319698,7.981125826972716,股-月 149；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,主格,20.0,369,0.031727601332475174,0.4948776936542233,股-月 369；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,主格,60.0,369,4.838325678011792,3.4423799081989728,股-月 369；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,主格,120.0,369,13.552831096123652,7.529768710709141,股-月 369；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,副格,20.0,388,-0.23657647620180197,0.7427751018727834,股-月 388；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,副格,60.0,388,-2.6725879007845137,2.673573202064354,股-月 388；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,副格,120.0,388,-5.769135139434372,5.319945655468863,股-月 388；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,第二層,20.0,130,2.0149811290641595,0.3839422374748203,股-月 130；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,第二層,60.0,130,23.772733598785408,7.276766065376424,股-月 130；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,第二層,120.0,130,58.289421327796354,19.924580638045754,股-月 130；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑧bars<120 擋掉（流動性合格）,2015,,2167,57.48010610079576,3770.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 557
⑧bars<120 擋掉（流動性合格）,2016,,52,1.406926406926407,3696.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 25
⑧bars<120 擋掉（流動性合格）,2017,,37,0.8165967777532553,4531.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 15
⑧bars<120 擋掉（流動性合格）,2018,,31,0.6997742663656885,4430.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 15
⑧bars<120 擋掉（流動性合格）,2019,,52,1.237800523684837,4201.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 15
⑧bars<120 擋掉（流動性合格）,2020,,29,0.5250769509324642,5523.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 11
⑧bars<120 擋掉（流動性合格）,2021,,64,0.8690928843020097,7364.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 20
⑧bars<120 擋掉（流動性合格）,2022,,58,0.9734810339039948,5958.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 18
⑧bars<120 擋掉（流動性合格）,2023,,54,0.7985803016858917,6762.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 20
⑧bars<120 擋掉（流動性合格）,2024,,63,0.7783543365455894,8094.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 25
⑧bars<120 擋掉（流動性合格）,2025,,83,1.1758039382348773,7059.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 29
⑧bars<120 擋掉（流動性合格）,2026,,47,2.39673635900051,1961.0,逐年；value＝占流動性合格股-月 %；ref＝流動性合格股-月；檔數 20
⑩法人欄NaN擋掉（(c)）,擬合窗／追認格,20.0,504,0.7940557821981534,1.0701257524719154,股-月 504；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,擬合窗／追認格,60.0,504,4.62491603420793,3.3656798190751536,股-月 504；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,擬合窗／追認格,120.0,504,1.2951533392387893,7.981125826972716,股-月 504；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,主格,20.0,252,2.482436466271076,0.4948776936542233,股-月 252；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,主格,60.0,252,1.2521636082638514,3.4423799081989728,股-月 252；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,主格,120.0,252,2.4094046609875788,7.529768710709141,股-月 252；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,副格,20.0,686,1.1521487610663481,0.7427751018727834,股-月 686；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,副格,60.0,686,3.229104595193185,2.673573202064354,股-月 686；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,副格,120.0,686,0.8219581777437753,5.319945655468863,股-月 686；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,第二層,20.0,70,3.3629150519523665,0.3839422374748203,股-月 70；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,第二層,60.0,70,6.16195940315375,7.276766065376424,股-月 70；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,第二層,120.0,70,9.943770680185569,19.924580638045754,股-月 70；value＝被擋掉者平均毛報酬 pp；ref＝合格者
⑩法人欄NaN擋掉（(c)）,2015,,19,,16.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2016,,119,,97.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2017,,179,,143.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2018,,167,,124.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2019,,58,,55.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2020,,100,,84.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2021,,57,,54.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2022,,43,,40.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2023,,24,,23.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2024,,58,,53.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2025,,65,,60.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,2026,,5,,5.0,逐年；ref＝檔數
⑩法人欄NaN擋掉（(c)）,成因,,646,72.25950782997764,894.0,有成交日、該日法人清單不含該檔（absent；語意未知，資料庫線 2255）；value＝占 %
⑩法人欄NaN擋掉（(c)）,成因,,248,27.740492170022375,894.0,窗內有無成交日（停牌／無成交）；value＝占 %
⑩法人欄NaN擋掉（(c)）,市場,,460,51.45413870246085,894.0,tpex；value＝占 %
⑩法人欄NaN擋掉（(c)）,市場,,434,48.54586129753915,894.0,twse；value＝占 %
⑨創新板量測日<2025-01-06 排除,全部,,0,,59718.0,本窗內觸發 0 次；ref＝合格股-月
⑦排除結構性缺值檔重跑主格,主格,120.0,60,7.776272835210681,7.164088698843674,①營收＋回檔；value＝排除後超額 pp（CI +4.56～+10.99）；ref＝原主格
⑦排除結構性缺值檔重跑主格,主格,120.0,63,2.7502664036508633,2.6600332786132057,②正在噴出；value＝排除後超額 pp（CI +0.82～+4.68）；ref＝原主格
⑦排除結構性缺值檔重跑主格,主格,120.0,63,-0.11922558829788614,-0.15338134528341146,③純技術＋回檔；value＝排除後超額 pp（CI -1.13～+0.89）；ref＝原主格
⑦排除結構性缺值檔重跑主格,主格,120.0,63,-3.735761034102656,-3.826331902923415,④死水；value＝排除後超額 pp（CI -5.33～-2.14）；ref＝原主格
