# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,H,type,n_rows,p05,p10,p25,p50,p75,p90,p95,win_rate,excess_pp
主格,120,③純技術＋回檔,9369,-42.26972783658856,-34.333037165528076,-21.889814443665255,-8.345802899653732,10.290540709194632,38.60508889875359,68.05415889506065,0.37101078023268225,-0.25519526431440176
主格,120,④死水,14751,-41.85444649129209,-32.84790701074576,-19.844350808967352,-6.798680476904783,6.963289536808714,24.863603760513865,43.062153570428386,0.3628906514812555,-3.8078827712032033
副格,20,①營收＋回檔,3494,-16.176078698144785,-12.861263677615224,-7.51095856003526,-1.5010346841995807,5.3641168491686235,14.3127618425604,22.827040650942013,0.44075558099599316,-0.007168605097022877
副格,20,②正在噴出,12687,-17.628338546892277,-13.730414631421434,-8.097246689505774,-1.7296089786428128,6.067597958236782,17.016213178730773,26.923048401191135,0.43453929218885473,0.5907060895874026
副格,20,③純技術＋回檔,11315,-15.323186260870719,-12.38225784291721,-7.485588337936817,-2.040465230289153,4.651564987173113,13.451504995988367,21.374967966840007,0.41016349977905436,-0.13567372743064668
副格,20,④死水,18223,-12.506596249701749,-9.683369064824259,-5.628294074909172,-1.2382017365152744,3.6002372493004,9.499859479062637,14.381991144995895,0.4252867255665917,-0.40539326230522416
副格,60,①營收＋回檔,3494,-26.61464122364731,-21.878482956950634,-13.396714767278391,-3.2401329072315868,10.635255008695658,30.346986650409036,48.421352811938064,0.42301087578706353,2.1651687071015138
副格,60,②正在噴出,12687,-28.058546714831184,-22.58720461590734,-13.820469911129752,-3.4983421329100173,10.009823777048886,28.292344410727253,44.9059199085135,0.42200677859225977,1.4575314712002156
副格,60,③純技術＋回檔,11315,-25.73547452524715,-21.120454391831444,-13.43483015212676,-4.432644194201125,7.2558238438363105,23.917868410044203,38.41584615030975,0.38771542200618647,-0.21028979969620526
副格,60,④死水,18223,-22.520835507688666,-18.015682699319758,-10.842451907174777,-3.2263946059515742,5.548526581372409,16.09915324208604,25.40544290036805,0.3973001152389837,-1.3196302726542366
副格,120,①營收＋回檔,3494,-39.27953724384855,-31.105628591316165,-19.35785115773696,-5.008392143816731,13.842844755858813,43.58213480804669,73.9881742622319,0.42100744132799084,2.731299270370508
副格,120,②正在噴出,12687,-38.03130232817743,-31.046736480571763,-19.49220666060828,-4.815538079009959,13.930936153604028,41.51974966341164,67.80985373166043,0.4193268700244345,2.921674607479101
