arm,r,cagr,mdd,vol,first,end,trades,eq_sha,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,buys,buys_lottery,buy_diff,buy_K0_mean,buy_K0_med,buy_K1_mean,buy_K1_med,buy_K2_mean,buy_K2_med,buy_K3_mean,buy_K3_med,buy_K4_mean,buy_K4_med
lottery,20,0.37951550194193917,-0.43262467650861774,0.28470835659506155,526,2859,163,eadcc4f8ad1b6092,0.31560653959772145,-0.0038650230656234186,0.24003946705456913,0.5586281350907807,1.0461085808007904,-0.02967218245891179,0.8374660806623,0.03962443390429149,0.4656031143268622,0.4809876836426086,163,163,0,4.858895705521473,5.0,3.147239263803681,3.0,0.12863952669674728,0.057460822716889126,4.958141600831402,3.8364192943408137,0.2575718299833955,0.22620904836193456
lottery,21,0.41010389844611916,-0.38973244196571505,0.2869963437517541,526,2859,163,928169f049abeb76,0.3714813588596675,-0.010144235603082752,0.13917898157936293,0.4837685264958287,1.2117285136103044,-0.031240611460553902,0.830491727672698,0.10132787909627683,0.5579290658338651,0.6609347761198763,163,163,0,4.742331288343558,5.0,3.1349693251533743,3.0,0.12998348845859997,0.05541267588979548,4.914179143552497,3.8169907369830467,0.2546424598553927,0.21996615905245331
lottery,22,0.3979041891863262,-0.39500040320697294,0.2841640222294046,526,2859,163,cdcc39ff96d1f3b5,0.32894387384239954,-0.0038499201563081398,0.13498484774748465,0.4948736123073538,1.2228356855426448,-0.026501503130539894,0.8374660806623,0.06438654015831213,0.47886962073711814,0.6807699778727423,163,163,0,4.705521472392638,5.0,3.128834355828221,3.0,0.12887281670535203,0.06364105815678855,4.383916225194524,3.5530733628022655,0.24438714508190645,0.21219512195121948
lottery,23,0.4093027490233616,-0.40461017483688644,0.28522280526960564,526,2859,163,4316ae5cb8551769,0.21861064718518053,-0.029596652503279364,0.12284192876047717,0.4319745333011342,1.3011287153008442,-0.023285119015013844,0.8088279273810233,0.0454434868303657,0.5144310366418254,1.0844669580448802,163,163,0,4.730061349693251,5.0,3.1226993865030677,3.0,0.12851338517082345,0.057460822716889126,4.9246873028652915,3.829034373621563,0.23949050558216095,0.21145374449339216
lottery,24,0.4335305939990399,-0.3612069657591807,0.2876298960036636,526,2859,163,552226ac3b3867d6,0.29246417966074034,0.01615906578875448,0.23910762762066118,0.5829390899145497,1.1505187290926537,-0.027658422604342925,0.8374660806623,0.16061318076071807,0.4473161114005577,0.8022858797398325,163,163,0,4.754601226993865,5.0,3.1226993865030677,3.0,0.13093963872631448,0.057460822716889126,4.845917245315053,3.8364192943408137,0.25107588113218693,0.22007042253521125
lottery,25,0.37388946208296403,-0.3732840193531702,0.285823636787001,526,2859,163,2ac809f040360f09,0.29246417966074034,0.028154597140692905,0.12239320902555173,0.4843764537693982,0.7828664404734031,-0.02411219042539503,0.8088279273810237,0.17939108769127277,0.46901356395327287,0.6619268521410502,163,163,0,4.779141104294479,5.0,3.1165644171779143,3.0,0.132924108967127,0.060620525589548224,4.821349343999659,3.764955357954852,0.25283206998688196,0.2229551451187335
lottery,26,0.3593853455267706,-0.38339115521215794,0.28220908583731336,526,2859,163,b881b15a7c429c6e,0.21861064718518053,-0.040907910893685284,0.13459063597491872,0.49522706875123435,0.8786837418630737,-0.02991405883210374,0.8292544445758618,0.06167660271081421,0.4833554348672129,0.7434750607021752,163,163,0,4.742331288343558,5.0,3.1104294478527605,3.0,0.1292921693468,0.053664334205347775,4.376682277765497,3.829034373621563,0.2520409830714022,0.22007042253521125
lottery,27,0.38080301476718215,-0.3517023880486701,0.28087277527618854,526,2859,163,ea5e7eb2ab7d3bc4,0.20052503359542984,-0.061245321801509434,0.13960847660083875,0.49711615144727084,1.2434394081246172,-0.031484332290013795,0.808827927381023,0.19018135521168955,0.42459543249695986,0.6417251484369231,163,163,0,4.699386503067485,5.0,3.1349693251533743,3.0,0.13383926711424385,0.06364105815678855,4.43227226116798,3.8169907369830467,0.25122245132444865,0.22007042253521125
lottery,28,0.3607061663843001,-0.3581349649245083,0.2814675902457525,526,2859,163,ea2544c525d4dc08,0.2384175605796537,-0.044026369197825654,0.24033752666373975,0.5657621424084771,0.773867420355262,-0.021533426968925906,0.8088279273810233,0.11893980342379495,0.5490045529078005,0.4640037102541863,163,163,0,4.957055214723926,5.0,3.1349693251533743,3.0,0.1311775075534159,0.05663776557538558,4.8739100955222,3.697974476446323,0.2511907357439884,0.21219512195121948
lottery,29,0.36719567073015846,-0.38338340954816774,0.2835927384874319,526,2859,163,adffa0c721505d8d,0.18916146840234882,-0.06138541765150163,0.12233187101402176,0.47391559329338406,1.041521656989374,-0.03043150760524771,0.8292544445758614,0.08120743485323034,0.5562645241438036,0.7030655700225097,163,163,0,4.895705521472393,5.0,3.128834355828221,3.0,0.13151515369520034,0.060620525589548224,5.07619608734446,3.829034373621563,0.24230613228628808,0.21145374449339216
lottery,30,0.403933891762873,-0.40867252197196496,0.28800208655847054,526,2859,163,7246dbe19ea4c180,0.354077161677107,0.00021067269447083703,0.12297067057125743,0.4458454842211055,1.383141107229286,-0.027056692205225108,0.830491727672698,0.03807927457567728,0.5594113980393687,0.6287380965418485,163,163,0,4.7975460122699385,5.0,3.147239263803681,3.0,0.1282880748570622,0.05541267588979548,4.408101034883137,3.599134541184563,0.25307305223114795,0.2229551451187335
lottery,31,0.4292109634439303,-0.33944967995568565,0.28221384379962494,526,2859,163,d04d77a1223f6e1c,0.21861064718518053,0.0064315044198726135,0.24145888913756153,0.58132108598474,1.1439892840538168,-0.03150444824006848,0.808827927381023,0.11738501642542398,0.5717971908909874,0.8336549133458762,163,163,0,4.705521472392638,5.0,3.1104294478527605,3.0,0.13523413619209582,0.057460822716889126,4.537596233471144,3.829034373621563,0.24428167816379626,0.21219512195121948
lottery,32,0.41243142610161754,-0.38249029219862807,0.2874644512819313,526,2859,163,2cccc36997264a53,0.18916146840234882,-0.06138541765150163,0.23939946483366326,0.6044680394015798,1.2715125923156458,-0.03158719227094764,0.8292544445758612,0.08120743485323012,0.5562645241438038,0.7334115232857674,163,163,0,4.889570552147239,5.0,3.1349693251533743,3.0,0.1293354853741698,0.057460822716889126,4.582430449536109,3.764955357954852,0.24482464931014752,0.21225382932166292
lottery,33,0.4090768573982624,-0.44504325515532245,0.2866503938240088,526,2859,163,fe9643630ab2ad62,0.26026069006746355,-0.0077260406761352485,0.1234304104359758,0.4545709610102171,1.3201338264031808,-0.03222940705577593,0.808827927381023,0.05983543243586409,0.4671482978955046,0.9737709144879889,163,163,0,4.7607361963190185,5.0,3.1411042944785277,3.0,0.13241728372095293,0.057460822716889126,4.379975202708912,3.760924715851219,0.2524324242509446,0.22155688622754477
lottery,34,0.362647613297316,-0.44346407307781976,0.28196865322532616,526,2859,163,31571d367a921fb5,0.18916146840234882,-0.0704336747620592,0.24011257325229152,0.5487218745970208,1.0368655794991057,-0.02978374052736521,0.8374660806622998,0.06456268451643332,0.4710982855498518,0.5376998602826291,163,163,0,4.871165644171779,5.0,3.147239263803681,3.0,0.13022024170666938,0.05663776557538558,4.980191789152424,3.8169907369830467,0.2497896508434517,0.21145374449339216
lottery,35,0.4087363667005195,-0.37121485570254525,0.2843087064733352,526,2859,163,264942beb4c0807a,0.3677330396082539,-0.019623698872266226,0.13474793783080297,0.46886533141706677,1.098117249941041,-0.03028186899829599,0.8292544445758614,0.07938958956550723,0.5904167631618733,0.7797541903172236,163,163,0,4.766871165644171,5.0,3.1349693251533743,3.0,0.1301203388294256,0.05663776557538558,5.011725215966836,3.8364192943408137,0.2440746337103977,0.21145374449339216
lottery,36,0.41935304870362167,-0.43297562631252323,0.2845983796128814,526,2859,163,ed1a7c98e62d34c5,0.20619631517007653,-0.015041818701894583,0.24190023460141297,0.5755411040961331,1.3546345539655857,-0.027613327575355395,0.8088279273810228,0.05262405114413604,0.46321323388822266,0.839776004939291,163,163,0,4.8343558282208585,5.0,3.128834355828221,3.0,0.12992962698105037,0.05642568071501053,4.57877501971466,3.8886520885828864,0.244803222622612,0.21853546910755162
lottery,37,0.39639226097943947,-0.3849305148018943,0.28627614802120327,526,2859,163,15a5a4ab6959a650,0.33393582204797934,-0.009631819946516074,0.12200355700917287,0.46247700875582276,1.281933677550704,-0.03168105219560302,0.8304917276726977,0.08043730828442586,0.5092431385199163,0.635782837600968,163,163,0,4.7607361963190185,5.0,3.1226993865030677,3.0,0.1296815703011009,0.060620525589548224,4.4057983930209845,3.764955357954852,0.2520957063298246,0.21853546910755162
lottery,38,0.4210208210665136,-0.37383347601248357,0.2915022859662676,526,2859,163,19e7d9c21295f3ee,0.22678182627529364,-0.06529600366707955,0.13941257294453235,0.5316623480907794,1.415248575107039,-0.02359820266232915,0.8088279273810233,0.1885069846225873,0.4388560294426218,0.889646303094817,163,163,0,4.754601226993865,5.0,3.1411042944785277,3.0,0.1259642376888724,0.05663776557538558,4.474925954411978,3.8886520885828864,0.24829118367626085,0.22007042253521125
lottery,39,0.35610718326343593,-0.42163057486857625,0.2814227384281008,526,2859,163,e9196bd82d97a7c6,0.21861064718518053,-0.07069284471533077,0.24011272755919855,0.578506228191257,1.1256510596852816,-0.02971424358339525,0.8088279273810237,0.031465486382957764,0.5345406048428645,0.35522007566870606,163,163,0,4.950920245398773,5.0,3.147239263803681,3.0,0.1270990821841248,0.05541267588979548,4.965772579483602,3.7778763920149023,0.25486995689827807,0.22007042253521125
lottery,40,0.39702819693561664,-0.3731041245996695,0.28923178339538114,526,2859,163,b5afd08227e4ac49,0.26026069006746355,-0.05409476375963096,0.13323890297540797,0.5069216686578062,1.1527203530657153,-0.02271935111392709,0.830491727672698,0.06701115740026586,0.5581977137566212,0.8020588667720032,163,163,0,4.846625766871166,5.0,3.1226993865030677,3.0,0.12569311345721523,0.057460822716889126,4.9617194187251,3.764955357954852,0.2449170325460834,0.21145374449339216
lottery,41,0.41927291291317514,-0.3919284451111631,0.288446991493377,526,2859,163,ab9e51d77f97d5dc,0.332466305772565,0.06578155827000387,0.12373649545970444,0.46414067143184634,1.2642733414158656,-0.023309109266296923,0.808827927381023,0.16540778314531335,0.4681773372500151,0.7049630176810009,163,163,0,4.723926380368098,5.0,3.1349693251533743,3.0,0.13563474773999423,0.06501427014329564,4.370575656575922,3.764955357954852,0.2508728309273864,0.21853546910755162
lottery,42,0.40736121037860995,-0.4099038281341802,0.28500039139394784,526,2859,163,81b73b41fc50cacb,0.3677330396082539,-0.019623698872266226,0.12267754451550128,0.475656032452457,1.2502212518959017,-0.032384638180579794,0.830491727672698,0.021376078074337945,0.5636260459104461,0.7808246220800454,163,163,0,4.779141104294479,5.0,3.1411042944785277,3.0,0.13165944407641744,0.05642568071501053,4.493909832751116,3.697974476446323,0.2504376222641787,0.21219512195121948
