r,eq_sha,buys,days_sig,days_over,days_over_frac,days_full,days_act,days_act_frac,elim_by_lottery,elim_by_full,K0_tie_frac,K0_cut_tie_frac,K0_direct_diff,K0_direct_frac,K0_path_diff,K0_path_frac,K0_buys,K0_first_div_idx,K0_first_div_frac,K0_first_div_t,K0_mean_key_lottery,K0_mean_key_ranked,K1_tie_frac,K1_cut_tie_frac,K1_direct_diff,K1_direct_frac,K1_path_diff,K1_path_frac,K1_buys,K1_first_div_idx,K1_first_div_frac,K1_first_div_t,K1_mean_key_lottery,K1_mean_key_ranked,K2_tie_frac,K2_cut_tie_frac,K2_direct_diff,K2_direct_frac,K2_path_diff,K2_path_frac,K2_buys,K2_first_div_idx,K2_first_div_frac,K2_first_div_t,K2_mean_key_lottery,K2_mean_key_ranked,K3_tie_frac,K3_cut_tie_frac,K3_direct_diff,K3_direct_frac,K3_path_diff,K3_path_frac,K3_buys,K3_first_div_idx,K3_first_div_frac,K3_first_div_t,K3_mean_key_lottery,K3_mean_key_ranked,K4_tie_frac,K4_cut_tie_frac,K4_direct_diff,K4_direct_frac,K4_path_diff,K4_path_frac,K4_buys,K4_first_div_idx,K4_first_div_frac,K4_first_div_t,K4_mean_key_lottery,K4_mean_key_ranked
120,d3bea879f74514aa,163,977,817,0.8362333674513818,773,44,0.04503582395087001,89,1601,0.24175824175824176,0.16666666666666666,19,0.1165644171779141,21,0.12883435582822086,163,9,0.05521472392638037,549,4.625766871165644,5.306748466257669,0.8681318681318682,0.8,6,0.03680981595092025,6,0.03680981595092025,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,18,0.11042944785276074,18,0.11042944785276074,163,8,0.049079754601226995,549,0.13077962605239052,0.14555950120960787,0.0,0.0,19,0.1165644171779141,20,0.12269938650306748,163,9,0.05521472392638037,549,4.825022350845222,5.241497152845027,0.0,0.0,20,0.12269938650306748,19,0.1165644171779141,163,9,0.05521472392638037,549,0.2445307125627703,0.2731897201444821
121,5781008e298f68f6,163,977,816,0.8352098259979529,773,43,0.044012282497441144,90,1603,0.24444444444444444,0.13793103448275862,19,0.1165644171779141,22,0.13496932515337423,163,8,0.049079754601226995,549,4.6871165644171775,5.306748466257669,0.8888888888888888,0.8275862068965517,6,0.03680981595092025,10,0.06134969325153374,163,77,0.4723926380368098,1537,3.1349693251533743,3.1717791411042944,0.0,0.0,19,0.1165644171779141,20,0.12269938650306748,163,16,0.09815950920245399,663,0.1344997672914327,0.14555950120960787,0.0,0.0,22,0.13496932515337423,22,0.13496932515337423,163,8,0.049079754601226995,549,4.404802604209984,5.241497152845027,0.0,0.0,21,0.12883435582822086,23,0.1411042944785276,163,8,0.049079754601226995,549,0.24640704292657623,0.2731897201444821
122,0b5c725836503ba3,163,977,816,0.8352098259979529,774,42,0.042988741044012284,88,1601,0.20689655172413793,0.07142857142857142,13,0.07975460122699386,13,0.07975460122699386,163,8,0.049079754601226995,549,4.9079754601226995,5.306748466257669,0.8735632183908046,0.8214285714285714,5,0.03067484662576687,8,0.049079754601226995,163,77,0.4723926380368098,1537,3.1349693251533743,3.1717791411042944,0.0,0.0,16,0.09815950920245399,18,0.11042944785276074,163,15,0.09202453987730061,657,0.13543665766656793,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,8,0.049079754601226995,549,4.866601540136775,5.241497152845027,0.0,0.0,19,0.1165644171779141,21,0.12883435582822086,163,8,0.049079754601226995,549,0.24853543130588548,0.2731897201444821
123,67dea7731608954e,163,977,816,0.8352098259979529,772,44,0.04503582395087001,88,1596,0.2222222222222222,0.13333333333333333,18,0.11042944785276074,19,0.1165644171779141,163,9,0.05521472392638037,549,4.668711656441718,5.288343558282208,0.8555555555555555,0.8,6,0.03680981595092025,6,0.03680981595092025,163,29,0.17791411042944785,797,3.128834355828221,3.1717791411042944,0.0,0.0,16,0.09815950920245399,16,0.09815950920245399,163,8,0.049079754601226995,549,0.13359928025386833,0.14555950120960787,0.0,0.0,20,0.12269938650306748,20,0.12269938650306748,163,9,0.05521472392638037,549,4.911877677215741,5.241497152845027,0.0,0.0,19,0.1165644171779141,18,0.11042944785276074,163,9,0.05521472392638037,549,0.24968389720820125,0.2731897201444821
124,2ed61ab59766ed5a,163,977,818,0.8372569089048106,775,43,0.044012282497441144,89,1604,0.2247191011235955,0.10344827586206896,18,0.11042944785276074,20,0.12269938650306748,163,8,0.049079754601226995,549,4.828220858895706,5.306748466257669,0.8764044943820225,0.8275862068965517,8,0.049079754601226995,14,0.08588957055214724,163,29,0.17791411042944785,797,3.1165644171779143,3.1717791411042944,0.0,0.0,24,0.147239263803681,27,0.1656441717791411,163,15,0.09202453987730061,657,0.12453505324775625,0.14555950120960787,0.0,0.0,13,0.07975460122699386,15,0.09202453987730061,163,8,0.049079754601226995,549,4.932757339366619,5.241497152845027,0.0,0.0,24,0.147239263803681,28,0.17177914110429449,163,8,0.049079754601226995,549,0.23863515583516196,0.2731897201444821
125,24a452fa50086631,163,977,817,0.8362333674513818,775,42,0.042988741044012284,88,1603,0.20689655172413793,0.07142857142857142,17,0.10429447852760736,18,0.11042944785276074,163,8,0.049079754601226995,549,4.754601226993865,5.306748466257669,0.8735632183908046,0.8214285714285714,7,0.04294478527607362,14,0.08588957055214724,163,29,0.17791411042944785,797,3.1226993865030677,3.1717791411042944,0.0,0.0,18,0.11042944785276074,21,0.12883435582822086,163,15,0.09202453987730061,657,0.13066040358301098,0.14555950120960787,0.0,0.0,18,0.11042944785276074,20,0.12269938650306748,163,8,0.049079754601226995,549,4.919191099700361,5.241497152845027,0.0,0.0,19,0.1165644171779141,22,0.13496932515337423,163,8,0.049079754601226995,549,0.24584884710023683,0.2731897201444821
126,daf07f7b5661322b,163,977,815,0.834186284544524,771,44,0.04503582395087001,91,1597,0.2608695652173913,0.16666666666666666,17,0.10429447852760736,20,0.12269938650306748,163,25,0.15337423312883436,779,4.828220858895706,5.288343558282208,0.8695652173913043,0.8,5,0.03067484662576687,7,0.04294478527607362,163,29,0.17791411042944785,797,3.1349693251533743,3.1717791411042944,0.0,0.0,20,0.12269938650306748,20,0.12269938650306748,163,8,0.049079754601226995,549,0.12825306086369054,0.14555950120960787,0.0,0.0,13,0.07975460122699386,14,0.08588957055214724,163,76,0.4662576687116564,1449,4.8934201079665645,5.241497152845027,0.0,0.0,18,0.11042944785276074,19,0.1165644171779141,163,15,0.09202453987730061,657,0.24491630091675012,0.2731897201444821
127,8b39710e695afb5d,163,977,817,0.8362333674513818,774,43,0.044012282497441144,87,1601,0.20454545454545456,0.10344827586206896,16,0.09815950920245399,17,0.10429447852760736,163,8,0.049079754601226995,549,4.822085889570552,5.306748466257669,0.875,0.8275862068965517,8,0.049079754601226995,10,0.06134969325153374,163,29,0.17791411042944785,797,3.1104294478527605,3.1717791411042944,0.0,0.0,16,0.09815950920245399,19,0.1165644171779141,163,15,0.09202453987730061,657,0.13370775295216802,0.14555950120960787,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,8,0.049079754601226995,549,4.483400663369063,5.241497152845027,0.0,0.0,20,0.12269938650306748,22,0.13496932515337423,163,8,0.049079754601226995,549,0.2447022360057313,0.2731897201444821
128,e17ea9ce0dd9cc47,163,977,815,0.834186284544524,772,43,0.044012282497441144,89,1598,0.2247191011235955,0.10344827586206896,21,0.12883435582822086,22,0.13496932515337423,163,9,0.05521472392638037,549,4.668711656441718,5.306748466257669,0.8764044943820225,0.8275862068965517,5,0.03067484662576687,9,0.05521472392638037,163,86,0.5276073619631901,1568,3.1411042944785277,3.1717791411042944,0.0,0.0,16,0.09815950920245399,19,0.1165644171779141,163,8,0.049079754601226995,549,0.13015113463431088,0.14555950120960787,0.0,0.0,18,0.11042944785276074,20,0.12269938650306748,163,9,0.05521472392638037,549,4.48879306582847,5.241497152845027,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,9,0.05521472392638037,549,0.2497266344369748,0.2731897201444821
129,b53c23ddd98716b4,163,977,816,0.8352098259979529,774,42,0.042988741044012284,87,1604,0.20689655172413793,0.07142857142857142,15,0.09202453987730061,15,0.09202453987730061,163,20,0.12269938650306748,765,4.8343558282208585,5.306748466257669,0.8735632183908046,0.8214285714285714,6,0.03680981595092025,10,0.06134969325153374,163,77,0.4723926380368098,1537,3.1226993865030677,3.1717791411042944,0.0,0.0,15,0.09202453987730061,17,0.10429447852760736,163,8,0.049079754601226995,549,0.13297605994169262,0.14555950120960787,0.0,0.0,21,0.12883435582822086,23,0.1411042944785276,163,20,0.12269938650306748,765,4.836000884845025,5.241497152845027,0.0,0.0,17,0.10429447852760736,19,0.1165644171779141,163,15,0.09202453987730061,657,0.25094423409069533,0.2731897201444821
