畫法,版本,r,抽出,保留,剔除_硬斷點,剔除_T+1停牌,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
甲,新預設_只排除過去20日,24,17365,17359,6,0,-2.4626150511882327e-06,-0.002337757871874518,-0.001116623235568494,0.0011116980054661173,133,False,False,False
甲,新預設_只排除過去20日,25,17365,17359,5,1,0.00010353833027539473,-0.0014791392387884933,-0.0010561375859957079,0.0012632142465464973,133,False,False,False
甲,新預設_只排除過去20日,26,17365,17359,5,1,-0.0009195090482479855,-0.001968400328252823,-0.002147278418327508,0.00030826032183153677,133,False,False,False
甲,新預設_只排除過去20日,27,17365,17361,3,1,-9.881153256320695e-05,-0.00103316086645161,-0.0012017637054524786,0.0010041406403260647,133,False,False,False
甲,新預設_只排除過去20日,28,17365,17361,3,1,-0.0007138030399430876,-0.0020976875497963343,-0.0018112316241231208,0.0003836255442369454,133,False,False,False
甲,新預設_只排除過去20日,29,17365,17361,3,1,-0.0016221090885437908,-0.0030758251636062023,-0.0027755357033918894,-0.00046868247369569226,133,True,False,True
甲,不排除（描述）,0,17365,17360,3,2,0.0008385268404778682,-0.001047781162072445,-0.0003477566570785341,0.0020248103380342704,133,False,False,False
甲,不排除（描述）,1,17365,17362,3,0,0.00027400482829435075,-0.0009583684572576235,-0.0008721765014192327,0.0014201861580079344,133,False,False,False
甲,不排除（描述）,2,17365,17361,4,0,-0.0005248198981847821,-0.0016118345593361325,-0.001683052922760835,0.0006334131263912707,133,False,False,False
甲,不排除（描述）,3,17365,17362,3,0,-0.0011349400326726134,-0.0020780107719294647,-0.002323532430374485,5.365236502925786e-05,133,False,False,False
甲,不排除（描述）,4,17365,17361,4,0,-0.0011327373683329926,-0.0018996306629274692,-0.002249094508866593,-1.638022779939228e-05,133,True,False,True
甲,不排除（描述）,5,17365,17360,4,1,-0.00025302112071439733,-0.0009574647142785607,-0.001304826371408498,0.0007987841299797032,133,False,False,False
甲,不排除（描述）,6,17365,17358,7,0,-0.00018698254442275794,-0.0014522488862766351,-0.0013068012515087366,0.0009328361626632206,133,False,False,False
甲,不排除（描述）,7,17365,17360,5,0,-4.872910278718275e-05,-0.0014470954265739583,-0.0011936010326790475,0.0010961428271046819,133,False,False,False
甲,不排除（描述）,8,17365,17364,1,0,-0.0009621577663620207,-0.0016466627230690388,-0.002075856202226373,0.00015154066950233132,133,False,False,False
甲,不排除（描述）,9,17365,17363,2,0,-0.0007670102823583865,-0.001583066441065234,-0.0018360823918371141,0.00030206182712034114,133,False,False,False
甲,不排除（描述）,10,17365,17361,2,2,-0.001172260917608844,-0.0014637646195884285,-0.002382297055266068,3.777522004837978e-05,133,False,False,False
甲,不排除（描述）,11,17365,17363,2,0,0.0007392581206280822,-0.0002023461730268003,-0.0003151093955852122,0.0017936256368413766,133,False,False,False
甲,不排除（描述）,12,17365,17360,5,0,-6.699540628727897e-05,-0.0014550345930265437,-0.0011525156041141194,0.0010185247915395614,133,False,False,False
甲,不排除（描述）,13,17365,17359,6,0,-0.0012040532045156666,-0.0017397325934168442,-0.002355858057410883,-5.2248351620450386e-05,133,True,False,True
甲,不排除（描述）,14,17365,17359,5,1,-0.00045175445749511206,-0.001791624105182803,-0.0014891631182002354,0.0005856542032100112,133,False,False,False
甲,不排除（描述）,15,17365,17361,3,1,3.9943818230358346e-05,-0.0017712725076442504,-0.0010976020553699584,0.0011774896918306753,133,False,False,False
甲,不排除（描述）,16,17365,17361,4,0,-0.0006412597116414206,-0.0019405222082795309,-0.001821655518551185,0.0005391360952683437,133,False,False,False
甲,不排除（描述）,17,17365,17358,7,0,0.000353967131676142,-0.0011028441917470154,-0.0007685308856056148,0.0014764651489578987,133,False,False,False
甲,不排除（描述）,18,17365,17361,3,1,-0.0006515843481527351,-0.001807037547657736,-0.0018126465528815127,0.0005094778565760425,133,False,False,False
甲,不排除（描述）,19,17365,17362,1,2,-0.00019661094220105804,-0.0014109846746193123,-0.0013659142618837924,0.0009726923774816763,133,False,False,False
甲,不排除（描述）,20,17365,17362,3,0,-2.734939969028672e-05,-0.0010353701284640162,-0.0011043798547462826,0.001049681055365709,133,False,False,False
甲,不排除（描述）,21,17365,17362,2,1,-0.0005294856380919172,-0.002041861370770403,-0.0015520871142639227,0.0004931158380800882,133,False,False,False
甲,不排除（描述）,22,17365,17365,0,0,3.8767882320931666e-05,-0.0017325205559813456,-0.001083735604889917,0.0011612713695317804,133,False,False,False
甲,不排除（描述）,23,17365,17364,1,0,0.0002447345691256926,-0.000813225437777225,-0.0009015232006619556,0.001390992338913341,133,False,False,False
甲,不排除（描述）,24,17365,17361,4,0,-0.00031423185526061796,-0.0004564946942870393,-0.0013652392255146827,0.0007367755149934467,133,False,False,False
甲,不排除（描述）,25,17365,17364,1,0,-0.0002931128064995106,-0.0009507096579176103,-0.0014502858316257656,0.0008640602186267442,133,False,False,False
甲,不排除（描述）,26,17365,17361,4,0,-0.0002037817226263081,-0.0014684853158815282,-0.001382915291387666,0.0009753518461350498,133,False,False,False
甲,不排除（描述）,27,17365,17360,5,0,0.0005007607551106839,-0.0008867447210977463,-0.0006813823298384518,0.0016829038400598196,133,False,False,False
甲,不排除（描述）,28,17365,17355,9,1,0.0008377657565456624,-0.00038632668859530164,-0.0003153027863223032,0.001990834299413628,133,False,False,False
甲,不排除（描述）,29,17365,17358,5,2,0.0008076383293569854,-0.0005832468984430707,-0.0003046890200338433,0.001919965678747814,133,False,False,False
乙,新預設_只排除過去20日,0,2227,2226,1,0,-9.23548555042304e-05,0.0005858061547569255,-0.003344901410998361,0.0031601916999899,133,False,False,False
乙,新預設_只排除過去20日,1,2227,2226,1,0,-0.000631894578908192,-0.0024230164822745155,-0.0040046084097218005,0.002740819251905417,133,False,False,False
乙,新預設_只排除過去20日,2,2227,2227,0,0,-0.002476197395384146,-0.0032975113302730133,-0.005935216296121407,0.0009828215053531149,133,False,False,False
乙,新預設_只排除過去20日,3,2227,2227,0,0,-0.0010430937360364882,-0.0011800101104886274,-0.004388890691252816,0.002302703219179839,133,False,False,False
乙,新預設_只排除過去20日,4,2227,2226,1,0,0.0018887567677403877,0.00023336622737877817,-0.0012740844938890189,0.005051598029369794,133,False,False,False
乙,新預設_只排除過去20日,5,2227,2227,0,0,-0.00026688139916336117,-0.0031572336847992405,-0.003555804198748827,0.0030220414004221044,133,False,False,False
乙,新預設_只排除過去20日,6,2227,2226,1,0,-0.0011212148612281846,-0.0037911419458271957,-0.0040692380069295535,0.0018268082844731845,133,False,False,False
乙,新預設_只排除過去20日,7,2227,2226,1,0,-0.00036342268316580243,-0.0017786851784322,-0.003722571301264089,0.0029957259349324837,133,False,False,False
乙,新預設_只排除過去20日,8,2227,2227,0,0,-0.001141653875115553,-0.000813750407307912,-0.004037582683751454,0.0017542749335203482,133,False,False,False
乙,新預設_只排除過去20日,9,2227,2225,1,1,-0.0015418813839990048,-0.0023516400983207633,-0.004315813310174296,0.0012320505421762864,133,False,False,False
乙,新預設_只排除過去20日,10,2227,2227,0,0,-0.002280328745282705,-0.0020356154165152834,-0.004984694882876332,0.0004240373923109224,133,False,False,False
乙,新預設_只排除過去20日,11,2227,2225,2,0,0.00086071793242939,-0.001917809969134144,-0.002316149760809477,0.004037585625668257,133,False,False,False
乙,新預設_只排除過去20日,12,2227,2226,1,0,0.0015670007843501478,-0.0006627303176018375,-0.0020810889743501015,0.0052150905430503975,133,False,False,False
乙,新預設_只排除過去20日,13,2227,2226,1,0,0.00032898305253088955,-0.0006400085000306498,-0.0027835835938667857,0.0034415496989285647,133,False,False,False
乙,新預設_只排除過去20日,14,2227,2227,0,0,0.00010517116916131278,-0.0020273293924773853,-0.0030159400856645943,0.00322628242398722,133,False,False,False
乙,新預設_只排除過去20日,15,2227,2227,0,0,-0.0005390334427673781,-0.0009471266590361516,-0.0038302516757356244,0.0027521847902008687,133,False,False,False
