畫法,版本,r,抽出,保留,合併掉,剔除,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
乙,同檔同月（描述）,23,2227,2208,18,1,0.0061049212427014,0.007178930942253237,0.00271838670350147,0.00949145578190133,133,True,True,False
乙,同檔同月（描述）,24,2227,2214,13,0,0.007673721422909866,0.006595930361008324,0.004053061129316159,0.011294381716503573,133,True,True,False
乙,同檔同月（描述）,25,2227,2214,13,0,0.0076677981923211755,0.006347923700260676,0.004277220746598734,0.011058375638043617,133,True,True,False
乙,同檔同月（描述）,26,2227,2210,16,1,0.004682828505597817,0.004930786957175668,0.0012767319643958363,0.008088925046799797,133,True,True,False
乙,同檔同月（描述）,27,2227,2210,16,1,0.007886799929161883,0.007511190768789439,0.004422149637581958,0.011351450220741808,133,True,True,False
乙,同檔同月（描述）,28,2227,2211,16,0,0.007460950898962281,0.00689828874088194,0.003966301072393999,0.010955600725530564,133,True,True,False
乙,同檔同月（描述）,29,2227,2210,17,0,0.006300910069407759,0.004676885609488693,0.002888930252956745,0.009712889885858772,133,True,True,False
丙,同檔同月（描述）,0,7141,6703,438,0,0.0006073383823423028,-0.001126499162175526,-0.002897191556666812,0.004111868321351418,132,False,False,False
丙,同檔同月（描述）,1,7141,6668,473,0,0.0009482955901771124,-0.0014468420732997303,-0.0028353804285883677,0.004731971608942592,132,False,False,False
丙,同檔同月（描述）,2,7141,6676,465,0,0.0011258863772061404,-0.0004123956700040829,-0.002700325653881316,0.004952098408293597,132,False,False,False
丙,同檔同月（描述）,3,7141,6663,477,1,0.0013476976074403401,-0.0006036926551908905,-0.0023849580213339905,0.00508035323621467,132,False,False,False
丙,同檔同月（描述）,4,7141,6660,481,0,0.0008354074774416263,-0.0002199365874751974,-0.003019426943947809,0.004690241898831062,132,False,False,False
丙,同檔同月（描述）,5,7141,6679,462,0,5.7430254977828765e-05,-0.0011472830658671301,-0.0035136584498980158,0.003628518959853673,131,False,False,False
丙,同檔同月（描述）,6,7141,6693,447,1,0.00042379026182710953,-0.0016615247810739323,-0.0031662622952008763,0.004013842818855095,132,False,False,False
丙,同檔同月（描述）,7,7141,6675,465,1,0.0009030298336555476,-0.001308653516069784,-0.002516634154319929,0.004322693821631024,132,False,False,False
丙,同檔同月（描述）,8,7141,6669,472,0,0.00047197714766644325,-0.0013825345467310649,-0.0032971280606504663,0.004241082355983353,131,False,False,False
丙,同檔同月（描述）,9,7141,6698,442,1,0.001102405931143398,-0.0009498309454161608,-0.0026216961563810797,0.004826508018667876,132,False,False,False
丙,同檔同月（描述）,10,7141,6695,446,0,0.001517728696878495,-0.00028867991813991134,-0.002144626171005664,0.0051800835647626544,132,False,False,False
丙,同檔同月（描述）,11,7141,6668,473,0,0.00010508065945610515,-0.001675279750245848,-0.0033641698416151155,0.003574331160527326,132,False,False,False
丙,同檔同月（描述）,12,7141,6681,460,0,0.0003100693803429771,-0.0006065197742915508,-0.0035532820789057006,0.004173420839591655,132,False,False,False
丙,同檔同月（描述）,13,7141,6665,475,1,0.0009282403907706895,-0.0005793590031643314,-0.002951348678357301,0.0048078294598986795,132,False,False,False
丙,同檔同月（描述）,14,7141,6674,467,0,0.0006389566713157173,-0.0009738953619493167,-0.0029341752240968177,0.004212088566728252,132,False,False,False
丙,同檔同月（描述）,15,7141,6680,461,0,0.0013785254750756481,-0.0009699593213787355,-0.0023914629452415712,0.005148513895392868,131,False,False,False
丙,同檔同月（描述）,16,7141,6684,457,0,0.0005463981749576759,-0.002040322233301549,-0.002954073584597643,0.004046869934512995,132,False,False,False
丙,同檔同月（描述）,17,7141,6692,448,1,0.0007669175875592201,-0.000793952540228551,-0.0034000019024588344,0.004933837077577274,131,False,False,False
丙,同檔同月（描述）,18,7141,6678,462,1,0.00040320536188805036,-0.0007289674285143504,-0.0032660325987527846,0.004072443322528886,132,False,False,False
丙,同檔同月（描述）,19,7141,6673,467,1,0.00045823527456547656,-0.0011458195277595715,-0.0033649857265253486,0.004281456275656302,132,False,False,False
丙,同檔同月（描述）,20,7141,6693,448,0,0.001746250806696918,0.0004414113554235613,-0.0017845141861472739,0.00527701579954111,132,False,False,False
丙,同檔同月（描述）,21,7141,6683,458,0,0.0008717040586921432,-0.0016393995514431617,-0.002995618165791001,0.004739026283175287,132,False,False,False
丙,同檔同月（描述）,22,7141,6704,437,0,1.4271703117962158e-05,-0.0006842833457553297,-0.003636912312285572,0.003665455718521496,132,False,False,False
丙,同檔同月（描述）,23,7141,6678,463,0,0.0012107420262392095,-0.0011357049875886007,-0.002238883465084749,0.004660367517563168,132,False,False,False
丙,同檔同月（描述）,24,7141,6702,438,1,0.00017357280768815023,-0.0015032771589889391,-0.0034691286404855957,0.003816274255861896,132,False,False,False
丙,同檔同月（描述）,25,7141,6698,443,0,0.001815950592650438,-0.0008984069140355443,-0.0019780936664074576,0.005609994851708334,132,False,False,False
丙,同檔同月（描述）,26,7141,6686,455,0,0.0002929868478892665,-0.0014211660628501628,-0.0035067766486403043,0.004092750344418837,132,False,False,False
丙,同檔同月（描述）,27,7141,6704,436,1,0.0008883351836681959,-0.0010454020530627835,-0.0026310852926787927,0.004407755660015184,132,False,False,False
丙,同檔同月（描述）,28,7141,6696,445,0,-0.0006557131016323359,-0.0037112639768737167,-0.004054444797006605,0.002743018593741933,132,False,False,False
丙,同檔同月（描述）,29,7141,6696,445,0,0.001110012665952227,-0.0009659137933325148,-0.002708976319080147,0.004929001650984601,132,False,False,False
