date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2024-11-29,00668K,國泰美國道瓊+U,twse,16.25,16.25,16.25,16.25,200,3250,0.0,down,,2,
2024-12-02,00668K,國泰美國道瓊+U,twse,16.31,16.31,16.31,16.31,200,3262,0.06,up,,2,
2024-12-03,00668K,國泰美國道瓊+U,twse,16.27,16.27,16.27,16.27,200,3254,-0.04,down,,2,
2024-12-04,00668K,國泰美國道瓊+U,twse,16.25,16.25,16.25,16.25,200,3250,-0.02,down,,2,
2024-12-05,00668K,國泰美國道瓊+U,twse,16.36,16.36,16.36,16.36,200,3272,0.11,up,,2,
2024-12-06,00668K,國泰美國道瓊+U,twse,16.27,16.27,16.27,16.27,200,3254,-0.09,down,,2,
2024-12-09,00668K,國泰美國道瓊+U,twse,16.22,16.22,16.22,16.22,200,3244,-0.05,down,,2,
2024-12-10,00668K,國泰美國道瓊+U,twse,16.14,16.14,16.14,16.14,200,3228,-0.08,down,,2,
2024-12-11,00668K,國泰美國道瓊+U,twse,16.08,16.08,16.08,16.08,200,3216,-0.06,down,,2,
2024-12-12,00668K,國泰美國道瓊+U,twse,16.04,16.04,16.04,16.04,200,3208,-0.04,down,,2,
2024-12-13,00668K,國泰美國道瓊+U,twse,15.96,15.96,15.96,15.96,200,3192,-0.08,down,,2,
2024-12-16,00668K,國泰美國道瓊+U,twse,15.92,15.92,15.92,15.92,200,3184,-0.04,down,,2,
2024-12-17,00668K,國泰美國道瓊+U,twse,15.89,15.89,15.89,15.89,200,3178,-0.03,down,,2,
2024-12-18,00668K,國泰美國道瓊+U,twse,15.79,15.79,15.79,15.79,200,3158,-0.1,down,,2,
2024-12-19,00668K,國泰美國道瓊+U,twse,15.38,15.38,15.38,15.38,200,3076,-0.41,down,,2,
2024-12-20,00668K,國泰美國道瓊+U,twse,15.38,15.38,15.38,15.38,200,3076,0.0,down,,2,
2024-12-23,00668K,國泰美國道瓊+U,twse,15.56,15.56,15.56,15.56,200,3112,0.18,up,,2,
2024-12-24,00668K,國泰美國道瓊+U,twse,15.58,15.58,15.58,15.58,200,3116,0.02,up,,2,
2024-12-25,00668K,國泰美國道瓊+U,twse,15.73,15.73,15.73,15.73,200,3146,0.15,up,,2,
2024-12-26,00668K,國泰美國道瓊+U,twse,15.72,15.72,15.72,15.72,200,3144,-0.01,down,,2,
2024-12-27,00668K,國泰美國道瓊+U,twse,15.74,15.74,15.74,15.74,200,3148,0.02,up,,2,
2024-12-30,00668K,國泰美國道瓊+U,twse,15.61,15.61,15.61,15.61,200,3122,-0.13,down,,2,
2024-12-31,00668K,國泰美國道瓊+U,twse,15.46,15.46,15.46,15.46,200,3092,-0.15,down,,2,
2025-01-02,00668K,國泰美國道瓊+U,twse,15.45,15.45,15.45,15.45,200,3090,-0.01,down,,2,
2025-01-03,00668K,國泰美國道瓊+U,twse,15.39,15.39,15.39,15.39,200,3078,-0.06,down,,2,
2025-01-06,00668K,國泰美國道瓊+U,twse,15.52,15.52,15.52,15.52,200,3104,0.13,up,,2,
2025-01-07,00668K,國泰美國道瓊+U,twse,15.51,15.51,15.51,15.51,200,3102,-0.01,down,,2,
2025-01-08,00668K,國泰美國道瓊+U,twse,15.44,15.44,15.44,15.44,200,3088,-0.07,down,,2,
2025-01-09,00668K,國泰美國道瓊+U,twse,15.48,15.48,15.48,15.48,200,3096,0.04,up,,2,
2025-01-10,00668K,國泰美國道瓊+U,twse,15.48,15.48,15.48,15.48,200,3096,0.0,down,,2,
2025-01-13,00668K,國泰美國道瓊+U,twse,15.22,15.22,15.22,15.22,200,3044,-0.26,down,,2,
2025-01-14,00668K,國泰美國道瓊+U,twse,15.36,15.36,15.36,15.36,200,3072,0.14,up,,2,
2025-01-15,00668K,國泰美國道瓊+U,twse,15.44,15.44,15.44,15.44,200,3088,0.08,up,,2,
2025-01-16,00668K,國泰美國道瓊+U,twse,15.69,15.69,15.69,15.69,200,3138,0.25,up,,2,
2025-01-17,00668K,國泰美國道瓊+U,twse,15.67,15.67,15.67,15.67,200,3134,-0.02,down,,2,
2025-01-20,00668K,國泰美國道瓊+U,twse,15.79,15.79,15.79,15.79,200,3158,0.12,up,,2,
2025-01-21,00668K,國泰美國道瓊+U,twse,15.79,15.79,15.79,15.79,200,3158,0.0,down,,2,
