date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2019-06-24,2887F,台新新光戊特二,twse,51.50,51.60,51.50,51.60,62612,3230195,0.1,,,21,
2019-06-25,2887F,台新新光戊特二,twse,51.50,51.60,51.50,51.60,77100,3977030,0.0,,,31,
2019-06-26,2887F,台新新光戊特二,twse,51.60,51.60,51.60,51.60,38642,1993862,0.0,down,,16,
2019-06-27,2887F,台新新光戊特二,twse,51.60,51.70,51.50,51.70,68009,3508660,0.1,,,34,
2019-06-28,2887F,台新新光戊特二,twse,51.60,51.60,51.50,51.60,13329,686976,-0.1,,,15,
2019-07-01,2887F,台新新光戊特二,twse,51.60,51.60,51.60,51.60,184382,9514033,0.0,down,,30,
2019-07-02,2887F,台新新光戊特二,twse,51.60,51.60,51.60,51.60,104577,5396115,0.0,down,,27,
2019-07-03,2887F,台新新光戊特二,twse,51.60,51.60,51.60,51.60,152900,7889549,0.0,down,,31,
2019-07-04,2887F,台新新光戊特二,twse,51.60,51.70,51.60,51.70,18633,961697,0.1,,,18,
2019-07-05,2887F,台新新光戊特二,twse,51.60,51.60,51.50,51.50,92697,4782792,-0.2,,,46,
2019-07-08,2887F,台新新光戊特二,twse,51.50,51.70,51.50,51.70,83932,4330375,0.2,,,57,
2019-07-09,2887F,台新新光戊特二,twse,51.60,51.80,51.60,51.80,121371,6280806,0.0,,,62,
2019-07-10,2887F,台新新光戊特二,twse,51.80,51.90,51.80,51.90,450962,23366932,0.1,,,70,
2019-07-11,2887F,台新新光戊特二,twse,51.80,52.00,51.80,52.00,56612,2937124,0.1,,,39,
2019-07-12,2887F,台新新光戊特二,twse,51.90,52.00,51.90,52.00,44517,2310780,0.0,,,25,
2019-07-15,2887F,台新新光戊特二,twse,52.00,52.10,52.00,52.10,88317,4593551,0.1,,,29,
2019-07-16,2887F,台新新光戊特二,twse,52.10,52.20,52.10,52.20,93434,4868368,0.1,,,45,
2019-07-17,2887F,台新新光戊特二,twse,52.20,52.40,52.20,52.30,147040,7692885,0.1,,,47,
2019-07-18,2887F,台新新光戊特二,twse,52.30,52.30,52.10,52.30,67721,3537192,0.0,,,28,
2019-07-19,2887F,台新新光戊特二,twse,52.30,52.30,52.20,52.20,59496,3108189,-0.1,,,31,
2019-07-22,2887F,台新新光戊特二,twse,52.20,52.20,52.00,52.20,154738,8055347,0.0,,,60,
2019-07-23,2887F,台新新光戊特二,twse,52.20,52.30,51.90,52.10,92300,4802500,-0.1,,,44,
2019-07-24,2887F,台新新光戊特二,twse,52.10,52.10,51.90,52.00,81388,4230494,-0.1,,,54,
2019-07-25,2887F,台新新光戊特二,twse,52.00,52.00,51.80,51.90,294698,15279711,-0.1,,,129,
2019-07-26,2887F,台新新光戊特二,twse,51.90,51.90,51.80,51.90,77045,3996322,0.0,,,63,
2019-07-29,2887F,台新新光戊特二,twse,51.90,52.00,51.90,52.00,133703,6947075,0.1,,,76,
2019-07-30,2887F,台新新光戊特二,twse,52.00,52.10,52.00,52.10,53139,2765028,0.1,,,34,
2019-07-31,2887F,台新新光戊特二,twse,52.00,52.20,52.00,52.20,44903,2339356,0.1,,,34,
2019-08-01,2887F,台新新光戊特二,twse,52.10,52.20,52.10,52.20,61790,3224550,0.0,,,51,
2019-08-02,2887F,台新新光戊特二,twse,52.10,52.20,52.10,52.20,88489,4614470,0.0,,,51,
2019-08-05,2887F,台新新光戊特二,twse,52.20,52.20,52.10,52.10,78445,4092180,-0.1,,,28,
2019-08-06,2887F,台新新光戊特二,twse,52.10,52.20,51.90,52.20,178163,9287389,0.1,,,104,
2019-08-07,2887F,台新新光戊特二,twse,52.20,52.40,52.20,52.30,129296,6760549,0.1,,,77,
2019-08-08,2887F,台新新光戊特二,twse,52.20,52.50,52.20,52.40,204741,10724023,0.1,,,108,
2019-08-12,2887F,台新新光戊特二,twse,52.40,52.50,52.40,52.50,181433,9519784,0.1,,,96,
2019-08-13,2887F,台新新光戊特二,twse,52.60,52.70,52.50,52.60,213569,11231272,0.1,,,67,
2019-08-14,2887F,台新新光戊特二,twse,52.60,52.90,52.60,52.70,210057,11090898,0.1,,,94,
2019-08-15,2887F,台新新光戊特二,twse,52.80,52.90,52.70,52.80,249893,13196046,0.1,,,89,
2019-08-16,2887F,台新新光戊特二,twse,52.90,53.00,52.80,52.90,394554,20859948,0.1,,,97,
2019-08-19,2887F,台新新光戊特二,twse,52.90,53.00,52.80,52.90,351238,18591917,0.0,,,113,
2019-08-20,2887F,台新新光戊特二,twse,52.90,53.00,52.90,53.00,466261,24668696,0.1,,,114,
2019-08-21,2887F,台新新光戊特二,twse,53.00,53.20,52.90,53.10,684390,36312670,0.1,,,148,
2019-08-22,2887F,台新新光戊特二,twse,53.20,53.20,53.10,53.20,369993,19663826,0.1,,,98,
2019-08-23,2887F,台新新光戊特二,twse,53.20,53.60,53.20,53.40,297505,15876312,0.2,,,138,
2019-08-26,2887F,台新新光戊特二,twse,53.30,53.50,53.30,53.50,243000,12985500,0.1,,,112,
2019-08-27,2887F,台新新光戊特二,twse,53.50,53.60,53.50,53.60,360438,19301028,0.1,,,129,
2019-08-28,2887F,台新新光戊特二,twse,53.50,53.70,53.50,53.70,381610,20458992,0.1,,,102,
2019-08-29,2887F,台新新光戊特二,twse,53.70,53.70,53.60,53.70,104202,5593824,0.0,,,68,
2019-08-30,2887F,台新新光戊特二,twse,53.70,53.70,53.60,53.60,111657,5991978,-0.1,,,88,
2019-09-02,2887F,台新新光戊特二,twse,53.60,53.60,53.50,53.60,129336,6931608,0.0,,,74,
2019-09-03,2887F,台新新光戊特二,twse,53.50,53.70,53.50,53.70,114080,6111771,0.1,,,71,
2019-09-04,2887F,台新新光戊特二,twse,53.70,53.70,53.60,53.70,125554,6742147,0.0,,,103,
2019-09-05,2887F,台新新光戊特二,twse,53.70,53.70,53.60,53.70,168533,9047563,0.0,,,132,
2019-09-06,2887F,台新新光戊特二,twse,53.70,53.70,53.60,53.70,113978,6117715,0.0,,,87,
