date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2026-06-08,00986D,主動復華金融債息,tpex,14.68,14.79,14.68,14.75,745000,10995570,-0.04,,181177000,51,
2026-06-09,00986D,主動復華金融債息,tpex,14.70,14.77,14.70,14.74,626000,9225210,-0.01,,179677000,80,
2026-06-10,00986D,主動復華金融債息,tpex,14.80,14.80,14.73,14.73,2284000,33694210,-0.01,,174677000,56,
2026-06-11,00986D,主動復華金融債息,tpex,14.73,14.79,14.73,14.78,1592000,23519740,0.05,,173677000,68,
2026-06-12,00986D,主動復華金融債息,tpex,14.78,14.83,14.77,14.83,1312000,19429350,0.05,,168677000,82,
2026-06-15,00986D,主動復華金融債息,tpex,14.83,14.83,14.78,14.80,1141000,16892500,-0.03,,166177000,119,
2026-06-16,00986D,主動復華金融債息,tpex,14.82,14.85,14.82,14.83,1503000,22283460,0.03,,165177000,98,
2026-06-17,00986D,主動復華金融債息,tpex,14.79,14.79,14.76,14.78,785000,11604020,,,163677000,64,
2026-06-18,00986D,主動復華金融債息,tpex,14.77,14.77,14.73,14.75,1559000,22983390,-0.03,,163677000,122,
2026-06-22,00986D,主動復華金融債息,tpex,14.72,14.79,14.72,14.76,1085000,16019500,0.01,,163677000,84,
2026-06-23,00986D,主動復華金融債息,tpex,14.76,14.76,14.72,14.74,380000,5601690,-0.02,,163677000,55,
2026-06-24,00986D,主動復華金融債息,tpex,14.79,14.81,14.77,14.80,1129000,16698670,0.06,,163677000,94,
2026-06-25,00986D,主動復華金融債息,tpex,14.84,14.92,14.84,14.90,880000,13111500,0.10,,163677000,113,
2026-06-26,00986D,主動復華金融債息,tpex,14.90,14.92,14.88,14.89,1343000,19997350,-0.01,,162177000,116,
2026-06-29,00986D,主動復華金融債息,tpex,14.90,14.94,14.90,14.94,1015000,15141410,0.05,,162177000,71,
2026-06-30,00986D,主動復華金融債息,tpex,14.94,14.97,14.94,14.96,534000,7988430,0.02,,158677000,55,
2026-07-01,00986D,主動復華金融債息,tpex,14.89,14.89,14.85,14.88,1493000,22196630,-0.08,,158677000,71,
2026-07-02,00986D,主動復華金融債息,tpex,14.87,14.87,14.84,14.84,316000,4691820,-0.04,,157177000,71,
2026-07-03,00986D,主動復華金融債息,tpex,14.84,14.91,14.84,14.90,730000,10866600,0.06,,157177000,56,
2026-07-06,00986D,主動復華金融債息,tpex,14.90,14.95,14.90,14.93,1432000,21383160,0.03,,157177000,96,
2026-07-07,00986D,主動復華金融債息,tpex,14.93,14.93,14.90,14.91,276000,4115980,-0.02,,157177000,37,
2026-07-08,00986D,主動復華金融債息,tpex,14.91,14.91,14.81,14.85,469000,6969710,-0.06,,157177000,81,
2026-07-09,00986D,主動復華金融債息,tpex,14.85,14.85,14.81,14.82,264000,3912850,-0.03,,157177000,47,
2026-07-13,00986D,主動復華金融債息,tpex,14.85,14.85,14.82,14.83,770000,11418500,0.01,,157177000,63,
2026-07-14,00986D,主動復華金融債息,tpex,14.84,14.84,14.80,14.80,1479000,21910270,-0.03,,157177000,97,
2026-07-15,00986D,主動復華金融債息,tpex,14.80,14.83,14.79,14.80,1251000,18511290,0.00,,157177000,79,
2026-07-16,00986D,主動復華金融債息,tpex,14.80,14.83,14.80,14.82,2644000,39182650,0.02,,157177000,76,
2026-07-17,00986D,主動復華金融債息,tpex,14.83,14.86,14.82,14.84,2935000,43555530,0.02,,157177000,189,
2026-07-20,00986D,主動復華金融債息,tpex,14.84,14.91,14.84,14.90,1169000,17395150,0.06,,157177000,111,
2026-07-21,00986D,主動復華金融債息,tpex,14.84,14.84,14.79,14.79,598000,8854660,,,154677000,65,
