period,market,url,self_period,rows,distinct_codes,no_sector
2008-12,tpex,t21sc03_97_12.html,97年12月,957,546,0
2008-12,twse,t21sc03_97_12.html,97年12月,1133,741,0
2009-01,tpex,t21sc03_98_1.html,98年1月,956,544,0
2009-01,twse,t21sc03_98_1.html,98年1月,1132,740,0
2009-02,tpex,t21sc03_98_2.html,98年2月,960,547,0
2009-02,twse,t21sc03_98_2.html,98年2月,1132,740,0
2009-03,tpex,t21sc03_98_3.html,98年3月,961,548,0
2009-03,twse,t21sc03_98_3.html,98年3月,1129,739,0
2009-04,tpex,t21sc03_98_4.html,98年4月,964,550,0
2009-04,twse,t21sc03_98_4.html,98年4月,1128,738,0
2009-05,tpex,t21sc03_98_5.html,98年5月,969,553,0
2009-05,twse,t21sc03_98_5.html,98年5月,1128,738,0
2009-06,tpex,t21sc03_98_6.html,98年6月,970,554,0
2009-06,twse,t21sc03_98_6.html,98年6月,1125,736,0
2009-07,tpex,t21sc03_98_7.html,98年7月,972,555,0
2009-07,twse,t21sc03_98_7.html,98年7月,1128,738,0
2009-08,tpex,t21sc03_98_8.html,98年8月,972,556,0
2009-08,twse,t21sc03_98_8.html,98年8月,1127,737,0
2009-09,tpex,t21sc03_98_9.html,98年9月,975,558,0
2009-09,twse,t21sc03_98_9.html,98年9月,1127,737,0
2009-10,tpex,t21sc03_98_10.html,98年10月,976,559,0
2009-10,twse,t21sc03_98_10.html,98年10月,1125,736,0
2009-11,tpex,t21sc03_98_11.html,98年11月,986,564,0
2009-11,twse,t21sc03_98_11.html,98年11月,1130,739,0
2009-12,tpex,t21sc03_98_12.html,98年12月,983,562,0
2009-12,twse,t21sc03_98_12.html,98年12月,1165,761,0
2010-01,tpex,t21sc03_99_1.html,99年1月,1032,588,0
2010-01,twse,t21sc03_99_1.html,99年1月,1170,762,0
2010-02,tpex,t21sc03_99_2.html,99年2月,1032,588,0
2010-02,twse,t21sc03_99_2.html,99年2月,1170,762,0
2010-03,tpex,t21sc03_99_3.html,99年3月,1035,590,0
2010-03,twse,t21sc03_99_3.html,99年3月,1175,765,0
2010-04,tpex,t21sc03_99_4.html,99年4月,1038,592,0
2010-04,twse,t21sc03_99_4.html,99年4月,1177,766,0
2010-05,tpex,t21sc03_99_5.html,99年5月,1042,594,0
2010-05,twse,t21sc03_99_5.html,99年5月,1181,768,0
2010-06,tpex,t21sc03_99_6.html,99年6月,1044,595,0
2010-06,twse,t21sc03_99_6.html,99年6月,1186,771,0
2010-07,tpex,t21sc03_99_7.html,99年7月,1046,596,0
2010-07,twse,t21sc03_99_7.html,99年7月,1188,772,0
2010-08,tpex,t21sc03_99_8.html,99年8月,1049,598,0
2010-08,twse,t21sc03_99_8.html,99年8月,1189,773,0
2010-09,tpex,t21sc03_99_9.html,99年9月,1058,603,0
2010-09,twse,t21sc03_99_9.html,99年9月,1194,776,0
2010-10,tpex,t21sc03_99_10.html,99年10月,1060,604,0
2010-10,twse,t21sc03_99_10.html,99年10月,1196,777,0
2010-11,tpex,t21sc03_99_11.html,99年11月,1060,604,0
2010-11,twse,t21sc03_99_11.html,99年11月,1198,779,0
2010-12,tpex,t21sc03_99_12.html,99年12月,1064,607,0
2010-12,twse,t21sc03_99_12.html,99年12月,1199,779,0
2011-01,tpex,t21sc03_100_1.html,100年1月,1062,606,0
2011-01,twse,t21sc03_100_1.html,100年1月,783,783,0
2011-02,tpex,t21sc03_100_2.html,100年2月,1066,608,0
2011-02,twse,t21sc03_100_2.html,100年2月,789,789,0
2011-03,tpex,t21sc03_100_3.html,100年3月,1067,609,0
2011-03,twse,t21sc03_100_3.html,100年3月,1206,785,0
2011-04,tpex,t21sc03_100_4.html,100年4月,1073,612,0
2011-04,twse,t21sc03_100_4.html,100年4月,1207,786,0
2011-05,tpex,t21sc03_100_5.html,100年5月,1076,614,0
2011-05,twse,t21sc03_100_5.html,100年5月,1207,786,0
2011-06,tpex,t21sc03_100_6.html,100年6月,1077,615,0
2011-06,twse,t21sc03_100_6.html,100年6月,1209,787,0
2011-07,tpex,t21sc03_100_7.html,100年7月,1090,624,0
2011-07,twse,t21sc03_100_7.html,100年7月,1213,791,0
2011-08,tpex,t21sc03_100_8.html,100年8月,1098,629,0
2011-08,twse,t21sc03_100_8.html,100年8月,1215,792,0
2011-09,tpex,t21sc03_100_9.html,100年9月,1100,630,0
2011-09,twse,t21sc03_100_9.html,100年9月,1221,796,0
