vid,型態,H,年,n,dX̄
K08,貫穿線,60,2018,281,0.0019425668941803129
K08,貫穿線,60,2019,216,-0.01311241423067065
K08,貫穿線,60,2020,266,0.018521398669360003
K08,貫穿線,60,2021,383,-0.027302626039754776
K08,貫穿線,60,2022,305,-0.012953488283238754
K08,貫穿線,60,2023,175,0.015429505062524544
K08,貫穿線,60,2024,246,-0.003696449629059089
K08,貫穿線,60,2025,226,0.014172887485935443
K08,貫穿線,60,2026,60,-0.05955641021336676
K08,貫穿線,120,2017,151,-0.014027255402474733
K08,貫穿線,120,2018,275,-0.01051604282178632
K08,貫穿線,120,2019,208,-0.013390606703430277
K08,貫穿線,120,2020,264,0.026050193657458937
K08,貫穿線,120,2021,382,-0.052449717917964184
K08,貫穿線,120,2022,301,-0.030848954549590885
K08,貫穿線,120,2023,174,-0.01877299429123156
K08,貫穿線,120,2024,246,-0.01197356099721928
K08,貫穿線,120,2025,224,0.009083344463857732
K08,貫穿線,120,2026,15,-0.07404539208849087
K09,三明治線,20,2017,1824,-0.0006581412538194309
K09,三明治線,20,2018,1767,0.0013950761314115443
K09,三明治線,20,2019,1760,0.001994442032597767
K09,三明治線,20,2020,1496,0.000375021998947502
K09,三明治線,20,2021,1786,0.0031439694951270174
K09,三明治線,20,2022,1655,0.00268709598140747
K09,三明治線,20,2023,1856,0.0026210469439347226
K09,三明治線,20,2024,2219,-0.0003685050209353193
K09,三明治線,20,2025,1919,-0.002554564905665434
K09,三明治線,20,2026,985,-0.0002528535204726058
K09,三明治線,60,2017,1812,0.0022735234081849337
K09,三明治線,60,2018,1751,0.004962667062217795
K09,三明治線,60,2019,1752,0.005191505492349233
K09,三明治線,60,2020,1487,-0.010119778282948046
K09,三明治線,60,2021,1783,0.00570221424604093
K09,三明治線,60,2022,1643,0.0035635710838266854
K09,三明治線,60,2023,1848,0.0021344855497983694
K09,三明治線,60,2024,2216,0.0002799152715164934
K09,三明治線,60,2025,1912,-0.0037530867862967886
K09,三明治線,60,2026,738,-0.0016201752355886588
K09,三明治線,120,2017,1795,0.005515767749729362
K09,三明治線,120,2018,1738,0.0051098033557440215
K09,三明治線,120,2019,1737,0.004532372829273877
K09,三明治線,120,2020,1475,-0.017522057531770163
K09,三明治線,120,2021,1773,0.012050198037635783
K09,三明治線,120,2022,1626,0.004143213807806777
K09,三明治線,120,2023,1842,0.007853477688238726
K09,三明治線,120,2024,2208,0.006519493692628546
K09,三明治線,120,2025,1901,-0.006061948259318591
K09,三明治線,120,2026,289,-0.06954134981754644
K10,Thrusting,20,2017,365,-0.0038862830870665566
K10,Thrusting,20,2018,579,-0.005421671609251485
K10,Thrusting,20,2019,525,0.006252924742598813
K10,Thrusting,20,2020,620,0.0039943567515780135
K10,Thrusting,20,2021,692,0.001193588617094207
K10,Thrusting,20,2022,841,-0.004551710615813732
K10,Thrusting,20,2023,493,-0.0002369576511701802
K10,Thrusting,20,2024,582,0.008194658955469107
K10,Thrusting,20,2025,619,-0.0026477854947198945
K10,Thrusting,20,2026,306,-0.009488100800018905
K10,Thrusting,60,2017,361,0.006789508263587523
K10,Thrusting,60,2018,578,-0.008079698655619846
K10,Thrusting,60,2019,522,0.0062392974326455075
K10,Thrusting,60,2020,617,0.0023630759444679566
K10,Thrusting,60,2021,684,0.010280312152412338
K10,Thrusting,60,2022,836,-0.017838163588113878
K10,Thrusting,60,2023,489,-0.007787948843443525
K10,Thrusting,60,2024,582,0.007443774592579519
K10,Thrusting,60,2025,618,-0.00413329348191617
K10,Thrusting,60,2026,186,0.005193628325630637
K10,Thrusting,120,2017,355,-0.024711481663329538
K10,Thrusting,120,2018,575,-0.013340483012742566
K10,Thrusting,120,2019,516,0.010981523902809263
K10,Thrusting,120,2020,613,-0.00637129096611809
K10,Thrusting,120,2021,678,-0.011906073108139644
K10,Thrusting,120,2022,823,-0.030042396416294186
K10,Thrusting,120,2023,488,0.01422896097737847
K10,Thrusting,120,2024,575,-0.011927376072327618
K10,Thrusting,120,2025,610,0.005411773111826088
K10,Thrusting,120,2026,65,0.030584098059350754
K11,空頭會合線,20,2017,274,-0.0036417871592841927
K11,空頭會合線,20,2018,244,0.00200839691206274
K11,空頭會合線,20,2019,388,-0.0012772951796059552
K11,空頭會合線,20,2020,295,0.003746780446015375
K11,空頭會合線,20,2021,311,-0.0011009828867841157
K11,空頭會合線,20,2022,201,0.011497304191784503
K11,空頭會合線,20,2023,331,0.0018391774020946306
K11,空頭會合線,20,2024,231,-0.00554198845860887
K11,空頭會合線,20,2025,197,-0.0014102291223991974
K11,空頭會合線,20,2026,122,-0.0025862489543503546
K11,空頭會合線,60,2017,272,0.0053251383664095825
K11,空頭會合線,60,2018,243,0.016975825835991956
K11,空頭會合線,60,2019,383,0.004634799829311952
K11,空頭會合線,60,2020,293,-0.01706693460101133
K11,空頭會合線,60,2021,308,0.019480545336529622
K11,空頭會合線,60,2022,200,0.008115621162051348
K11,空頭會合線,60,2023,330,-0.006993174278080129
K11,空頭會合線,60,2024,230,0.005428770472153895
K11,空頭會合線,60,2025,196,-0.01054295663809024
K11,空頭會合線,60,2026,75,-0.048954047210111686
K11,空頭會合線,120,2017,268,0.03988252662981312
K11,空頭會合線,120,2018,241,0.021680602028162296
K11,空頭會合線,120,2019,383,-0.012078443373098281
K11,空頭會合線,120,2020,291,-0.03820573631221073
K11,空頭會合線,120,2021,306,0.033443562359754576
K11,空頭會合線,120,2022,197,0.0077246689940314115
K11,空頭會合線,120,2023,330,0.0019765568600073817
K11,空頭會合線,120,2024,228,0.01894248580552133
K11,空頭會合線,120,2025,196,-0.055702747602022325
K11,空頭會合線,120,2026,28,-0.09846333360626366
K12,In Neck,20,2017,307,0.0029037294269527313
K12,In Neck,20,2018,448,-0.0020115126862229877
K12,In Neck,20,2019,390,0.004243438975079692
K12,In Neck,20,2020,414,-0.009818258573324596
K12,In Neck,20,2021,379,0.0020541435398167404
K12,In Neck,20,2022,583,0.00021980601512989765
K12,In Neck,20,2023,337,0.004581031544922957
K12,In Neck,20,2024,376,0.002443730123499333
K12,In Neck,20,2025,459,0.004414001086353924
K12,In Neck,20,2026,247,-0.002491112973790573
K12,In Neck,60,2017,304,0.01580241350502795
K12,In Neck,60,2018,441,-0.010393351010019366
K12,In Neck,60,2019,385,0.001687915444217696
K12,In Neck,60,2020,413,0.008943196371061373
K12,In Neck,60,2021,377,-0.0005703012918069146
K12,In Neck,60,2022,581,0.01029770408575091
K12,In Neck,60,2023,336,0.011245683801760158
K12,In Neck,60,2024,375,-0.0024259211282756563
K12,In Neck,60,2025,456,0.006877905976443282
K12,In Neck,60,2026,156,-0.009251199977380239
K12,In Neck,120,2017,294,0.00547736486353342
K12,In Neck,120,2018,434,-0.00896392580141714
K12,In Neck,120,2019,378,-0.013122079846436123
K12,In Neck,120,2020,409,0.03851975588147054
K12,In Neck,120,2021,373,-0.016720109076089628
K12,In Neck,120,2022,574,0.013344442601137717
K12,In Neck,120,2023,330,0.011760650837186772
K12,In Neck,120,2024,372,-0.011549316236442874
K12,In Neck,120,2025,449,0.024168846755586698
K12,In Neck,120,2026,48,0.025340363271385447
K13,多頭會合線,20,2017,110,-0.012976912108544618
K13,多頭會合線,20,2018,190,0.0064877006629997175
K13,多頭會合線,20,2019,177,0.003914451702322097
K13,多頭會合線,20,2020,206,-0.00013809860610205978
K13,多頭會合線,20,2021,124,0.00826131908546127
K13,多頭會合線,20,2022,184,0.0022805785648899375
K13,多頭會合線,20,2023,97,-0.003946167817162279
K13,多頭會合線,20,2024,100,0.0013581431792226107
K13,多頭會合線,20,2025,117,0.009528886560372372
K13,多頭會合線,20,2026,59,-0.0022716398932442084
K13,多頭會合線,60,2017,109,-0.014602210118292294
K13,多頭會合線,60,2018,186,0.0034549088214528207
K13,多頭會合線,60,2019,175,0.01884853947274782
K13,多頭會合線,60,2020,206,-0.013546487016060826
K13,多頭會合線,60,2021,122,0.0189375561962674
K13,多頭會合線,60,2022,183,0.0003778646686332645
K13,多頭會合線,60,2023,95,0.0003079998728997822
K13,多頭會合線,60,2024,100,0.009633967800836852
K13,多頭會合線,60,2025,115,0.021623216576453008
K13,多頭會合線,60,2026,47,-0.01863361506805159
K13,多頭會合線,120,2017,105,-0.025158549593428035
K13,多頭會合線,120,2018,185,-0.01567581431350939
K13,多頭會合線,120,2019,171,0.04183039947362249
K13,多頭會合線,120,2020,206,-0.02407605746307085
K13,多頭會合線,120,2021,120,0.026997850820879254
K13,多頭會合線,120,2022,182,-0.010896098045047951
K13,多頭會合線,120,2023,94,-0.028211443273088666
K13,多頭會合線,120,2024,98,0.033196395692211035
K13,多頭會合線,120,2025,113,-0.010655426458872878
K13,多頭會合線,120,2026,16,-0.032650300443147776
K14,長黑日,20,2017,6238,0.0008606319756691309
K14,長黑日,20,2018,7802,0.001913961809168412
K14,長黑日,20,2019,6820,0.0029459260667255398
K14,長黑日,20,2020,7950,-0.0009596896259366876
K14,長黑日,20,2021,7596,0.0023012585646313964
K14,長黑日,20,2022,8364,0.0016230911797521323
K14,長黑日,20,2023,7378,0.0019015202762515393
K14,長黑日,20,2024,8210,0.00571511259239829
K14,長黑日,20,2025,8340,-0.001496421620770206
K14,長黑日,20,2026,4682,0.005213765129585649
K14,長黑日,60,2017,6166,0.004298859645632766
K14,長黑日,60,2018,7719,0.004212569524998561
K14,長黑日,60,2019,6749,0.0064356750520428874
K14,長黑日,60,2020,7879,0.0003827263401065759
K14,長黑日,60,2021,7536,0.007587441475665681
K14,長黑日,60,2022,8280,0.00036912997091177496
K14,長黑日,60,2023,7333,0.002819294966558536
K14,長黑日,60,2024,8174,0.009689350569472245
K14,長黑日,60,2025,8287,0.0001271256182928898
K14,長黑日,60,2026,3575,0.006412815863565117
K14,長黑日,120,2017,6073,0.0003066750003522041
K14,長黑日,120,2018,7600,0.0055636356240102176
K14,長黑日,120,2019,6667,0.010714895880696467
K14,長黑日,120,2020,7807,0.0019661265424824447
K14,長黑日,120,2021,7447,0.010920784370711782
K14,長黑日,120,2022,8174,-0.0007261002670724354
K14,長黑日,120,2023,7286,0.0031142196622396005
K14,長黑日,120,2024,8117,0.01037046705195384
K14,長黑日,120,2025,8228,0.0005186024541795649
K14,長黑日,120,2026,1210,-0.006143228175664821
K15,歸巢鴿,20,2017,1735,-0.0009341080917891031
K15,歸巢鴿,20,2018,2368,0.0005644642443234255
K15,歸巢鴿,20,2019,1782,0.0018346375552997728
K15,歸巢鴿,20,2020,1667,0.005927050794151531
K15,歸巢鴿,20,2021,1887,0.0017137553564150554
K15,歸巢鴿,20,2022,3082,0.0012490812411731394
K15,歸巢鴿,20,2023,1911,-0.0021399112004483645
K15,歸巢鴿,20,2024,2364,0.0007050974933964732
K15,歸巢鴿,20,2025,2618,-0.0013095407705176008
K15,歸巢鴿,20,2026,1542,-0.0035120252908221487
K15,歸巢鴿,60,2017,1720,-0.0073939432120849686
K15,歸巢鴿,60,2018,2350,-0.0008472467828477941
K15,歸巢鴿,60,2019,1768,0.0032853448781860342
K15,歸巢鴿,60,2020,1656,0.00498764992013201
K15,歸巢鴿,60,2021,1873,0.0026812240320774837
K15,歸巢鴿,60,2022,3056,-0.0007730848435571944
K15,歸巢鴿,60,2023,1901,-0.0017250463458825206
K15,歸巢鴿,60,2024,2356,-0.0005118280001103079
K15,歸巢鴿,60,2025,2610,-0.00011922209023657485
K15,歸巢鴿,60,2026,1176,-0.01471442250628048
K15,歸巢鴿,120,2017,1704,-0.01167867652133525
K15,歸巢鴿,120,2018,2329,-0.006163817457960538
K15,歸巢鴿,120,2019,1744,0.0059976172150844565
K15,歸巢鴿,120,2020,1643,0.02091871891778077
K15,歸巢鴿,120,2021,1853,-0.0004762936165142045
K15,歸巢鴿,120,2022,3034,-0.0021763990283068316
K15,歸巢鴿,120,2023,1890,-0.008589200744245367
K15,歸巢鴿,120,2024,2342,-0.006850409646457268
K15,歸巢鴿,120,2025,2597,-0.012832668758172051
K15,歸巢鴿,120,2026,382,-0.038128939657655285
K16,烏雲蓋頂,20,2017,421,0.007688318278439701
K16,烏雲蓋頂,20,2018,489,0.0029745929222278296
K16,烏雲蓋頂,20,2019,547,-0.0036174284154913126
K16,烏雲蓋頂,20,2020,756,-0.004805793255632913
K16,烏雲蓋頂,20,2021,803,0.0036167371374629964
K16,烏雲蓋頂,20,2022,556,0.00414747311119843
K16,烏雲蓋頂,20,2023,617,-0.004874555576854757
K16,烏雲蓋頂,20,2024,691,0.015949821837512874
K16,烏雲蓋頂,20,2025,658,-0.0025631739586462346
K16,烏雲蓋頂,20,2026,457,-0.0019772673559588054
K16,烏雲蓋頂,60,2017,417,0.012014396190054216
K16,烏雲蓋頂,60,2018,485,-0.0036666650177692175
K16,烏雲蓋頂,60,2019,542,-0.0063158223187016185
K16,烏雲蓋頂,60,2020,748,-0.0024666106399819907
K16,烏雲蓋頂,60,2021,801,0.0011849250900893935
K16,烏雲蓋頂,60,2022,550,0.007410285904842868
K16,烏雲蓋頂,60,2023,614,-0.006908798545285699
K16,烏雲蓋頂,60,2024,690,0.011207813264678356
K16,烏雲蓋頂,60,2025,654,-0.013246395036358737
K16,烏雲蓋頂,60,2026,329,-0.014285343556977902
K16,烏雲蓋頂,120,2017,408,-0.009519836379525824
K16,烏雲蓋頂,120,2018,478,0.014545728198073943
K16,烏雲蓋頂,120,2019,539,0.00029028390399289027
K16,烏雲蓋頂,120,2020,742,-0.004840378284697172
K16,烏雲蓋頂,120,2021,794,0.004152776932708559
K16,烏雲蓋頂,120,2022,541,0.00215133287387281
K16,烏雲蓋頂,120,2023,610,-0.019171845850407737
K16,烏雲蓋頂,120,2024,690,0.020003187340218297
K16,烏雲蓋頂,120,2025,650,-0.010472547159566466
K16,烏雲蓋頂,120,2026,112,-0.10285661724692262
K17,十字晨星,20,2017,23,-0.004170486393740736
K17,十字晨星,20,2018,30,-0.007366472208443322
K17,十字晨星,20,2019,24,-0.010768193003651028
K17,十字晨星,20,2020,39,-0.033697162987028996
K17,十字晨星,20,2021,36,-0.02108597016641744
K17,十字晨星,20,2022,46,-0.005395555769304165
K17,十字晨星,20,2023,19,0.06858036762373569
K17,十字晨星,20,2024,47,-0.023354745193943333
K17,十字晨星,20,2025,64,0.0324321674898692
K17,十字晨星,20,2026,17,-0.04135432877791572
K17,十字晨星,60,2017,23,-0.002891285516519432
K17,十字晨星,60,2018,30,-0.03242789567774932
K17,十字晨星,60,2019,24,-0.026701518164699938
K17,十字晨星,60,2020,39,-0.029830720214379082
K17,十字晨星,60,2021,35,-0.05457127446314532
K17,十字晨星,60,2022,44,0.0060868987273493555
K17,十字晨星,60,2023,19,0.018241859191089272
K17,十字晨星,60,2024,47,0.017599720474016145
K17,十字晨星,60,2025,64,0.05063082349975952
K17,十字晨星,60,2026,10,-0.15174179997536938
K17,十字晨星,120,2017,23,-0.027881534753704668
K17,十字晨星,120,2018,30,0.02881435340684403
K17,十字晨星,120,2019,24,-0.0447521128587676
K17,十字晨星,120,2020,38,-0.06599539921117467
K17,十字晨星,120,2021,35,-0.11784684805682494
K17,十字晨星,120,2022,43,0.018697215980649516
K17,十字晨星,120,2023,19,0.060190413611254524
K17,十字晨星,120,2024,47,-0.0032353232961026867
K17,十字晨星,120,2025,63,0.05439234492055573
K17,十字晨星,120,2026,5,-0.06560072294878953
K18,十字昏星,20,2017,18,-0.004771509969916262
K18,十字昏星,20,2018,27,-0.015111796949132303
K18,十字昏星,20,2019,21,0.00994891786850871
K18,十字昏星,20,2020,28,0.0010000235627379355
K18,十字昏星,20,2021,28,0.02248512778828648
K18,十字昏星,20,2022,30,-0.03263191471598097
K18,十字昏星,20,2023,39,0.009837388873860091
K18,十字昏星,20,2024,26,-0.0285446952460607
K18,十字昏星,20,2025,36,-0.004004798152990012
K18,十字昏星,20,2026,30,0.0017837356661192401
K18,十字昏星,60,2017,18,-0.011952870709105877
K18,十字昏星,60,2018,27,0.02295316206048648
K18,十字昏星,60,2019,21,0.03693141842562226
K18,十字昏星,60,2020,27,0.00783150576446174
K18,十字昏星,60,2021,28,0.05996494413995352
K18,十字昏星,60,2022,30,-0.05198695595415131
K18,十字昏星,60,2023,39,-0.009572608818862037
K18,十字昏星,60,2024,26,-0.04133977406984885
K18,十字昏星,60,2025,35,0.006220982252079086
K18,十字昏星,60,2026,18,-0.10425027992402398
K18,十字昏星,120,2017,18,-0.030314862956801945
K18,十字昏星,120,2018,26,-0.013311097684227715
