vid,型態,族,H,d,名稱方向,原始,合併後,合併掉,剔除_硬斷點,剔除_T+1停牌,剔除_T+1開盤漲停,剔除_T+1開盤跌停,保留,身分,n_eff上限,n,dX̄,中位,勝率,最差,p10,p90,se,lo,hi,群數,分群單位,bonf_lo,bonf_hi,bonf不含0,se_非重疊,lo_非重疊,hi_非重疊,非重疊區段數,n_eff,出口,結果,配對剔除數,對照數_中位,對照數_最小,X̄（未乘d）,R̄,對照R̄,只配r10_對照數_中位,配對剔除明細,未配對_dXu_n,未配對_dXu_平均,未配對_dXu_lo,未配對_dXu_hi,未配對_dXu_標籤,只配r10_dX_n,只配r10_dX_平均,只配r10_dX_lo,只配r10_dX_hi,只配r10_dX_標籤,上市_n,上市_平均,上市_lo,上市_hi,上市_標籤,上櫃_n,上櫃_平均,上櫃_lo,上櫃_hi,上櫃_標籤,假訊號_新預設_x2,假訊號_新預設_x3,假訊號_新預設_平均dX,假訊號_新預設_帳,假訊號_不排除_x2,假訊號_不排除_x3,假訊號_不排除_平均dX,假訊號_不排除_帳,120日區段數,註,句子
K04,相同低點,K,60,-1,1.0,68529,43502,25027,337,145,18,19,42983,判定格,38.0,42934.0,0.0005808275864036451,0.022547257041152707,0.5809614757534821,-3.824856536543362,-0.17837975565734487,0.17616077295318694,0.0008820846151259514,-0.0011480582592432198,0.0023097134320505096,38.0,60日區段,-0.002625715996450131,0.0037873711692574213,False,0.001001696964422052,-0.0013824984638635767,0.002544153636670867,38.0,38.0,出口②,結果①,49.0,16.0,1.0,-0.0005808275864036451,0.025971916881757998,0.02655274446816164,158.0,"{""配對格無對照股"": 49}",42934.0,0.008727000505212267,0.005074793522020763,0.01237920748840377,結果②,42982.0,0.0028879744936227895,0.0006437758114140454,0.005132173175831534,結果②,24070.0,0.000607629572636003,-0.0022226895435949806,0.0034379486888669866,結果①,18864.0,0.000546628911222726,-0.0026860674825474745,0.003779325304992927,結果①,2.0,0.0,0.0003227000630732142,"{""抽出"": 1289490, ""剔除"": 26872, ""配對格無對照股"": 1264, ""可抽日不足"": 0, ""錨點不可算"": 0}",8.0,0.0,0.0009619227798066879,"{""抽出"": 1289490, ""剔除"": 22764, ""配對格無對照股"": 1258, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：相同低點之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.06%，95% CI -0.11% ～ +0.23%）
K04,相同低點,K,120,-1,1.0,66457,42230,24227,684,134,17,19,41376,H120 描述,,41325.0,-0.0022531740985719615,0.04113913591965082,0.5924742891712039,-5.899619476220932,-0.2839866434559406,0.2718797415135156,,,,,,,,,,,,,,,H120描述,51.0,15.0,1.0,0.0022531740985719615,0.06329628430124033,0.061043110202668366,156.0,"{""配對格無對照股"": 51}",41325.0,0.012168280034282294,,,,41375.0,0.0026294648168489394,,,,23187.0,-0.002493341430212187,,,,18138.0,-0.0019461523807010877,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,相同低點（H120）：依構造不可判定（只描述：d×X̄ -0.23%、中位 +4.11%）
K05,跳空雙黑線,K,20,-1,-1.0,19875,16416,3459,47,68,121,44,16136,判定格,113.0,16083.0,0.0016169924300692372,0.00972384800414413,0.5579804762793011,-1.4387979570685234,-0.10539846474315098,0.1051633675799034,0.0011721451273052005,-0.0006804120194489557,0.00391439687958743,113.0,曆月,-0.0026439757034664993,0.005877960563604974,False,0.0014176968638859458,-0.0011616934231472164,0.004395678283285691,115.0,113.0,出口③,結果①,53.0,14.0,1.0,-0.0016169924300692372,0.023661250651173273,0.025278243081242508,159.0,"{""配對格無對照股"": 53}",16083.0,-0.001676904965090233,-0.005468683630709905,0.002114873700529439,結果①,16136.0,-0.004116363501880161,-0.007379402967325184,-0.0008533240364351391,結果③,8799.0,0.0034988399792229277,0.0004792927259411684,0.006518387232504687,結果②,7284.0,-0.0006562608078499458,-0.0034525873337270772,0.0021400657180271855,結果①,1.0,2.0,-0.0007281513364877942,"{""抽出"": 484080, ""剔除"": 7067, ""配對格無對照股"": 418, ""可抽日不足"": 0, ""錨點不可算"": 0}",1.0,1.0,-0.0005367481843590299,"{""抽出"": 484080, ""剔除"": 6893, ""配對格無對照股"": 431, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,跳空雙黑線之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.16%，95% CI -0.07% ～ +0.39%）
K05,跳空雙黑線,K,60,-1,-1.0,19340,15959,3381,171,63,121,41,15563,判定格,38.0,15510.0,0.0030745171242224363,0.024901296013679977,0.5799484203739523,-2.9789521203144096,-0.20008756055398547,0.20298259301061747,0.002432256179563234,-0.001692704987721502,0.007841739236166375,38.0,60日區段,-0.005767191835094696,0.01191622608353957,False,0.002277428087664806,-0.0013892419276005838,0.007538276176045456,38.0,38.0,出口②,結果①,53.0,14.0,1.0,-0.0030745171242224363,0.051457554866496336,0.05453207199071877,157.0,"{""配對格無對照股"": 53}",15510.0,0.0023558129753577036,-0.0045018783439271775,0.009213504294642584,結果①,15563.0,-0.0028476347174194406,-0.007720957822823718,0.0020256883879848364,結果①,8524.0,0.005168410020360256,-0.0007215258342559731,0.011058345874976484,結果①,6986.0,0.0005196440857628307,-0.00654095654033893,0.0075802447118645915,結果①,0.0,6.0,-0.0029510809288879484,"{""抽出"": 466890, ""剔除"": 9855, ""配對格無對照股"": 389, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,6.0,-0.0025110618651069615,"{""抽出"": 466890, ""剔除"": 9450, ""配對格無對照股"": 437, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：跳空雙黑線之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.31%，95% CI -0.17% ～ +0.78%）
K05,跳空雙黑線,K,120,-1,-1.0,18730,15468,3262,331,51,118,41,14927,H120 描述,,14875.0,0.0022737091491120574,0.044138769033678915,0.5920672268907563,-9.285395257250926,-0.3056137591457854,0.3104468043391126,,,,,,,,,,,,,,,H120描述,52.0,14.0,1.0,-0.0022737091491120574,0.08954645334327775,0.09182016249238982,155.0,"{""配對格無對照股"": 52}",14875.0,0.006146396461736654,,,,14927.0,-0.0018196330224236773,,,,8181.0,0.006225072498461224,,,,6694.0,-0.002555407008794355,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,跳空雙黑線（H120）：依構造不可判定（只描述：d×X̄ +0.23%、中位 +4.41%）
K06,空頭Breakaway,K,20,-1,-1.0,65,65,0,0,0,1,0,64,判定格,45.0,64.0,0.011674524315543458,0.024025620171795145,0.65625,-0.5171358951830085,-0.116722937006216,0.16891594573986524,0.01708422742446174,-0.021810561436401553,0.04515961006748847,45.0,曆月,-0.05042985759582245,0.07377890622690936,False,0.020089600405946925,-0.027701092480112516,0.05105014111119943,47.0,45.0,出口②,結果①,0.0,17.0,3.0,-0.011674524315543458,0.008610695040778733,0.02028521935632219,168.0,{},64.0,0.003107323322566055,-0.034418163901652386,0.04063281054678449,結果①,64.0,0.006799342355073487,-0.026987081746543327,0.0405857664566903,結果①,36.0,0.0013736041294663453,-0.03612447507232654,0.03887168333125923,結果①,28.0,0.024918564554785468,-0.04052186458750352,0.09035899369707447,樣本不足以分辨,0.0,2.0,-0.004307103831127937,"{""抽出"": 1920, ""剔除"": 16, ""配對格無對照股"": 2, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,0.0,-0.004020118044813493,"{""抽出"": 1920, ""剔除"": 16, ""配對格無對照股"": 0, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝45，介於 30 與 100 之間）：空頭Breakaway之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +1.17%，95% CI -2.18% ～ +4.52%）
K06,空頭Breakaway,K,60,-1,-1.0,63,63,0,0,0,1,0,62,依構造不可判定,29.0,,,,,,,,,,,,,,,,,,,,,,依構造不可判定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,空頭Breakaway（H60）：依構造不可判定（n_eff 上限 29.0）
K06,空頭Breakaway,K,120,-1,-1.0,62,62,0,0,0,1,0,61,H120 描述,,61.0,0.002750859774544365,0.07677655623538737,0.5901639344262295,-1.4853799615581265,-0.31171387463259836,0.2876696461345863,,,,,,,,,,,,,,,H120描述,0.0,17.0,3.0,-0.002750859774544365,0.09216020665032847,0.09491106642487286,165.0,{},61.0,-0.0202577948592837,,,,61.0,-0.010262072450115059,,,,34.0,-0.013358319278679472,,,,27.0,0.023036492656381777,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,空頭Breakaway（H120）：依構造不可判定（只描述：d×X̄ +0.28%、中位 +7.68%）
K07,晨星,K,20,1,1.0,485,485,0,3,9,0,0,473,判定格,105.0,472.0,0.0026175812558879956,-0.010240991053904205,0.4449152542372881,-0.26521746402135976,-0.10745307852421931,0.12037978942783033,0.005551108622576932,-0.00826259164436279,0.013497754156138781,105.0,曆月,-0.01756174329667402,0.02279690580845001,False,0.00672655203034455,-0.010566460723587322,0.015801623235363313,110.0,105.0,出口③,結果①,1.0,17.0,1.0,0.0026175812558879956,0.014049757645025276,0.011432176389137277,170.0,"{""配對格無對照股"": 1}",472.0,-4.386261708273446e-05,-0.01264989233439186,0.012562167100226392,結果①,473.0,0.0003882562613786056,-0.009049608540284027,0.009826121063041239,結果①,267.0,-0.006104018626325377,-0.017721950929110983,0.0055139136764602295,結果①,205.0,0.013976933297600051,-0.0024094105106589204,0.030363277105859024,結果①,1.0,0.0,0.0021084986342441697,"{""抽出"": 14190, ""剔除"": 213, ""配對格無對照股"": 11, ""可抽日不足"": 0, ""錨點不可算"": 0}",1.0,0.0,0.0014491359562954814,"{""抽出"": 14190, ""剔除"": 256, ""配對格無對照股"": 14, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,晨星之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.26%，95% CI -0.83% ～ +1.35%）
K07,晨星,K,60,1,1.0,469,469,0,6,8,0,0,455,判定格,38.0,454.0,0.006558403523691205,-0.02352587344714041,0.44273127753303965,-0.5134643786100889,-0.1975688909534796,0.20927941123335955,0.01101752947909324,-0.015035954255331545,0.028152761302713956,38.0,60日區段,-0.033492389613704446,0.04660919666108686,False,0.011693182989040877,-0.016360235134828913,0.029477042182211324,38.0,38.0,出口②,結果①,1.0,17.0,1.0,0.006558403523691205,0.04384824767683988,0.03728984415314868,168.0,"{""配對格無對照股"": 1}",454.0,0.00046509611463832,-0.02112252498098306,0.0220527172102597,結果①,455.0,0.0006605218091179525,-0.019140815819273495,0.020461859437509403,結果①,261.0,-0.007411576734665723,-0.025343453919703555,0.010520300450372107,結果①,193.0,0.025450449365303426,-0.014276314452874465,0.06517721318348133,結果①,1.0,0.0,0.004779974652808879,"{""抽出"": 13650, ""剔除"": 316, ""配對格無對照股"": 6, ""可抽日不足"": 0, ""錨點不可算"": 0}",3.0,0.0,0.00734706961861927,"{""抽出"": 13650, ""剔除"": 352, ""配對格無對照股"": 8, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：晨星之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.66%，95% CI -1.50% ～ +2.82%）
K07,晨星,K,120,1,1.0,452,452,0,10,8,0,0,434,H120 描述,,433.0,0.011784772424578281,-0.054240882161627854,0.4018475750577367,-0.8101551785937757,-0.2956336191084114,0.31934917614355113,,,,,,,,,,,,,,,H120描述,1.0,16.0,3.0,0.011784772424578281,0.10162814681090324,0.08984337438632496,166.0,"{""配對格無對照股"": 1}",433.0,0.005064108340691619,,,,434.0,0.005356057509137111,,,,248.0,-0.0015346338135803683,,,,185.0,0.029639976462758517,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,晨星（H120）：依構造不可判定（只描述：d×X̄ +1.18%、中位 -5.42%）
K08,貫穿線,K,20,1,1.0,2454,2418,36,10,23,5,2,2378,判定格,113.0,2375.0,0.0003183041931303311,-0.009645332200005297,0.44294736842105265,-0.6631655414358283,-0.10411939460965164,0.11125642439937433,0.0026366706715980942,-0.004849570323201933,0.005486178709462596,113.0,曆月,-0.009266489915204058,0.00990309830146472,False,0.003692566416183272,-0.006919125982588882,0.007555734368849544,115.0,113.0,出口③,結果①,3.0,16.0,1.0,0.0003183041931303311,0.011667014673304658,0.01134871048017433,165.0,"{""配對格無對照股"": 3}",2375.0,-0.0011287870637646587,-0.006814862855307566,0.004557288727778249,結果①,2378.0,0.0003294134176596109,-0.004533135399081254,0.005191962234400475,結果①,1274.0,0.0035088180689355113,-0.004415784556368661,0.011433420694239683,結果①,1101.0,-0.0033735347512618575,-0.010124330293276418,0.0033772607907527038,結果①,1.0,0.0,0.0013872723202524033,"{""抽出"": 71340, ""剔除"": 1135, ""配對格無對照股"": 58, ""可抽日不足"": 0, ""錨點不可算"": 0}",2.0,0.0,0.0009451151583847293,"{""抽出"": 71340, ""剔除"": 1208, ""配對格無對照股"": 60, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,貫穿線之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.03%，95% CI -0.48% ～ +0.55%）
K08,貫穿線,K,60,1,1.0,2407,2371,36,27,20,5,2,2317,判定格,38.0,2314.0,-0.004533016194955858,-0.029446186546308345,0.39714779602420053,-0.7812289787457997,-0.21111366099443352,0.19325288373501642,0.006260826964058704,-0.016804237044510915,0.0077382046545992015,38.0,60日區段,-0.027292300486626408,0.018226268096714692,False,0.007411191728017473,-0.019058951981870104,0.009992919591958388,38.0,38.0,出口②,結果①,3.0,16.0,1.0,-0.004533016194955858,0.04139723561920406,0.04593025181415991,163.0,"{""配對格無對照股"": 3}",2314.0,-0.006702557958501451,-0.01670743024227351,0.003302314325270608,結果①,2317.0,-0.0031434697069496788,-0.012518481641086687,0.006231542227187329,結果①,1241.0,-0.002713841341769033,-0.022800296721057843,0.01737261403751978,結果①,1073.0,-0.006637019916116014,-0.02125040951860232,0.007976369686370291,結果①,6.0,0.0,0.005747276429804563,"{""抽出"": 69510, ""剔除"": 1659, ""配對格無對照股"": 61, ""可抽日不足"": 0, ""錨點不可算"": 0}",5.0,0.0,0.004637788092978633,"{""抽出"": 69510, ""剔除"": 1604, ""配對格無對照股"": 58, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：貫穿線之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ -0.45%，95% CI -1.68% ～ +0.77%）
