cell,r,cagr,mdd,vol,first,end,trades,eq_sha,eq_sha64,ret_mine
1,17,0.3897347216020439,-0.37203184493706437,0.28360355612616406,526,2859,163,3dff5e8e187fac5d,3dff5e8e187fac5d0006f8ad3a66887d171cc6f55263e149fdbe82f28dfe91ff,21.355989276375887
1,18,0.44329784876785694,-0.3920102707555435,0.28957817637005767,526,2859,163,c53a2ae91b0cc673,c53a2ae91b0cc67339156320d6ba14164348d24fa9b7d8fc9b4e7fa88ae917df,30.948493891484986
1,19,0.4270265137864946,-0.3686267060008421,0.28745870392011996,526,2859,163,88ddd13268885d72,88ddd13268885d72e705372e055822277f05f38151e53d4eaa17d6c084ec820b,27.70546232964338
2,0,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,1,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,2,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,3,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,4,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,5,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,6,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,7,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,8,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,9,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,10,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,11,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,12,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,13,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,14,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,15,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
