窗鍵,窗,起,迄,交易日數,滿一年,臂,格,名稱,版本,種子數,期末金額_中位,窗內報酬_中位,最大回落_中位,0050扣ETF來回0.385%期末,此格受資料尾影響起,期末金額_p10,期末金額_p25,期末金額_p75,期末金額_p90,贏0050種子比例,交易筆數_中位
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#9,#9 P1｜AND｜N10｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1035604.797810862,0.03560479781086201,-0.15930216811669407,,2026-07-03,1035604.797810862,1035604.797810862,1035604.797810862,1035604.797810862,0.0,41.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#10,#10 P3乙｜N≤8｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1099098.9088739208,0.0990989088739207,-0.1683773710405723,,2026-07-03,1099098.9088739208,1099098.9088739208,1099098.9088739208,1099098.9088739208,0.0,33.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#11,#11 P1｜AND｜N8｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1081999.603802093,0.08199960380209315,-0.16652014700844806,,2026-07-03,1081999.603802093,1081999.603802093,1081999.603802093,1081999.603802093,0.0,33.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#12,#12 PREREG10｜AND｜regime=False｜N10｜H120,主版（資料尾補訊號、照收盤計值）,200,1199382.4784282418,0.19938247842824186,-0.1580950541433711,,2026-04-09,1158143.5806536179,1173971.1766608655,1332931.367696061,1354052.5630997387,0.83,21.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#13,#13 P1｜AND｜N20｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1244981.6687005938,0.24498166870059368,-0.10102345275720578,,2026-07-03,1244981.6687005938,1244981.6687005938,1244981.6687005938,1244981.6687005938,1.0,81.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#14,#14 P1｜AND｜N20｜d=inf｜null,主版（資料尾補訊號、照收盤計值）,200,1214857.2218518076,0.21485722185180745,-0.1049695909559516,,2026-07-03,1184430.9864438954,1194460.1186958526,1239032.7991480203,1257920.7398228138,0.995,81.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#15,#15 PREREG10｜AND｜regime=False｜N20｜H60,主版（資料尾補訊號、照收盤計值）,200,1215403.7869346293,0.21540378693462925,-0.10306324628921762,,2026-07-03,1182641.388696447,1196678.4092318928,1238120.3197123017,1251938.523383137,1.0,81.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#16,#16 PREREG10｜AND｜regime=True｜N20｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1215403.7869346293,0.21540378693462925,-0.10306324628921762,,2026-07-03,1182641.388696447,1196678.4092318928,1238120.3197123017,1251938.523383137,1.0,81.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#17,#17 PREREG10｜AND｜regime=True｜N20｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1253340.0562986676,0.2533400562986674,-0.11593143384927608,,2026-04-09,1195479.6159200768,1211914.4742189127,1288934.5869502816,1308292.7321734517,1.0,41.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#18,#18 P9 2-A k2,主版（資料尾補訊號、照收盤計值）,200,1110766.3138817255,0.11076631388172575,-0.12202845799509887,,2026-04-02,1043732.241384778,1074919.4765494915,1154041.6130185155,1188111.9339625428,0.2,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#19,#19 P9 2-B ⓐ（+15% 加碼）,主版（資料尾補訊號、照收盤計值）,200,1105515.1706980853,0.10551517069808547,-0.12917682703555766,,2026-04-02,1041919.8005128237,1074013.575491058,1143123.592283183,1177480.845599803,0.17,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#20,#20 P9 2-B ⓑ（三分位加碼）,主版（資料尾補訊號、照收盤計值）,200,1124449.545645835,0.12444954564583521,-0.1282591565672303,,2026-04-02,1040551.3557885455,1078372.3662313856,1180438.7602806136,1227347.4372357281,0.31,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#21,#21 P9 2-B ⓒ（滿 40 根仍為正加碼）,主版（資料尾補訊號、照收盤計值）,200,1124449.545645835,0.12444954564583521,-0.1282591565672303,,2026-04-02,1040551.3557885455,1078372.3662313856,1180438.7602806136,1227347.4372357281,0.31,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#22,#22 P9 2-C ⓒ（0050 MA60 下新部位 1.5 slot）,主版（資料尾補訊號、照收盤計值）,200,1120994.668203671,0.12099466820367111,-0.12579409754082416,,2026-04-02,1035186.1379182047,1081887.8999953663,1170145.2077701532,1230525.946405707,0.27,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#23,#23 P9 2-C ⓔ（0050 MA10 下新部位 0.5 slot）,主版（資料尾補訊號、照收盤計值）,200,1044909.1590424719,0.04490915904247195,-0.12693379079209913,,2026-04-02,966945.69029598,1002091.3492266041,1096937.8546882793,1140528.3442560546,0.04,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,①,0050,0050 買進持有（還原含息、不扣成本＝錨點算法）,—,0,945436.1092892764,-0.05456389071072354,-0.1599086236436322,941796.1802685127,,,,,,,
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,②,#1,#1 PREREG10｜AND｜regime=True｜N10｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1008883.8886080161,0.008883888608016033,-0.3554339574258916,,2026-04-09,1008883.8886080161,1008883.8886080161,1008883.8886080161,1008883.8886080161,1.0,20.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,③,門檻B,門檻B（W1）＝ P12 策略側 H120 N8,主版（資料尾補訊號、照收盤計值）,200,798923.2442251116,-0.20107675577488837,-0.48000714267252886,,2026-04-02,602328.6112068187,654346.7613764617,921391.3431121142,995009.5518211926,0.205,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#2,#2 P3乙｜N≤8｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,702244.6843371745,-0.29775531566282554,-0.42881655784220035,,2026-07-03,702244.6843371745,702244.6843371745,702244.6843371745,702244.6843371745,0.0,33.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#3,#3 P1｜AND｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,733316.476262493,-0.26668352373750703,-0.3995903978695591,,2026-07-03,733316.476262493,733316.476262493,733316.476262493,733316.476262493,0.0,33.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#4,#4 PREREG10｜AND｜regime=True｜N10｜LD（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1187057.1045333513,0.18705710453335134,-0.18236235521971034,,2026-09-24,1149899.1843900473,1173623.1098722934,1211176.0898329774,1211223.7181918928,1.0,31.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#5,#5 P17｜R_eq（判定格）,主版（資料尾補訊號、照收盤計值）,200,957573.8174420765,-0.04242618255792352,-0.2456151825234902,,2026-04-02,799435.3941748427,825067.5115201575,1010470.1554199998,1032560.1292356598,0.515,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#6,#6 P1｜AND｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,823843.5700303748,-0.17615642996962522,-0.391693619173847,,2026-07-03,823843.5700303748,823843.5700303748,823843.5700303748,823843.5700303748,0.0,33.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#7,#7 PREREG10｜AND｜regime=True｜N10｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,819873.2580691027,-0.1801267419308974,-0.30777219367561875,,2026-07-03,767311.5145000558,767311.5145000558,819873.2580691028,819873.2580691028,0.0,31.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#8,#8 P14｜w=0.50（＝各半混 0050）,主版（資料尾補訊號、照收盤計值）,200,872179.676757194,-0.127820323242806,-0.3010941677345369,,2026-04-02,773882.3602480476,799891.4353328691,933413.7262006954,970222.8305552346,0.205,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#9,#9 P1｜AND｜N10｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,808316.5881510627,-0.19168341184893722,-0.35144079967214326,,2026-07-03,808316.5881510627,808316.5881510627,808316.5881510627,808316.5881510627,0.0,41.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#10,#10 P3乙｜N≤8｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,796355.5051901275,-0.20364449480987246,-0.4128956960482818,,2026-07-03,796355.5051901275,796355.5051901275,796355.5051901275,796355.5051901275,0.0,33.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#11,#11 P1｜AND｜N8｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,817312.4937367149,-0.182687506263285,-0.39119563758161363,,2026-07-03,817312.4937367149,817312.4937367149,817312.4937367149,817312.4937367149,0.0,33.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#12,#12 PREREG10｜AND｜regime=False｜N10｜H120,主版（資料尾補訊號、照收盤計值）,200,923693.4607969676,-0.07630653920303243,-0.41908561955533724,,2026-04-09,923693.4607969675,923693.4607969675,996326.8173407137,996326.8173407137,0.47,21.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#13,#13 P1｜AND｜N20｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1027563.585148102,0.027563585148101977,-0.30378053920124903,,2026-07-03,1027563.585148102,1027563.585148102,1027563.585148102,1027563.585148102,1.0,77.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#14,#14 P1｜AND｜N20｜d=inf｜null,主版（資料尾補訊號、照收盤計值）,200,1004805.8493610481,0.004805849361048109,-0.33433205956252154,,2026-07-03,960759.1974658559,964744.1304688926,1020194.7435567772,1023619.801277992,1.0,77.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#15,#15 PREREG10｜AND｜regime=False｜N20｜H60,主版（資料尾補訊號、照收盤計值）,200,1003876.0356532341,0.0038760356532341333,-0.3367935400214771,,2026-07-03,959458.8648810198,963946.450743699,1019545.389855965,1023488.4233898399,1.0,77.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#16,#16 PREREG10｜AND｜regime=True｜N20｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,951305.856456018,-0.04869414354398194,-0.29716826255456036,,2026-07-03,908316.9970219375,908316.9970219375,970222.7725852628,970222.7725852628,0.655,61.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#17,#17 PREREG10｜AND｜regime=True｜N20｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1007452.6629302865,0.007452662930286458,-0.27863000153457174,,2026-04-09,1007452.6629302865,1007452.6629302865,1007452.6629302865,1007452.6629302865,1.0,40.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#18,#18 P9 2-A k2,主版（資料尾補訊號、照收盤計值）,200,760567.0040400184,-0.23943299595998152,-0.44697761816671855,,2026-04-02,647565.1927001115,685413.8828535315,990049.6022971293,1059881.3005726258,0.315,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#19,#19 P9 2-B ⓐ（+15% 加碼）,主版（資料尾補訊號、照收盤計值）,200,725014.9180432536,-0.2749850819567464,-0.4721636605011358,,2026-04-02,611081.9622128265,649855.3155958964,923340.3529313239,991339.1543889357,0.225,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#20,#20 P9 2-B ⓑ（三分位加碼）,主版（資料尾補訊號、照收盤計值）,200,725014.9180432536,-0.2749850819567464,-0.4721636605011358,,2026-04-02,611081.9622128265,649855.3155958964,923340.3529313239,991339.1543889357,0.225,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#21,#21 P9 2-B ⓒ（滿 40 根仍為正加碼）,主版（資料尾補訊號、照收盤計值）,200,725014.9180432536,-0.2749850819567464,-0.4721636605011358,,2026-04-02,611081.9622128265,649855.3155958964,923340.3529313239,991339.1543889357,0.225,16.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#22,#22 P9 2-C ⓒ（0050 MA60 下新部位 1.5 slot）,主版（資料尾補訊號、照收盤計值）,200,702108.8666918277,-0.29789113330817235,-0.4770182298428932,,2026-04-02,587279.9675084786,627737.3191145922,891783.4614691419,1127851.877391988,0.235,14.0
Y2018,2018 曆年,2018-01-02,2018-12-28,247,True,④,#23,#23 P9 2-C ⓔ（0050 MA10 下新部位 0.5 slot）,主版（資料尾補訊號、照收盤計值）,200,725014.9180432536,-0.2749850819567464,-0.4721636605011358,,2026-04-02,611081.9622128265,649855.3155958964,923340.3529313239,991339.1543889357,0.225,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,①,0050,0050 買進持有（還原含息、不扣成本＝錨點算法）,—,0,1361356.703620882,0.361356703620882,-0.08358208955223885,1356115.4803119416,,,,,,,
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,②,#1,#1 PREREG10｜AND｜regime=True｜N10｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1117069.0921412606,0.11706909214126071,-0.11149116827558336,,2026-04-09,1105187.1620259115,1105187.1620259115,1122199.5049626338,1220462.3936005349,0.0,20.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,③,門檻B,門檻B（W1）＝ P12 策略側 H120 N8,主版（資料尾補訊號、照收盤計值）,200,1288480.9767003362,0.28848097670033623,-0.12451303953050832,,2026-04-02,1212553.4196070447,1252409.3483150322,1319036.5688989505,1348920.2358919154,0.075,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#2,#2 P3乙｜N≤8｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1451138.6559419655,0.45113865594196545,-0.14548930088574766,,2026-07-03,1451138.6559419655,1451138.6559419655,1451138.6559419655,1451138.6559419655,1.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#3,#3 P1｜AND｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1444720.3770579488,0.44472037705794887,-0.12009764206525707,,2026-07-03,1444720.3770579488,1444720.3770579488,1444720.3770579488,1444720.3770579488,1.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#4,#4 PREREG10｜AND｜regime=True｜N10｜LD（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1156042.5599454858,0.15604255994548577,-0.11186432869407562,,2026-09-24,1139109.5831197004,1148948.5659483648,1194625.329822465,1200501.5327733743,0.0,23.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#5,#5 P17｜R_eq（判定格）,主版（資料尾補訊號、照收盤計值）,200,1333417.8745381385,0.3334178745381384,-0.09149913577946217,,2026-04-02,1296041.0981742253,1312270.746883062,1347617.8721096942,1365450.5414325253,0.115,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#6,#6 P1｜AND｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1487526.2957747185,0.4875262957747184,-0.12336146247512475,,2026-07-03,1487526.2957747185,1487526.2957747185,1487526.2957747185,1487526.2957747185,1.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#7,#7 PREREG10｜AND｜regime=True｜N10｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1191936.9637140133,0.19193696371401336,-0.11149116827558336,,2026-07-03,1188231.8009350596,1189073.6766747376,1208603.5280784871,1210912.7248775084,0.0,30.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#8,#8 P14｜w=0.50（＝各半混 0050）,主版（資料尾補訊號、照收盤計值）,200,1324918.8401606092,0.3249188401606091,-0.09277605885321974,,2026-04-02,1286955.0616139632,1306883.025967957,1340196.6362599162,1355138.4697563986,0.075,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#9,#9 P1｜AND｜N10｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1376877.2677832227,0.37687726778322284,-0.1357615923324186,,2026-07-03,1376877.2677832227,1376877.2677832227,1376877.2677832227,1376877.2677832227,1.0,39.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#10,#10 P3乙｜N≤8｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1497927.0480477025,0.4979270480477025,-0.147628939775738,,2026-07-03,1497927.0480477025,1497927.0480477025,1497927.0480477025,1497927.0480477025,1.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#11,#11 P1｜AND｜N8｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1487526.2957747185,0.4875262957747184,-0.12336146247512475,,2026-07-03,1487526.2957747185,1487526.2957747185,1487526.2957747185,1487526.2957747185,1.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#12,#12 PREREG10｜AND｜regime=False｜N10｜H120,主版（資料尾補訊號、照收盤計值）,200,1424213.2639246478,0.42421326392464787,-0.16578111164419795,,2026-04-09,1391620.6917905747,1391620.6917905747,1424213.263924648,1424213.2639246483,1.0,20.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#13,#13 P1｜AND｜N20｜d=inf｜relvol,主版（資料尾補訊號、照收盤計值）,200,1132009.107949321,0.13200910794932086,-0.11205537800762437,,2026-07-03,1132009.107949321,1132009.107949321,1132009.107949321,1132009.107949321,0.0,69.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#14,#14 P1｜AND｜N20｜d=inf｜null,主版（資料尾補訊號、照收盤計值）,200,1140993.4328721433,0.1409934328721434,-0.11205537800762416,,2026-07-03,1132009.1079493212,1133767.1876461825,1179600.1005885936,1187019.4854931126,0.0,69.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#15,#15 PREREG10｜AND｜regime=False｜N20｜H60,主版（資料尾補訊號、照收盤計值）,200,1177770.893103387,0.177770893103387,-0.10459952883648901,,2026-07-03,1133767.1876461823,1139226.174924612,1185180.8544452754,1187019.4854931126,0.0,68.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#16,#16 PREREG10｜AND｜regime=True｜N20｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1119842.2236555293,0.11984222365552921,-0.0628445645410403,,2026-07-03,1112678.8612626062,1114406.8922159267,1119842.2236555293,1121579.3645611212,0.0,52.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#17,#17 PREREG10｜AND｜regime=True｜N20｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1134517.1903957264,0.13451719039572652,-0.059825969001734446,,2026-04-09,1127084.0220333,1127120.4187420115,1135848.726883748,1186236.0186082916,0.0,32.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#18,#18 P9 2-A k2,主版（資料尾補訊號、照收盤計值）,200,1200632.5705124487,0.20063257051244865,-0.12110007543919732,,2026-04-02,1133467.0610261704,1163058.6590431584,1227396.8413437968,1255241.3300600403,0.0,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#19,#19 P9 2-B ⓐ（+15% 加碼）,主版（資料尾補訊號、照收盤計值）,200,1285326.393151512,0.28532639315151176,-0.12473655753051431,,2026-04-02,1209211.8841636481,1248480.7870219657,1321209.9238427025,1353776.238213362,0.08,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#20,#20 P9 2-B ⓑ（三分位加碼）,主版（資料尾補訊號、照收盤計值）,200,1285326.393151512,0.28532639315151176,-0.12473655753051431,,2026-04-02,1209211.8841636481,1248480.7870219657,1321209.9238427025,1353776.238213362,0.08,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#21,#21 P9 2-B ⓒ（滿 40 根仍為正加碼）,主版（資料尾補訊號、照收盤計值）,200,1285326.393151512,0.28532639315151176,-0.12473655753051431,,2026-04-02,1209211.8841636481,1248480.7870219657,1321209.9238427025,1353776.238213362,0.08,16.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#22,#22 P9 2-C ⓒ（0050 MA60 下新部位 1.5 slot）,主版（資料尾補訊號、照收盤計值）,200,1278275.3750020291,0.27827537500202915,-0.13548823326644996,,2026-04-02,1183975.296659543,1229351.5203973018,1331714.4250807487,1371668.3556410593,0.135,14.0
Y2019,2019 曆年,2019-01-02,2019-12-31,242,True,④,#23,#23 P9 2-C ⓔ（0050 MA10 下新部位 0.5 slot）,主版（資料尾補訊號、照收盤計值）,200,1139123.4412449994,0.1391234412449993,-0.06838975383880422,,2026-04-02,1102482.4826975316,1121666.996203896,1155810.358767482,1170952.516220945,0.0,16.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,①,0050,0050 買進持有（還原含息、不扣成本＝錨點算法）,—,0,1301989.7149353933,0.3019897149353934,-0.28217651879384864,1296977.054532892,,,,,,,
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,②,#1,#1 PREREG10｜AND｜regime=True｜N10｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1227010.5987843238,0.22701059878432372,-0.3525859780024452,,2026-04-09,1166464.7784329292,1190241.6192910965,1258183.4988707083,1279062.0275849416,0.03,23.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,③,門檻B,門檻B（W1）＝ P12 策略側 H120 N8,主版（資料尾補訊號、照收盤計值）,200,1043166.7740620311,0.043166774062031066,-0.36743891415365093,,2026-04-02,951843.2231165473,994844.1187370007,1096296.488453195,1159426.04126292,0.0,16.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#2,#2 P3乙｜N≤8｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1678752.6563639247,0.6787526563639248,-0.3968482630357433,,2026-07-03,1678752.6563639247,1678752.6563639247,1678752.6563639247,1678752.6563639247,1.0,35.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#3,#3 P1｜AND｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1689093.8170684725,0.6890938170684724,-0.39091452531908305,,2026-07-03,1689093.8170684725,1689093.8170684725,1689093.8170684725,1689093.8170684725,1.0,35.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#4,#4 PREREG10｜AND｜regime=True｜N10｜LD（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1196472.3256841856,0.1964723256841856,-0.3495832701001319,,2026-09-24,1134301.4700315397,1164924.0138565262,1276894.5770718113,1364749.7379055382,0.215,32.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#5,#5 P17｜R_eq（判定格）,主版（資料尾補訊號、照收盤計值）,200,1175491.2725811275,0.1754912725811274,-0.32200813085160346,,2026-04-02,1129148.875222241,1150963.886209867,1209481.0043732296,1235854.6936721723,0.0,16.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#6,#6 P1｜AND｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1682030.8349331669,0.682030834933167,-0.39091452531908305,,2026-07-03,1682030.8349331669,1682030.8349331669,1682030.8349331669,1682030.8349331669,1.0,35.0
Y2020,2020 曆年,2020-01-02,2020-12-31,245,True,④,#7,#7 PREREG10｜AND｜regime=True｜N10｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1381309.7942881153,0.3813097942881153,-0.3525859780024452,,2026-07-03,1296360.2387993378,1326451.787119521,1436595.6340328418,1540820.9005048473,0.875,40.0
