date,close,change,change_pct
2026-01-16,31408.70,,
2026-01-19,31639.29,,
2026-01-20,31759.99,,
2026-01-21,31246.37,,
2026-01-22,31746.08,,
2026-01-23,31961.51,,
2026-01-26,32064.52,,
2026-01-27,32317.92,,
2026-01-28,32803.82,,
2026-01-29,32536.27,,
2026-01-30,32063.75,,
2026-02-02,31624.03,,
2026-02-03,32195.36,,
2026-02-04,32289.81,,
2026-02-05,31801.27,,
2026-02-06,31782.92,,
2026-02-09,32404.62,,
2026-02-10,33072.97,,
2026-02-11,33605.71,,
2026-02-23,33773.26,,
2026-02-24,34700.82,,
2026-02-25,35413.07,,
2026-02-26,35414.49,,
2026-03-02,35095.09,,
2026-03-03,34323.65,,
2026-03-04,32828.88,,
2026-03-05,33672.94,,
2026-03-06,33599.54,,
2026-03-09,32110.42,,
2026-03-10,32771.87,,
2026-03-11,34114.19,,
2026-03-12,33581.86,,
2026-03-13,33400.32,,
2026-03-16,33342.51,,
2026-03-17,33836.57,,
2026-03-18,34348.58,,
2026-03-19,33689.68,,
2026-03-20,33543.88,,
2026-03-23,32722.50,,
2026-03-24,32612.24,,
2026-03-25,33439.11,,
2026-03-26,33337.62,,
2026-03-27,33112.59,,
2026-03-30,32518.16,,
2026-03-31,31722.99,,
2026-04-01,33174.82,,
2026-04-02,32572.43,,
2026-04-07,33229.82,,
2026-04-08,34761.38,,
2026-04-09,34861.16,,
2026-04-10,35417.83,,
2026-04-13,35457.29,,
2026-04-14,36296.12,,
2026-04-15,36722.14,,
2026-04-16,37132.02,,
2026-04-17,36804.34,,
2026-04-20,36958.80,,
2026-04-21,37605.11,,
2026-04-22,37878.47,,
2026-04-23,37714.15,,
2026-04-24,38932.40,,
2026-04-27,39616.63,,
2026-04-28,39521.73,,
2026-04-29,39303.50,,
2026-04-30,38926.63,,
2026-05-04,40705.14,,
2026-05-05,40769.29,,
2026-05-06,41138.85,,
2026-05-07,41933.78,,
2026-05-08,41603.94,,
2026-05-11,41790.06,,
2026-05-12,41898.32,,
2026-05-13,41374.50,,
2026-05-14,41751.75,,
2026-05-15,41172.36,,
2026-05-18,40891.82,,
2026-05-19,40175.56,,
2026-05-20,40020.82,,
2026-05-21,41368.21,,
2026-05-22,42267.97,,
2026-05-25,43644.40,,
2026-05-26,43525.37,,
2026-05-27,44256.80,,
2026-05-28,43636.44,,
2026-05-29,44732.94,,
2026-06-01,45337.91,,
2026-06-02,45557.31,,
2026-06-03,46459.16,,
2026-06-04,45677.46,,
2026-06-05,45070.94,,
2026-06-08,43502.78,,
2026-06-09,44704.44,,
2026-06-10,43225.54,,
2026-06-11,43149.46,,
2026-06-12,44169.04,,
2026-06-15,45396.99,,
2026-06-16,45809.19,,
2026-06-17,45877.39,,
2026-06-18,46465.20,,
2026-06-22,47741.51,,
2026-06-23,47100.65,,
2026-06-24,46043.60,,
2026-06-25,46255.26,,
2026-06-26,44571.76,,
2026-06-29,44999.90,,
2026-06-30,46125.91,,
2026-07-01,47018.99,,
2026-07-02,46744.16,,
2026-07-03,46780.62,,
2026-07-06,46556.39,,
2026-07-07,45479.11,,
2026-07-08,45734.41,,
2026-07-09,45354.61,,
2026-07-13,45380.52,,
2026-07-14,44737.95,,
2026-07-15,45631.59,,
2026-07-16,45624.98,,
2026-07-17,42671.27,,
2026-07-20,42449.70,,
2026-07-21,44232.87,,
2026-07-22,44825.78,,
2026-07-23,44850.81,,
2026-07-24,43654.84,,
2026-07-27,43634.19,,
2026-07-28,41603.36,,
2026-07-29,40039.18,,
2026-07-30,39933.30,,
2026-07-31,43119.75,,
2026-08-03,43386.41,,
2026-08-04,43360.66,,
2026-08-05,44611.60,,
2026-08-06,44396.70,,
2026-08-07,44225.91,,
2026-08-10,44928.76,,
2026-08-11,45120.72,,
2026-08-12,45518.07,,
2026-08-13,46021.48,,
2026-08-14,45811.01,,
2026-08-17,45857.27,,
2026-08-18,45308.68,,
2026-08-19,44719.35,,
2026-08-20,44933.74,,
2026-08-21,45224.29,,
2026-08-24,44762.32,,
2026-08-25,45169.46,,
2026-08-26,45832.62,,
2026-08-27,45975.22,,
2026-08-28,46331.45,,
2026-08-31,46128.47,,
2026-09-01,46948.72,820.25,1.78
2026-09-02,46164.72,-784.0,1.67
2026-09-03,45857.66,-307.06,0.67
2026-09-04,46551.13,693.47,1.51
2026-09-07,47326.27,775.14,1.67
2026-09-08,47105.78,-220.49,0.47
2026-09-09,47183.36,77.58,0.16
2026-09-10,46940.49,-242.87,0.51
2026-09-11,46184.85,-755.64,1.61
2026-09-14,45862.52,-322.33,0.7
2026-09-15,45511.49,-351.03,0.77
2026-09-16,45848.90,337.41,0.74
2026-09-17,46288.00,439.1,0.96
2026-09-18,47180.75,892.75,1.93
