族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG10／研究十三,G｜regime=False｜N10｜H60,0.2278424527965357,-0.396503805534819,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5746286658944253,0.7294117647058823,-2.01575472034643,-5.650380553481899,未存
PREREG10／研究十三,G｜regime=False｜N10｜H120,0.2032270848170773,-0.4100853508924171,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.49557265182679605,0.7294117647058823,-4.477291518292271,-7.0085350892417075,未存
PREREG10／研究十三,G｜regime=False｜N10｜LD,0.2129674744292837,-0.3458062455680729,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6158578023350376,0.7294117647058823,-3.5032525570716286,-0.5806245568072854,未存
PREREG10／研究十三,G｜regime=False｜N20｜H60,0.220405138148344,-0.360500062649467,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6113872395152824,0.7294117647058823,-2.759486185165599,-2.0500062649466964,未存
PREREG10／研究十三,G｜regime=False｜N20｜H120,0.2214875417252993,-0.3764991767626169,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5882816096167652,0.7294117647058823,-2.6512458274700696,-3.649917676261688,未存
PREREG10／研究十三,G｜regime=False｜N20｜LD,0.2281026225107943,-0.3147724641297567,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.7246587567353572,0.7294117647058823,-1.9897377489205699,2.5227535870243347,未存
PREREG10／研究十三,G｜regime=True｜N10｜H60,0.2259525792533591,-0.3625742626556789,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6231897917915274,0.7294117647058823,-2.20474207466409,-2.2574262655678856,未存
PREREG10／研究十三,G｜regime=True｜N10｜H120,0.2136486135213343,-0.4337198942914606,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4925958350846642,0.7294117647058823,-3.4351386478665704,-9.371989429146055,未存
PREREG10／研究十三,G｜regime=True｜N10｜LD,0.1722261057392149,-0.3781570829379804,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4554353561254354,0.7294117647058823,-7.5773894260785095,-3.815708293798037,未存
PREREG10／研究十三,G｜regime=True｜N20｜H60,0.2274751614147171,-0.3442548263428443,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6607755186217026,0.7294117647058823,-2.0524838585282894,-0.4254826342844298,未存
PREREG10／研究十三,G｜regime=True｜N20｜H120,0.2282300060732639,-0.4085584777896622,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5586226170314923,0.7294117647058823,-1.976999392673609,-6.8558477789662176,未存
PREREG10／研究十三,G｜regime=True｜N20｜LD,0.1800902904886767,-0.3708428804358031,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.48562423600269783,0.7294117647058823,-6.79097095113233,-3.0842880435803077,未存
PREREG10／研究十三,AND｜regime=False｜N10｜H60,0.2992208000479109,-0.4479374688626056,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,另列,False,0.6679968094825528,0.7294117647058823,5.122080004791091,-10.793746886260557,未存
PREREG10／研究十三,AND｜regime=False｜N10｜H120,0.3319277515028065,-0.4519481599195775,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,0.7344376655098492,0.7294117647058823,8.392775150280652,-11.194815991957746,未存
PREREG10／研究十三,AND｜regime=False｜N10｜LD,0.2380868940691763,-0.3706816546606116,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6422947860399612,0.7294117647058823,-0.9913105930823701,-3.068165466061157,未存
PREREG10／研究十三,AND｜regime=False｜N20｜H60,0.3413495952671975,-0.3280437618214732,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,1.0405611537065762,0.7294117647058823,9.33495952671975,1.1956238178526812,未存
PREREG10／研究十三,AND｜regime=False｜N20｜H120,0.3293934902740901,-0.4567144631220972,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,另列,False,0.7212241277019306,0.7294117647058823,8.13934902740901,-11.671446312209715,未存
PREREG10／研究十三,AND｜regime=False｜N20｜LD,0.1950254630055777,-0.4108576144564448,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4746789548091786,0.7294117647058823,-5.297453699442231,-7.085761445644478,未存
PREREG10／研究十三,AND｜regime=True｜N10｜H60,0.3193626811863502,-0.4135719271386452,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,0.7722058975228451,0.7294117647058823,7.136268118635019,-7.357192713864519,未存
PREREG10／研究十三,AND｜regime=True｜N10｜H120,0.4446171561904553,-0.4031964232308375,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,1.1027309037806212,0.7294117647058823,19.661715619045527,-6.319642323083746,未存
PREREG10／研究十三,AND｜regime=True｜N10｜LD,0.2566186952247521,-0.3070879539491644,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,0.8356521052832734,0.7294117647058823,0.8618695224752115,3.291204605083564,未存
PREREG10／研究十三,AND｜regime=True｜N20｜H60,0.3305834015678141,-0.346978896351991,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,0.9527478617387019,0.7294117647058823,8.258340156781408,-0.6978896351990949,未存
PREREG10／研究十三,AND｜regime=True｜N20｜H120,0.335801104485725,-0.4149929206251856,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,合格,False,0.809173091386334,0.7294117647058823,8.780110448572497,-7.499292062518559,未存
PREREG10／研究十三,AND｜regime=True｜N20｜LD,0.2178822749690806,-0.3636903230826869,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5990873585040203,0.7294117647058823,-3.011772503091939,-2.369032308268687,未存
PREREG10／研究十三,OR｜regime=False｜N10｜H60,0.2518980937157512,-0.4355661313304717,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,另列,False,0.5783234177237525,0.7294117647058823,0.38980937157512274,-9.556613133047165,未存
PREREG10／研究十三,OR｜regime=False｜N10｜H120,0.1566418114444786,-0.4590092068516559,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.3412607178816407,0.7294117647058823,-9.135818855552138,-11.90092068516559,未存
PREREG10／研究十三,OR｜regime=False｜N10｜LD,0.203240512499702,-0.3651997042992544,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5565188309494393,0.7294117647058823,-4.475948750029801,-2.519970429925439,未存
