r,n_days,G0_sha,G1_sha,結果
29,269,a3c68cbfd06b0d36,a3c68cbfd06b0d36,✅ 相同
30,269,dd2ed8eccb6eb343,dd2ed8eccb6eb343,✅ 相同
31,269,11b8529a81bfe55f,11b8529a81bfe55f,✅ 相同
32,269,42697c1be6a73a50,42697c1be6a73a50,✅ 相同
33,269,985fa75191198ee4,985fa75191198ee4,✅ 相同
34,269,49ccc53884c9687e,49ccc53884c9687e,✅ 相同
35,269,5b2da3e91f5e32cb,5b2da3e91f5e32cb,✅ 相同
36,269,0179550be8ed7f24,0179550be8ed7f24,✅ 相同
37,269,43f5a1935504f4d6,43f5a1935504f4d6,✅ 相同
38,269,e9996dd919307061,e9996dd919307061,✅ 相同
39,269,e9f9585c06fba6f8,e9f9585c06fba6f8,✅ 相同
40,269,5c8365e6c20b5858,5c8365e6c20b5858,✅ 相同
41,269,54f0a0572887d526,54f0a0572887d526,✅ 相同
42,269,ab9db52ba82fbf04,ab9db52ba82fbf04,✅ 相同
43,269,a5e9b3e43ae786b4,a5e9b3e43ae786b4,✅ 相同
44,269,fb7144f42e2a92fa,fb7144f42e2a92fa,✅ 相同
45,269,0838f9fda2f69112,0838f9fda2f69112,✅ 相同
46,269,fb2d5b629d72874d,fb2d5b629d72874d,✅ 相同
47,269,dcb289ee2c5e780f,dcb289ee2c5e780f,✅ 相同
48,269,f91920b113021c9c,f91920b113021c9c,✅ 相同
49,269,e3562dacdd10ec50,e3562dacdd10ec50,✅ 相同
50,269,38ed12eab28af780,38ed12eab28af780,✅ 相同
51,269,58a4c35c3845fdea,58a4c35c3845fdea,✅ 相同
52,269,2466f962f39c832a,2466f962f39c832a,✅ 相同
53,269,0d6e11d7b41dc8c8,0d6e11d7b41dc8c8,✅ 相同
54,269,10cd833f56b8f7b3,10cd833f56b8f7b3,✅ 相同
55,269,ebc56a59ed3cfea4,ebc56a59ed3cfea4,✅ 相同
56,269,f86c9c03599a0ba0,f86c9c03599a0ba0,✅ 相同
57,269,5e26a46a560fd38a,5e26a46a560fd38a,✅ 相同
58,269,5dfacd2884350e27,5dfacd2884350e27,✅ 相同
59,269,d2b59c92a0301413,d2b59c92a0301413,✅ 相同
60,269,0269d0b7a7e8f3ca,0269d0b7a7e8f3ca,✅ 相同
61,269,23b93bf2180c36ad,23b93bf2180c36ad,✅ 相同
62,269,b228738cc21808c5,b228738cc21808c5,✅ 相同
63,269,1e70883ba0ab421c,1e70883ba0ab421c,✅ 相同
64,269,5d4e406526c47ef0,5d4e406526c47ef0,✅ 相同
65,269,3272143e9201828c,3272143e9201828c,✅ 相同
66,269,43b5ecbb0c67b74a,43b5ecbb0c67b74a,✅ 相同
67,269,7c0c430b21ff34eb,7c0c430b21ff34eb,✅ 相同
68,269,cdb96ce6432eb6c4,cdb96ce6432eb6c4,✅ 相同
69,269,81a11bcac7c8d082,81a11bcac7c8d082,✅ 相同
70,269,2c6a25543e56accc,2c6a25543e56accc,✅ 相同
71,269,f5d1879b315e253a,f5d1879b315e253a,✅ 相同
72,269,fabf0328ddd73530,fabf0328ddd73530,✅ 相同
73,269,8bb4275a6425069d,8bb4275a6425069d,✅ 相同
74,269,73f3b81d274edb18,73f3b81d274edb18,✅ 相同
75,269,994c1e93a3d4614b,994c1e93a3d4614b,✅ 相同
76,269,b9182531c12eb81d,b9182531c12eb81d,✅ 相同
77,269,ce4584a5af5359f3,ce4584a5af5359f3,✅ 相同
78,269,d40815fee3bb7739,d40815fee3bb7739,✅ 相同
79,269,2190e9be541bb2dd,2190e9be541bb2dd,✅ 相同
80,269,038c12e62a5ffdb0,038c12e62a5ffdb0,✅ 相同
81,269,3f68a479c8d77eab,3f68a479c8d77eab,✅ 相同
82,269,4d449479c6140065,4d449479c6140065,✅ 相同
83,269,e3d0881bb993fce3,e3d0881bb993fce3,✅ 相同
84,269,a16f4f5e67d5ad8c,a16f4f5e67d5ad8c,✅ 相同
85,269,afcfe8183a90f51c,afcfe8183a90f51c,✅ 相同
86,269,528c043a55af89cc,528c043a55af89cc,✅ 相同
87,269,72a10386c84afafa,72a10386c84afafa,✅ 相同
88,269,5dda8ddb78b44c27,5dda8ddb78b44c27,✅ 相同
89,269,3c3f2cfa09fcd774,3c3f2cfa09fcd774,✅ 相同
90,269,ade24823fdb08b2f,ade24823fdb08b2f,✅ 相同
91,269,5a523d786bc2087b,5a523d786bc2087b,✅ 相同
92,269,6d3e3c42a1f8beec,6d3e3c42a1f8beec,✅ 相同
93,269,5711995670b534eb,5711995670b534eb,✅ 相同
94,269,7d5cbc41240d838b,7d5cbc41240d838b,✅ 相同
95,269,934056e90e11e822,934056e90e11e822,✅ 相同
96,269,d9f2c139c1e73bc0,d9f2c139c1e73bc0,✅ 相同
97,269,44697bfc89881f4a,44697bfc89881f4a,✅ 相同
98,269,c7ba4f71e98396fd,c7ba4f71e98396fd,✅ 相同
99,269,8a5d07ba2c237568,8a5d07ba2c237568,✅ 相同
100,269,6e29e3471a1d535c,6e29e3471a1d535c,✅ 相同
101,269,204de69bbd7e6916,204de69bbd7e6916,✅ 相同
102,269,9dc1d98e2878a616,9dc1d98e2878a616,✅ 相同
103,269,662b299bb514fec4,662b299bb514fec4,✅ 相同
104,269,628f766b521dfe99,628f766b521dfe99,✅ 相同
105,269,d9142595044ef4ce,d9142595044ef4ce,✅ 相同
106,269,01820e8af97d26db,01820e8af97d26db,✅ 相同
107,269,3f67088facd3bf01,3f67088facd3bf01,✅ 相同
108,269,728ce48e1f03846c,728ce48e1f03846c,✅ 相同
109,269,3fbb085dad8cd224,3fbb085dad8cd224,✅ 相同
110,269,f2207fe9967f3caf,f2207fe9967f3caf,✅ 相同
111,269,393476680b17cf2f,393476680b17cf2f,✅ 相同
112,269,551f38fd3e737e57,551f38fd3e737e57,✅ 相同
113,269,ec03e246f1d04dcf,ec03e246f1d04dcf,✅ 相同
114,269,acc47cfbeda9528b,acc47cfbeda9528b,✅ 相同
115,269,049adad23538cc70,049adad23538cc70,✅ 相同
116,269,7266c328183558a5,7266c328183558a5,✅ 相同
117,269,ad492ed0b08a959b,ad492ed0b08a959b,✅ 相同
118,269,7abd8359a54546d4,7abd8359a54546d4,✅ 相同
119,269,290650562434ba1e,290650562434ba1e,✅ 相同
120,269,cef8a401d3e7ab86,cef8a401d3e7ab86,✅ 相同
121,269,9004beed4c3be820,9004beed4c3be820,✅ 相同
122,269,ed1b64d3595d813d,ed1b64d3595d813d,✅ 相同
123,269,4c8852c6cb681bbe,4c8852c6cb681bbe,✅ 相同
124,269,83d053b6dff3b8a4,83d053b6dff3b8a4,✅ 相同
125,269,21a02a41ddd2e040,21a02a41ddd2e040,✅ 相同
126,269,300e91e624b41ce9,300e91e624b41ce9,✅ 相同
127,269,ca894c4b19584ff4,ca894c4b19584ff4,✅ 相同
128,269,47d23cfdf920c224,47d23cfdf920c224,✅ 相同
129,269,5d3608588c6d3449,5d3608588c6d3449,✅ 相同
130,269,62b409a6d0888954,62b409a6d0888954,✅ 相同
131,269,f0570062b6e2a4c9,f0570062b6e2a4c9,✅ 相同
132,269,3c5716ca26ad609d,3c5716ca26ad609d,✅ 相同
133,269,eb8964bfcd4972a0,eb8964bfcd4972a0,✅ 相同
134,269,3cb66ba19226f877,3cb66ba19226f877,✅ 相同
135,269,00a8dc4975685c72,00a8dc4975685c72,✅ 相同
136,269,9d6d0a39b0988166,9d6d0a39b0988166,✅ 相同
137,269,d191b98515477dbd,d191b98515477dbd,✅ 相同
138,269,3b67f25aee9040b8,3b67f25aee9040b8,✅ 相同
139,269,51567f21093b4936,51567f21093b4936,✅ 相同
140,269,b0152102e6486a24,b0152102e6486a24,✅ 相同
141,269,de6ad8243480e6c4,de6ad8243480e6c4,✅ 相同
142,269,8b331c507492f2a6,8b331c507492f2a6,✅ 相同
143,269,d261d83a29d9f203,d261d83a29d9f203,✅ 相同
144,269,0d4a02c0b49aef03,0d4a02c0b49aef03,✅ 相同
145,269,26f77ae1cd682298,26f77ae1cd682298,✅ 相同
146,269,593be123c1e20007,593be123c1e20007,✅ 相同
147,269,4c3fbc15fb6f09ea,4c3fbc15fb6f09ea,✅ 相同
148,269,df22a31c590bf507,df22a31c590bf507,✅ 相同
149,269,edd3952457b94f1e,edd3952457b94f1e,✅ 相同
150,269,ffdc9f1a1951cd60,ffdc9f1a1951cd60,✅ 相同
151,269,5be61bcff05f8f7f,5be61bcff05f8f7f,✅ 相同
152,269,3c438606a75e91c9,3c438606a75e91c9,✅ 相同
153,269,daeb4ef775730840,daeb4ef775730840,✅ 相同
154,269,383840b478d0b7e6,383840b478d0b7e6,✅ 相同
155,269,5f0c9b914fdedaf5,5f0c9b914fdedaf5,✅ 相同
156,269,013ba97ec387a18f,013ba97ec387a18f,✅ 相同
157,269,653543b9f90793d3,653543b9f90793d3,✅ 相同
158,269,71328b7ade1c4a09,71328b7ade1c4a09,✅ 相同
159,269,aa401114f06a6e06,aa401114f06a6e06,✅ 相同
160,269,6de49817b4a9432a,6de49817b4a9432a,✅ 相同
161,269,c8f1205d00ad517c,c8f1205d00ad517c,✅ 相同
162,269,6e3766bf4ff97864,6e3766bf4ff97864,✅ 相同
163,269,fdea4043b3b979ea,fdea4043b3b979ea,✅ 相同
164,269,9652fce9c69f10c4,9652fce9c69f10c4,✅ 相同
165,269,c3a9ff30f4ddf9a8,c3a9ff30f4ddf9a8,✅ 相同
166,269,ae304b65bea2de0d,ae304b65bea2de0d,✅ 相同
167,269,afd06d9fd13f57d7,afd06d9fd13f57d7,✅ 相同
168,269,a880b568e6bc95f4,a880b568e6bc95f4,✅ 相同
169,269,ec3fd349337cf759,ec3fd349337cf759,✅ 相同
170,269,3a590e0063ba03f1,3a590e0063ba03f1,✅ 相同
171,269,1b168c825e835859,1b168c825e835859,✅ 相同
172,269,e9100d6909970f19,e9100d6909970f19,✅ 相同
173,269,bf74d6f2b5593506,bf74d6f2b5593506,✅ 相同
174,269,428394d3548a25dc,428394d3548a25dc,✅ 相同
175,269,d506e5a8dae7ebd5,d506e5a8dae7ebd5,✅ 相同
176,269,4c1109b50f5bade3,4c1109b50f5bade3,✅ 相同
177,269,7c9ab1fd8091362b,7c9ab1fd8091362b,✅ 相同
178,269,63f223e3d6ceb59a,63f223e3d6ceb59a,✅ 相同
179,269,86e492996e684316,86e492996e684316,✅ 相同
180,269,bbc02ff4385d88cd,bbc02ff4385d88cd,✅ 相同
181,269,854666309fc64af0,854666309fc64af0,✅ 相同
182,269,c53361914b984803,c53361914b984803,✅ 相同
183,269,e35be0f950e43546,e35be0f950e43546,✅ 相同
184,269,f485559efd821c99,f485559efd821c99,✅ 相同
185,269,ab63dd24a1c948f9,ab63dd24a1c948f9,✅ 相同
186,269,2dca8fff1c8060a6,2dca8fff1c8060a6,✅ 相同
187,269,97d2238860f53413,97d2238860f53413,✅ 相同
188,269,db114a7e9b567af5,db114a7e9b567af5,✅ 相同
189,269,19e7b94e1be3a747,19e7b94e1be3a747,✅ 相同
190,269,03203b9d9fe93896,03203b9d9fe93896,✅ 相同
191,269,bf6af64c50cbfcd5,bf6af64c50cbfcd5,✅ 相同
192,269,5a4ef87d10cfdf27,5a4ef87d10cfdf27,✅ 相同
193,269,420ba6111d367023,420ba6111d367023,✅ 相同
194,269,f6119efe1a61f2f1,f6119efe1a61f2f1,✅ 相同
195,269,3c69bd9f436648d9,3c69bd9f436648d9,✅ 相同
196,269,1236d74fdc408e81,1236d74fdc408e81,✅ 相同
197,269,b21fbd2038e05a75,b21fbd2038e05a75,✅ 相同
198,269,bd20bbd8ff2f3f61,bd20bbd8ff2f3f61,✅ 相同
199,269,cf2ee75f55a81bab,cf2ee75f55a81bab,✅ 相同
