arm,r,rep,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
NOAPR,53,-1,102053,60f9d04ba8d28b69b652d997f7d49dfcfe55c0879ccaf4d90fdbadf03ba25171,26.35751583507829,26.06476460444811,0.4197750296437148,-0.3551417260601844,0.8654062766536886,0.8742437337942955,136,
NOAPR,54,-1,102054,5cf970b7c78c46b7a6fb9e969ee9bbefc39bfecaf36af6a8cf7b3476f5f9de60,6.03346023508199,5.958195574656626,0.22951752352470267,-0.4166317351905851,0.8687206288282874,0.8742437337942955,136,
NOAPR,55,-1,102055,60fd26cc7167a3c308468ab7d771c139e0d751a5e574804be5bfc7b70012eebb,15.53747952301347,15.3605128893809,0.34605863667561665,-0.4750857118058929,0.8626579359315434,0.8742437337942955,136,
NOAPR,56,-1,102056,a8f63bc1f80bd4456202c35792092e0f6d32f7969742e481b6c2659530967138,17.25977618677963,17.064379353896975,0.360258466251246,-0.4322917464784467,0.8664468527875329,0.8742437337942955,136,
NOAPR,57,-1,102057,21ae0357d55bef89a81985cbcb993b5b2f6a02caa9602d3319d9837ac638f355,4.778436438218006,4.716601716505535,0.20418515768333512,-0.43657227379676683,0.8642749864854837,0.8742437337942955,136,
NOAPR,58,-1,102058,3f06aecdaa5d45da80bc9113475eb04f2fd9d995362d370c71420e2139ec8c0c,6.069289076286806,5.993641013456853,0.23017943811834418,-0.41787713628224343,0.8689212848566716,0.8742437337942955,136,
NOAPR,59,-1,102059,a5960630668cc4707c5257669de9dda9fc3ab379856d8fa937011b3e0074cb61,16.038204058581208,15.855879199995837,0.3503183159949359,-0.41771232617511395,0.8675622746319394,0.8742437337942955,136,
NOAPR,60,-1,102060,777c14e966d68f36c70506807b36e80d06b3be8312a7c2d5db8cca6dcf185f72,5.328680086294832,5.260957238405554,0.21584307908910239,-0.3435794177867761,0.863584551925983,0.8742437337942955,136,
NOAPR,61,-1,102061,e42bc66165f9132ce5684bd26ecb6605adc6ee4828480176577c5fb11bd9a94e,4.1548173789799545,4.099655969571749,0.18970640250495996,-0.4037359391716332,0.8624976043316792,0.8742437337942955,136,
NOAPR,62,-1,102062,28494088cbf787c94d40011fcd6c8201f85fbb9268c079d8b990d7cc54551bbe,5.031383671796924,4.966842176035189,0.20966228201768433,-0.36927237755792514,0.8676317335710151,0.8742437337942955,136,
NOAPR,63,-1,102063,3ecb0817f663d22bc39cb04e35e923b4a8b6d4c15134421cd9620d6cae488ea5,5.715005436203645,5.64314854258115,0.22349801365982636,-0.34459740021659047,0.8660052821015765,0.8742437337942955,136,
NOAPR,64,-1,102064,8963b172f649519f0106a50eb151da244d164bbd5a8558edccfd5f1593669d2b,13.097291520325609,12.946437200583757,0.32348782006378296,-0.35592101216227057,0.8618712338379555,0.8742437337942955,136,
NOAPR,65,-1,102065,255943a4a5f9735a210ead3aab91901efabee7c7b8d7f752ff3b001dbe1cb8e6,21.48899155698681,21.24833812947429,0.39060816610268434,-0.38136987662719724,0.8665664265672351,0.8742437337942955,136,
NOAPR,66,-1,102066,3a8f70e51835bec0a8c5acee57e4474aa2e479287bebb68ede0746fcf9a36d79,15.156184874360726,14.98329845321158,0.3427369029856835,-0.38377674909315496,0.8643121211721667,0.8742437337942955,136,
NOAPR,67,-1,102067,a6ab9a713b79c5609ca9461bc51d9425bb5d6f313e21168741ec43f51d1633e3,5.609652000054372,5.538922487597249,0.22145033529618696,-0.4692055804553813,0.8670475543625605,0.8742437337942955,136,
NOAPR,68,-1,102068,936bd45d4e02c4bd0cc1431e5b3eb249d42e9d40962ebf3dbaca80be4b17319f,10.746905108068537,10.621202140474033,0.2981639644048173,-0.35114959164356097,0.8663663450461963,0.8742437337942955,136,
NOAPR,69,-1,102069,0b9c0c893cab3308db9a9f78f78e029a9edff9afe2b511172eb66bffe8c921d5,14.47886443763229,14.313225984192586,0.3366594905012559,-0.4214936366089649,0.8650702331907013,0.8742437337942955,136,
NOAPR,70,-1,102070,1a2d9602dffabe7043631afc484d7ed1fc8102dbca14865c5dd00ea056d29e33,12.502349784800769,12.357861902943046,0.31745684853763256,-0.3881060122018162,0.8658210971282913,0.8742437337942955,136,
NOAPR,71,-1,102071,3d36e78f0549355c0ed504ad6e299f84e62f6e5e1ace43438b7456d86a803e55,24.1288143960933,23.859912373589452,0.40705307539277014,-0.4202498262574466,0.8648698190100725,0.8742437337942955,136,
NOAPR,72,-1,102072,2a6fe2183521e5dc2128a1fed47ab57302f51f6959630f0c57bffc4edd03a5da,9.651648490654463,9.537665802216031,0.2847751186415175,-0.3668075539228602,0.8601816564915421,0.8742437337942955,136,
NOAPR,73,-1,102073,620a806def8d4767504d5d3c0e66f248fa16bd789b6e3cdbd12e7a8a9cf25fe8,4.320736405264775,4.263799505734489,0.19370534020621832,-0.33240531889945873,0.8642525218081339,0.8742437337942955,136,
NOAPR,74,-1,102074,98725fba91e21aa2855175ae86fa3d6979eaf30ef61d74a822935cdc3d8fafb7,6.945551199975662,6.860526305688826,0.24550041618076168,-0.32028112441625034,0.86478453969134,0.8742437337942955,136,
NOAPR,75,-1,102075,ef074b4f454ac2fdc42af1d7a8e929dc81d9a6b502dcc7c94c9e045583475a6b,6.9452564741808045,6.860234733738042,0.2454955224998594,-0.41882403939987156,0.8672915496278276,0.8742437337942955,136,
NOAPR,76,-1,102076,a086482964242d96f1e1b80452d8ebb04dec4f5b9f852e1ab0d98fd7f36c23e5,10.288919941509416,10.168117847295697,0.2927071336086715,-0.40795074245357577,0.8699231116503097,0.8742437337942955,136,
NOAPR,77,-1,102077,abd5194025a804e9a4cce96feecf4ffd7db18ec1f6033f5ca04f35c9fd5c5dbc,9.398118054275214,9.28684838070625,0.28150097735146806,-0.36100840479189894,0.8651994194425713,0.8742437337942955,136,
NOAPR,78,-1,102078,13dccb42cfa9df09010203b48aeb3484340bb4841b9053c7e87e3361210dde95,11.23909084267103,11.108121023350218,0.303820189006619,-0.3306667555645118,0.862762006505178,0.8742437337942955,136,
NOAPR,79,-1,102079,280f3fcb3de272845314639a3d1f210bff87d38b34423fff9c6b6555f49e2f50,13.540643844255767,13.385045236355014,0.3278358727633379,-0.37469305299116,0.8675749655549939,0.8742437337942955,136,
NOAPR,80,-1,102080,dcc312943611fabb4e48b6bcbfeb9f01cf9cf0aee738f1463eb11b902eaef841,8.146664158007331,8.048786221846761,0.2642119013034323,-0.3719233782916618,0.8660106653924761,0.8742437337942955,136,
NOAPR,81,-1,102081,7fb9f03e6eacd606db9b26c460e2cce007952c720ad143ad2da3c7ac9a567713,6.858441936087064,6.774349193109449,0.24404692399665096,-0.32713439322002436,0.8648516841949242,0.8742437337942955,136,
NOAPR,82,-1,102082,408d4609aef053af00feec3e603cca26fa3e14e2ceec0456310f8b1611947057,9.297848838452666,9.18765214009473,0.280186352525974,-0.516588654381398,0.8681210478305069,0.8742437337942955,136,
NOAPR,83,-1,102083,caccf26ed573155497ecf5ed282f46c084fe7570da6ab1d9748c21678d4fbfe3,8.511875387446137,8.41008934656207,0.26946557513347913,-0.36507754178700746,0.8648654994651387,0.8742437337942955,136,
NOAPR,84,-1,102084,2e09454ae69139e8216b8e0d66e183afe7ccf8356d5cea33fbe6f660072a133c,4.253601561575704,4.1973830682130915,0.19210089021553745,-0.4339510929319147,0.86476239215741,0.8742437337942955,136,
NOAPR,85,-1,102085,4c93beab11ac9200ba15c7eb820bb2ccd838a2c03a075992eca89b71aaba6535,14.859833317046217,14.6901181371613,0.34010640532161096,-0.4398242791370023,0.8660525167295173,0.8742437337942955,136,
NOAPR,86,-1,102086,4b8a4c26b34343e2445dd57a863652bbd6247193c1f9927e5938a5cc35319b04,4.812763616599859,4.7505615616917884,0.20494087771385994,-0.3661613414174096,0.8640767338983736,0.8742437337942955,136,
