arm,r,rep,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
PLACEBO,176,26,102176,bf4e99e53c35fc0610857a7b0a4f30b3adaa3a18604c61c757f6891e8dd16fe7,10.681217999292379,10.556217945736075,0.29739312339519186,-0.4774836875887403,0.874677056658343,0.8871002592912706,138,
PLACEBO,176,27,102176,0a9be095bdcffee436b3cd33afbe6cb95c04c0d42d4642cbc8414e3bf1d03683,27.6581915149549,27.35152182739208,0.42677741537322245,-0.4254675594096872,0.8642481605492609,0.8742437337942955,136,
PLACEBO,176,28,102176,e7e4d05d42a97e738d7b78772356713d61f3b7dc064cdce07fcbc1ff99654a38,2.400297029686231,2.363910643365569,0.13841309611273056,-0.4196063586785718,0.859115937994697,0.8678154710458081,135,
PLACEBO,176,29,102176,f32e8a67e6cae9cc77e5318864118250d55f5ae062d36d122fb19e9ccb0e817a,5.919715131534728,5.845667651033242,0.2273959919912465,-0.43870370923312113,0.8735171668346713,0.8742437337942955,136,
PLACEBO,177,0,102177,b403c8e8373f2fc38ca2a02d496157a45c029a2e18080538c4f4cd080a302ecc,9.443664597155882,9.331907532605966,0.2820943959725615,-0.4571759076415259,0.8658981375331565,0.8788010425716768,136,
PLACEBO,177,1,102177,9af16c25d263970b9b32a3e6769672433a433f462712d91eb2a7a65f38af0a4a,3.9638462759550093,3.9107284375260694,0.18495864747790902,-0.443654728428362,0.8700889567709528,0.8742437337942955,136,
PLACEBO,177,2,102177,fb49166c426e6970852b6a07ad6efe3e3b00b78c41fad54c5675fee66a13460b,6.249563624700621,6.1719864541176985,0.2334650584430249,-0.38643901727561375,0.8321305258771134,0.8549589455488332,133,
PLACEBO,177,3,102177,78e9d944df646cde7cdacbc402418bd15b6ced6ab2f510880680dc91ab674d5a,7.081711254262844,6.995229318931218,0.24774407087033623,-0.3806127819744677,0.8706413230217095,0.8871002592912706,138,
PLACEBO,177,4,102177,64b0095319bdaca5a3d24083174fa7d5b2ad0dc580c23e68404a716b6f8d8405,9.804581194716443,9.688961982056016,0.2867165847302595,-0.40366140348200014,0.8693831937109101,0.8742437337942955,136,
PLACEBO,177,5,102177,b0fa9d347de29bb384a75e663fd49c73d8b5d6a6e153d9cb9cdb1eeb40437ce7,4.834350035065211,4.771916985113266,0.205414066258649,-0.36792156817082317,0.8659462108381504,0.891724587315378,138,
