臂,r,mdd,peak,trough,trough_year
G0,106,-0.4564756404815525,2024-07-05,2025-04-09,2025
G0,107,-0.48042052447502137,2024-07-17,2025-04-09,2025
G0,108,-0.37629811803127783,2021-04-16,2022-10-26,2022
G0,109,-0.42440809876452823,2018-06-12,2018-10-30,2018
G0,110,-0.44794154508804584,2018-07-12,2020-03-19,2020
G0,111,-0.4508243748385997,2024-07-17,2025-04-09,2025
G0,112,-0.32856067188661264,2021-12-29,2022-10-13,2022
G0,113,-0.3733439386216628,2018-06-12,2018-10-26,2018
G0,114,-0.47586785823804145,2021-12-29,2025-04-09,2025
G0,115,-0.40987114009548326,2018-06-12,2018-10-29,2018
G0,116,-0.3778020965898754,2020-01-02,2020-03-19,2020
G0,117,-0.39403053811944294,2024-07-09,2025-04-09,2025
G0,118,-0.39863614003358894,2024-07-17,2025-04-09,2025
G0,119,-0.4084590271890466,2024-07-17,2025-04-09,2025
G0,120,-0.37864579869366627,2018-07-13,2018-10-26,2018
G0,121,-0.39505510424464346,2018-06-07,2020-03-19,2020
G0,122,-0.41623292200004813,2018-06-07,2018-10-30,2018
G0,123,-0.5287736840759131,2022-08-25,2025-04-09,2025
G0,124,-0.36941780103197486,2018-07-12,2018-10-29,2018
G0,125,-0.3973075404948889,2020-01-20,2020-03-19,2020
G0,126,-0.411321591689365,2020-01-20,2020-03-19,2020
G0,127,-0.37025793858884964,2024-07-05,2025-04-09,2025
G0,128,-0.3670010784789277,2023-07-05,2025-04-09,2025
G0,129,-0.4075626518184657,2018-07-12,2018-10-29,2018
G0,130,-0.4575745879094727,2018-06-12,2018-10-30,2018
G0,131,-0.3754769012781425,2022-03-03,2025-04-09,2025
G0,132,-0.4035017286457481,2018-06-11,2018-10-30,2018
G0,133,-0.41157219129365585,2018-06-12,2018-10-30,2018
G0,134,-0.4479514639008176,2024-07-17,2025-04-09,2025
G0,135,-0.36252870072599935,2023-07-05,2025-04-09,2025
G0,136,-0.48561800834173635,2021-12-30,2025-04-09,2025
G0,137,-0.41159132779346497,2024-07-17,2025-04-09,2025
G0,138,-0.4086918920796408,2024-07-17,2025-04-09,2025
G0,139,-0.46052775527646683,2024-07-02,2025-04-09,2025
G0,140,-0.37903581844798245,2023-07-03,2025-04-09,2025
G0,141,-0.4551753173782565,2018-06-12,2018-10-30,2018
G0,142,-0.3747368664084616,2020-01-20,2020-03-19,2020
G0,143,-0.3956507028318884,2024-07-17,2025-04-09,2025
G0,144,-0.3700144508062418,2020-01-20,2020-03-19,2020
G0,145,-0.45270451702235937,2018-06-11,2018-10-30,2018
G0,146,-0.35272039887411194,2024-06-24,2025-04-09,2025
G0,147,-0.41171397103110097,2018-06-12,2018-10-30,2018
G0,148,-0.40479054329844394,2024-07-17,2025-04-09,2025
G0,149,-0.4751792271074401,2024-07-17,2025-04-09,2025
G0,150,-0.41339350854786344,2018-06-12,2018-10-29,2018
G0,151,-0.45078660724256364,2024-07-17,2025-04-09,2025
G0,152,-0.45636564937892043,2024-07-17,2025-04-09,2025
G0,153,-0.4351574006814331,2023-07-13,2025-04-09,2025
G0,154,-0.3961397885315014,2018-07-02,2018-10-30,2018
G0,155,-0.46693478352694723,2023-07-05,2025-04-09,2025
G0,156,-0.4917858822639567,2021-12-29,2025-04-09,2025
G0,157,-0.4600435264251492,2023-07-03,2025-04-09,2025
G0,158,-0.45707615033863797,2018-06-12,2018-10-29,2018
G0,159,-0.4165053087862517,2024-07-05,2025-04-09,2025
G0,160,-0.491581199247167,2018-06-12,2020-03-19,2020
G0,161,-0.3833596829429829,2024-04-17,2025-04-09,2025
G0,162,-0.48117583771733335,2024-07-02,2025-04-09,2025
G0,163,-0.38902368352265715,2018-04-16,2018-10-30,2018
G0,164,-0.40853257258043774,2021-12-29,2022-10-21,2022
G0,165,-0.3861689458279376,2024-07-17,2025-04-09,2025
G0,166,-0.47766491386389176,2024-07-17,2025-04-09,2025
G0,167,-0.4162391601569312,2018-06-12,2018-10-30,2018
G0,168,-0.4307150224072068,2018-06-12,2018-10-30,2018
G0,169,-0.41002122004648645,2020-01-20,2020-03-19,2020
G0,170,-0.4163565345784482,2024-07-17,2025-04-09,2025
G0,171,-0.4092215377711186,2024-07-05,2025-04-09,2025
G0,172,-0.33993309026070384,2020-01-20,2020-03-19,2020
G0,173,-0.4244789655396781,2018-06-12,2020-03-19,2020
G0,174,-0.35635752818223493,2019-10-24,2020-03-19,2020
G0,175,-0.38524937486459954,2018-07-12,2018-10-30,2018
G0,176,-0.4254675594096872,2020-01-20,2020-03-19,2020
G0,177,-0.3796341866405268,2024-07-17,2025-04-09,2025
G0,178,-0.42797245857508875,2018-06-12,2020-03-19,2020
G0,179,-0.45049450147666414,2024-07-17,2025-04-09,2025
G0,180,-0.4179383260196242,2023-07-13,2025-04-09,2025
G0,181,-0.5220444686286387,2022-02-23,2025-04-09,2025
G0,182,-0.4553442078169174,2021-12-09,2025-04-09,2025
G0,183,-0.43317304238230064,2023-07-04,2025-04-09,2025
G0,184,-0.41189495763048645,2018-06-12,2018-10-29,2018
G0,185,-0.4626965938425132,2017-08-21,2018-10-26,2018
G0,186,-0.3863573222590784,2018-06-12,2018-10-11,2018
G0,187,-0.3729666047302056,2020-01-20,2020-03-19,2020
G0,188,-0.4431668964076336,2021-12-08,2025-04-09,2025
G0,189,-0.41185408743033697,2020-01-02,2020-03-19,2020
G0,190,-0.4036562367048266,2018-04-16,2018-10-26,2018
G0,191,-0.5349152440893011,2021-12-16,2025-04-09,2025
G0,192,-0.3788310049218998,2024-07-17,2025-04-09,2025
G0,193,-0.41333662377515773,2024-07-17,2025-04-09,2025
G0,194,-0.455124479548312,2018-07-02,2018-10-26,2018
G0,195,-0.40037120678382004,2020-01-20,2020-03-19,2020
G0,196,-0.4006334807317789,2024-07-05,2025-04-09,2025
G0,197,-0.42806594916134977,2023-07-13,2025-04-09,2025
G0,198,-0.38678601403383045,2024-04-18,2025-04-09,2025
G0,199,-0.44347427809501766,2019-10-24,2020-03-19,2020
G1,0,-0.4493310376337908,2018-07-12,2020-03-19,2020
G1,1,-0.44087822135309324,2023-07-03,2025-04-09,2025
G1,2,-0.4110595335646363,2024-07-17,2025-04-09,2025
G1,3,-0.47769676961155644,2023-07-03,2025-04-09,2025
G1,4,-0.4112228619443033,2024-07-05,2025-04-09,2025
G1,5,-0.6319300431932963,2021-12-16,2025-04-09,2025
G1,6,-0.45570240533601963,2021-12-16,2022-10-21,2022
G1,7,-0.3923731773467159,2024-07-10,2025-04-09,2025
G1,8,-0.46667267869293827,2021-12-08,2022-10-26,2022
G1,9,-0.5062334482093729,2023-07-03,2025-04-09,2025
G1,10,-0.4068660994584559,2018-06-12,2018-10-30,2018
G1,11,-0.47511665527208174,2018-06-12,2020-03-19,2020
G1,12,-0.4651520548530721,2024-07-17,2025-04-09,2025
G1,13,-0.3736156655798314,2018-06-07,2018-10-11,2018
G1,14,-0.4716382013419011,2018-06-12,2020-03-19,2020
G1,15,-0.5122550585884329,2023-07-03,2025-04-09,2025
G1,16,-0.3868383701581882,2018-07-27,2020-03-19,2020
G1,17,-0.44577456199858645,2018-06-07,2020-03-19,2020
G1,18,-0.566412213302194,2021-08-04,2025-04-09,2025
G1,19,-0.505517001865488,2023-07-03,2025-04-09,2025
G1,20,-0.43714038252289145,2021-12-16,2022-10-26,2022
G1,21,-0.41520254438578735,2023-07-28,2025-04-09,2025
G1,22,-0.4632364400523976,2023-07-03,2025-04-09,2025
G1,23,-0.5587711811399182,2020-08-05,2022-10-26,2022
G1,24,-0.3824732860366466,2024-07-17,2025-04-09,2025
G1,25,-0.33928058480376283,2022-04-06,2022-10-26,2022
G1,26,-0.5694680206401964,2021-12-16,2025-04-09,2025
G1,27,-0.467041844468883,2021-04-08,2022-10-26,2022
G1,28,-0.4354906816166219,2021-11-22,2022-10-28,2022
G1,29,-0.45100239900459493,2023-07-03,2025-04-09,2025
G1,30,-0.3919701151780295,2021-08-04,2022-10-26,2022
G1,31,-0.4889979927027893,2018-07-13,2020-03-19,2020
G1,32,-0.5068242834599026,2021-08-04,2022-10-26,2022
G1,33,-0.38623189506599553,2020-01-20,2020-03-19,2020
G1,34,-0.4337045703683876,2021-04-09,2022-10-26,2022
G1,35,-0.40178827448002674,2021-12-03,2022-10-26,2022
G1,36,-0.4437245879245525,2018-06-12,2018-10-29,2018
G1,37,-0.4582102072206848,2021-11-30,2022-10-26,2022
G1,38,-0.3765279196078257,2020-01-20,2020-03-19,2020
G1,39,-0.38530456965671983,2024-07-17,2025-04-09,2025
G1,40,-0.4252609864925083,2024-07-17,2025-04-09,2025
G1,41,-0.38924152573376875,2024-07-17,2025-04-09,2025
G1,42,-0.36874080320810637,2020-01-02,2020-03-19,2020
G1,43,-0.4183152325538986,2018-06-12,2018-10-29,2018
G1,44,-0.4746930456726831,2021-04-08,2025-04-09,2025
G1,45,-0.46705779363876737,2021-08-05,2022-10-26,2022
G1,46,-0.4528617988080434,2021-08-05,2022-10-25,2022
G1,47,-0.34176993745897144,2021-11-22,2022-10-25,2022
G1,48,-0.6361236959754007,2021-07-26,2025-04-09,2025
G1,49,-0.3829848264329518,2024-07-17,2025-04-09,2025
G1,50,-0.44311997122821317,2018-06-12,2020-03-19,2020
G1,51,-0.5215275384434219,2021-04-12,2022-10-26,2022
G1,52,-0.39717137389169377,2020-01-02,2020-03-19,2020
G1,53,-0.40964664023383845,2024-07-17,2025-04-09,2025
G1,54,-0.4290150341867933,2021-04-12,2022-10-26,2022
G1,55,-0.532270830618186,2023-07-03,2025-04-09,2025
G1,56,-0.4702470799515018,2024-07-17,2025-04-09,2025
G1,57,-0.43657227379676683,2020-01-02,2020-03-19,2020
G1,58,-0.41787713628224343,2020-01-02,2020-03-19,2020
G1,59,-0.5417690616715084,2021-07-26,2025-04-09,2025
G1,60,-0.4386251029609806,2021-04-28,2022-10-26,2022
G1,61,-0.5661851681460696,2021-12-08,2025-04-09,2025
G1,62,-0.4255670065431529,2023-07-03,2025-04-09,2025
G1,63,-0.34459740021659047,2018-05-30,2020-03-19,2020
G1,64,-0.34939071330267324,2020-01-20,2020-03-19,2020
G1,65,-0.46464459785534534,2021-12-03,2022-10-26,2022
G1,66,-0.46012339219237963,2023-07-03,2025-04-09,2025
G1,67,-0.4692055804553813,2018-06-12,2020-03-19,2020
G1,68,-0.3760149035204645,2021-08-04,2022-10-26,2022
G1,69,-0.4526392038443718,2021-12-16,2022-10-26,2022
G1,70,-0.4799436202245565,2023-07-03,2025-04-09,2025
G1,71,-0.4202498262574466,2018-07-12,2018-10-11,2018
G1,72,-0.3668075539228602,2019-08-23,2020-03-19,2020
G1,73,-0.49549825506332223,2023-07-03,2025-04-09,2025
G1,74,-0.4470868687262909,2021-04-29,2022-10-13,2022
G1,75,-0.41882403939987156,2018-06-12,2020-03-19,2020
G1,76,-0.40795074245357577,2018-07-13,2018-10-30,2018
G1,77,-0.41061343109349185,2021-12-30,2022-10-26,2022
G1,78,-0.354817297501217,2024-07-17,2025-04-09,2025
G1,79,-0.45650179991752277,2023-07-03,2025-04-09,2025
G1,80,-0.38545467442088277,2021-12-16,2022-10-26,2022
G1,81,-0.45308872060721594,2021-07-22,2022-10-28,2022
G1,82,-0.516588654381398,2018-05-29,2020-03-19,2020
G1,83,-0.3896056061330738,2021-04-12,2022-10-26,2022
G1,84,-0.48066583034984295,2021-04-12,2022-10-13,2022
G1,85,-0.4398242791370023,2018-06-12,2020-03-19,2020
G1,86,-0.3658221647739557,2020-01-16,2020-03-19,2020
G1,87,-0.41028537979779345,2021-08-05,2025-04-09,2025
G1,88,-0.4784158587203646,2018-06-07,2018-10-30,2018
G1,89,-0.43466197760133096,2024-07-17,2025-04-09,2025
G1,90,-0.48448310626236246,2018-06-07,2020-03-19,2020
G1,91,-0.4216983382049262,2024-07-17,2025-04-09,2025
G1,92,-0.43446152784379155,2024-07-17,2025-04-09,2025
G1,93,-0.39523116198188735,2024-07-17,2025-04-09,2025
G1,94,-0.5079996755972537,2024-07-17,2025-04-09,2025
G1,95,-0.4346252597643939,2024-07-17,2025-04-09,2025
G1,96,-0.48724788120655976,2023-07-03,2025-04-09,2025
G1,97,-0.4140371277668409,2021-07-26,2022-10-26,2022
G1,98,-0.5296979045376088,2021-12-16,2025-04-09,2025
G1,99,-0.47275566929049995,2024-07-17,2025-04-09,2025
G1,100,-0.5151961019851388,2021-12-27,2022-10-26,2022
G1,101,-0.4112601506974453,2020-01-20,2020-03-19,2020
G1,102,-0.45268547729752145,2024-07-17,2025-04-09,2025
G1,103,-0.45743416157548167,2024-07-17,2025-04-09,2025
G1,104,-0.42201592919326936,2023-07-13,2025-04-09,2025
G1,105,-0.392514257233828,2020-01-20,2020-03-19,2020
G1,106,-0.39485303910314473,2019-12-17,2020-03-23,2020
G1,107,-0.5276328791382904,2021-04-12,2022-10-26,2022
G1,108,-0.4657209578843303,2022-01-04,2022-10-26,2022
G1,109,-0.5473851228861103,2021-12-08,2025-04-09,2025
G1,110,-0.4295689490615878,2021-12-16,2022-10-25,2022
G1,111,-0.39876530233880303,2021-12-16,2022-10-26,2022
G1,112,-0.37852248544416633,2024-07-17,2025-04-09,2025
G1,113,-0.40801002285268,2021-12-16,2022-10-26,2022
G1,114,-0.48047610196669654,2021-08-05,2025-04-09,2025
G1,115,-0.3696106254040545,2023-07-03,2025-04-09,2025
G1,116,-0.5092168506668517,2024-07-17,2025-04-09,2025
G1,117,-0.48908787362349976,2024-07-17,2025-04-09,2025
G1,118,-0.5787435448211808,2021-12-03,2025-04-09,2025
G1,119,-0.42107326654867255,2018-06-07,2018-10-30,2018
G1,120,-0.49810511760269455,2021-12-16,2022-10-26,2022
G1,121,-0.42663302369138667,2018-06-07,2018-10-30,2018
G1,122,-0.41987553253398463,2024-07-17,2025-04-09,2025
G1,123,-0.3981404953460137,2023-07-03,2025-04-09,2025
G1,124,-0.49262770630518704,2021-07-27,2022-10-26,2022
G1,125,-0.39994758583476614,2023-07-13,2025-04-09,2025
G1,126,-0.4809375219123276,2018-06-11,2020-03-19,2020
G1,127,-0.4161731206844913,2018-06-07,2018-10-30,2018
G1,128,-0.4122252931899239,2018-06-12,2020-03-19,2020
G1,129,-0.49348147610915927,2018-06-12,2020-03-19,2020
G1,130,-0.43925566282804573,2018-06-07,2018-10-30,2018
G1,131,-0.5501103221847038,2023-07-03,2025-04-09,2025
G1,132,-0.46624508506221446,2018-06-12,2018-10-11,2018
G1,133,-0.40677383752622526,2024-07-17,2025-04-09,2025
G1,134,-0.5132819447297009,2021-07-26,2025-04-09,2025
G1,135,-0.3885108099296226,2023-07-14,2025-04-09,2025
G1,136,-0.4107909812557471,2021-12-16,2022-10-26,2022
G1,137,-0.47402371171217034,2024-04-18,2025-04-09,2025
G1,138,-0.47164575147133847,2021-12-16,2022-10-26,2022
G1,139,-0.4603309928526385,2017-08-21,2020-03-19,2020
G1,140,-0.38464827967853205,2021-11-17,2022-10-26,2022
G1,141,-0.467564611926973,2021-12-03,2025-04-09,2025
G1,142,-0.4071565705489475,2024-07-17,2025-04-09,2025
G1,143,-0.4603536143918654,2023-07-03,2025-04-09,2025
G1,144,-0.4214787653129738,2018-06-12,2018-10-30,2018
G1,145,-0.4410271005014769,2023-07-14,2025-04-09,2025
G1,146,-0.481058555455954,2023-07-03,2025-04-09,2025
G1,147,-0.4731405460847968,2018-07-02,2020-03-23,2020
G1,148,-0.4254982085967056,2018-06-12,2018-10-30,2018
G1,149,-0.42447437559321605,2023-07-14,2025-04-09,2025
G1,150,-0.36404372653551087,2021-12-16,2022-10-26,2022
G1,151,-0.375915040805294,2018-06-12,2020-03-19,2020
G1,152,-0.4102511056943437,2021-12-16,2022-10-26,2022
G1,153,-0.4465860320936044,2024-07-17,2025-04-09,2025
G1,154,-0.4329524839083998,2021-08-05,2022-10-26,2022
G1,155,-0.48625827993468107,2021-04-08,2025-04-09,2025
G1,156,-0.43108906826156057,2018-06-11,2020-03-19,2020
G1,157,-0.47356152982938016,2021-12-16,2025-04-09,2025
G1,158,-0.5107168839671813,2018-06-12,2020-03-19,2020
G1,159,-0.4034408666676669,2021-08-04,2022-10-26,2022
G1,160,-0.4006016592020644,2018-06-07,2018-10-30,2018
G1,161,-0.40798787235427014,2024-07-17,2025-04-09,2025
G1,162,-0.5074167665555911,2023-07-03,2025-04-09,2025
G1,163,-0.39343385037804934,2023-07-03,2025-04-09,2025
G1,164,-0.46912670216328145,2024-07-17,2025-04-09,2025
G1,165,-0.4235062525060873,2021-12-03,2022-10-25,2022
G1,166,-0.4458406228394023,2021-12-08,2022-10-26,2022
G1,167,-0.4373435833246465,2023-07-03,2025-04-09,2025
G1,168,-0.45361439051167357,2024-07-17,2025-04-09,2025
G1,169,-0.41091138896130663,2021-12-16,2022-10-26,2022
G1,170,-0.5126102565408731,2021-04-12,2025-04-09,2025
G1,171,-0.40462066855168866,2018-06-07,2018-10-11,2018
G1,172,-0.43871679615858455,2023-07-17,2025-04-09,2025
G1,173,-0.3919176193024664,2021-12-16,2022-10-26,2022
G1,174,-0.4358591137704882,2021-08-04,2022-10-26,2022
G1,175,-0.49096484576637595,2018-06-07,2020-03-19,2020
G1,176,-0.45438005521083497,2021-08-05,2022-10-26,2022
G1,177,-0.4807804601779037,2021-04-12,2022-10-26,2022
G1,178,-0.4338843544990093,2023-07-03,2025-04-09,2025
G1,179,-0.5018868922455845,2021-08-05,2025-04-09,2025
G1,180,-0.46122738396638124,2021-07-26,2025-04-09,2025
G1,181,-0.43099710198386293,2024-07-17,2025-04-09,2025
G1,182,-0.42799363884512104,2018-07-12,2018-10-30,2018
G1,183,-0.5477065851176365,2018-06-12,2022-10-26,2022
G1,184,-0.510627274082009,2024-07-17,2025-04-09,2025
G1,185,-0.5995560573055431,2022-01-04,2025-04-09,2025
G1,186,-0.43495739406096334,2021-04-12,2025-04-09,2025
G1,187,-0.406524515892543,2021-08-05,2025-04-09,2025
G1,188,-0.5196240138026705,2023-07-03,2025-04-09,2025
G1,189,-0.38005158795975463,2018-01-04,2018-10-30,2018
G1,190,-0.5468449572373996,2021-11-17,2025-04-09,2025
G1,191,-0.3835690659230959,2020-01-02,2020-03-19,2020
G1,192,-0.39578534336172627,2018-06-07,2018-10-30,2018
G1,193,-0.5005451016268316,2022-01-04,2022-10-26,2022
G1,194,-0.5287216126774289,2021-04-12,2022-10-26,2022
G1,195,-0.35832370692900295,2023-07-03,2025-04-09,2025
G1,196,-0.4616316632622672,2022-01-04,2022-10-26,2022
G1,197,-0.43315312165926867,2024-07-17,2025-04-09,2025
G1,198,-0.42171727438361667,2018-06-12,2020-03-19,2020
G1,199,-0.5104702336330698,2020-07-08,2025-04-09,2025
