open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1645142400000,402.020,410.960,391.850,398.890,1103745.27,1645228799999,442706677.18745,673256,539463.39,216397589.09358,0
1645228800000,398.890,406.340,392.570,399.430,782602.83,1645315199999,312916650.45032,516757,381067.88,152383975.14350,0
1645315200000,399.490,399.770,374.610,380.310,1228339.57,1645401599999,470299411.78357,721906,579178.69,221651952.39660,0
1645401600000,380.310,393.410,354.640,356.350,2066878.13,1645487999999,776896993.37060,1027131,1006658.84,378618550.48431,0
1645488000000,356.340,375.350,347.870,373.940,1624665.92,1645574399999,588030967.00704,845346,817954.50,296046011.96870,0
1645574400000,373.990,384.210,365.020,365.410,1184214.06,1645660799999,445382538.19139,723171,586944.41,220775028.03026,0
1645660800000,365.410,370.770,323.020,360.800,3108326.69,1645747199999,1069943746.64733,1487455,1524424.15,525016655.56830,0
1645747200000,360.810,377.180,356.410,374.670,1258672.16,1645833599999,460204421.14273,764522,625992.83,228966016.96663,0
1645833600000,374.700,392.790,370.050,373.440,910065.37,1645919999999,342691638.68954,627009,459423.98,173159401.56475,0
1645920000000,373.460,381.170,357.870,359.980,1137035.75,1646006399999,419421651.55829,764511,562788.21,207639261.83919,0
1646006400000,359.970,397.370,355.520,395.500,1485043.23,1646092799999,555718426.06720,869567,740393.63,277015490.55120,0
1646092800000,395.470,429.360,390.970,408.560,2327829.24,1646179199999,947724585.79654,1251209,1162332.55,473325945.24451,0
1646179200000,408.610,415.460,403.410,408.950,1153475.22,1646265599999,472652549.35238,841250,549698.94,225269931.09222,0
1646265600000,408.950,412.760,397.110,402.250,962575.97,1646351999999,389953761.26345,726505,471539.67,191091693.29840,0
1646352000000,402.240,403.270,371.500,374.050,1197130.93,1646438399999,465715350.47130,783188,568810.60,221280240.07750,0
1646438400000,374.050,387.220,366.620,384.380,865309.88,1646524799999,326382281.52259,627219,432091.28,163126146.24699,0
1646524800000,384.410,387.000,372.160,374.640,813431.18,1646611199999,308621930.39972,584555,393042.46,149111931.14016,0
1646611200000,374.680,385.620,362.360,380.130,1604861.57,1646697599999,602333649.33251,909833,800716.88,300638118.60798,0
1646697600000,380.120,388.800,376.590,380.990,1340264.20,1646783999999,512811342.85930,713882,665741.74,254811048.05728,0
1646784000000,381.020,402.450,380.710,392.960,1598742.55,1646870399999,630177574.37478,871614,803352.64,316597305.00736,0
1646870400000,392.960,394.360,362.760,371.770,1230312.39,1646956799999,461084617.77178,803795,592092.96,221847713.03840,0
1646956800000,371.750,379.810,364.440,371.800,921756.69,1647043199999,343069533.43213,643698,454505.83,169160962.52453,0
1647043200000,371.790,379.130,370.650,372.130,562882.47,1647129599999,211422116.68120,479674,268762.98,100984968.69170,0
1647129600000,372.130,376.990,359.530,361.060,716405.55,1647215999999,264958762.95957,510578,327518.64,121145939.52140,0
1647216000000,361.060,374.000,359.050,373.270,810016.97,1647302399999,297648061.52073,488614,400919.04,147357421.44913,0
1647302400000,373.280,374.710,361.350,371.510,740553.28,1647388799999,272872896.33083,474221,351259.67,129472838.62033,0
1647388800000,371.510,386.600,367.600,385.250,1087376.63,1647475199999,410184307.31104,636969,544735.36,205536310.40238,0
1647475200000,385.240,393.640,381.580,391.740,806632.70,1647561599999,312716491.08049,488541,399654.80,154961168.72199,0
1647561600000,391.750,400.300,383.710,396.900,843935.70,1647647999999,330003977.81482,489202,427713.90,167291316.41672,0
