vid,型態,族,根數,事前,d,T1,原始_H20,純合併後_H20,合併掉_H20,剔除_硬斷點_H20,剔除_停牌_H20,剔除_開盤漲停_H20,剔除_開盤跌停_H20,保留_H20,保留_另一順序_H20,相異檔數_H20,有事件曆月_H20,n_eff上限_H20,可能出口_H20,每檔每年_H20,上市_H20,上櫃_H20,原始_H60,純合併後_H60,合併掉_H60,剔除_硬斷點_H60,剔除_停牌_H60,剔除_開盤漲停_H60,剔除_開盤跌停_H60,保留_H60,保留_另一順序_H60,相異檔數_H60,有事件區段_H60,n_eff上限_H60,可能出口_H60,每檔每年_H60,上市_H60,上櫃_H60,原始_H120,純合併後_H120,合併掉_H120,剔除_硬斷點_H120,剔除_停牌_H120,剔除_開盤漲停_H120,剔除_開盤跌停_H120,保留_H120,保留_另一順序_H120,相異檔數_H120,有事件區段_H120,n_eff上限_H120,可能出口_H120,每檔每年_H120,上市_H120,上櫃_H120,H20_2017年,H20_2018年,H20_2019年,H20_2020年,H20_2021年,H20_2022年,H20_2023年,H20_2024年,H20_2025年,H20_2026年,可判定_H20,可判定_H60
S05,對稱三角_向下,乙,,,-1,過,373,322,51,3,1,2,0,316,316,278,94,94,①②,0.0191,176,140,369,318,51,6,1,2,0,309,309,272,37,37,①②,0.019,172,137,365,314,51,13,0,2,0,299,299,264,19,19,只描述（H120 依構造只到①）,0.019,168,131,23,29,32,28,42,28,32,32,57,13,True,True
S06,上升三角_向上,乙,,,1,過,2053,1770,283,47,5,11,0,1707,1708,1016,110,110,①②③,0.1031,997,710,2029,1749,280,50,5,11,0,1683,1684,1006,38,38,①②,0.1037,983,700,2010,1730,280,60,5,9,0,1656,1657,997,19,19,只描述（H120 依構造只到①）,0.105,971,685,184,127,248,161,205,124,276,171,157,54,True,True
S07,上升三角_向下,乙,,,-1,過,2972,2432,540,63,16,0,2,2351,2357,1224,111,111,①②③,0.1421,1369,982,2944,2407,537,72,16,0,1,2318,2323,1213,38,38,①②,0.1428,1355,963,2903,2375,528,83,15,0,1,2276,2281,1201,19,19,只描述（H120 依構造只到①）,0.1443,1329,947,243,224,298,211,248,272,304,228,250,73,True,True
S08,下降三角_向上,乙,,,1,過,3464,2827,637,57,30,12,0,2728,2734,1337,113,113,①②③,0.1648,1551,1177,3417,2790,627,80,28,12,0,2670,2676,1324,38,38,①②,0.1645,1517,1153,3334,2731,603,107,23,10,0,2591,2597,1293,19,19,只描述（H120 依構造只到①）,0.1643,1480,1111,234,270,329,168,312,280,355,302,313,165,True,True
S09,下降三角_向下,乙,,,-1,過,2607,2163,444,40,18,1,6,2098,2103,1206,110,110,①②③,0.1268,1180,918,2581,2139,442,53,15,1,6,2064,2068,1190,38,38,①②,0.1272,1161,903,2505,2080,425,65,14,1,6,1994,1998,1162,19,19,只描述（H120 依構造只到①）,0.1264,1127,867,191,241,188,154,182,267,211,272,268,124,True,True
S10,上升楔形_向上,乙,,,1,過,2295,1971,324,28,4,25,1,1913,1915,1028,108,108,①②③,0.1156,1152,761,2275,1952,323,31,3,25,1,1892,1894,1022,37,37,①②,0.1166,1139,753,2249,1928,321,37,3,25,1,1862,1864,1011,19,19,只描述（H120 依構造只到①）,0.1181,1123,739,228,131,291,220,175,106,381,206,113,62,True,True
S11,上升楔形_向下,乙,,,-1,過,4483,3629,854,77,16,1,3,3532,3538,1409,112,112,①②③,0.2134,2119,1413,4453,3600,853,87,16,1,3,3493,3499,1395,38,38,①②,0.2152,2099,1394,4417,3571,846,107,16,1,3,3444,3450,1386,19,19,只描述（H120 依構造只到①）,0.2184,2073,1371,396,260,528,448,312,278,586,349,274,101,True,True
S12,下降楔形_向上,乙,,,1,過,8160,6361,1799,193,60,51,6,6051,6071,1777,113,113,①②③,0.3656,3316,2735,7953,6201,1752,225,55,47,6,5868,5888,1760,38,38,①②,0.3615,3220,2648,7617,5962,1655,275,44,42,6,5595,5612,1724,19,19,只描述（H120 依構造只到①）,0.3548,3089,2506,438,785,545,283,486,824,620,633,857,580,True,True
S13,下降楔形_向下,乙,,,-1,過,3843,3194,649,83,13,4,33,3061,3065,1418,109,109,①②③,0.185,1607,1454,3791,3151,640,109,12,4,33,2993,2997,1398,38,38,①②,0.1844,1575,1418,3550,2961,589,131,11,4,32,2783,2787,1356,19,19,只描述（H120 依構造只到①）,0.1765,1468,1315,217,419,176,221,203,490,221,381,436,297,True,True
S14,擴散頂_向上,乙,,,1,過,120,117,3,3,0,2,0,112,112,105,61,61,①②,0.0068,64,48,117,114,3,3,0,2,0,109,109,104,33,33,①②,0.0067,63,46,113,110,3,3,0,2,0,105,105,100,18,18,只描述（H120 依構造只到①）,0.0067,62,43,12,4,9,16,9,10,7,25,4,16,True,True
