stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1418,東華,2018Q1,twse,537054,1245182,1782236,87667,1666658,1754325,568343,8005,-240025,-227500,-80969,27854,,,57,27911,0,0,2543000,0.51
1419,新紡,2018Q1,twse,3406967,10234105,13641072,3464380,867420,4331800,3000413,2646,2985978,3288224,-13174,9264087,0,,45185,9309272,0,0,803829,30.96
1423,利華,2018Q1,twse,1505757,1349616,2855373,22032,199381,221413,1730000,122705,458234,323021,0,,,,,2633960,,0,0,15.23
1432,大魯閣,2018Q1,twse,1370463,1657442,3027905,860355,100949,961304,1679376,679007,-466590,5590,0,1897383,,,169218,2066601,0,0,0,11.30
1434,福懋,2018Q1,twse,25835510,72199049,98034559,11078518,12071766,23150284,16846646,275423,19007595,34767316,-19935,70877045,,,4007230,74884275,0,0,2293228,42.13
1435,中福,2018Q1,twse,363656,706018,1069674,3998,167482,171480,1397801,1302,-138547,-203071,-159275,898210,,,-16,898194,,0,14424000,7.17
1436,華友聯,2018Q1,twse,5057536,1802314,6859850,2686685,1606929,4293614,759000,245201,1556415,5620,,2566236,,,,2566236,0,0,0,33.81
1437,勤益控,2018Q1,twse,1369898,8229851,9599749,617116,3524294,4141410,1936869,291244,2952633,251654,0,5432400,,,25939,5458339,0,0,0,28.05
1438,三地開發,2018Q1,twse,572425,32727,605152,1320,68800,70120,1024115,81330,-548413,-22000,,,,,,535032,,0,0,5.22
1439,雋揚,2018Q1,twse,1334558,734948,2069506,10951,150209,161160,920000,8686,979660,0,0,,,,,1908346,0,0,0,20.74
1440,南紡,2018Q1,twse,11001697,32374607,43376304,10188933,7950540,18139473,16568159,64650,8573469,-127500,,25078778,,,158053,25236831,0,0,0,15.14
1441,大東,2018Q1,twse,1539576,1772592,3312168,1499185,1299740,2798925,781124,0,-465919,198038,,513243,,,,513243,0,0,0,6.57
