stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
5488,松普,2016Q1,tpex,1064464,497664,1562128,407374,109043,516417,915861,162352,-189621,157119,0,1045711,,,0,1045711,0,0,0,11.42
5489,彩富,2016Q1,tpex,1858171,849113,2707284,416496,107173,523669,1041754,188130,1266956,2959,-316184,2183615,0,,0,2183615,0,0,5461000,22.12
5490,同亨,2016Q1,tpex,2396245,138058,2534303,515009,125239,640248,943966,51305,844180,54604,,1894055,,,,1894055,,0,0,20.06
5493,三聯,2016Q1,tpex,1566005,1240472,2806477,700837,234329,935166,442646,42164,449653,4665,0,939128,,,932183,1871311,0,0,0,21.22
5498,凱崴,2016Q1,tpex,1360692,1396836,2757528,647998,361934,1009932,1618959,20565,92504,15568,,1747596,,,0,1747596,0,0,0,10.79
5508,永信建,2016Q1,tpex,5754788,514086,6268874,1426112,533909,1960021,2174281,231750,1902822,0,,,,,,4308853,,0,0,19.82
5511,德昌,2016Q1,tpex,5910453,505140,6415593,2980329,97352,3077681,1516607,135583,1673161,12561,0,3337912,,,0,3337912,0,0,0,22.01
5512,力麒,2016Q1,tpex,22650372,11430264,34080636,11022931,6082781,17105712,7539927,817311,5281237,28584,-199032,13468027,,,3506897,16974924,0,0,16304815,18.26
5514,三豐,2016Q1,tpex,1912402,349219,2261621,83731,19557,103288,1766433,14866,400353,0,-23385,2158267,,,66,2158333,0,0,7090403,12.73
5516,雙喜,2016Q1,tpex,509564,223569,733133,280008,24052,304060,382950,0,47238,-1115,0,,,,,429073,0,0,0,11.20
5520,力泰,2016Q1,tpex,1298730,1202916,2501646,442532,88086,530618,709592,33686,1131695,4218,0,1879191,,,91837,1971028,0,0,0,26.48
5523,豐謙,2016Q1,tpex,3144009,138369,3282378,1455512,746441,2201953,1128518,25457,-348,,,1153627,,,-73202,1080425,0,0,0,10.22
5529,鉅陞,2016Q1,tpex,1914098,990770,2904868,1154595,650935,1805530,1042702,20635,36001,,,1099338,,,,1099338,0,0,0,10.54
5530,龍巖,2016Q1,tpex,26293730,22105383,48399113,38041958,314470,38356428,3990842,1413254,3432311,-128154,,8708253,,,1334432,10042685,0,0,0,21.82
5536,聖暉*,2016Q1,tpex,7825850,671663,8497513,5158238,204714,5362952,473359,1028875,1527131,-37564,,2991801,,,142760,3134561,0,0,0,63.20
5543,桓鼎-KY,2016Q1,tpex,813319,503678,1316997,549750,21895,571645,240000,269419,60646,25205,,595270,,,150082,745352,0,0,0,24.80
5601,台聯櫃,2016Q1,tpex,100579,1766770,1867349,20323,464755,485078,648000,3030,731241,0,,,,,,1382271,0,0,0,21.33
5603,陸海,2016Q1,tpex,757192,1565663,2322855,589086,417393,1006479,783246,83424,363582,-31742,,1198510,,,117866,1316376,0,0,0,15.30
5604,中連,2016Q1,tpex,621743,3323579,3945322,191240,1284718,1475958,1087830,83846,1297688,0,,2469364,,,0,2469364,0,0,0,22.70
5609,中菲行,2016Q1,tpex,3044931,959776,4004707,1698862,231122,1929984,1290000,19719,659084,88887,-105943,1951747,0,,122976,2074723,0,0,6000000,15.87
5701,劍湖山,2016Q1,tpex,383607,3583424,3967031,1329761,967498,2297259,2537569,0,-855792,-13807,0,1667970,,,1802,1669772,,0,0,6.57
5703,亞都麗緻,2016Q1,tpex,481382,921582,1402964,294660,175619,470279,702396,0,230289,0,,932685,,,0,932685,,0,0,13.28
5704,老爺知,2016Q1,tpex,236939,333791,570730,64488,17339,81827,388617,106,100180,,,,,,,488903,0,0,0,12.58
5878,台名,2016Q1,tpex,400365,180837,581202,101726,18206,119932,236880,61367,160508,420,,459175,,,2095,461270,,0,0,19.38
5902,德記,2016Q1,tpex,481093,751319,1232412,578477,2774,581251,945000,0,-293482,-357,0,651161,0,,0,651161,0,0,0,6.89
5903,全家,2016Q1,tpex,10346295,13376338,23722633,16035401,2580662,18616063,2232200,44413,2585232,-34346,,4827499,,,279071,5106570,0,0,0,21.63
5904,寶雅*,2016Q1,tpex,3411293,2244984,5656277,2384551,288269,2672820,952774,473319,1557364,,,,,,,2983457,0,0,0,31.31
5905,南仁湖,2016Q1,tpex,1494727,3164134,4658861,1332808,201316,1534124,2039170,301060,131011,-1770,0,2469471,,,655266,3124737,0,0,0,12.11
6101,寬魚國際,2016Q1,tpex,409967,755833,1165800,44755,513653,558408,698268,28645,-185710,66189,,607392,,,,607392,,0,0,8.70
6103,合邦,2016Q1,tpex,270491,44141,314632,241115,2107,243222,570850,0,-499448,8,,71410,,,,71410,,0,0,1.25
6104,創惟,2016Q1,tpex,1249863,949017,2198880,385568,270981,656549,896692,300548,347094,-3053,,1541281,,,1050,1542331,,0,0,17.19
6109,亞元,2016Q1,tpex,1268165,257071,1525236,635533,6923,642456,726865,0,149335,25368,-16163,885405,,,-2625,882780,0,0,1250000,12.39
6111,光聚晶電,2016Q1,tpex,456637,432905,889542,287160,27775,314935,482078,186956,-90726,-8498,,569810,,,4797,574607,0,0,0,11.82
6113,亞矽,2016Q1,tpex,734438,90207,824645,238333,38733,277066,500471,189257,-114610,-27568,0,547550,,,29,547579,0,0,0,10.94
6114,久威,2016Q1,tpex,1023018,474370,1497388,520119,160750,680869,361608,169536,287553,-2178,,816519,,,,816519,0,0,0,22.58
6118,建達,2016Q1,tpex,1815305,187506,2002811,997638,8390,1006028,908896,67418,20469,0,,996783,,,0,996783,0,0,0,10.97
6121,新普,2016Q1,tpex,32213130,8389521,40602651,17702325,1025189,18727514,3082842,3470547,15235746,86002,,21875137,,,0,21875137,,0,0,70.96
6122,擎邦,2016Q1,tpex,1289840,330197,1620037,590008,45381,635389,687291,10354,183953,93186,,974784,,,9864,984648,0,0,0,14.18
6123,上奇,2016Q1,tpex,2177128,913914,3091042,1513538,67323,1580861,551433,335776,266097,37108,-48414,1142000,,,368181,1510181,0,0,1959000,21.47
6124,業強,2016Q1,tpex,2451909,618875,3070784,320693,21675,342368,1824799,833023,15319,-92,0,2673049,,,55367,2728416,0,0,0,14.65
6125,廣運,2016Q1,tpex,6695053,8601316,15296369,4504768,2097659,6602427,2540112,1939680,462354,87232,-54119,4975259,,,3718683,8693942,,0,5000000,19.98
6126,信音,2016Q1,tpex,1732252,1250882,2983134,1266116,411409,1677525,1136932,110082,-114861,48320,-30411,1150062,,,155547,1305609,,0,2590000,10.35
6127,九豪,2016Q1,tpex,912270,1513208,2425478,824341,461453,1285794,850415,301536,-113854,115909,-14322,1139684,0,,0,1139684,0,0,1335000,13.62
6129,普誠,2016Q1,tpex,1764346,518621,2282967,218913,57348,276261,1809437,12456,186136,-1240,,2006789,,,-83,2006706,0,0,0,11.09
6130,上亞科技,2016Q1,tpex,234515,96702,331217,23044,425,23469,267000,30038,625,317,0,297980,,,9768,307748,,0,0,11.16
6134,萬旭,2016Q1,tpex,1066027,374912,1440939,626410,63495,689905,898000,4480,-331016,13958,,585422,,,165612,751034,0,0,0,6.52
6138,茂達,2016Q1,tpex,2190928,569524,2760452,592133,36898,629031,1003946,177451,682782,-36664,0,1827515,,,303906,2131421,0,0,0,18.20
6140,訊達電腦,2016Q1,tpex,707082,48444,755526,272768,51453,324221,383680,422,39686,7517,,431305,,,,431305,0,0,0,11.24
6143,振曜,2016Q1,tpex,10090391,683744,10774135,8342400,148212,8490612,832809,313343,947859,5261,,2099272,,,184251,2283523,0,0,0,25.21
6144,得利影,2016Q1,tpex,679283,98695,777978,163993,30312,194305,731178,1890,-210893,-14062,,508113,,,75560,583673,0,0,0,6.95
