stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1516,川飛,2016Q3,twse,279211,73045,352256,9546,20,9566,293040,20185,29465,0,0,,,,,342690,0,0,0,14.70
1517,利奇,2016Q3,twse,3004735,1870254,4874989,778890,594801,1373691,2278250,60505,1083738,-30919,,3391574,,,109724,3501298,,0,0,14.89
1519,華城,2016Q3,twse,5046812,2094503,7141315,2810274,1062582,3872856,2610585,1033,651194,1807,,3264619,,,3840,3268459,,0,0,12.51
1521,大億,2016Q3,twse,1984970,1495228,3480198,1488622,260666,1749288,762300,60472,920295,-12157,,1730910,,,,1730910,,0,0,22.71
1522,堤維西,2016Q3,twse,8262183,11140638,19402821,7280139,5608100,12888239,3128979,1324176,1704786,-89232,-5996,6062713,,,451869,6514582,0,0,939707,19.43
1524,耿鼎,2016Q3,twse,1294584,3303052,4597636,1762760,827011,2589771,1796852,0,211434,-421,0,2007865,0,,0,2007865,0,0,0,11.17
1525,江申,2016Q3,twse,802975,3503056,4306031,634321,200823,835144,734001,1251,2843913,-108278,,3470887,,,,3470887,0,0,0,47.29
1526,日馳,2016Q3,twse,873702,503281,1376983,486125,259499,745624,500000,,133837,-2478,,631359,0,,0,631359,,0,0,12.63
1527,鑽全,2016Q3,twse,13958088,1212442,15170530,11547544,256438,11803982,1379606,305,2177592,-190955,0,,,,,3366548,,0,0,24.40
1528,恩德,2016Q3,twse,3456538,1315278,4771816,1849777,628426,2478203,1800000,319573,227024,-42636,-34972,2268989,,,24624,2293613,,0,3669000,12.87
1529,樂事綠能,2016Q3,twse,123543,308539,432082,141226,2501,143727,2997089,0,-2713226,0,0,283863,0,,4492,288355,,0,0,0.95
1530,亞崴,2016Q3,twse,4114894,2160423,6275317,2736944,744027,3480971,965942,250067,1421458,-18084,,2619383,,,174963,2794346,0,0,0,27.12
1531,高林股,2016Q3,twse,3249303,1677912,4927215,911514,237703,1149217,1931511,204042,1870969,-34681,-193843,3777998,,,,3777998,0,0,8143000,20.42
1532,勤美,2016Q3,twse,21355669,14320178,35675847,11091269,6707235,17798504,3852521,1542899,6022473,360697,0,11778590,,,6098753,17877343,0,0,0,30.57
1533,車王電,2016Q3,twse,2568306,1473819,4042125,1264871,588356,1853227,985475,271128,1020641,-88337,0,2188907,,,-9,2188898,0,0,0,22.21
1535,中宇,2016Q3,twse,6075427,1569536,7644963,4019740,401354,4421094,1237426,628374,1279177,78892,0,3223869,0,,0,3223869,,0,0,26.05
1536,和大,2016Q3,twse,3572109,6185639,9757748,2147153,3692563,5839716,2349565,13804,1447256,58489,,3869114,,,48918,3918032,0,0,0,16.47
1537,廣隆,2016Q3,twse,3738007,1315042,5053049,1350882,326053,1676935,817854,640909,1760906,63682,,3283351,,,92763,3376114,0,0,0,40.15
1538,正峰,2016Q3,twse,318441,1279985,1598426,486114,443423,929537,831358,,-146969,-15500,,668889,,,,668889,0,0,0,8.05
1539,巨庭,2016Q3,twse,2628822,781984,3410806,2085745,294422,2380167,653700,0,375396,1543,,1030639,,,0,1030639,0,0,0,15.77
1540,喬福,2016Q3,twse,1106921,408945,1515866,193041,18644,211685,854736,194265,285366,0,-30206,1304161,,,20,1304181,,0,6105911,16.43
1541,錩泰,2016Q3,twse,1782579,786181,2568760,1335504,70637,1406141,788000,1364,370793,2462,,1162619,,,,1162619,0,0,0,14.75
1558,伸興,2016Q3,twse,4433562,1827317,6260879,1685806,231649,1917455,605526,1387345,2360154,-37145,-2163,4313717,,,29707,4343424,,0,17000,71.26
1560,中砂,2016Q3,twse,1976390,3191025,5167415,1354043,179743,1533786,1410000,1241869,980279,1481,,,,,,3633629,0,0,0,25.77
1568,倉佑,2016Q3,twse,1665219,1506730,3171949,991009,709678,1700687,1030865,145471,307023,-12097,,1471262,,,0,1471262,0,0,0,14.27
1582,信錦,2016Q3,twse,7691636,1294839,8986475,2658651,1152934,3811585,1498564,1940072,1861541,-125287,0,5174890,,,0,5174890,0,0,0,34.53
1583,程泰,2016Q3,twse,7771574,4000014,11771588,4903723,1518533,6422256,1103634,488738,2170739,-4240,,3758871,,,1590461,5349332,0,0,0,34.06
1589,永冠-KY,2016Q3,twse,7717970,6969322,14687292,2332214,2397660,4729874,1188175,6204774,2779381,-524524,,9647806,,,309612,9957418,,0,0,81.20
1590,亞德客-KY,2016Q3,twse,9805529,12517220,22322749,9161202,2580506,11741708,1790250,3906960,4964105,-190439,0,10470876,,,110165,10581041,0,0,0,58.49
1597,直得,2016Q3,twse,1238402,1007214,2245616,481664,425858,907522,620455,463051,377928,-4598,-118544,1338292,,,-198,1338094,0,0,3000000,22.67
1598,岱宇,2016Q3,twse,3256369,2014979,5271348,2640265,576763,3217028,929502,711068,455802,-44134,,2052238,,,2082,2054320,,0,0,22.08
1603,華電,2016Q3,twse,3864204,4783683,8647887,3054416,780612,3835028,1916880,434765,4745873,-49990,-2244172,4803356,,,9503,4812859,,0,46916871,33.18
1604,聲寶,2016Q3,twse,3731397,7806211,11537608,1891135,2204920,4096055,5050000,100271,2960657,-195738,-729495,7185695,,,255858,7441553,0,0,31041829,15.16
1605,華新,2016Q3,twse,54156230,57951511,112107741,32087258,16430162,48517420,35160002,15737016,14039403,-1323783,-1845423,61767215,,,1823106,63590321,,0,190000000,18.57
1608,華榮,2016Q3,twse,4822372,6542931,11365303,2776085,897255,3673340,6327735,194806,985673,38706,-852003,6694917,,,997046,7691963,0,0,208563824,15.78
1609,大亞,2016Q3,twse,9698590,7714392,17412982,6692848,3345070,10037918,5721808,518534,213785,-58935,-46562,6348630,0,,1026434,7375064,0,0,12633667,11.35
1611,中電,2016Q3,twse,2904674,4412030,7316704,2001368,262257,2263625,3984392,514132,633435,-88375,-696,5042888,,,10191,5053079,0,0,116273,12.66
1612,宏泰,2016Q3,twse,2465392,2771424,5236816,646337,130867,777204,3160801,191704,1278102,-174985,0,4455622,,,3990,4459612,,0,0,14.10
1614,三洋電,2016Q3,twse,2108120,4630025,6738145,845801,682083,1527884,2691134,231041,2352367,8958,-132298,5151202,,,59059,5210261,0,0,10182744,19.89
1615,大山,2016Q3,twse,933519,1344710,2278229,625674,173810,799484,1118618,0,365217,-5090,,1478745,,,,1478745,0,0,0,13.22
1616,億泰,2016Q3,twse,2349823,1099268,3449091,1523664,159115,1682779,1941485,2480,-70260,-22316,-85077,1766312,,,,1766312,,0,4654449,9.32
1617,榮星,2016Q3,twse,2185775,900456,3086231,1362121,159753,1521874,1442332,90331,84135,-45444,-7001,1564353,,,4,1564357,0,0,1000000,10.92
