stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1781,合世,2019Q1,tpex,291073,258860,549933,214113,1935,216048,474076,,-129663,-10528,,333885,,,,333885,0,0,0,7.04
1784,訊聯,2019Q1,tpex,806805,975826,1782631,182058,264293,446351,496269,613147,44897,-6158,-56518,1091637,,,244643,1336280,0,0,2101000,22.97
1785,光洋科,2019Q1,tpex,11293459,8797640,20091099,5126809,9584090,14710899,3990584,629139,664967,-93928,0,5190762,,,189438,5380200,0,627205,0,13.01
1788,杏昌,2019Q1,tpex,2082696,1493973,3576669,1306136,565584,1871720,350000,658219,698536,-1806,,1704949,,,,1704949,0,0,0,48.71
1796,金穎生技,2019Q1,tpex,652288,388307,1040595,102122,515493,617615,277984,117071,29394,-1469,,422980,,,,422980,0,0,0,15.22
1799,易威,2019Q1,tpex,398385,915313,1313698,165797,321792,487589,1088427,15965,-355451,9930,,758871,,,67238,826109,0,0,0,6.97
1813,寶利徠,2019Q1,tpex,463535,764419,1227954,155495,36405,191900,466355,263085,247425,-7633,,969232,,,66822,1036054,0,0,0,20.78
1815,富喬,2019Q1,tpex,3622106,11355123,14977229,2456372,5100912,7557284,4287844,1805588,1634760,-245426,-62821,7419945,,,,7419945,,0,5000000,17.51
2035,唐榮公司,2019Q1,tpex,4230496,14239111,18469607,4396287,9171604,13567891,3500000,46,1272840,128830,0,,,,,4901716,0,0,0,14.00
2061,風青,2019Q1,tpex,716064,244424,960488,331752,32024,363776,586609,926,17018,-847,-6994,596712,,,,596712,0,0,725000,10.30
2063,世鎧精密,2019Q1,tpex,930237,647986,1578223,630443,163563,794006,450000,28778,305414,25,,784217,,,,784217,0,0,0,17.43
2064,晉椿,2019Q1,tpex,1563462,1545972,3109434,1448059,286193,1734252,700000,101974,583243,-11087,,1374130,,,1052,1375182,0,0,0,19.63
2065,世豐,2019Q1,tpex,770581,756319,1526900,450678,47108,497786,326792,219191,389187,93944,0,,,,,1029114,0,0,0,31.49
2066,世德,2019Q1,tpex,2331510,1078008,3409518,1612202,649160,2261362,365029,38699,743484,-1582,-19435,1126195,,,21961,1148156,0,0,247000,31.06
2067,嘉鋼,2019Q1,tpex,697522,686187,1383709,614863,200157,815020,451382,23861,55140,-2233,,528150,,,40539,568689,,0,0,11.70
2070,精湛,2019Q1,tpex,951196,796940,1748136,407595,346052,753647,367828,167124,473152,-13615,,994489,,,,994489,0,0,0,27.04
2221,大甲,2019Q1,tpex,982126,530822,1512948,351722,323264,674986,423250,51562,332628,-1553,0,805887,0,,32075,837962,0,0,0,19.04
2230,泰茂,2019Q1,tpex,646594,336007,982601,445509,42712,488221,399132,52613,49703,-7068,,494380,,,,494380,,295900,0,12.39
2235,謚源,2019Q1,tpex,505652,1173874,1679526,239967,106761,346728,358780,497802,476216,,,,,,,1332798,,0,0,37.15
2596,綠意,2019Q1,tpex,2416538,196644,2613182,164533,,164533,1000000,189208,886851,0,,2076059,,,372590,2448649,,0,0,20.76
2640,大車隊,2019Q1,tpex,929281,1565073,2494354,818688,253678,1072366,511953,451275,464374,-7370,,1420232,,,1756,1421988,0,0,0,27.74
2641,正德,2019Q1,tpex,111013,4124823,4235836,531394,2112244,2643638,1511246,7191,99541,-25780,,1592198,,,,1592198,0,0,0,10.54
2643,捷迅,2019Q1,tpex,929713,247429,1177142,393774,126621,520395,262300,72277,319870,2300,,656747,,,,656747,,0,0,25.04
2718,全心投控,2019Q1,tpex,1348783,516730,1865513,836389,115450,951839,425760,221446,263091,3377,,,,,,913674,0,0,0,21.46
