r,w,cagr,mdd,calmar,peak,trough
27,1.0,0.24389392067421567,-0.4152550301613084,0.5873352589599542,2020-01-20,2020-03-19
28,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
28,0.25,0.2855637433554925,-0.32746879069903906,0.8720334623214232,2024-07-11,2025-04-09
28,0.5,0.3204520218106788,-0.3643456661108801,0.8795274697000421,2024-07-10,2025-04-09
28,0.75,0.34895393424006516,-0.3894621068725696,0.8959894379512547,2024-07-10,2025-04-09
28,1.0,0.37313060414944155,-0.437192418887452,0.8534699780452916,2018-07-13,2018-10-29
29,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
29,0.25,0.2501592483718267,-0.31607114067047276,0.7914650095581993,2024-07-11,2025-04-09
29,0.5,0.25948887375301655,-0.35585481830264487,0.7291987080313419,2024-07-17,2025-04-09
29,0.75,0.2682692710450538,-0.40696994293889677,0.6591869392313631,2023-06-19,2025-04-09
29,1.0,0.2765647272447449,-0.4744309363328784,0.5829399098264048,2023-06-19,2025-04-09
30,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
30,0.25,0.2605070348627283,-0.3101279272025876,0.839998632862738,2022-01-04,2022-10-25
30,0.5,0.2783775621044353,-0.3314865676066756,0.8397853467014186,2024-07-17,2025-04-09
30,0.75,0.2943595840062381,-0.361611898388463,0.8140207369228242,2024-07-17,2025-04-09
30,1.0,0.3088315863386626,-0.413364952045107,0.7471160407062339,2018-06-12,2018-10-29
31,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
31,0.25,0.2602335082372056,-0.31336324807299537,0.8304531875945655,2020-01-20,2020-03-19
31,0.5,0.2778914653316642,-0.3450861024275045,0.8052815322808994,2020-01-20,2020-03-19
31,0.75,0.29370267956845963,-0.37208877752902586,0.7893349579605327,2020-01-20,2020-03-19
31,1.0,0.30803383305187815,-0.40081760468859157,0.7685137315542809,2018-07-02,2018-10-29
32,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
32,0.25,0.22316452266718012,-0.29039081090229435,0.7684971916768628,2020-01-14,2020-03-19
32,0.5,0.20385223542418873,-0.29889883111996157,0.6820108150318381,2020-01-14,2020-03-19
32,0.75,0.18150677171914187,-0.3077166210281766,0.5898503990868985,2020-01-14,2020-03-19
32,1.0,0.15489873225902495,-0.39481779878831236,0.39232965872968734,2021-07-26,2025-04-09
33,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
33,0.25,0.25195877520141097,-0.30745493828500037,0.8194982217779624,2022-01-04,2022-10-26
33,0.5,0.26285146741321075,-0.31963829251555476,0.8223403564841013,2024-07-08,2025-04-09
33,0.75,0.27300453377899436,-0.3434580281364707,0.7948701483562873,2024-07-08,2025-04-09
33,1.0,0.2825169026081229,-0.39602262727095994,0.7133857591799267,2018-07-13,2018-10-30
34,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
34,0.25,0.23793882371275732,-0.299486381205198,0.794489628393919,2024-07-11,2025-04-09
34,0.5,0.23564007322167813,-0.3309278958980829,0.7120586573162423,2024-07-11,2025-04-09
34,0.75,0.23330464835363762,-0.3812417859701004,0.6119598033042868,2018-06-12,2018-10-30
34,1.0,0.2309312870219682,-0.45065883934517914,0.5124303949247246,2018-06-12,2018-10-30
35,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
35,0.25,0.2585939762269178,-0.2976361498970984,0.8688258342151025,2020-01-14,2020-03-19
35,0.5,0.2749635734541598,-0.31762383745048034,0.8656893502114067,2024-04-17,2025-04-09
35,0.75,0.2897308286559912,-0.3683529186820116,0.7865577112641462,2024-04-17,2025-04-09
35,1.0,0.3031954950316835,-0.4018014695385396,0.7545903089401267,2024-04-17,2025-04-09
36,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
36,0.25,0.24141412590416578,-0.3130811138577142,0.7710913089886384,2024-07-11,2025-04-09
36,0.5,0.24261624619071065,-0.3492294352607512,0.6947187770972453,2024-07-11,2025-04-09
36,0.75,0.24380862971363926,-0.3786149704079337,0.6439487309520563,2024-10-16,2025-04-09
36,1.0,0.24499144204636747,-0.4066713926537275,0.6024309712263748,2024-10-16,2025-04-09
37,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
37,0.25,0.27785580455590875,-0.314241484717137,0.8842110862797742,2020-01-02,2020-03-19
37,0.5,0.3079752477874045,-0.35066241953005567,0.8782670472648341,2020-01-02,2020-03-19
37,0.75,0.33317807405774835,-0.38471245067891047,0.8660444273892922,2020-01-02,2020-03-19
37,1.0,0.3549051605995803,-0.4166157894487688,0.8518764040824309,2020-01-02,2020-03-19
38,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
38,0.25,0.22095378634398144,-0.317926056298581,0.6949848304867222,2022-01-17,2022-10-25
38,0.5,0.19874291044121195,-0.3524810002218439,0.5638400660351266,2024-07-11,2025-04-09
38,0.75,0.17239798452249544,-0.39536981456438347,0.4360423536947116,2024-07-11,2025-04-09
38,1.0,0.13984726509407563,-0.4436967785177705,0.31518656854181915,2024-07-17,2025-04-09
39,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
39,0.25,0.2535157724290906,-0.3336109301616645,0.7599144677491215,2024-07-11,2025-04-09
39,0.5,0.2657332145347657,-0.3848365272169409,0.6905093351104014,2024-07-11,2025-04-09
39,0.75,0.27702963307122164,-0.4285886254507719,0.6463765406276315,2024-07-17,2025-04-09
39,1.0,0.2875407560007859,-0.4649210112775922,0.6184722759907764,2024-07-17,2025-04-09
40,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
40,0.25,0.250353225116293,-0.2987795268254211,0.8379196117496233,2020-01-14,2020-03-19
40,0.5,0.25985302240670705,-0.312512385815928,0.8314967156526152,2020-01-14,2020-03-19
40,0.75,0.2687841305023311,-0.3431574112229448,0.7832677416012607,2018-06-12,2018-10-26
40,1.0,0.2772141685294851,-0.396506221785193,0.6991420393893988,2018-06-12,2018-10-26
41,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
41,0.25,0.2314562484115965,-0.3040625275653256,0.7612126698574189,2024-07-11,2025-04-09
41,0.5,0.22215241506968342,-0.3411193451118078,0.6512454314101391,2024-07-11,2025-04-09
41,0.75,0.2122093437860122,-0.38155149957212414,0.5561748388460954,2024-07-05,2025-04-09
41,1.0,0.20152618146672996,-0.42586241964989574,0.47321898380328076,2024-07-05,2025-04-09
42,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
42,0.25,0.22054203345778767,-0.3184433472869671,0.6925628540735219,2020-01-14,2020-03-19
42,0.5,0.19777947777461846,-0.3544556864914799,0.5579808289501726,2020-01-02,2020-03-19
42,0.75,0.17064961175017057,-0.38865131708116396,0.4390815217912486,2020-01-02,2020-03-19
