arm,seed,r,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
A1,102012,12,a460590c3c37285ab7ec0f656075d1ba93674a56f2a5b386d4746c460cf78752,19.724449976939113,19.499194828138872,0.37862416821609846,-0.44765636703311884,0.8645860548995673,0.8871002592912706,138,
A1,102013,13,f5bec0edde3ea44de54bbfc269d836d85f92c2ee580e222d82a2f668c794c8c4,8.63341805003978,8.528759555188932,0.27117403981467136,-0.4635302592626773,0.8664349362380026,0.8871002592912706,138,
A1,102014,14,8d9f38bc7410e9395e09c0485a7b0c27ae365ce7a4589dae5599307750c255ce,9.11546444132917,9.005495914910963,0.2777654994901404,-0.42574346978716937,0.8732108983373752,0.8871002592912706,138,
A1,102015,15,deeca32455aa00454fbe3752b645c38975835e1d55c9e8cc4a41f524277f3787,17.862634594752755,17.657696071782286,0.364946670837053,-0.4078729696974682,0.8691111881387061,0.8871002592912706,138,
A1,102016,16,f02450a6548d7ce5a7aa42d70b2b44ad89677b140e721656cbd6bd283f4a159e,18.89426161443205,18.678114682763024,0.37266703496921916,-0.40640351102440003,0.8655690758785448,0.8871002592912706,138,
A1,102017,17,39fcd356f6074080802ff3b8f9b2d6a4b3d506871cc37e0010de2e98bbd31566,14.354651697892379,14.187726251149355,0.33551923712925014,-0.5165067704105567,0.8700481708738947,0.8871002592912706,138,
A1,102018,18,bcfdda050a946f32bcfa891d751d188d4d183cb6b0623a4502aa96312b931fba,7.862119570277994,7.765789328060537,0.2599870083258522,-0.38574907481887943,0.8683588311533738,0.8871002592912706,138,
A1,102019,19,13963e65184f58fe34a94ea33480a92fbf7a07ce830d4ba7f42c963f72d561f5,14.869410426435962,14.69697411362432,0.3401920989152294,-0.41923033736938786,0.873247985584271,0.8871002592912706,138,
A1,102020,20,447565f339b07fa2757db59a33fd0926bda51d40d1c3c959af2e845b88b8d100,19.20548674689617,18.985958420192528,0.37492586978830755,-0.4134081989367502,0.8731391128524789,0.8871002592912706,138,
A1,102021,21,8930920888d4a07486d763fbd5b12810c5b7ac065016a57c4122354d1f23e23b,32.82209761234554,32.45462769749253,0.4520366404769187,-0.43580534018253936,0.8603969623588665,0.8871002592912706,138,
A1,102022,22,33523f36a44a7277609891a71ed73f4adddd566b17e50522bb65bb0c96b751a4,5.912985031628178,5.8378400343082735,0.22726949000372,-0.4170261714906645,0.8652027538862098,0.8871002592912706,138,
A1,102023,23,fe71bce00ec35431742e9f87d9ad131eff1ca939b00a853e26f305219c84be29,15.889457214233058,15.705905556209853,0.3490647374299596,-0.39155701771590207,0.8650335680794347,0.8871002592912706,138,
A1,102024,24,4deeece34627f07d1f0ad3cde87051baf59ea0b14a0b3085a13e350b48d4b515,15.253413655461863,15.076754438182427,0.3435905373269432,-0.4215660428780585,0.8709006846275028,0.8871002592912706,138,
A1,102025,25,e764fda1e19f49f3ef7737b84781e9a8482a04a02532cefb05d0d44d29a833f0,12.167678889081506,12.024547701698179,0.31395903263523883,-0.49679606158982453,0.8657842356149988,0.8871002592912706,138,
A1,102026,26,9ff806f77dce02eab163b232b4c6e7cac159714aa50c240c79fed0031e6aa747,12.417311346380506,12.271494360517497,0.31657547771663985,-0.5881775416244273,0.8702325396424427,0.8871002592912706,138,
A1,102027,27,dfaa2d580b1df992d00d645c1c201916d18c5fb6ec10dd5dfdfd042e064a1f08,9.087451370913811,8.977810325573705,0.27739022006190917,-0.4143443997454918,0.8705498042911062,0.8871002592912706,138,
A1,102028,28,ae6283db33af1e79f9d39fd669f4d4e26a4cd829535da18019d3d572167fc0b0,25.275457357713325,24.989997949194812,0.4137189736436253,-0.4289349278529434,0.8664367686788077,0.8871002592912706,138,
A1,102029,29,1dd48562e731d04fb662b504df5f16eb1dc74bda3e1697c0476314abbec8c428,12.266930669093263,12.122731694195766,0.31500457695789996,-0.48769798660498676,0.8755743994089975,0.8871002592912706,138,
A1,102030,30,02eb402c79900b32bd63e798b710d75dc674108666907d73a6f900c370da06da,16.23428780287619,16.047020792772773,0.35195596367437876,-0.4060487607515783,0.8693327510125447,0.8871002592912706,138,
A1,102031,31,1fb540a279b578122367a1adca41fdacb47e250a14e487e8cee7bad770903c90,15.253812308334389,15.077199101651377,0.34359402794986016,-0.3960832299290975,0.8765800067368567,0.8871002592912706,138,
A1,102032,32,a8bcb28c9425e887ab9f2c48d4bc5ac96fd1908b134775e196cde4c8229d262f,4.118539063035379,4.062893748730654,0.18881672138037553,-0.44989738110567373,0.869025105627912,0.8871002592912706,138,
A1,102033,33,4b151a795014e6c9f6a23f0bb48d33a4778c673715d0d330cb97db286964eb9b,12.887216530026818,12.736264049476864,0.32138471997734586,-0.38832758837172465,0.8704694351320499,0.8871002592912706,138,
A1,102034,34,fa48bfd0b2695d01129f76b61d4e7b70df4d11b08d51b1e4389517aea6de1c45,8.018234803813542,7.920243062731043,0.26231975957265186,-0.44493866499857343,0.8749122487516886,0.8871002592912706,138,
A1,102035,35,604a4c211a40121e90d1a730e50a07e1714f4f71eeb5f834bfc7634ac5da8cf5,15.269713596361868,15.092957669461907,0.34373319797971447,-0.4220315431208589,0.8645026484535995,0.8871002592912706,138,
A1,102036,36,8e748cdac14932dc7a9b55a866719ce1e33bdc40fd52caa86439756eff00625d,9.451851070937881,9.338238164628914,0.282200810832099,-0.43284282926458106,0.8741487275117066,0.8871002592912706,138,
A1,102037,37,79238260248e68e38afbda800fae4a9e34d8e9d8fec8a539ea6f6a6fe171a64b,22.165058293319476,21.913390596400525,0.3949778364561656,-0.41621841780681146,0.8741288987718664,0.8871002592912706,138,
A1,102038,38,18a60c7282cf1cf619addd2cee4cc0c765cb3dab15c39ee5bb3de2f44bb448e3,3.5347457287193613,3.4854797610188193,0.17366481662923294,-0.4575586920617087,0.878854121579073,0.8871002592912706,138,
A1,102039,39,118208fbc29fa8092b15aba18592eed396ae504170019858dfedc09605ff4e71,13.393408620826852,13.237010478446456,0.3264052109661204,-0.48276754026121493,0.867641511054761,0.8871002592912706,138,
A1,102040,40,ee11705318844d1612e74bcbdc6ad72a292c8b84c93dddd0516321dc454b44b4,12.465866643142398,12.31950542256475,0.3170793329524666,-0.3929076055653982,0.8638999546487494,0.8871002592912706,138,
A1,102041,41,f856038c738516c119fc55d65ecb4f39e2dfbe6e4928484c52a8f9d2b504fd06,6.437450877860138,6.356604872302956,0.23681258043999875,-0.43646149077962715,0.8748972901915515,0.8871002592912706,138,
A1,102042,42,a4b46e90ceefc0af9ec3726ca1374a9e9934a42b358d9d117a303d5473397218,3.193270128652588,3.1477062406329344,0.16397242467678508,-0.42564879883749723,0.876080131558516,0.8871002592912706,138,
