symbol,year,month,rows,why
NEAR,2019,10,0,nodata
NEAR,2019,11,0,nodata
NEAR,2019,12,0,nodata
NEAR,2019,2,0,nodata
NEAR,2019,3,0,nodata
NEAR,2019,4,0,nodata
NEAR,2019,5,0,nodata
NEAR,2019,6,0,nodata
NEAR,2019,7,0,nodata
NEAR,2019,8,0,nodata
NEAR,2019,9,0,nodata
NEAR,2020,1,0,nodata
NEAR,2020,10,0,nodata
NEAR,2020,11,0,nodata
NEAR,2020,12,0,nodata
NEAR,2020,2,0,nodata
NEAR,2020,3,0,nodata
NEAR,2020,4,0,nodata
NEAR,2020,5,0,nodata
NEAR,2020,6,0,nodata
NEAR,2020,7,0,nodata
NEAR,2020,8,0,nodata
NEAR,2020,9,0,nodata
NEAR,2021,1,0,nodata
NEAR,2021,10,0,nodata
NEAR,2021,11,0,nodata
NEAR,2021,12,0,nodata
NEAR,2021,2,0,nodata
NEAR,2021,3,0,nodata
NEAR,2021,4,0,nodata
