stock_id,name,market,kind,first_seen,last_seen
00834B,第一金金融債10+,tpex,etf,2026-09-02,2026-09-02
00836B,永豐10年A公司債,tpex,etf,2026-09-02,2026-09-02
00840B,凱基IG精選15+,tpex,etf,2026-09-02,2026-09-02
00841B,凱基AAA-AA公司債,tpex,etf,2026-09-02,2026-09-02
00842B,台新美元銀行債,tpex,etf,2026-09-02,2026-09-02
00844B,台新15年IG金融債,tpex,etf,2026-09-02,2026-09-02
00845B,富邦新興投等債,tpex,etf,2026-09-02,2026-09-02
00846B,富邦歐洲銀行債,tpex,etf,2026-09-02,2026-09-02
00847B,中信美國市政債,tpex,etf,2026-09-02,2026-09-02
00848B,中信新興亞洲債,tpex,etf,2026-09-02,2026-09-02
00849B,中信EM主權債0-5,tpex,etf,2026-09-02,2026-09-02
00850,元大臺灣ESG永續,twse,etf,2026-09-02,2026-09-02
00851,台新全球AI,twse,etf,2026-09-02,2026-09-02
00852L,國泰美國道瓊正2,twse,etf,2026-09-02,2026-09-02
00853B,統一美債10年Aa-A,tpex,etf,2026-09-02,2026-09-02
00856B,永豐1-3年美公債,tpex,etf,2026-09-02,2026-09-02
00857B,永豐20年美公債,tpex,etf,2026-09-02,2026-09-02
00858,永豐美國500大,tpex,etf,2026-09-02,2026-09-02
00859B,群益0-1年美債,tpex,etf,2026-09-02,2026-09-02
00860B,群益1-5Y投資級債,tpex,etf,2026-09-02,2026-09-02
00861,元大全球未來通訊,twse,etf,2026-09-02,2026-09-02
00862B,中信投資級公司債,tpex,etf,2026-09-02,2026-09-02
00863B,中信全球電信債,tpex,etf,2026-09-02,2026-09-02
00864B,中信美國公債0-1,tpex,etf,2026-09-02,2026-09-02
00865B,國泰US短期公債,twse,etf,2026-09-02,2026-09-02
00867B,台新A-BBB電信債,tpex,etf,2026-09-02,2026-09-02
00870B,元大15年EM主權債,tpex,etf,2026-09-02,2026-09-02
00875,國泰網路資安,twse,etf,2026-09-02,2026-09-02
00876,元大全球5G,twse,etf,2026-09-02,2026-09-02
00877,復華中國5G,tpex,etf,2026-09-02,2026-09-02
00878,國泰永續高股息,twse,etf,2026-09-02,2026-09-02
00881,國泰台灣科技龍頭,twse,etf,2026-09-02,2026-09-02
00882,中信中國高股息,twse,etf,2026-09-02,2026-09-02
00884B,中信低碳新興債,tpex,etf,2026-09-02,2026-09-02
00885,富邦越南,twse,etf,2026-09-02,2026-09-02
00886,永豐美國科技,tpex,etf,2026-09-02,2026-09-02
00887,永豐中國科技50大,tpex,etf,2026-09-02,2026-09-02
00888,永豐台灣ESG,tpex,etf,2026-09-02,2026-09-02
00890B,凱基ESG BBB債15+,tpex,etf,2026-09-02,2026-09-02
00891,中信關鍵半導體,twse,etf,2026-09-02,2026-09-02
00892,富邦台灣半導體,twse,etf,2026-09-02,2026-09-02
00893,國泰智能電動車,twse,etf,2026-09-02,2026-09-02
00894,中信小資高價30,twse,etf,2026-09-02,2026-09-02
00895,富邦未來車,twse,etf,2026-09-02,2026-09-02
00896,中信綠能及電動車,twse,etf,2026-09-02,2026-09-02
00897,富邦基因免疫生技,twse,etf,2026-09-02,2026-09-02
00898,國泰基因免疫革命,twse,etf,2026-09-02,2026-09-02
00899,FT潔淨能源,twse,etf,2026-09-02,2026-09-02
00900,富邦特選高股息30,twse,etf,2026-09-02,2026-09-02
00901,永豐智能車供應鏈,twse,etf,2026-09-02,2026-09-02
00902,中信電池及儲能,twse,etf,2026-09-02,2026-09-02
00903,富邦元宇宙,twse,etf,2026-09-02,2026-09-02
00904,台新臺灣半導體30,twse,etf,2026-09-02,2026-09-02
00905,FT臺灣Smart,twse,etf,2026-09-02,2026-09-02
00907,永豐優息存股,twse,etf,2026-09-02,2026-09-02
00908,富邦入息REITs+,twse,etf,2026-09-02,2026-09-02
00909,國泰數位支付服務,twse,etf,2026-09-02,2026-09-02
00910,第一金太空衛星,twse,etf,2026-09-02,2026-09-02
00911,兆豐洲際半導體,twse,etf,2026-09-02,2026-09-02
00912,中信臺灣智慧50,twse,etf,2026-09-02,2026-09-02
00913,兆豐台灣晶圓製造,twse,etf,2026-09-02,2026-09-02
00915,凱基優選高股息30,twse,etf,2026-09-02,2026-09-02
00916,國泰全球品牌50,twse,etf,2026-09-02,2026-09-02
00917,中信特選金融,twse,etf,2026-09-02,2026-09-02
00918,大華優利高填息30,twse,etf,2026-09-02,2026-09-02
00919,群益台灣精選高息,twse,etf,2026-09-02,2026-09-02
00920,富邦ESG綠色電力,twse,etf,2026-09-02,2026-09-02
00921,兆豐龍頭等權重,twse,etf,2026-09-02,2026-09-02
00922,國泰台灣領袖50,twse,etf,2026-09-02,2026-09-02
00923,群益台ESG低碳50,twse,etf,2026-09-02,2026-09-02
00924,復華S&P500成長,twse,etf,2026-09-02,2026-09-02
00926,凱基全球菁英55,twse,etf,2026-09-02,2026-09-02
00927,群益半導體收益,twse,etf,2026-09-02,2026-09-02
00928,中信上櫃ESG 30,tpex,etf,2026-09-02,2026-09-02
00929,復華台灣科技優息,twse,etf,2026-09-02,2026-09-02
00930,永豐ESG低碳高息,twse,etf,2026-09-02,2026-09-02
00931B,統一美債20年,tpex,etf,2026-09-02,2026-09-02
00932,兆豐永續高息等權,twse,etf,2026-09-02,2026-09-02
00933B,國泰10Y+金融債,tpex,etf,2026-09-02,2026-09-02
00934,中信成長高股息,twse,etf,2026-09-02,2026-09-02
00935,野村臺灣新科技50,twse,etf,2026-09-02,2026-09-02
00936,台新永續高息中小,twse,etf,2026-09-02,2026-09-02
00937B,群益ESG投等債20+,tpex,etf,2026-09-02,2026-09-02
00938,凱基優選30,twse,etf,2026-09-02,2026-09-02
00939,統一台灣高息動能,twse,etf,2026-09-02,2026-09-02
00940,元大台灣價值高息,twse,etf,2026-09-02,2026-09-02
00941,中信上游半導體,twse,etf,2026-09-02,2026-09-02
00942B,台新美A公司債20+,tpex,etf,2026-09-02,2026-09-02
00943,兆豐電子高息等權,twse,etf,2026-09-02,2026-09-02
00944,野村趨勢動能高息,twse,etf,2026-09-02,2026-09-02
00945B,凱基美國非投等債,twse,etf,2026-09-02,2026-09-02
00946,群益科技高息成長,twse,etf,2026-09-02,2026-09-02
