stock_id,roc_year,volume,amount,transactions,high,high_date,low,low_date,avg_close,asof
1101,90,1884731211,21413943866,327735,19.90,2/05,7.00,11/30,10.84,20260909
1101,91,4689899084,49714536126,597953,13.90,4/23,7.10,10/04,9.99,20260909
1101,92,8585837061,120207437824,1074848,18.00,11/05,9.85,5/02,13.38,20260909
1101,93,5485320455,99820233639,757635,21.80,3/02,13.45,6/18,17.55,20260909
1101,94,2394787904,48137984259,365817,24.20,12/29,17.50,4/01,20.02,20260909
1101,95,2583983536,65383983531,435681,31.10,12/04,20.85,6/13,25.13,20260909
1101,96,4126638970,167703307146,967113,57.80,10/29,24.90,3/05,37.75,20260909
1101,97,5751198365,216149688843,1521166,60.70,3/24,14.15,10/28,38.48,20260909
1101,98,4451668530,141790897674,1265913,39.80,8/10,21.90,1/21,32.42,20260909
1101,99,3412904787,104291531761,940779,36.40,1/07,24.60,5/07,30.43,20260909
1102,100,2367931176,86008126823,729593,48.30,7/22,28.25,9/26,35.72,20260909
1102,101,1142541441,41489118515,406497,40.10,8/13,32.90,5/18,36.29,20260909
1102,102,1117937941,41582699323,392316,40.30,10/17,34.85,6/25,37.41,20260909
1102,103,1144870826,44910614209,438900,44.50,8/25,35.60,2/05,39.29,20260909
1102,104,894178189,31510984103,456099,39.85,4/24,26.85,12/16,35.33,20260909
1102,105,917869591,25207678262,456290,31.15,8/24,23.00,5/26,27.52,20260909
1102,106,799203970,22290771030,346579,32.00,4/06,25.50,6/19,27.74,20260909
1102,107,2244199584,79213084019,930462,45.75,8/29,26.70,2/09,34.10,20260909
1102,108,2118686741,90561606758,930209,48.90,6/27,33.55,1/04,42.62,20260909
1102,109,1984094873,85755730130,844430,49.90,1/03,35.20,3/19,43.20,20260909
1102,110,2532688200,119617711650,1056636,54.30,4/22,40.00,1/29,46.33,20260909
1102,111,1646870048,70852142282,800035,48.70,3/31,36.60,11/03,43.38,20260909
1102,112,1322878806,55314936725,709487,44.80,7/19,38.20,7/24,42.04,20260909
1102,113,1865579526,80848076540,1002076,48.40,9/30,39.20,2/15,43.07,20260909
1102,114,1962926652,79934968035,915350,47.40,4/01,35.00,11/05,40.48,20260909
1102,80,437053826,30426050708,148581,81.00,5/10,44.50,1/16,68.17,20260909
1102,81,133893110,8874263737,39563,78.50,1/29,50.00,9/18,63.08,20260909
1102,82,405571711,22745671771,73940,66.00,3/05,45.80,9/16,54.02,20260909
1102,83,535993322,29863471979,83617,69.00,1/06,48.00,10/11,55.08,20260909
1102,84,581003147,30022065025,80307,61.50,2/25,35.40,11/23,48.91,20260909
1102,85,542678240,26456788583,90807,56.00,6/29,39.00,1/06,48.47,20260909
1102,86,597509042,27678037648,125102,56.00,3/14,35.10,10/30,44.72,20260909
1102,87,537632236,17147686923,103171,38.70,1/03,25.30,9/01,32.07,20260909
1102,88,858162705,22800270078,170445,33.00,4/21,18.90,2/05,25.88,20260909
1102,89,1586935625,43227671288,332544,43.30,2/21,13.40,10/03,22.26,20260909
1102,90,428884000,5498053685,94323,20.30,1/04,8.70,11/05,12.23,20260909
1102,91,1130956667,13529514269,172040,15.10,4/25,8.80,10/04,11.63,20260909
1102,92,1763601858,27355020752,228502,18.80,12/29,10.75,4/28,14.66,20260909
1102,93,3118760610,66041607193,392370,27.30,3/15,15.20,8/09,20.47,20260909
1102,94,834743209,16951235152,144824,22.80,1/03,16.80,10/20,19.88,20260909
1102,95,1188932181,29365362429,232358,33.00,12/04,18.50,1/02,24.32,20260909
1102,96,2092978335,89447917422,499261,58.90,10/12,29.85,3/05,40.70,20260909
1102,97,3185392748,130826403588,858337,61.30,5/20,16.20,10/29,41.52,20260909
1102,98,3256176177,109213648350,883790,39.00,5/19,23.05,1/21,33.45,20260909
1102,99,1514654235,46723403073,457743,36.10,1/06,25.65,5/21,30.69,20260909
1103,100,501731407,8666180120,131292,20.30,7/22,11.15,12/20,16.34,20260909
1103,101,183765045,2531972776,51860,15.70,10/05,11.60,1/09,13.52,20260909
1103,102,164282718,2415926032,52091,16.50,12/05,12.80,4/16,14.20,20260909
1103,103,110635282,1715122057,40922,17.10,4/17,13.65,12/17,15.20,20260909
1103,104,67892527,838766257,29931,14.75,4/16,7.97,8/25,11.94,20260909
1103,105,60249717,538522558,29675,9.78,3/11,8.15,6/24,8.94,20260909
1103,106,182955122,2086664363,60723,13.55,12/29,8.60,1/09,11.21,20260909
1103,107,237504926,3200919795,78665,15.65,8/15,10.80,3/28,13.18,20260909
1103,108,345219993,6125104423,109489,22.85,12/30,13.45,1/04,16.69,20260909
1103,109,332956779,5815945582,123541,22.70,1/02,12.55,3/23,17.40,20260909
1103,110,460297116,10366988877,191443,28.15,4/22,16.40,1/22,20.88,20260909
1103,111,88397146,1693191486,53765,21.55,2/24,15.70,10/26,18.49,20260909
1103,112,160551790,3297447340,96217,23.80,6/20,17.25,1/03,19.42,20260909
1103,113,96518476,1737923056,89240,19.00,5/31,16.85,12/31,17.93,20260909
1103,114,107052366,1596818299,80386,17.50,2/17,12.75,11/05,14.72,20260909
1103,80,876466249,49372591917,294365,75.00,6/20,35.70,1/17,55.69,20260909
1103,81,315672163,16630018381,92959,63.50,1/27,34.80,12/29,49.75,20260909
1103,82,361142472,14686078129,86762,45.70,12/31,32.80,1/07,39.28,20260909
1103,83,419757519,16888603851,74233,54.00,1/08,29.80,11/29,37.90,20260909
1103,84,1242890609,42425256387,228361,46.60,2/15,18.40,8/15,28.98,20260909
1103,85,868283237,21748236704,155514,29.30,7/02,19.90,3/06,24.11,20260909
1103,86,1169461075,30715532926,196254,32.50,3/15,19.30,10/29,24.50,20260909
1103,87,886658168,19281198170,143292,27.00,4/09,15.00,12/31,21.13,20260909
1103,88,424664424,5548970615,80730,15.60,10/04,9.60,12/27,12.29,20260909
1103,89,287852369,3049182136,52106,14.95,2/22,5.95,11/21,8.93,20260909
1103,90,105723158,743822634,15642,8.50,2/21,5.70,10/09,6.82,20260909
1103,91,1225165052,15995871010,171374,16.80,12/11,7.00,1/29,10.62,20260909
1103,92,2224838357,37453050483,350459,22.90,11/06,11.10,5/02,16.39,20260909
1103,93,1667913609,30461266247,258565,23.70,3/03,12.85,5/17,16.85,20260909
1103,94,370126747,4994488199,65426,15.90,1/03,10.65,4/21,13.38,20260909
1103,95,1077594974,20412875496,216919,23.00,12/01,12.30,3/01,16.76,20260909
1103,96,1688968561,44007782418,376262,35.00,10/01,18.00,12/21,23.59,20260909
1103,97,736219870,17132695935,210791,33.55,4/17,8.07,10/28,20.51,20260909
1103,98,784245674,13030258214,208481,20.50,10/14,10.80,3/03,15.68,20260909
1103,99,485140859,7831374877,125452,18.90,1/05,12.45,5/25,15.38,20260909
1104,100,195901044,3406113875,53100,20.45,1/04,12.75,12/19,16.89,20260909
1104,101,95420355,1395625332,34499,16.40,12/19,12.35,6/15,14.09,20260909
1104,102,317488328,7250401391,113047,35.20,12/09,15.90,1/02,20.72,20260909
1104,103,138606862,4016736792,67419,32.00,2/19,25.40,12/15,28.44,20260909
1104,104,132543426,3549081909,57327,32.95,4/30,18.65,8/24,25.59,20260909
1104,105,127954405,2916831357,45780,26.15,10/05,19.70,5/13,22.46,20260909
1104,106,63807205,1570579468,33193,27.25,4/06,22.05,8/11,24.38,20260909
1104,107,82922325,1744722050,33302,23.35,1/15,18.40,10/30,20.76,20260909
1104,108,73871973,1419107002,37776,20.20,7/11,18.50,11/22,19.24,20260909
1104,109,222302481,4337001618,91857,24.45,11/26,13.65,3/23,18.84,20260909
1104,110,320874693,7758986286,151196,29.80,4/22,20.25,10/05,22.18,20260909
1104,111,119615306,2559311090,68912,22.90,12/14,19.50,5/10,21.42,20260909
1104,112,409802201,11566654824,227869,31.90,6/14,21.90,1/03,27.32,20260909
1104,113,255004424,8259158301,185223,37.15,7/05,27.35,12/16,31.32,20260909
1104,114,210118181,6311906575,159193,32.85,10/21,25.70,4/09,29.37,20260909
1104,80,661967624,38130709226,246090,69.00,5/10,38.50,1/17,56.32,20260909
1104,81,394354559,22174758567,120141,64.00,2/10,46.00,8/20,55.01,20260909
1104,82,484352622,25558613553,134119,63.50,3/05,39.60,9/16,49.30,20260909
1104,83,282657756,12277516349,80509,55.00,1/06,34.30,10/11,40.85,20260909
1104,84,533283555,18368448743,111271,44.20,2/25,19.60,8/15,29.88,20260909
1104,85,418631606,10523689656,88763,29.90,4/15,21.20,1/06,24.58,20260909
1104,86,470411789,10764138398,99433,28.20,3/13,15.00,12/01,20.43,20260909
1104,87,869086516,15395956213,132627,20.60,10/09,14.10,6/02,16.63,20260909
1104,88,613926110,8069057780,96533,17.60,4/06,9.40,12/28,12.54,20260909
1104,89,383086077,3569270779,57938,13.55,2/18,4.06,11/22,8.04,20260909
1104,90,200841142,1207599723,23251,7.00,9/21,4.00,7/19,5.54,20260909
1104,91,1047777154,9094629992,131073,10.60,7/09,5.55,1/28,7.79,20260909
1104,92,1551361134,17517802923,237724,15.20,11/06,7.20,5/02,10.50,20260909
1104,93,867469489,12206084889,149430,16.50,3/15,10.00,8/18,12.82,20260909
1104,94,285887496,3330913825,50033,13.20,1/04,9.95,10/20,11.45,20260909
1104,95,556230995,6777087761,96827,15.00,12/05,9.90,3/27,11.19,20260909
1104,96,751322488,12212029488,151610,20.80,7/18,11.25,12/18,14.30,20260909
1104,97,742944638,15534717680,165323,30.00,7/29,12.00,12/12,18.37,20260909
1104,98,421925293,6758595277,120252,18.75,11/13,11.20,3/03,15.01,20260909
1104,99,345684658,6206629308,98633,22.20,10/08,13.40,5/25,16.52,20260909
1108,100,172762675,1307312077,50110,9.20,5/12,5.05,11/24,6.89,20260909
1108,101,115708480,715733052,26664,6.79,12/28,5.16,1/18,6.12,20260909
1108,102,123878163,939538051,32110,8.50,11/29,6.60,1/25,7.56,20260909
1108,103,247955038,2372080700,62845,11.05,9/05,7.88,2/05,9.32,20260909
1108,104,134718949,1443941564,44245,11.80,3/20,9.10,8/24,10.44,20260909
1108,105,56356728,552061450,16416,10.45,7/19,8.96,11/09,9.65,20260909
1108,106,77498483,736989725,20746,10.45,2/10,8.29,12/22,9.19,20260909
1108,107,68586232,548561879,14780,8.82,1/12,6.82,10/29,7.84,20260909
1108,108,31087253,235335194,10371,8.81,12/30,6.67,2/12,7.27,20260909
1108,109,272635820,3050014641,84741,13.30,12/28,5.31,3/23,9.54,20260909
1108,110,525857546,7897469645,196523,20.15,5/07,10.45,1/22,12.75,20260909
1108,111,48837795,541799235,25631,12.15,3/28,9.92,10/13,11.01,20260909
1108,112,353343143,5439068877,150968,19.00,8/07,10.65,1/03,14.88,20260909
1108,113,174893817,2825614700,74467,17.55,4/18,14.25,10/17,15.67,20260909
1108,114,50071853,740645217,26159,15.60,8/19,12.70,4/09,14.81,20260909
1108,80,487781246,27795689329,173770,71.50,5/06,32.10,1/17,55.46,20260909
1108,81,121027182,6750590807,42748,66.50,1/27,39.70,8/20,52.94,20260909
1108,82,210718631,9708335911,58564,55.50,3/04,34.80,9/07,43.20,20260909
1108,83,156152445,6087520633,36029,50.00,1/07,28.00,10/11,36.39,20260909
1108,84,382815347,12769728670,83286,42.00,2/25,21.30,8/15,29.87,20260909
1108,85,211932262,6320905031,46029,33.70,12/18,24.30,1/06,29.13,20260909
1108,86,244847478,7124281192,45567,35.40,3/13,17.30,11/15,25.28,20260909
1108,87,150091236,2988919117,32963,22.70,3/13,15.10,12/31,18.86,20260909
1108,88,170768292,2285810657,35839,16.80,10/05,9.55,11/08,12.10,20260909
1108,89,113940261,1113774761,21183,14.40,2/18,3.65,12/22,8.05,20260909
1108,90,51551576,193848699,10189,6.15,2/08,2.24,11/29,3.60,20260909
1108,91,560049020,3272848436,82659,8.15,3/15,2.90,1/24,5.16,20260909
1108,92,664758573,4257239783,97408,8.90,12/31,3.83,5/02,5.46,20260909
1108,93,939397648,9967820217,151265,13.65,4/20,7.20,8/18,9.88,20260909
1108,94,197121017,1555155344,39565,9.80,1/03,6.55,10/20,7.72,20260909
1108,95,434334606,3909410875,71118,10.70,12/21,6.70,3/22,8.14,20260909
1108,96,1056205819,14952877435,228904,17.85,7/18,7.35,12/21,11.79,20260909
1108,97,508389035,5666942006,136579,14.80,5/20,4.65,10/28,8.98,20260909
1108,98,363065143,2885000855,94332,9.98,8/18,5.07,2/24,7.52,20260909
1108,99,156926634,1264282648,42836,9.35,1/19,6.81,5/27,7.72,20260909
1109,100,41907815,441976993,10708,11.80,8/02,9.66,3/17,10.54,20260909
1109,101,20035670,212031764,5910,11.55,3/23,10.00,6/04,10.55,20260909
1109,102,27898777,302090240,7613,12.20,12/30,10.30,8/19,10.70,20260909
1109,103,50429135,705784779,18774,16.60,6/30,11.55,2/07,13.52,20260909
1109,104,19304722,236609263,8326,14.70,4/01,9.60,8/25,12.02,20260909
1109,105,14545272,149874201,5269,11.50,8/26,9.60,1/27,10.06,20260909
1109,106,24178364,276685928,9425,13.70,12/19,9.96,1/06,10.97,20260909
1109,107,51549658,765126040,19526,16.95,7/27,11.50,10/30,14.47,20260909
1109,108,174041585,3143091701,69955,21.20,12/31,13.25,1/02,17.10,20260909
1109,109,121193201,2283605088,51563,21.60,12/07,13.60,3/19,18.28,20260909
1109,110,207823721,5131072057,100163,31.50,5/11,18.00,1/22,22.63,20260909
1109,111,48229147,899858543,28513,21.85,4/06,14.00,10/21,18.44,20260909
1109,112,46623158,827091173,26731,18.90,6/13,15.50,1/03,17.64,20260909
1109,113,82462236,1566524890,55735,21.05,5/03,16.70,8/06,18.66,20260909
1109,114,26254318,432934036,30481,18.15,3/03,15.30,11/19,16.51,20260909
1109,80,22476569,1511852024,12325,72.50,12/07,63.50,12/17,66.39,20260909
1109,81,198825454,13453999542,53878,83.00,3/07,42.90,9/18,65.21,20260909
1109,82,490367007,22934499798,116445,64.00,3/23,34.80,9/25,46.91,20260909
1109,83,180380383,7445461521,42962,52.00,1/07,30.50,11/01,37.20,20260909
1109,84,388015923,14967013276,78400,44.00,2/28,30.10,11/30,35.52,20260909
1109,85,165525258,6086616631,34398,42.80,12/31,30.50,1/06,34.82,20260909
1109,86,255384145,10340820347,53828,49.20,3/22,25.10,10/29,36.22,20260909
1109,87,87399429,2447350715,19836,35.70,3/09,19.00,12/31,27.76,20260909
1109,88,62408048,1108991751,13950,23.00,5/07,11.80,11/10,17.00,20260909
1109,89,53896527,721689175,12139,17.10,2/17,8.50,10/02,12.48,20260909
1109,90,10908521,112616137,3555,13.10,1/30,8.70,11/12,10.55,20260909
1109,91,28739055,288225805,9613,12.20,4/25,7.95,10/08,9.57,20260909
1109,92,116661447,1093301295,23483,11.40,1/17,7.50,5/02,8.79,20260909
1109,93,134618751,1496487512,27978,13.25,3/15,8.65,6/21,10.31,20260909
1109,94,56012745,565249147,10255,11.15,1/10,8.70,10/21,9.46,20260909
1109,95,193446073,2257241931,36553,13.80,12/05,8.95,1/02,10.51,20260909
1109,96,184363573,2332534727,39919,14.40,7/18,10.20,12/18,11.99,20260909
1109,97,157119190,1918320419,39181,16.10,5/20,6.40,10/27,10.35,20260909
1109,98,104540260,1016813364,29878,11.55,8/17,7.80,1/21,9.59,20260909
1109,99,51180265,518052416,15922,11.20,1/11,9.40,2/09,9.99,20260909
1110,100,98740866,1260831862,31011,14.80,3/30,9.45,12/20,11.70,20260909
1110,101,69348495,866890793,18883,14.70,9/24,9.50,1/09,12.16,20260909
1110,102,80342180,1156676873,15896,17.65,12/31,13.10,2/21,15.15,20260909
1110,103,43390798,715044364,12026,17.80,1/02,13.90,10/24,16.24,20260909
1110,104,24347183,372294288,12367,18.00,5/18,12.10,8/24,15.38,20260909
1110,105,17997760,271869417,4730,16.55,11/11,13.40,1/21,15.11,20260909
1110,106,55458292,842415387,4157,17.20,3/08,13.90,12/26,15.29,20260909
1110,107,13579066,193890046,5360,17.50,12/25,13.20,10/12,14.04,20260909
1110,108,13704588,226704995,5188,17.85,6/13,15.10,1/16,16.57,20260909
1110,109,27796999,460114341,8124,18.40,12/30,13.05,3/19,16.51,20260909
1110,110,136743738,2665031512,58199,23.60,11/22,14.40,5/17,17.96,20260909
1110,111,85260635,1685128127,33831,22.85,3/25,16.70,10/20,18.94,20260909
1110,112,50093928,945863962,21342,20.45,7/27,17.50,4/06,18.66,20260909
1110,113,100436322,2185543836,57513,25.10,6/07,17.45,3/20,20.64,20260909
1110,114,49495551,910225681,31983,21.30,5/22,16.05,11/05,18.32,20260909
1110,83,72170332,3045316284,21089,47.60,12/22,35.30,12/28,41.65,20260909
1110,84,124226447,3716463787,29087,39.20,1/19,18.30,8/15,29.15,20260909
1110,85,217996883,5838908121,47090,34.90,12/31,20.90,7/26,25.61,20260909
1110,86,379349679,10307500171,74601,34.20,3/13,15.60,10/28,23.80,20260909
1110,87,453374037,8495894012,69074,23.80,4/09,11.10,12/31,17.40,20260909
1110,88,296109241,3421981783,48365,13.90,10/05,9.35,11/03,11.01,20260909
1110,89,121902033,1191195276,25127,13.45,2/18,4.60,11/22,8.12,20260909
1110,90,55677470,304583294,6367,6.60,2/21,4.31,5/18,5.07,20260909
1110,91,177450999,1101541811,25220,7.80,12/24,4.65,9/09,5.69,20260909
1110,92,663949593,5109627890,86329,9.20,1/09,5.30,3/12,7.11,20260909
1110,93,913675303,9390849219,136798,13.15,3/16,7.15,8/18,9.10,20260909
1110,94,211983318,1527095541,36440,9.35,1/03,5.22,10/31,6.84,20260909
1110,95,528840880,4852267938,82038,13.30,12/25,5.91,3/17,7.32,20260909
1110,96,619205405,7699520351,126299,15.45,7/18,9.30,3/05,11.64,20260909
1110,97,825754605,11342981556,191524,19.50,4/18,6.19,10/27,11.43,20260909
1110,98,313289896,3475930873,74925,13.40,6/02,7.40,3/03,10.60,20260909
1110,99,166570629,2040567214,40515,13.80,10/11,9.75,2/08,11.87,20260909
1201,100,930574031,32235414125,347756,40.90,8/02,26.20,9/27,33.35,20260909
1201,101,493273597,16514194828,181185,37.30,3/03,29.30,6/04,33.01,20260909
1201,102,631951568,30254256550,255237,60.10,10/15,36.25,1/02,49.96,20260909
1201,103,610653610,19497099384,251984,52.50,1/02,21.95,10/17,40.74,20260909
1201,104,335018956,7197475656,138264,26.80,1/26,15.85,12/10,21.54,20260909
1201,105,226483564,4456315330,96319,23.20,3/15,16.65,1/14,19.00,20260909
1201,106,245091532,4734818342,100763,21.55,10/27,17.35,1/10,18.94,20260909
1201,107,329932865,7599486041,134678,25.50,4/12,18.40,10/29,22.66,20260909
1201,108,639122749,18104493696,291728,36.45,6/26,20.75,1/30,26.26,20260909
1201,109,397729591,8423827050,174707,25.35,1/03,15.80,3/19,21.18,20260909
1201,110,466672782,10401327943,201555,25.50,4/29,19.90,2/03,21.76,20260909
1201,111,140834818,2957426694,114703,23.20,4/29,17.85,10/20,20.44,20260909
1201,112,96849723,1919086283,101724,21.60,3/03,18.30,10/04,19.59,20260909
1201,113,111680180,2068109320,96180,19.60,3/04,17.40,8/06,18.48,20260909
1201,114,77600179,1255629417,64320,18.30,3/13,14.50,12/30,16.19,20260909
1201,80,1127400458,46975227411,321552,51.00,4/29,26.50,1/17,40.34,20260909
1201,81,734311775,32918144653,204281,56.00,2/13,25.20,12/29,40.23,20260909
1201,82,1202435554,38886555877,258531,41.90,4/07,23.30,1/08,29.93,20260909
1201,83,1505356501,51745780849,301487,43.50,12/30,27.10,3/22,31.88,20260909
1201,84,1136455496,33237859190,237595,43.20,1/05,17.80,8/15,28.20,20260909
1201,85,1332209937,33428066933,256146,28.50,4/29,19.90,1/29,23.90,20260909
1201,86,2018073195,76382921651,336297,68.00,12/11,24.80,1/06,38.97,20260909
1201,87,3147062173,181654369106,476446,76.50,3/19,15.40,12/31,62.97,20260909
1201,88,1830392134,36247931302,402754,26.30,3/19,8.00,12/28,16.38,20260909
1201,89,793967241,9586019071,150580,19.00,2/22,6.40,12/28,10.46,20260909
1201,90,752502476,7221270446,149095,14.80,3/23,4.55,11/05,7.95,20260909
1201,91,1551600687,14104819624,256383,14.15,12/11,5.60,10/08,7.64,20260909
1201,92,1500580900,16322274127,256662,15.60,1/21,7.20,5/02,9.75,20260909
1201,93,1752222917,24213260882,308195,18.30,4/20,9.55,1/02,12.58,20260909
1201,94,500735403,5202164970,92208,13.00,1/03,8.01,10/20,10.14,20260909
1201,95,1905798391,28577416613,342813,23.15,12/29,8.13,3/29,12.47,20260909
1201,96,1532951967,38298691459,420000,30.50,4/23,14.00,12/21,23.83,20260909
1201,97,1144393346,22629132545,363832,24.50,4/24,13.10,10/28,19.14,20260909
1201,98,2381237108,85295511160,747454,48.85,12/10,15.85,3/03,34.25,20260909
1201,99,1767118263,65070432857,636864,44.00,1/07,28.55,2/06,36.16,20260909
1203,100,70638546,1703701190,32539,27.35,8/03,18.40,12/19,22.50,20260909
1203,101,44939363,966633916,23317,23.90,9/27,18.55,5/25,20.58,20260909
1203,102,65743691,1540355330,28986,26.50,10/30,20.00,4/12,22.29,20260909
1203,103,53999886,1297914931,25763,26.30,7/24,21.40,5/30,23.56,20260909
1203,104,26070578,584862367,12890,24.80,5/04,19.20,9/02,22.52,20260909
1203,105,22571179,494587099,9047,23.30,12/08,21.00,3/25,22.05,20260909
1203,106,17081337,417203438,11853,26.00,5/31,22.50,11/01,24.32,20260909
1203,107,17207008,449293743,10680,28.30,1/12,24.20,10/29,25.76,20260909
1203,108,15759402,418474470,10430,27.90,11/06,25.55,5/14,26.48,20260909
1203,109,23548717,707717109,16018,38.60,12/16,24.45,3/19,30.46,20260909
1203,110,15683731,565023278,16869,39.95,5/18,31.00,10/05,34.54,20260909
1203,111,8127697,271354569,12339,36.90,12/14,30.15,9/30,33.18,20260909
1203,112,7035421,295398626,18077,57.00,12/29,34.40,1/04,41.83,20260909
1203,113,5522180,276503616,20155,59.50,1/02,38.70,12/31,50.15,20260909
1203,114,7593606,295434082,24155,42.80,5/06,34.25,4/07,39.20,20260909
1203,80,233334210,13084635142,87643,70.00,4/01,40.80,10/22,53.56,20260909
1203,81,135165048,6148213148,43114,52.00,1/24,34.90,9/18,42.61,20260909
1203,82,154921285,5807842394,39600,44.00,4/07,31.30,9/16,35.77,20260909
1203,83,102283182,3547038496,29197,42.40,1/06,30.00,12/01,34.04,20260909
1203,84,196818078,5307370456,45618,36.30,2/28,20.00,8/15,26.51,20260909
1203,85,646939586,17640656923,128785,32.40,11/05,21.30,2/01,25.32,20260909
1203,86,642169358,21293608860,140334,39.00,3/12,25.00,7/17,31.29,20260909
1203,87,876737524,27089761888,206939,41.50,4/07,18.00,9/01,27.55,20260909
1203,88,253902879,4238629919,55265,19.70,4/28,10.60,12/17,14.76,20260909
1203,89,124973566,1914248828,25003,18.80,4/07,5.50,10/20,12.97,20260909
1203,90,6210972,33235684,938,7.70,2/20,2.37,10/26,5.76,20260909
1203,91,30395985,222332735,7191,10.35,8/05,2.64,7/05,7.01,20260909
1203,92,142086334,1440421793,31034,12.35,11/17,5.95,4/30,8.87,20260909
1203,93,686474455,10047507566,134092,18.50,3/09,9.45,8/18,12.24,20260909
1203,94,115955583,1194916668,26101,13.20,1/04,7.89,5/16,9.57,20260909
1203,95,137416630,1750950920,32697,16.65,12/18,9.70,6/09,11.76,20260909
1203,96,382057331,9476281013,117243,33.70,7/19,13.40,3/05,19.42,20260909
1203,97,291222383,6834894127,105041,30.10,4/16,8.78,10/28,18.71,20260909
1203,98,327711222,7708929526,110971,27.95,7/06,11.40,3/04,21.36,20260909
1203,99,194058886,5069318272,77471,29.40,1/18,21.50,2/06,24.99,20260909
1210,100,770315226,25380469222,284217,39.60,8/02,26.10,9/26,31.42,20260909
1210,101,392290480,11395250907,157689,32.95,3/03,24.50,11/05,28.26,20260909
1210,102,275449731,7262124016,122529,28.40,10/28,24.25,4/08,26.18,20260909
1210,103,755829733,23581180755,316075,37.30,8/26,25.10,10/16,29.92,20260909
1210,104,350323916,8292004533,175406,28.40,2/06,15.85,8/24,22.38,20260909
1210,105,651835810,17600176876,309159,31.25,11/22,19.55,1/22,25.60,20260909
1210,106,728236291,23314900800,353936,36.40,7/13,28.00,2/16,31.56,20260909
1210,107,448532917,16450306844,250987,42.15,5/17,28.65,10/30,36.05,20260909
1210,108,501679666,19343636419,301726,45.80,12/19,33.70,3/12,37.86,20260909
1210,109,672860952,29377408187,391784,52.20,12/29,31.40,3/19,43.35,20260909
1210,110,632407033,34765030305,479498,62.90,4/29,47.50,1/20,54.78,20260909
1210,111,288996567,14493075436,295886,57.80,4/15,39.65,10/26,48.62,20260909
1210,112,628162426,34172145600,615595,64.00,8/02,45.00,1/04,52.81,20260909
1210,113,362233552,20234506471,376956,61.80,3/14,50.40,12/20,55.24,20260909
1210,114,593027799,34180252130,587635,66.90,6/30,50.10,1/13,56.29,20260909
1210,80,892576968,37959741041,312283,55.00,6/24,27.00,1/16,41.66,20260909
1210,81,432012302,16278895094,133673,45.30,1/21,23.10,12/29,35.90,20260909
1210,82,658422523,16805706654,162430,32.60,4/07,19.70,9/16,23.96,20260909
1210,83,795696722,19249365146,173188,31.70,1/07,18.60,10/11,22.93,20260909
1210,84,844800100,19489090267,164756,28.20,2/22,13.50,8/15,20.02,20260909
1210,85,530892055,10324906339,106196,21.40,10/28,15.80,3/13,18.95,20260909
1210,86,985985081,23349462881,177087,29.10,4/23,15.30,10/29,21.43,20260909
1210,87,697455843,12850557629,132390,22.50,4/08,13.70,12/30,17.18,20260909
1210,88,299065394,3813460624,58414,14.90,4/27,9.90,8/10,12.18,20260909
1210,89,299571101,3574205237,51244,15.30,2/21,8.15,11/23,10.92,20260909
1210,90,310057544,3138391605,62470,13.35,3/27,8.00,10/30,9.57,20260909
