stock_id,name,market,kind,event_date,prev_trade_date,prev_close,close,ratio,missing_trading_days,adj_events_in_range,cause,limit_on_reopen,source_note,in_universe
020016,統一MSCI美科技N,twse,long_hole,2025-03-03,2025-01-21,31.57,30.1,0.953437,20,0,unknown,flat,,0
00625K,富邦上証+R,twse,long_hole,2025-03-04,2025-01-02,7.41,7.37,0.994602,34,0,unknown,flat,,0
00643K,群益深証中小+R,twse,long_hole,2025-03-19,2024-12-02,2.99,3.12,1.043478,67,0,unknown,flat,,0
02001S,策元大加權策略N,twse,long_hole,2025-03-31,2025-02-25,7.87,7.14,0.907243,22,0,unknown,flat,,0
020011,統一微波高息20N,twse,long_hole,2025-04-30,2025-02-06,10.3,10.03,0.973786,55,0,unknown,,,0
020001,富邦存股雙十N,tpex,long_hole,2025-05-15,2025-04-15,11.09,12.3,1.109107,20,0,unknown,up,,0
020041,兆豐半導體氣候N,tpex,long_hole,2025-06-03,2025-04-24,4.7,4.87,1.036170,25,0,unknown,down,,0
1225,福懋油,twse,long_hole,2025-06-23,2025-04-02,29.65,32.6,1.099494,53,0,unknown,flat,,1
00625K,富邦上証+R,twse,long_hole,2025-07-04,2025-05-28,7.4,7.65,1.033784,25,0,unknown,flat,,0
02001S,策元大加權策略N,twse,long_hole,2025-07-09,2025-05-09,7.03,7.41,1.054054,41,0,unknown,flat,,0
020001,富邦存股雙十N,tpex,long_hole,2025-07-16,2025-06-03,12.31,13.17,1.069862,30,0,unknown,up,,0
6236,中湛,tpex,long_hole,2025-07-24,2025-06-12,27.7,26,0.938628,29,0,unknown,down,,1
020011,統一微波高息20N,twse,long_hole,2025-07-31,2025-05-29,10.24,10.62,1.037109,43,0,unknown,flat,,0
00643K,群益深証中小+R,twse,long_hole,2025-08-01,2025-05-06,2.74,3.19,1.164234,61,0,unknown,,,0
02001S,策元大加權策略N,twse,long_hole,2025-09-09,2025-08-06,7.83,8.28,1.057471,23,0,unknown,flat,,0
5481,新華,tpex,long_hole,2025-09-19,2025-05-19,25.35,22.85,0.901381,87,0,unknown,,,1
020011,統一微波高息20N,twse,long_hole,2025-09-25,2025-07-31,10.62,10.81,1.017891,39,0,unknown,flat,,0
020041,兆豐半導體氣候N,tpex,long_hole,2025-10-03,2025-08-29,5.88,6.74,1.146259,23,0,unknown,down,,0
