stock_id,name,market,industry_code,industry_name,listed_date
2231,為升,twse,12,汽車工業,20101119
2233,宇隆,twse,12,汽車工業,20190917
2235,謚源,tpex,05,電機機械,
2236,百達-KY,twse,12,汽車工業,20150603
2237,華德動能-創,twse,12,汽車工業,20260810
2239,英利-KY,twse,12,汽車工業,20160127
2241,艾姆勒,twse,12,汽車工業,20200826
2243,宏旭-KY,twse,12,汽車工業,20170927
2247,汎德永業,twse,12,汽車工業,20201012
2248,華勝-KY,twse,12,汽車工業,20250313
2250,IKKA-KY,twse,12,汽車工業,20210531
2254,巨鎧精密-創,twse,12,汽車工業,20231020
2258,鴻華先進-創,twse,12,汽車工業,20231120
2301,光寶科,twse,25,電腦及週邊設備業,19951117
2302,麗正,twse,24,半導體業,19850115
2303,聯電,twse,24,半導體業,19850716
2305,全友,twse,25,電腦及週邊設備業,19881021
2308,台達電,twse,28,電子零組件業,19881219
2312,金寶,twse,31,其他電子業,19891107
2313,華通,twse,28,電子零組件業,19900724
2314,台揚,twse,27,通信網路業,19900808
2316,楠梓電,twse,28,電子零組件業,19910205
2317,鴻海,twse,31,其他電子業,19910618
2321,東訊,twse,27,通信網路業,19911108
2323,中環,twse,26,光電業,19920217
2324,仁寶,twse,25,電腦及週邊設備業,19920218
2327,國巨*,twse,28,電子零組件業,19931022
2328,廣宇,twse,28,電子零組件業,19931109
2329,華泰,twse,24,半導體業,19940420
2330,台積電,twse,24,半導體業,19940905
2331,精英,twse,25,電腦及週邊設備業,19940921
2332,友訊,twse,27,通信網路業,19941017
2337,旺宏,twse,24,半導體業,19950315
2338,光罩,twse,24,半導體業,19950417
2340,台亞,twse,24,半導體業,19950502
2342,茂矽,twse,24,半導體業,19950919
2344,華邦電,twse,24,半導體業,19951018
2345,智邦,twse,27,通信網路業,19951115
2347,聯強,twse,29,電子通路業,19951213
2348,海悅,twse,20,其他,19960105
2349,錸德,twse,26,光電業,19960423
2351,順德,twse,24,半導體業,19960425
2352,佳世達,twse,25,電腦及週邊設備業,19960722
2353,宏碁,twse,25,電腦及週邊設備業,19960918
2354,鴻準,twse,31,其他電子業,19961008
2355,敬鵬,twse,28,電子零組件業,19961014
2356,英業達,twse,25,電腦及週邊設備業,19961113
2357,華碩,twse,25,電腦及週邊設備業,19961114
2359,所羅門,twse,31,其他電子業,19961219
2360,致茂,twse,31,其他電子業,19961221
2362,藍天,twse,25,電腦及週邊設備業,19970402
2363,矽統,twse,24,半導體業,19970801
2364,倫飛,twse,25,電腦及週邊設備業,19970811
2365,昆盈,twse,25,電腦及週邊設備業,19971103
2367,燿華,twse,28,電子零組件業,19971213
2368,金像電,twse,28,電子零組件業,19980309
2369,菱生,twse,24,半導體業,19980410
2371,大同,twse,05,電機機械,19620209
2373,震旦行,twse,31,其他電子業,19910801
2374,佳能,twse,26,光電業,19950116
2375,凱美,twse,28,電子零組件業,19980829
2376,技嘉,twse,25,電腦及週邊設備業,19980924
2377,微星,twse,25,電腦及週邊設備業,19981031
2379,瑞昱,twse,24,半導體業,19981026
2380,虹光,twse,25,電腦及週邊設備業,19981203
2382,廣達,twse,25,電腦及週邊設備業,19990108
2383,台光電,twse,28,電子零組件業,19981127
2385,群光,twse,28,電子零組件業,19990105
2387,精元,twse,25,電腦及週邊設備業,19990125
2388,威盛,twse,24,半導體業,19990305
2390,云辰,twse,31,其他電子業,19990615
2392,正崴,twse,28,電子零組件業,19990920
2393,億光,twse,26,光電業,19991104
2395,研華,twse,25,電腦及週邊設備業,19991213
2397,友通,twse,25,電腦及週邊設備業,20000115
2399,映泰,twse,25,電腦及週邊設備業,19991216
2401,凌陽,twse,24,半導體業,20000127
2402,毅嘉,twse,28,電子零組件業,20000114
2404,漢唐,twse,31,其他電子業,20000314
2405,輔信,twse,25,電腦及週邊設備業,20000317
2406,國碩,twse,26,光電業,20000429
2408,南亞科,twse,24,半導體業,20000817
2409,友達,twse,26,光電業,20000908
2412,中華電,twse,27,通信網路業,20001027
2413,環科,twse,28,電子零組件業,20000911
2414,精技,twse,29,電子通路業,20000911
2415,錩新,twse,28,電子零組件業,20000911
2417,圓剛,twse,25,電腦及週邊設備業,20000911
2419,仲琦,twse,27,通信網路業,20000911
2420,新巨,twse,28,電子零組件業,20000911
2421,建準,twse,28,電子零組件業,20000911
2423,固緯,twse,31,其他電子業,20000911
2424,隴華,twse,27,通信網路業,20000911
