transfer_date,stock_id,name,asof
2000-09-11,5359,環隆,2026-09-25
2000-09-11,5360,統懋,2026-09-25
2000-09-11,5361,仲琦,2026-09-25
2000-09-11,5362,鼎元光電,2026-09-25
2000-09-11,5365,世平,2026-09-25
2000-09-11,5367,國聯光電,2026-09-25
2000-09-11,5368,旺詮,2026-09-25
2000-09-11,5370,台灣電路,2026-09-25
2000-09-11,5374,固緯,2026-09-25
2000-09-11,5377,興勤,2026-09-25
2000-09-11,5380,永兆精密,2026-09-25
2000-09-11,5382,三商電腦,2026-09-25
2000-09-11,5390,倚天,2026-09-25
2000-09-11,5391,互盛,2026-09-25
2000-09-11,5509,根基營造,2026-09-25
2000-09-11,5517,皇翔,2026-09-25
2000-09-11,8903,全國加油站,2026-09-25
2000-09-11,8911,欣錩國際,2026-09-25
2000-09-11,8915,慶豐富,2026-09-25
2000-09-11,8918,成霖,2026-09-25
2000-10-27,4405,本盟紡織,2026-09-25
2000-10-31,4412,弘裕,2026-09-25
2001-09-17,4101,五鼎生物技術,2026-09-25
2001-09-17,4204,宏亞食品,2026-09-25
2001-09-17,4515,新企工程,2026-09-25
2001-09-17,4524,中宇環保工程,2026-09-25
2001-09-17,4525,和大工業,2026-09-25
2001-09-17,4701,美吾華,2026-09-25
2001-09-17,4713,毛寶,2026-09-25
2001-09-17,4715,花仙子企業,2026-09-25
2001-09-17,5012,允強實業,2026-09-25
2001-09-17,5335,華新科技,2026-09-25
2001-09-17,5378,友立資訊,2026-09-25
2001-09-17,5379,資通電腦,2026-09-25
2001-09-17,5389,麗臺科技,2026-09-25
2001-09-17,5394,百容電子,2026-09-25
2001-09-17,5396,大毅科技,2026-09-25
2001-09-17,5397,志聖工業,2026-09-25
2001-09-17,5399,敦吉科技,2026-09-25
2001-09-17,5402,研揚科技,2026-09-25
2001-09-17,5405,瑞軒科技,2026-09-25
2001-09-17,5406,思源科技,2026-09-25
2001-09-17,5407,品佳,2026-09-25
2001-09-17,5408,可成科技,2026-09-25
2001-09-17,5409,兆赫電子,2026-09-25
2001-09-17,5411,希華晶體科技,2026-09-25
2001-09-17,5412,華經資訊企業,2026-09-25
2001-09-17,5413,皇統光碟科技,2026-09-25
2001-09-17,5415,飛宏企業,2026-09-25
2001-09-17,5416,建通精密工業,2026-09-25
2001-09-17,5417,光群雷射科技,2026-09-25
2001-09-17,5418,敦陽科技,2026-09-25
2001-09-17,5419,連宇,2026-09-25
2001-09-17,5420,冠西電子企業,2026-09-25
2001-09-17,5422,強茂,2026-09-25
2001-09-17,5427,美隆電器廠,2026-09-25
2001-09-17,5428,訊碟科技,2026-09-25
2001-09-17,5429,和立聯合科技,2026-09-25
2001-09-17,5430,中華映管,2026-09-25
2001-09-17,5431,一詮精密工業,2026-09-25
2001-09-17,5433,義隆電子,2026-09-25
2001-09-17,5435,立隆電子工業,2026-09-25
2001-09-17,5437,力信興業,2026-09-25
2001-09-17,5440,漢平電子工業,2026-09-25
2001-09-17,5444,鉅祥企業,2026-09-25
2001-09-17,5445,盟立自動化,2026-09-25
2001-09-17,5446,台灣良得電子,2026-09-25
2001-09-17,5606,長榮航空,2026-09-25
2001-09-17,8920,信義房屋仲介,2026-09-25
2001-09-17,8922,裕融企業,2026-09-25
2002-01-23,8006,歐格電子工業,2026-09-25
2002-07-22,5449,今皓實業,2026-09-25
2002-07-22,5453,華立企業,2026-09-25
2002-08-26,4112,杏輝藥品工業,2026-09-25
2002-08-26,4516,正峰工業,2026-09-25
2002-08-26,4520,喬福機械工業,2026-09-25
2002-08-26,4718,日勝化工,2026-09-25
2002-08-26,4901,台灣大哥大,2026-09-25
2002-08-26,4902,星通資訊,2026-09-25
2002-08-26,5354,億聲電子,2026-09-25
2002-08-26,5363,欣興電子,2026-09-25
2002-08-26,5393,揚智科技,2026-09-25
2002-08-26,5404,智原科技,2026-09-25
2002-08-26,5421,盛達電業,2026-09-25
2002-08-26,5423,禾伸堂,2026-09-25
2002-08-26,5424,零壹科技,2026-09-25
2002-08-26,5447,建?,2026-09-25
2002-08-26,5451,奇普仕,2026-09-25
2002-08-26,5456,同開科技工程,2026-09-25
2002-08-26,5458,衛道科技,2026-09-25
2002-08-26,5459,文瞱科技,2026-09-25
2002-08-26,5461,增你強,2026-09-25
2002-08-26,5462,亞洲光學,2026-09-25
2002-08-26,5463,威健實業,2026-09-25
2002-08-26,5470,健鼎科技,2026-09-25
2002-08-26,5472,台灣晶技,2026-09-25
2002-08-26,5476,科風,2026-09-25
2002-08-26,5477,遠見科技,2026-09-25
2002-08-26,5479,宏傳電子,2026-09-25
2002-08-26,5482,訊舟,2026-09-25
2002-08-26,5485,威達電,2026-09-25
2002-08-26,5486,全台晶像,2026-09-25
2002-08-26,5495,佰鴻工業,2026-09-25
2002-08-26,5499,聯詠科技,2026-09-25
2002-08-26,5527,華固建設,2026-09-25
2002-08-26,5705,好樂迪,2026-09-25
2002-08-26,6102,偉訓科技,2026-09-25
2002-08-26,6106,信邦電子,2026-09-25
2002-08-26,8939,新麗企業,2026-09-25
2002-09-16,6006,元富證券,2026-09-25
2002-09-16,6011,寶來證券,2026-09-25
2002-09-16,6019,統一綜合證券,2026-09-25
2002-10-29,4531,巨庭機械,2026-09-25
2002-10-29,5496,德律科技,2026-09-25
2003-06-16,6128,上福全球,2026-09-25
2003-06-30,4906,正文科技,2026-09-25
2003-08-04,4532,瑞智精密,2026-09-25
2003-08-04,6112,聚碩科技,2026-09-25
2003-08-04,6119,大傳,2026-09-25
2003-08-04,6142,友勁科技,2026-09-25
2003-08-04,6165,捷泰精密,2026-09-25
2003-08-25,5434,崇越,2026-09-25
2003-08-25,5469,瀚宇博德,2026-09-25
2003-08-25,5471,松翰,2026-09-25
2003-08-25,5484,慧友電子,2026-09-25
2003-08-25,5608,四維航業,2026-09-25
2003-08-25,6012,金鼎證券,2026-09-25
2003-08-25,6117,迎廣,2026-09-25
2003-08-25,6132,銳普電子,2026-09-25
2003-08-25,6133,金橋科技,2026-09-25
2003-08-25,6136,富爾特,2026-09-25
2003-08-25,6139,亞翔工程,2026-09-25
2003-08-25,6145,勁永國際,2026-09-25
2003-08-25,6168,宏齊科技,2026-09-25
2003-08-25,8926,台灣汽電共生,2026-09-25
2003-09-15,4526,東台精機,2026-09-25
2003-10-06,5515,建國工程,2026-09-25
2003-10-22,6141,柏承科技,2026-09-25
2004-05-24,5534,長虹建設,2026-09-25
2004-05-24,6172,互億科技,2026-09-25
2004-05-24,6189,豐藝電子,2026-09-25
2004-05-24,6196,帆宣系統科技,2026-09-25
2004-07-23,5305,敦南科技,2026-09-25
2004-07-23,6004,元大京華證券,2026-09-25
2004-07-23,6115,鎰勝工業,2026-09-25
2004-08-03,6206,飛捷科技,2026-09-25
2004-08-23,6235,華孚科技,2026-09-25
2004-09-06,4414,如興製衣,2026-09-25
2004-09-06,6116,瀚宇彩晶,2026-09-25
2004-09-27,5203,訊連科技,2026-09-25
2004-09-27,6131,悠克電子,2026-09-25
2004-09-27,6192,巨路國際,2026-09-25
2004-09-27,6201,亞弘電科技,2026-09-25
2004-09-27,6202,盛群半導體,2026-09-25
2004-09-27,6216,居易科技,2026-09-25
2004-09-27,6225,天瀚科技,2026-09-25
2004-11-05,8008,建興電子科技,2026-09-25
2004-11-08,4106,雃博,2026-09-25
2004-11-08,6166,凌華科技,2026-09-25
2004-11-08,6197,佳必琪國際,2026-09-25
2004-11-08,6209,今國光學科技,2026-09-25
2004-11-08,6239,力成科技,2026-09-25
2004-11-26,5525,順天建設,2026-09-25
2004-12-02,5607,遠翔空運倉儲,2026-09-25
2005-01-31,5531,鄉林建設事業,2026-09-25
2005-02-15,6184,大豐有線,2026-09-25
2005-08-19,8072,陞泰科技,2026-09-25
2005-08-24,4904,遠傳電信,2026-09-25
2005-11-21,6005,群益證券,2026-09-25
2006-08-18,6155,鈞寶電子,2026-09-25
2006-09-13,6120,輔祥實業,2026-09-25
2006-12-27,8105,凌巨科技股份有限公司,2026-09-25
2007-05-15,6176,瑞儀光電股份有限公司,2026-09-25
2007-06-21,8033,雷虎科技股份有限公司,2026-09-25
2007-08-06,5522,遠雄建設事業股份有限公司,2026-09-25
2007-10-19,6191,精成科技股份有限公司,2026-09-25
2007-10-31,8110,華東科技股份有限公司,2026-09-25
2007-12-03,5388,中磊電子股份有限公司,2026-09-25
2007-12-31,3090,日電貿股份有限公司,2026-09-25
2007-12-31,3296,勝德國際研發股份有限公司,2026-09-25
2007-12-31,3376,新日興股份有限公司,2026-09-25
2007-12-31,4104,東貿國際股份有限公司,2026-09-25
2007-12-31,6215,和椿科技股份有限公司,2026-09-25
2007-12-31,8070,長華電材股份有限公司,2026-09-25
2007-12-31,8112,至上電子股份有限公司,2026-09-25
2008-01-21,3419,譁裕實業股份有限公司,2026-09-25
2008-01-21,4306,炎洲股份有限公司,2026-09-25
2008-01-21,6153,嘉聯益科技股份有限公司,2026-09-25
2008-01-21,6205,詮欣股份有限公司,2026-09-25
2008-01-21,6213,聯茂電子股份有限公司,2026-09-25
2008-01-21,6283,淳安電子股份有限公司,2026-09-25
2008-01-21,8021,尖點科技股份有限公司,2026-09-25
2008-01-21,9955,佳龍科技工程股份有限公司,2026-09-25
2008-04-30,5533,皇鼎建設開發股份有限公司,2026-09-25
2008-06-02,3080,威力盟電子股份有限公司,2026-09-25
2008-06-25,2059,川湖科技股份有限公司,2026-09-25
2008-07-10,3305,昇貿科技股份有限公司,2026-09-25
2008-07-16,4108,懷特新藥科技股份有限公司,2026-09-25
2008-10-21,6164,華興電子工業股份有限公司,2026-09-25
2008-11-10,6226,光鼎電子股份有限公司,2026-09-25
2008-11-26,3209,全科科技股份有限公司,2026-09-25
2008-12-25,8374,羅昇企業股份有限公司,2026-09-25
2008-12-30,6108,競國實業股份有限公司,2026-09-25
2008-12-30,8081,致新科技股份有限公司,2026-09-25
2009-05-15,8940,新天地國際實業股份有限公司,2026-09-25
2009-09-17,6224,聚鼎科技股份有限公司,2026-09-25
2009-09-29,8103,瀚荃股份有限公司,2026-09-25
2009-12-08,6152,百一電子股份有限公司,2026-09-25
2009-12-11,8261,富鼎先進電子股份有限公司,2026-09-25
2009-12-17,1582,信錦企業股份有限公司,2026-09-25
2009-12-17,6243,迅杰科技股份有限公司,2026-09-25
2009-12-17,8039,台虹科技股份有限公司,2026-09-25
2009-12-31,3229,晟鈦股份有限公司,2026-09-25
2010-03-22,3164,景岳生物科技股份有限公司,2026-09-25
2010-08-24,6278,台灣表面黏著科技股份有限公司,2026-09-25
2010-09-16,6230,超眾科技股份有限公司,2026-09-25
2010-11-19,2231,為升電裝工業股份有限公司,2026-09-25
2010-12-29,2114,鑫永銓股份有限公司,2026-09-25
2010-12-29,3312,弘憶國際股份有限公司,2026-09-25
2010-12-30,4733,上緯企業股份有限公司,2026-09-25
2010-12-30,6214,精誠資訊股份有限公司,2026-09-25
2011-07-22,3454,晶睿通訊股份有限公司,2026-09-25
2011-09-16,5007,三星科技股份有限公司,2026-09-25
2011-10-21,5706,鳳凰國際旅行社股份有限公司,2026-09-25
2011-12-01,6183,關貿網路股份有限公司,2026-09-25
2011-12-01,8210,勤誠興業股份有限公司,2026-09-25
2011-12-16,4426,利勤實業股份有限公司,2026-09-25
2012-08-15,4722,國精化學股份有限公司,2026-09-25
2012-11-26,8114,振樺電子股份有限公司,2026-09-25
2012-12-18,5521,工信工程股份有限公司,2026-09-25
2013-08-01,6177,達麗建設事業股份有限公司,2026-09-25
2013-09-17,9946,三發地產股份有限公司,2026-09-25
2013-12-25,4994,傳奇網路遊戲股份有限公司,2026-09-25
2014-02-10,5519,隆大營建事業股份有限公司,2026-09-25
2014-02-14,8996,高力熱處理工業股份有限公司,2026-09-25
2014-12-23,1558,伸興工業股份有限公司,2026-09-25
2014-12-24,3266,昇陽建設企業股份有限公司,2026-09-25
2015-01-23,3416,融程電訊股份有限公司,2026-09-25
2015-05-21,4912,聯德控股股份有限公司,2026-09-25
2015-06-24,4720,德淵企業股份有限公司,2026-09-25
2015-09-08,4927,泰鼎國際股份有限公司,2026-09-25
2016-03-17,1256,鮮活控股股份有限公司,2026-09-25
2016-05-18,3528,安馳科技股份有限公司,2026-09-25
2016-12-22,2636,台驊國際投資控股股份有限公司,2026-09-25
2017-03-09,5284,經寶精密控股股份有限公司,2026-09-25
2017-09-08,4739,康普材料科技股份有限公司,2026-09-25
2017-10-16,6024,群益期貨股份有限公司,2026-09-25
2019-03-15,8462,柏文健康事業股份有限公司,2026-09-25
2019-04-02,3563,牧德科技股份有限公司,2026-09-25
2019-09-17,2233,宇隆科技股份有限公司,2026-09-25
2019-12-16,1795,美時化學製藥股份有限公司,2026-09-25
2020-12-23,1597,直得科技股份有限公司,2026-09-25
2021-01-19,6438,迅得機械股份有限公司,2026-09-25
2021-03-24,6426,統新光訊股份有限公司,2026-09-25
2021-05-13,3092,鴻碩精密電工股份有限公司,2026-09-25
2022-01-19,1752,南光化學製藥股份有限公司,2026-09-25
2022-03-08,5306,桂盟國際股份有限公司,2026-09-25
2022-09-21,3652,精聯電子股份有限公司,2026-09-25
2023-10-31,8476,台境企業股份有限公司,2026-09-25
2023-12-19,6472,保瑞藥業股份有限公司,2026-09-25
2023-12-22,4736,泰博科技股份有限公司,2026-09-25
2024-01-25,6446,藥華醫藥股份有限公司,2026-09-25
2025-07-21,6589,台康生技股份有限公司,2026-09-25
2026-07-16,5236,凌陽創新科技股份有限公司,2026-09-25
