stock_id,market,n_notrade_days,first,last
6124,tpex,1,2016-04-28,2016-04-28
6134,tpex,1,2015-05-07,2015-05-07
6169,tpex,1,2026-09-09,2026-09-09
6201,twse,1,2016-06-04,2016-06-04
6204,tpex,1,2016-07-15,2016-07-15
6210,tpex,1,2026-09-08,2026-09-08
6220,tpex,1,2016-11-15,2016-11-15
6241,tpex,1,2015-12-31,2015-12-31
6292,tpex,1,2015-07-22,2015-07-22
6414,twse,1,2016-10-12,2016-10-12
6446,tpex,1,2016-12-05,2016-12-05
6457,tpex,1,2016-12-27,2016-12-27
6488,tpex,1,2016-08-18,2016-08-18
6496,tpex,1,2026-09-08,2026-09-08
6542,tpex,1,2026-09-09,2026-09-09
6548,tpex,1,2016-11-11,2016-11-11
6583,emerging,1,2026-09-10,2026-09-10
6597,tpex,1,2026-09-08,2026-09-08
6624,tpex,1,2026-09-08,2026-09-08
6680,tpex,1,2026-09-10,2026-09-10
6702,twse,1,2016-11-22,2016-11-22
6721,tpex,1,2026-09-09,2026-09-09
6807,twse,1,2026-09-10,2026-09-10
6816,emerging,1,2026-09-10,2026-09-10
6856,tpex,1,2026-09-08,2026-09-08
6857,emerging,1,2026-09-10,2026-09-10
6868,emerging,1,2026-09-10,2026-09-10
6929,tpex,1,2026-09-08,2026-09-08
6997,tpex,1,2026-09-10,2026-09-10
7725,emerging,1,2026-09-10,2026-09-10
7747,tpex,1,2026-09-08,2026-09-08
7758,emerging,1,2026-09-10,2026-09-10
7831,emerging,1,2026-09-10,2026-09-10
7904,emerging,1,2026-09-10,2026-09-10
8070,twse,1,2016-11-11,2016-11-11
8084,tpex,1,2016-05-12,2016-05-12
8114,twse,1,2016-08-12,2016-08-12
8201,twse,1,2016-12-12,2016-12-12
8349,tpex,1,2016-04-25,2016-04-25
8432,tpex,1,2016-06-30,2016-06-30
8433,tpex,1,2016-08-09,2016-08-09
8437,tpex,1,2026-09-10,2026-09-10
8905,tpex,1,2026-09-08,2026-09-08
8935,tpex,1,2016-10-14,2016-10-14
8940,twse,1,2015-01-27,2015-01-27
911616,twse,1,2016-04-19,2016-04-19
