stock_id,name,market,sec_kind,halt_date,resume_date,source,asof
069294,國巨元富77購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
069309,奇力新日盛75購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
069316,新光金元大75購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
069330,新光金中信75購02,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
069339,國巨永豐75購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
069339,國巨永豐75購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
069361,奇力新統一78購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
069361,奇力新統一78購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
069402,樺漢元大76購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069428,樺漢兆豐75購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069450,樺漢日盛75購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069483,奇力新元大75購04,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
06952P,國巨日盛79售02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
06952P,國巨日盛79售02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
069533,新光金永昌77購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
069543,樺漢永豐75購02,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069545,樺漢台新77購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
06957P,樺漢元大79售01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
06969P,新光金中信7B售02,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
06970P,國巨凱基79售01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
06970P,國巨凱基79售01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
06971P,聯電日盛79售01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
069845,樺漢元大77購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069859,樺漢國票76購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069882,樺漢國泰76購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069890,新光金富邦76購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
069902,樺漢群益76購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069924,聯電中信7A購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
069937,奇力新永豐76購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
069971,樺漢元大76購02,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
069977,樺漢群益76購02,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
07004P,新光金凱基79售03,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
070087,樺漢兆豐76購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
07008P,國巨康和79售01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07008P,國巨康和79售01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
070118,新光金兆豐7C購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
070166,聯電統一77購02,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
070199,奇力新群益76購02,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070256,聯電台新78購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
07026P,聯電凱基79售03,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
070426,奇力新群益76購03,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070526,奇力新富邦79購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070526,奇力新富邦79購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07055P,樺漢元大79售03,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
070669,聯電元大77購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
070672,奇力新元大77購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070672,奇力新元大77購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
070709,奇力新永豐76購02,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070742,聯電富邦78購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
070791,奇力新兆豐77購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
070791,奇力新兆豐77購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07092P,奇力新元大79售01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
070935,新光金康和76購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
07097P,國巨富邦79售04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07097P,國巨富邦79售04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07101P,國巨群益79售05,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07101P,國巨群益79售05,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07102P,國巨群益79售06,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07102P,國巨群益79售06,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
071040,樺漢群益77購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
071076,奇力新元大77購02,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
071076,奇力新元大77購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
071091,樺漢統一78購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
071122,奇力新群益77購01,twse,其他,2018-01-03,2018-01-04,twse-TWTAWU,2026-09-07
071122,奇力新群益77購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07118P,國巨元富79售03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07118P,國巨元富79售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
071246,樺漢兆豐78購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
07127P,國巨日盛79售03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07127P,國巨日盛79售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07128P,國巨元大79售06,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07128P,國巨元大79售06,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07136P,國巨凱基79售03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07136P,國巨凱基79售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07137P,國巨元大79售08,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07137P,國巨元大79售08,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07139P,國巨統一79售03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07139P,國巨統一79售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07149P,國巨永豐79售07,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07149P,國巨永豐79售07,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07153P,國巨統一79售04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07153P,國巨統一79售04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07158P,奇力新凱基79售03,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07161P,台泥凱基66售02,twse,其他,2017-04-19,2017-04-21,twse-TWTAWU,2026-09-07
07166P,國巨麥證79售02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07166P,國巨麥證79售02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07167P,國巨麥證7A售03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
07167P,國巨麥證7A售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
071696,聯電群益77購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
071729,奇力新元大77購03,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
071738,奇力新兆豐78購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
071762,樺漢元富77購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
