stock_id,name,market,industry_code,industry_name,source,asof
6659,天明製藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6665,康聯生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6673,和詮,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6676,祥翊,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6677,瑩碩生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6682,華旭先進,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6696,仁新*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6704,國璽幹細胞,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6705,振躍精密,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
6707,富基電通,esb,29,電子通路業,tpex-mopsfin-R:1150908,1150908
6709,昱厚生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6723,傑智環境,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6729,機光科技,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6734,安盛生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6737,秀育,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
6738,鼎恒,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6744,豐技生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6748,亞果生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6750,泰創工程,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
6755,連鋐科技,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6758,冠亞,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6775,穎台科技,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6780,學習王,esb,32,,tpex-mopsfin-R:1150908,1150908
6784,天凱科技,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
6786,芯測,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6787,晶瑞光,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6793,天力離岸,esb,20,其他,tpex-mopsfin-R:1150908,1150908
6797,圓點奈米,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6798,展逸,esb,37,運動休閒,tpex-mopsfin-R:1150908,1150908
6808,三鼎生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6810,新穎生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6812,梭特,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6814,路迦生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6815,晶鑽生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6816,捷智商訊,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6817,溫士頓,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6818,連騰,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
6819,眾智,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6820,連訊,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
6825,和暢科技,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
6826,和淞,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
6827,巨生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6832,金鼎科,esb,20,其他,tpex-mopsfin-R:1150908,1150908
6833,太康精密,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6839,開陽能源,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6842,瑞宇,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6847,普瑞博,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6848,拉法醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6849,奇鼎科技,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
6850,光鼎生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6857,宏碁智醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6858,愛比科技,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
6864,元樟生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6867,坦德科技,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6868,采威國際,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6876,朗齊生醫*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6878,歐付寶,esb,17,金融保險,tpex-mopsfin-R:1150908,1150908
6879,大江基因,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6882,甲尚,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6886,遠東生技,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
6891,樂迦再生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6892,台寶生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6898,程曦資訊,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6911,群運,esb,20,其他,tpex-mopsfin-R:1150908,1150908
6912,益鈞環科*,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6915,美強光,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6917,竟天,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6920,恆勁科技,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6926,聖安生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6927,聯合聚晶,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6932,水星生醫*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6935,王子製藥,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
6938,藍新資訊,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6939,啟弘生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6940,格斯科技*,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6946,三地能源,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6950,科科科技-KY,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
6959,兆捷科技,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
6963,品元,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
6972,博瑞達應材,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
6973,永立榮,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6976,育世博-KY,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6977,聯純,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6979,勝釩,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6980,鐳洋科技,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
6984,ACpay,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
6987,寶晶能源*,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6990,華鉬,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
6992,萬勝發科技,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6995,野獸國,esb,20,其他,tpex-mopsfin-R:1150908,1150908
6999,瀚醫生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7415,元澄半導體,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7418,香繼光,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7419,達勝,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7422,鴻林堂,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7427,華上生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7443,凡事康,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7455,樺緯物聯,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7507,環拓科技,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7516,清淨海,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7530,鋒魁科技,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7551,知識科技,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7558,群利科技,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7561,光晟生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7562,博來科技,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7566,亞果遊艇,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7578,利百景,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7583,國際海洋,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7590,怡和國際,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7595,世基生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7607,通用幹細胞*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7669,碩正科技,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7686,捷立康,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7702,前端風電,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7706,宏碁創達,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7707,益芯科,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7710,東擎科技,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7719,碳基,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7724,諾亞克,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7725,列特博,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7726,暄達,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7729,仲恩生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7731,火星生技*,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
7735,台智雲,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
7737,凱鈿,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7742,天弘化,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
7745,紅陽,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7748,鑫囍創業,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7752,世紀樺欣,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7754,安基生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7756,多那之,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7758,睿騰能源,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7759,視航生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7761,三大未來,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7762,吉晟生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7763,崇舜,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
7764,聖州,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7771,綠基,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
7773,富禾生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7776,奧孟亞,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7779,鍇睿國際,esb,37,運動休閒,tpex-mopsfin-R:1150908,1150908
7781,昕力資*,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7783,佳運,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7784,安邦生技*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7785,北祥科服,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7789,開展,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7790,思必瑞特,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7796,擷發科,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7797,Q Burger,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7798,將捷,esb,14,建材營造,tpex-mopsfin-R:1150908,1150908
7801,華芸科技,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
7806,精華生醫,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
7808,訊聯智藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7812,稜研科技*,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7813,宇辰系統,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7815,新特,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7816,來穎,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7824,智寶,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7825,和亞智慧,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7826,極風雲創,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7829,思捷優達-KY,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7831,捷博,esb,38,居家生活,tpex-mopsfin-R:1150908,1150908
7832,智新生技*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7833,綠岩能源,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7836,智生活,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7837,啟新生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7840,祥圃,esb,33,,tpex-mopsfin-R:1150908,1150908
7841,經貿聯網,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
7843,英柏得,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7846,德揚,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7847,豊漁,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7848,騏億鑫,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7849,旭誼,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7850,寶泰生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7851,慧康生技*-KY,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7853,政美應用,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7854,佐茂,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7856,漢測,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7857,合水先進,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7858,芝普,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
7860,得生製藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7861,貝爾威勒,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7862,聚泰,esb,04,紡織纖維,tpex-mopsfin-R:1150908,1150908
7863,中科物流,esb,15,航運業,tpex-mopsfin-R:1150908,1150908
7865,金聯成,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7866,丹立,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7867,特力屋,esb,38,居家生活,tpex-mopsfin-R:1150908,1150908
7868,聖育,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
7869,宏于電機,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
7870,聯剛科技,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
