stock_id,name,susp_date,susp_time,resume_date,resume_time,days
040849,玉山B8,2016-03-30,8:00,2016-03-31,8:00,1
040850,DA國泰,2016-03-30,8:00,2016-03-31,8:00,1
040915,4W統一,2016-03-30,8:00,2016-03-31,8:00,1
040922,群益47,2016-03-30,8:00,2016-03-31,8:00,1
040941,KW凱基,2016-03-30,8:00,2016-03-31,8:00,1
040942,KX凱基,2016-03-30,8:00,2016-03-31,8:00,1
040943,KY凱基,2016-03-30,8:00,2016-03-31,8:00,1
040955,富邦LD,2016-03-30,8:00,2016-03-31,8:00,1
040985,臺銀91,2016-03-30,8:00,2016-03-31,8:00,1
041003,群益59,2016-03-30,8:00,2016-03-31,8:00,1
041007,I6元大,2016-03-30,8:00,2016-03-31,8:00,1
041115,5V統一,2016-03-30,8:00,2016-03-31,8:00,1
041119,國票KE,2016-03-30,8:00,2016-03-31,8:00,1
041155,5Z統一,2016-03-30,8:00,2016-03-31,8:00,1
041227,日盛7G,2016-03-30,8:00,2016-03-31,8:00,1
041255,6L統一,2016-03-30,8:00,2016-03-31,8:00,1
041259,95元富,2016-03-30,8:00,2016-03-31,8:00,1
041317,CE兆豐,2016-03-30,8:00,2016-03-31,8:00,1
041318,CF兆豐,2016-03-30,8:00,2016-03-31,8:00,1
041319,CG兆豐,2016-03-30,8:00,2016-03-31,8:00,1
041351,永豐G5,2016-03-30,8:00,2016-03-31,8:00,1
041365,07元大,2016-03-30,8:00,2016-03-31,8:00,1
041420,永豐H8,2016-03-30,8:00,2016-03-31,8:00,1
041458,35元大,2016-03-30,8:00,2016-03-31,8:00,1
041463,42元大,2016-03-30,8:00,2016-03-31,8:00,1
041495,1U元富,2016-03-30,8:00,2016-03-31,8:00,1
041496,1V元富,2016-03-30,8:00,2016-03-31,8:00,1
041506,7N統一,2016-03-30,8:00,2016-03-31,8:00,1
041513,3S凱基,2016-03-30,8:00,2016-03-31,8:00,1
041515,玉山C6,2016-03-30,8:00,2016-03-31,8:00,1
041527,JU中信,2016-03-30,8:00,2016-03-31,8:00,1
041590,5F凱基,2016-03-30,8:00,2016-03-31,8:00,1
041591,5G凱基,2016-03-30,8:00,2016-03-31,8:00,1
041592,5H凱基,2016-03-30,8:00,2016-03-31,8:00,1
041593,5J凱基,2016-03-30,8:00,2016-03-31,8:00,1
041606,日盛7Z,2016-03-30,8:00,2016-03-31,8:00,1
041728,2W元富,2016-03-30,8:00,2016-03-31,8:00,1
041748,25富邦,2016-03-30,8:00,2016-03-31,8:00,1
041826,大展K5,2016-03-30,8:00,2016-03-31,8:00,1
041827,大展K6,2016-03-30,8:00,2016-03-31,8:00,1
041905,9S統一,2016-03-30,8:00,2016-03-31,8:00,1
041972,4H元富,2016-03-30,8:00,2016-03-31,8:00,1
042021,亞東MQ,2016-03-30,8:00,2016-03-31,8:00,1
042022,亞東MR,2016-03-30,8:00,2016-03-31,8:00,1
042023,亞東MS,2016-03-30,8:00,2016-03-31,8:00,1
042075,GR兆豐,2016-03-30,8:00,2016-03-31,8:00,1
042089,日盛9E,2016-03-30,8:00,2016-03-31,8:00,1
042186,3Y元大,2016-03-30,8:00,2016-03-31,8:00,1
042187,3Z元大,2016-03-30,8:00,2016-03-31,8:00,1
042221,國票KR,2016-03-30,8:00,2016-03-31,8:00,1
042320,86富邦,2016-03-30,8:00,2016-03-31,8:00,1
042342,群益EQ,2016-03-30,8:00,2016-03-31,8:00,1
042360,6U元富,2016-03-30,8:00,2016-03-31,8:00,1
042361,6V元富,2016-03-30,8:00,2016-03-31,8:00,1
042381,7F元大,2016-03-30,8:00,2016-03-31,8:00,1
042392,永豐CC,2016-03-30,8:00,2016-03-31,8:00,1
042412,HD兆豐,2016-03-30,8:00,2016-03-31,8:00,1
042424,HW兆豐,2016-03-30,8:00,2016-03-31,8:00,1
042437,7K元富,2016-03-30,8:00,2016-03-31,8:00,1
042466,凱基84,2016-03-30,8:00,2016-03-31,8:00,1
042514,LV中信,2016-03-30,8:00,2016-03-31,8:00,1
042560,凱基B5,2016-03-30,8:00,2016-03-31,8:00,1
042574,FS國泰,2016-03-30,8:00,2016-03-31,8:00,1
042583,統一BX,2016-03-30,8:00,2016-03-31,8:00,1
042611,9D元大,2016-03-30,8:00,2016-03-31,8:00,1
042626,群益GG,2016-03-30,8:00,2016-03-31,8:00,1
042627,群益GH,2016-03-30,8:00,2016-03-31,8:00,1
042634,B7富邦,2016-03-30,8:00,2016-03-31,8:00,1
