delist_date,stock_id,name,asof,market
2015-01-23,3416,融程電訊股份有限公司,2026-09-12,tpex
2015-03-01,910948,融達,2026-09-12,twse
2015-05-13,910069,新曄科技,2026-09-12,twse
2015-05-21,4912,聯德控股股份有限公司,2026-09-12,tpex
2015-06-17,5466,泰林科技股份有限公司,2026-09-12,tpex
2015-06-17,911609,揚子江,2026-09-12,twse
2015-06-24,4720,德淵企業股份有限公司,2026-09-12,tpex
2015-07-07,2384,勝華科技,2026-09-12,twse
2015-07-16,5505,和旺聯合實業股份有限公司,2026-09-12,tpex
2015-09-08,4927,泰鼎國際股份有限公司,2026-09-12,tpex
2015-10-15,2833,台灣人壽,2026-09-12,twse
2015-11-26,5506,長鴻營造股份有限公司,2026-09-12,tpex
2015-12-28,2361,鴻友科技,2026-09-12,twse
2015-12-29,913889,大成糖,2026-09-12,twse
2016-01-26,911612,滬安電力,2026-09-12,twse
2016-03-22,2847,大眾銀行,2026-09-12,twse
2016-04-29,6286,立錡,2026-09-12,twse
2016-05-11,8053,巨擘科技股份有限公司,2026-09-12,tpex
2016-05-18,3528,安馳科技股份有限公司,2026-09-12,tpex
2016-05-25,6250,宇加科技股份有限公司,2026-09-12,tpex
2016-06-01,3598,奕力,2026-09-12,twse
2016-06-27,8925,偉盟工業股份有限公司,2026-09-12,tpex
2016-07-01,3573,穎台,2026-09-12,twse
2016-08-03,3584,介面,2026-09-12,twse
2016-08-31,4733,上緯,2026-09-12,twse
2016-09-01,8079,誠遠科技股份有限公司,2026-09-12,tpex
2016-09-26,8082,漢承泰企業股份有限公司,2026-09-12,tpex
2016-10-06,3291,遠翔科技股份有限公司,2026-09-12,tpex
2016-11-01,911626,MSH-DR,2026-09-12,twse
2016-11-15,8266,中日新科技股份有限公司,2026-09-12,tpex
2016-11-22,3658,漢民微測科技股份有限公司,2026-09-12,tpex
2016-11-29,911611,中泰山-DR,2026-09-12,twse
2016-12-06,3474,華亞科,2026-09-12,twse
2016-12-22,2636,台驊國際投資控股股份有限公司,2026-09-12,tpex
2017-02-02,6702,興航,2026-09-12,twse
2017-03-09,5284,經寶精密控股股份有限公司,2026-09-12,tpex
2017-06-27,9106,新焦點-DR,2026-09-12,twse
2017-06-30,2437,旺詮,2026-09-12,twse
2017-08-01,4762,三汰控股(開曼)股份有限公司,2026-09-12,tpex
2017-08-28,6022,大眾綜合證券股份有限公司,2026-09-12,tpex
2017-08-30,3559,全智科,2026-09-12,twse
2017-09-01,5384,捷元股份有限公司,2026-09-12,tpex
2017-09-08,4739,康普材料科技股份有限公司,2026-09-12,tpex
2017-10-01,3315,宣昶,2026-09-12,twse
2017-10-01,3553,力積電子股份有限公司,2026-09-12,tpex
2017-10-16,6024,群益期貨股份有限公司,2026-09-12,tpex
2017-10-17,6105,瑞傳科技股份有限公司,2026-09-12,tpex
2017-10-19,3662,樂陞科技股份有限公司,2026-09-12,tpex
2017-10-25,1715,萬洲化學,2026-09-12,twse
2017-11-21,1613,台一,2026-09-12,twse
2017-12-13,910801,金衛-DR,2026-09-12,twse
2017-12-29,5491,連展科技股份有限公司,2026-09-12,tpex
2018-01-02,1729,必翔實業,2026-09-12,twse
2018-04-30,2311,日月光,2026-09-12,twse
2018-04-30,2325,矽品,2026-09-12,twse
2018-05-31,6554,中美冠科生物技術股份有限公司,2026-09-12,tpex
2018-06-13,3068,美磊科技股份有限公司,2026-09-12,tpex
2018-06-22,4965,商店街市集國際資訊股份有限公司,2026-09-12,tpex
2018-06-27,6107,華美電子股份有限公司,2026-09-12,tpex
2018-07-11,1469,理隆纖維,2026-09-12,twse
2018-09-01,4984,科納-KY,2026-09-12,twse
2018-09-28,6422,君耀-KY,2026-09-12,twse
2018-10-01,2856,元富證券,2026-09-12,twse
2018-10-01,3428,光燿科技股份有限公司,2026-09-12,tpex
2018-10-01,3514,昱晶,2026-09-12,twse
2018-10-01,3561,昇陽光電,2026-09-12,twse
2018-10-01,6145,勁永,2026-09-12,twse
2018-10-01,6298,崴強科技股份有限公司,2026-09-12,tpex
2018-11-13,4103,百略醫學科技股份有限公司,2026-09-12,tpex
2018-11-29,3299,帛漢股份有限公司,2026-09-12,tpex
2018-11-30,5255,美桀科技股份有限公司,2026-09-12,tpex
2019-01-30,1704,榮化,2026-09-12,twse
2019-03-29,5480,統盟電子股份有限公司,2026-09-12,tpex
2019-04-02,3563,牧德科技股份有限公司,2026-09-12,tpex
2019-05-02,3519,綠能,2026-09-12,twse
2019-05-13,2475,華映,2026-09-12,twse
