r,種子,a,b,D,lo,hi,n_min,CI不含0
30,20260955,0.4706093806619029,0.3550063256370483,-0.002531657142190974,-0.007879336028282578,0.0028160217439006296,8376,False
31,20260956,0.6162110040747107,0.30847826963609437,0.005461029498838227,-0.0007385506707170914,0.011660609668393544,5356,False
32,20260957,0.39597289672949687,0.6165980634051524,-0.002640915264411514,-0.008190319509160295,0.002908488980337267,10734,False
33,20260958,0.5533360962824514,0.43617328101723607,-0.004534430532842693,-0.010435575569890188,0.0013667145042048027,12440,False
34,20260959,0.4042826994060031,0.5409242525608624,-0.0064115831388880384,-0.011576127856210327,-0.00124703842156575,11128,True
35,20260960,0.5443765435767693,0.3698403052125468,-0.003967386598103362,-0.009972422385544319,0.002037649189337595,9210,False
36,20260961,0.5251036758167053,0.6301249556963117,0.0007169285241206413,-0.004164259863934249,0.0055981169121755315,10450,False
37,20260962,0.6412193594857859,0.7417388085623612,0.0016540217063562013,-0.0037449096828312232,0.007052953095543626,7623,False
38,20260963,0.6933163753513807,0.4226169073859236,-0.004506666235285672,-0.010641611916068744,0.0016282794454973984,8795,False
39,20260964,0.47408569729172295,0.7294355983379169,0.003557906871643951,-0.002700827649827247,0.009816641393115149,7935,False
40,20260965,0.7231637522304258,0.3687918581295977,-0.0005373488932424453,-0.006925170664177321,0.005850472877692431,8116,False
41,20260966,0.413809843323818,0.5384780853346285,-0.0024818558251728517,-0.007792725137552293,0.0028290134872065893,11584,False
42,20260967,0.29899238583978954,0.6187363696864752,0.004638498966741733,-0.0022752800423053556,0.011552277975788821,4735,False
43,20260968,0.5602040698746585,0.2915503231438195,0.003924210855720783,-0.003634153569780362,0.01148257528122193,4212,False
44,20260969,0.41053294079447117,0.5962596091662435,0.0003456571043705947,-0.004903216477817734,0.005594530686558924,11335,False
45,20260970,0.48624324625453147,0.7325856426245898,0.0023473961831614043,-0.0034795721724555076,0.008174364538778317,7854,False
46,20260971,0.41960551222659004,0.30121862362085816,0.003015670185723157,-0.003810932487102677,0.009842272858548991,4873,False
47,20260972,0.6237218753899588,0.3307929056769511,0.0015865812282201547,-0.004219081557685801,0.00739224401412611,6832,False
48,20260973,0.6497178401682125,0.39637228263592866,-0.004723015345859394,-0.010903607818593248,0.0014575771268744596,9906,False
49,20260974,0.2853037124816819,0.731003735304282,0.0071158800204491335,-0.0006720311980774009,0.014903791238975669,3792,False
50,20260975,0.49533084395422916,0.6418905632082794,-0.0003088085239132399,-0.006879356095154198,0.006261739047327719,10128,False
51,20260976,0.6576332329879916,0.34670667258872356,-0.0054374491875854025,-0.012036642100106545,0.0011617437249357397,7863,False
52,20260977,0.2691477081829254,0.36923255598920524,0.0013307835962501346,-0.006538422778979763,0.009199989971480032,2931,False
53,20260978,0.6478835132817117,0.5024671013218974,0.0006884809678762149,-0.005723596842076306,0.007100558777828736,9942,False
54,20260979,0.34496145883244744,0.47328003589635015,-0.0025421263276198675,-0.008384478883922363,0.0033002262286826282,7734,False
55,20260980,0.6602179461336992,0.47733233953729487,0.0019822712645779783,-0.004484288024691838,0.008448830553847795,9630,False
56,20260981,0.5699447315786393,0.6876469591392556,-0.0026022737504674542,-0.008045719768472234,0.002841172267537324,8941,False
57,20260982,0.3060222690126448,0.5686033209230081,0.003311544648000514,-0.0037694513744589197,0.010392540670459947,5194,False
58,20260983,0.5349314229837544,0.4327450919519154,-0.0038862382689478503,-0.009052148577945729,0.0012796720400500283,12421,False
59,20260984,0.7027747450538593,0.5461299914996043,-0.0027529874962370082,-0.008598732578688803,0.0030927575862147874,8549,False
60,20260985,0.3161275798665042,0.606966975163632,0.00612161664654487,0.0005158796969060384,0.0117273535961837,5847,True
61,20260986,0.7407245587140414,0.36598574898381825,-0.002778766716904718,-0.009447301972418796,0.0038897685386093603,7640,False
62,20260987,0.7154172900020537,0.4250462584884182,-0.0003285173444368683,-0.006482350585231336,0.0058253158963575994,8262,False
63,20260988,0.7240214210909707,0.533186403268259,3.066812346791403e-05,-0.0056173809856691495,0.005678717232604978,8086,False
64,20260989,0.2592774540665954,0.5482745276277774,0.0011646133418082572,-0.007169396928549484,0.009498623612165998,2459,False
65,20260990,0.25191775556545376,0.7092243173299515,0.0001954489751215538,-0.008882363455913622,0.00927326140615673,2132,False
66,20260991,0.3604902167271919,0.6035663668783374,-0.002053364536475838,-0.007887097714552326,0.0037803686416006494,8634,False
67,20260992,0.5927727887499288,0.3668745062023085,-0.0007863830392711713,-0.007615986717346583,0.006043220638804241,9060,False
68,20260993,0.3120632670256338,0.534648281009976,0.0037923879803771487,-0.002809398120595134,0.010394174081349431,5593,False
69,20260994,0.6217175797950956,0.3954953107258973,-0.0038810016524029878,-0.009916839409313948,0.002154836104507973,10689,False
70,20260995,0.34309146624083825,0.6663458663048432,-0.00342956451966156,-0.010669001580970644,0.0038098725416475243,7618,False
71,20260996,0.6095905166287509,0.7420934162349313,0.003213264765502044,-0.002239538554922418,0.008666068085926506,7614,False
72,20260997,0.2608512333508973,0.39877333998122433,-0.0018068968776307759,-0.009914418017635285,0.006300624262373733,2523,False
73,20260998,0.500137725705688,0.3965763353392983,-0.00396281415802735,-0.009242076617985132,0.0013164483019304316,10775,False
74,20260999,0.47092898921526255,0.5875473173170553,0.0019962003324149047,-0.0030693903715644363,0.007061791036394246,11569,False
75,20261000,0.2695779641081811,0.5674286574265881,0.0023877880903157567,-0.006090065422437091,0.010865641603068604,2961,False
76,20261001,0.2732171801874707,0.5679001746935524,0.0029354505545269582,-0.00545868803659352,0.011329589145647436,3146,False
77,20261002,0.3580077508624842,0.6376918661652128,-0.005708756649284802,-0.012333942950240602,0.0009164296516709974,8528,False
78,20261003,0.4158792446051801,0.5728264937547447,3.5238378850582786e-05,-0.006036246120569853,0.006106722878271019,11667,False
79,20261004,0.27451849081836777,0.45317879382453374,0.004385787203792901,-0.0036244534985071988,0.012396027906093001,3226,False
80,20261005,0.3435027531436293,0.4740870863707166,-0.002633027401678034,-0.008704631430868737,0.003438576627512668,7625,False
81,20261006,0.6556311155123304,0.4112125775289199,-0.003151710886154818,-0.008851981872352527,0.0025485601000428907,9757,False
82,20261007,0.3494612254132314,0.7371629913951744,-0.002705963868370992,-0.009453650809462625,0.004041723072720641,7734,False
83,20261008,0.31281823002192977,0.7353086652247224,0.006471776877526952,-0.0004960666618806535,0.01343962041693456,5636,False
84,20261009,0.5586804225938645,0.354612933882501,-0.0053221539201595,-0.011887823885701528,0.0012435160453825285,8350,False
85,20261010,0.6860938329732157,0.2653838158921345,0.0009181162286343858,-0.0072078311024042115,0.009044063559672983,2772,False
86,20261011,0.4625743403652997,0.2615663301537561,0.0044177552613653415,-0.0029465431011461048,0.011782053623876788,2548,False
87,20261012,0.6959581878493999,0.5760471984863688,-0.0012281900226649711,-0.007163266527788614,0.0047068864824586715,8714,False
88,20261013,0.5909907998897779,0.3047904072891945,0.004097868522935533,-0.0024507078505477875,0.010646444896418854,5106,False
89,20261014,0.6411501243324729,0.48837673123853365,0.0001224600020136024,-0.0061106396234180075,0.006355559627445212,10143,False
90,20261015,0.39044482363369704,0.5437601687617959,-0.007764254680465071,-0.013815861850310428,-0.0017126475106197152,10459,True
91,20261016,0.4225724382230845,0.528357482097694,-0.0028638283707892176,-0.007822025208764733,0.0020943684671862976,11945,False
92,20261017,0.6637825815507487,0.5037306675862798,0.0022588779178649154,-0.00425205383337766,0.008769809669107492,9564,False
93,20261018,0.68731375384311,0.4430517835821409,-0.004946358558933578,-0.01174171057594289,0.0018489934580757338,8950,False
94,20261019,0.3763650970466207,0.6192036324211295,-0.0035721481469382366,-0.009503874880563475,0.0023595785866870013,9578,False
95,20261020,0.6849384992210663,0.3169916398021584,0.000952039161640883,-0.005865171423614565,0.007769249746896331,5905,False
96,20261021,0.2760434782431383,0.3925958402752017,-0.000680553348431201,-0.008119545242188934,0.0067584385453265325,3313,False
97,20261022,0.6229577186757488,0.47930516159045317,0.0021507708715969576,-0.0030148755098827126,0.007316417253076628,10655,False
98,20261023,0.4076987876962075,0.548281955349692,-0.006249594045900281,-0.011848965560487215,-0.0006502225313133473,11255,True
99,20261024,0.6291935364487313,0.4955626580655521,0.0008357693452376025,-0.005223792110001697,0.006895330800476902,10483,False
100,20261025,0.4062241762437814,0.5847433550094832,-0.003312894713566744,-0.008508922259649769,0.00188313283251628,11226,False
101,20261026,0.7042461710931136,0.4839831497635239,0.0016664658693452683,-0.004328333263717574,0.007661265002408111,8517,False
102,20261027,0.26693386300489885,0.47156685951735045,0.005250752472927445,-0.0022989032424880406,0.01280040818834293,2835,False
103,20261028,0.5772623178908904,0.26082584410088877,0.003768728786759351,-0.004502745351621375,0.012040202925140077,2524,False
104,20261029,0.4627627511744328,0.7303185352342084,0.003545736166363861,-0.0029341451552982577,0.01002561748802598,7903,False
105,20261030,0.3483062577675316,0.48736261148672233,-0.0029964023132701967,-0.009201940408722898,0.0032091357821825046,7963,False
106,20261031,0.4274061571203863,0.5354861877804032,-0.0037762640373595335,-0.009035707281624587,0.00148317920690552,12192,False
107,20261032,0.7004652268949064,0.5540032135400866,-0.002560362117233872,-0.008400458291693148,0.0032797340572254035,8601,False
108,20261033,0.6383851791288928,0.4260784900782179,-0.004594994680147374,-0.0108429458811008,0.0016529565208060525,10219,False
109,20261034,0.6092348591328534,0.3119529092281845,0.007601782639306998,0.0014259169455084278,0.013777648333105567,5582,True
110,20261035,0.6760867761138178,0.37465964023985815,-0.005000806046114276,-0.01133075010552869,0.0013291380133001393,9217,False
111,20261036,0.7219181344301664,0.47287182408151424,0.0035133282684393086,-0.002488736668237918,0.009515393205116535,8138,False
112,20261037,0.7278780329215069,0.4352375163339155,-0.0010496873081503322,-0.008139610219900166,0.006040235603599501,7968,False
113,20261038,0.7065102783884734,0.4663519234361221,0.002478370971458338,-0.003985357180449402,0.008942099123366078,8474,False
114,20261039,0.6199286793016914,0.30539208839987075,0.004735753786914598,-0.0018722097061307863,0.011343717279959982,5153,False
115,20261040,0.4333256381396833,0.5573938762982162,-0.0027570013281448535,-0.008377665886366379,0.002863663230076673,12332,False
116,20261041,0.403601444251253,0.6165893867904317,-0.0018884100906761403,-0.007233216881000943,0.0034563966996486624,10815,False
117,20261042,0.48930599308691514,0.25813411996630525,0.003196426581906525,-0.005272721168583797,0.011665574332396848,2408,False
118,20261043,0.2715562997517454,0.43204203403862906,0.00083249863221313,-0.0073700033100807544,0.009035000574507015,3069,False
119,20261044,0.2673411655212455,0.7317206643117289,0.0051245704877003195,-0.0032625111966923057,0.013511652172092945,2853,False
120,20261045,0.6371356930258465,0.2787826637932166,0.002913120102300354,-0.0043611638108019355,0.010187404015402643,3455,False
121,20261046,0.6803641933142854,0.5632754234165451,-5.4354625814767576e-05,-0.005415398875700709,0.005306689624071174,9097,False
122,20261047,0.4543362727717607,0.7201610950825044,0.0021802588136299594,-0.004527481092224323,0.00888799871948424,8171,False
123,20261048,0.30405126023319773,0.5061233491948607,0.0055865457553747055,-0.0014242746837030045,0.012597366194452415,5065,False
124,20261049,0.49272766931176065,0.3179462852536005,0.00345470835739467,-0.002591912690447601,0.00950132940523694,5965,False
125,20261050,0.4440135658832943,0.3252802303491056,4.13822684398879e-06,-0.006027270395021342,0.00603554684870932,6475,False
126,20261051,0.665939080641043,0.36552982066389406,-0.0027486826340460124,-0.009449907381595896,0.003952542113503871,8962,False
127,20261052,0.4268658887301646,0.6361939359623896,-0.003266700189331534,-0.009311065715253086,0.0027776653365900192,10271,False
128,20261053,0.2701293160902359,0.40227696157788034,-0.0015880899915175495,-0.009380336363383477,0.006204156380348378,2987,False
129,20261054,0.6159263897089575,0.26572583174340153,0.0052205608071689835,-0.0024577350495242076,0.012898856663862174,2790,False
130,20261055,0.3396808650381415,0.7362158303455015,-0.00211249872962746,-0.00874599332273689,0.004520995863481969,7380,False
131,20261056,0.44001553456663706,0.2515957818861026,-0.0026437107556286643,-0.011461653435037591,0.006174231923780263,2107,False
132,20261057,0.5374833115803961,0.3118650941847366,0.004151665097772789,-0.0024277707194835536,0.010731100915029131,5577,False
133,20261058,0.3491160826814685,0.7438528061568577,-0.002628068861027233,-0.009568012849238404,0.0043118751271839385,7593,False
134,20261059,0.2517173235798543,0.4254072682178999,-0.0035192585493798167,-0.012776711320673706,0.0057381942219140725,2119,False
135,20261060,0.5911189393138452,0.391243081243803,-0.004963302356775584,-0.011043567226092763,0.001116962512541596,10515,False
136,20261061,0.689606054486843,0.5680849642960433,-0.0028875424895662416,-0.008386773183034726,0.002611688203902243,8919,False
137,20261062,0.37881390326383046,0.2648776697524799,-0.0011969787943895693,-0.008837540941408291,0.0064435833526291526,2753,False
138,20261063,0.3092264699995307,0.6056180200491952,0.004472755317073529,-0.0015852855504152026,0.01053079618456226,5409,False
139,20261064,0.5629463508416284,0.36999032251538977,-0.0027892170421383033,-0.009183870782154446,0.003605436697877839,9213,False
140,20261065,0.4041598871670162,0.6693618527255543,-0.004145474051704706,-0.010407915146685097,0.0021169670432756842,9397,False
141,20261066,0.5760189937646164,0.28243018794585384,0.005201736350460312,-0.002727283169460205,0.013130755870380829,3649,False
142,20261067,0.6263262387132241,0.25501705457557305,0.003025185407484393,-0.006058963352294489,0.012109334167263276,2281,False
143,20261068,0.7141711448031371,0.33681475046424564,-0.0009209055267697663,-0.007349144392776744,0.005507333339237211,7208,False
144,20261069,0.4347560615251336,0.30895364799784153,0.0011202643880930674,-0.005958263509377436,0.008198792285563571,5390,False
145,20261070,0.580305961936368,0.3050588350073499,0.003937928344484198,-0.002840174417009257,0.010716031105977655,5126,False
146,20261071,0.37550721682775606,0.6337967914890688,-0.005213823237587484,-0.011737600510103821,0.0013099540349288544,9542,False
147,20261072,0.6782377731372446,0.3865564622334009,-0.006491719925687062,-0.012899895815097758,-8.354403627636522e-05,9154,True
148,20261073,0.2811178170386876,0.5607958512472436,0.0035387189386024698,-0.004575606619849603,0.011653044497054543,3581,False
149,20261074,0.4446738756880231,0.26831202524877407,0.0013097681045836085,-0.006349501241569785,0.008969037450737002,2886,False
150,20261075,0.5584659039789719,0.41483770277569676,-0.0020403248930468965,-0.007694243469057243,0.0036135936829634497,11623,False
151,20261076,0.6651694377949706,0.4931069745179892,0.0011828289781236345,-0.00586647511579067,0.008232133072037939,9524,False
152,20261077,0.556965481380119,0.32173940173764637,0.0024163894175754097,-0.003786929155129076,0.008619707990279895,6215,False
153,20261078,0.5516939948383761,0.31717075725095345,0.0020220961417062866,-0.003907370034255314,0.007951562317667887,5921,False
154,20261079,0.4646718339462027,0.2772931762986558,0.0066348989244665035,-0.001266005876120772,0.014535803725053779,3364,False
155,20261080,0.6630073398617545,0.29300402161301253,0.004682723244918363,-0.0027362757172041787,0.012101722207040904,4307,False
156,20261081,0.7057187122480288,0.5227351286609281,-0.00011555943119473389,-0.0057395351656222655,0.005508416303232798,8498,False
157,20261082,0.5138442837921119,0.6444029487820498,-0.0007052442338453813,-0.006883212816412275,0.005472724348721513,10059,False
158,20261083,0.4522560342464296,0.740176256532088,0.0013049407386759582,-0.0051880811696093,0.007797962646961217,7658,False
159,20261084,0.5631882706210612,0.4045814467537271,-0.004186260964702759,-0.00998683985051853,0.001614317921113011,11156,False
160,20261085,0.3265752041343936,0.7079866481041508,0.0025706817449100694,-0.003604623168216147,0.008745986658036286,6537,False
161,20261086,0.2854007300869895,0.5943456472676321,0.0068297116419901716,-0.0004124845707018125,0.014071907854682156,3792,False
162,20261087,0.663192497343916,0.37104555342484324,-0.0025289293992572515,-0.009032270606792129,0.003974411808277625,9281,False
163,20261088,0.6155354609314321,0.40938880340207745,-0.0009513902872227697,-0.006067328156971189,0.0041645475825256495,10854,False
164,20261089,0.569368488583321,0.36070808567750084,-0.0026331407911473204,-0.00897402515271203,0.0037077435704173907,8638,False
165,20261090,0.7189520872584637,0.5168717212290528,0.0007831190948346389,-0.004318370235031124,0.005884608424700402,8190,False
166,20261091,0.49107927333481144,0.3372788167699629,-0.002410265201169992,-0.008884003337604581,0.004063472935264598,7239,False
167,20261092,0.7283370296698928,0.3929147264255538,-0.0028481449523930225,-0.008989572513623227,0.003293282608837182,7954,False
168,20261093,0.7088251218824424,0.2910324843289741,0.004990369078053669,-0.0025682579568445454,0.012548996112951884,4180,False
169,20261094,0.5089754792413829,0.7269632776929449,0.003118653218450562,-0.0028529444881868794,0.009090250925088004,7987,False
170,20261095,0.28605723569106956,0.5041370319216033,0.00481616598581916,-0.0024275447073991204,0.01205987667903744,3839,False
171,20261096,0.29664252472833463,0.47023709405498654,0.0051865593780927866,-0.0010928942890443636,0.011466013045229937,4553,False
172,20261097,0.26747318464021214,0.7038960276711267,0.0034937414573134873,-0.004644625917736239,0.011632108832363213,2854,False
173,20261098,0.6718278067505314,0.2961393511051831,0.0029008364290259714,-0.004893634464519631,0.010695307322571575,4527,False
174,20261099,0.4811271908474013,0.6607445656933756,0.0018409425339111773,-0.00460938941762246,0.008291274485444814,9616,False
175,20261100,0.3845759871197517,0.5450706506990196,-0.006979308256913841,-0.01336192306810646,-0.0005966934457212227,10107,True
176,20261101,0.545785358356191,0.42900821657061267,-0.004180123444100653,-0.009529399546279203,0.0011691526580778966,12255,False
177,20261102,0.5894972716622957,0.46460882169378875,0.0026964477516581986,-0.0024800599446445975,0.007872955447960996,11521,False
178,20261103,0.434202004417006,0.734202698266438,-0.0010495227169768917,-0.008089131387309923,0.00599008595335614,7810,False
179,20261104,0.6044652687580612,0.7320935919755376,0.00255015758991628,-0.00253181833731478,0.00763213351714734,7856,False
180,20261105,0.7200452806344741,0.5208235824181511,0.0005083131011026365,-0.0046121434295534015,0.0056287696317586745,8173,False
181,20261106,0.2930614445624611,0.560886799282764,0.0036948860904254255,-0.003812582790246398,0.011202354971097249,4315,False
182,20261107,0.3233357890755753,0.7036040373154471,0.002433022772245136,-0.004409561059210635,0.009275606603700907,6317,False
183,20261108,0.6558667653043642,0.32307607614664513,0.0017074266099309787,-0.004000728003577802,0.00741558122343976,6299,False
184,20261109,0.40604369897891485,0.6305607443773618,-0.003836961655665494,-0.009321874462521036,0.0016479511511900474,10435,False
185,20261110,0.5630394231727803,0.3210590344183266,0.0026639189564841015,-0.0034698409336115657,0.008797678846579768,6169,False
186,20261111,0.49607454938650863,0.7435182576555561,0.0010982271897981566,-0.0047117099477860455,0.006908164327382359,7597,False
187,20261112,0.6873068928234567,0.29986354993064573,0.0007867920415410845,-0.006625375340721303,0.008198959423803472,4799,False
188,20261113,0.34200099889814317,0.6688081482245054,-0.004345520707658729,-0.011560885895412161,0.0028698444800947043,7552,False
189,20261114,0.7249260774042665,0.33313948972492013,0.00038429195240068104,-0.006154003414145756,0.006922587318947118,6973,False
190,20261115,0.5434430041153164,0.39996593827564053,-0.005564117410765207,-0.011082086016811498,-4.6148804718914964e-05,10917,True
191,20261116,0.34777920708433546,0.4591419070471617,-0.0015765140429014057,-0.0074161364046075925,0.004263108318804781,7937,False
192,20261117,0.3678995798906544,0.6465400373762697,-0.0033748375603191993,-0.010131473464671067,0.0033817983440326696,9109,False
193,20261118,0.44353150093708393,0.27517206684972983,0.003440689348527093,-0.004409412356410946,0.011290791053465131,3280,False
194,20261119,0.5351790599878462,0.37028586471900415,-0.004112269274737901,-0.010217932803503436,0.0019933942540276348,9229,False
195,20261120,0.6185174648121541,0.3249176261553639,0.0034543199112319067,-0.0016737034289967742,0.008582343251460588,6406,False
196,20261121,0.5685342607747629,0.7329362415256943,0.00201514630948213,-0.004157675145031247,0.008187967763995507,7849,False
197,20261122,0.2520805195920875,0.5576015358629902,-0.0010582806114721455,-0.010016295733325225,0.007899734510380934,2140,False
198,20261123,0.2829506016440903,0.4664531843179559,0.007081700613568331,-0.0005526259433823949,0.014716027170519057,3675,False
199,20261124,0.31289538572726844,0.42204755784921816,0.00332581977708149,-0.002898762930037836,0.009550402484200816,5642,False
