N,stop,cal_pos,date,n_triggered
8,fix 8%,900,2018-09-06,7
8,fix 8%,901,2018-09-07,62
8,fix 8%,902,2018-09-10,221
8,fix 8%,903,2018-09-11,28
8,fix 8%,904,2018-09-12,93
8,fix 8%,907,2018-09-17,24
8,fix 8%,908,2018-09-18,11
8,fix 8%,910,2018-09-20,29
8,fix 8%,913,2018-09-26,33
8,fix 8%,914,2018-09-27,9
8,fix 8%,918,2018-10-03,71
8,fix 8%,919,2018-10-04,52
8,fix 8%,920,2018-10-05,187
8,fix 8%,921,2018-10-08,155
8,fix 8%,922,2018-10-09,56
8,fix 8%,923,2018-10-11,426
8,fix 8%,924,2018-10-12,23
8,fix 8%,926,2018-10-16,37
8,fix 8%,927,2018-10-17,32
8,fix 8%,928,2018-10-18,34
8,fix 8%,932,2018-10-24,17
8,fix 8%,933,2018-10-25,72
8,fix 8%,935,2018-10-29,75
8,fix 8%,943,2018-11-08,136
8,fix 8%,954,2018-11-23,289
8,fix 8%,962,2018-12-05,164
8,fix 8%,963,2018-12-06,157
8,fix 8%,974,2018-12-21,54
8,fix 8%,991,2019-01-16,69
8,fix 8%,1043,2019-04-15,39
8,fix 8%,1059,2019-05-08,5
8,fix 8%,1060,2019-05-09,8
8,fix 8%,1061,2019-05-10,2
8,fix 8%,1062,2019-05-13,10
8,fix 8%,1063,2019-05-14,6
8,fix 8%,1065,2019-05-16,4
8,fix 8%,1066,2019-05-17,33
8,fix 8%,1067,2019-05-20,3
8,fix 8%,1070,2019-05-23,4
8,fix 8%,1071,2019-05-24,5
8,fix 8%,1072,2019-05-27,6
8,fix 8%,1073,2019-05-28,8
8,fix 8%,1080,2019-06-06,117
8,fix 8%,1084,2019-06-13,63
8,fix 8%,1105,2019-07-12,23
8,fix 8%,1111,2019-07-22,64
8,fix 8%,1117,2019-07-30,40
8,fix 8%,1120,2019-08-02,42
8,fix 8%,1121,2019-08-05,16
8,fix 8%,1122,2019-08-06,38
8,fix 8%,1126,2019-08-13,36
8,fix 8%,1149,2019-09-16,27
8,fix 8%,1155,2019-09-24,8
8,fix 8%,1156,2019-09-25,7
8,fix 8%,1157,2019-09-26,9
8,fix 8%,1162,2019-10-04,7
8,fix 8%,1164,2019-10-08,7
8,fix 8%,1165,2019-10-09,9
8,fix 8%,1177,2019-10-29,4
8,fix 8%,1183,2019-11-06,4
8,fix 8%,1184,2019-11-07,6
8,fix 8%,1185,2019-11-08,2
8,fix 8%,1186,2019-11-11,19
8,fix 8%,1188,2019-11-13,13
8,fix 8%,1190,2019-11-15,4
8,fix 8%,1193,2019-11-20,7
8,fix 8%,1201,2019-12-02,3
8,fix 8%,1203,2019-12-04,5
8,fix 8%,1210,2019-12-13,6
8,fix 8%,1225,2020-01-06,48
8,fix 8%,1226,2020-01-07,57
8,fix 8%,1227,2020-01-08,34
8,fix 8%,1230,2020-01-13,20
8,fix 8%,1236,2020-01-30,370
8,fix 8%,1237,2020-01-31,76
8,fix 8%,1238,2020-02-03,59
8,fix 8%,1242,2020-02-07,23
8,fix 8%,1243,2020-02-10,63
8,fix 8%,1248,2020-02-17,28
8,fix 8%,1252,2020-02-21,3
8,fix 8%,1255,2020-02-26,4
8,fix 8%,1256,2020-02-27,144
8,fix 8%,1257,2020-03-02,24
8,fix 8%,1261,2020-03-06,31
8,fix 8%,1262,2020-03-09,100
8,fix 8%,1263,2020-03-10,28
8,fix 8%,1264,2020-03-11,121
8,fix 8%,1265,2020-03-12,514
8,fix 8%,1266,2020-03-13,112
8,fix 8%,1267,2020-03-16,203
8,fix 8%,1268,2020-03-17,111
8,fix 8%,1269,2020-03-18,29
8,fix 8%,1270,2020-03-19,3
8,fix 8%,1283,2020-04-09,200
8,fix 8%,1285,2020-04-13,200
8,fix 8%,1300,2020-05-05,192
8,fix 8%,1309,2020-05-18,186
8,fix 8%,1327,2020-06-11,108
8,fix 8%,1328,2020-06-12,35
8,fix 8%,1343,2020-07-07,13
8,fix 8%,1348,2020-07-14,13
8,fix 8%,1351,2020-07-17,11
8,fix 8%,1356,2020-07-24,32
8,fix 8%,1357,2020-07-27,10
8,fix 8%,1358,2020-07-28,35
8,fix 8%,1367,2020-08-10,26
8,fix 8%,1368,2020-08-11,18
8,fix 8%,1369,2020-08-12,26
8,fix 8%,1370,2020-08-13,38
8,fix 8%,1374,2020-08-19,21
8,fix 8%,1375,2020-08-20,59
8,fix 8%,1378,2020-08-25,13
8,fix 8%,1385,2020-09-03,10
8,fix 8%,1386,2020-09-04,13
8,fix 8%,1387,2020-09-07,30
8,fix 8%,1389,2020-09-09,10
8,fix 8%,1390,2020-09-10,7
8,fix 8%,1399,2020-09-23,9
8,fix 8%,1400,2020-09-24,14
8,fix 8%,1401,2020-09-25,58
8,fix 8%,1402,2020-09-28,21
8,fix 8%,1409,2020-10-12,16
8,fix 8%,1412,2020-10-15,9
8,fix 8%,1413,2020-10-16,7
8,fix 8%,1420,2020-10-27,7
8,fix 8%,1421,2020-10-28,9
8,fix 8%,1422,2020-10-29,6
8,fix 8%,1423,2020-10-30,25
8,fix 8%,1424,2020-11-02,15
8,fix 8%,1428,2020-11-06,9
8,fix 8%,1430,2020-11-10,12
8,fix 8%,1431,2020-11-11,21
8,fix 8%,1432,2020-11-12,4
8,fix 8%,1435,2020-11-17,15
8,fix 8%,1447,2020-12-03,12
8,fix 8%,1448,2020-12-04,18
8,fix 8%,1449,2020-12-07,43
8,fix 8%,1451,2020-12-09,10
8,fix 8%,1453,2020-12-11,26
8,fix 8%,1454,2020-12-14,19
8,fix 8%,1455,2020-12-15,65
8,fix 8%,1460,2020-12-22,34
8,fix 8%,1465,2020-12-29,24
8,fix 8%,1466,2020-12-30,12
8,fix 8%,1470,2021-01-06,46
8,fix 8%,1472,2021-01-08,52
8,fix 8%,1473,2021-01-11,14
8,fix 8%,1476,2021-01-14,29
8,fix 8%,1477,2021-01-15,52
8,fix 8%,1478,2021-01-18,38
8,fix 8%,1480,2021-01-20,99
8,fix 8%,1481,2021-01-21,18
8,fix 8%,1487,2021-01-29,16
8,fix 8%,1488,2021-02-01,5
8,fix 8%,1490,2021-02-03,20
8,fix 8%,1491,2021-02-04,3
8,fix 8%,1492,2021-02-05,16
8,fix 8%,1503,2021-03-04,5
8,fix 8%,1504,2021-03-05,17
8,fix 8%,1505,2021-03-08,3
8,fix 8%,1506,2021-03-09,17
8,fix 8%,1507,2021-03-10,3
8,fix 8%,1516,2021-03-23,15
8,fix 8%,1518,2021-03-25,2
8,fix 8%,1522,2021-03-31,2
8,fix 8%,1529,2021-04-13,4
8,fix 8%,1530,2021-04-14,49
8,fix 8%,1533,2021-04-19,10
8,fix 8%,1535,2021-04-21,6
8,fix 8%,1536,2021-04-22,5
8,fix 8%,1539,2021-04-27,2
8,fix 8%,1542,2021-05-03,2
8,fix 8%,1543,2021-05-04,43
8,fix 8%,1544,2021-05-05,83
8,fix 8%,1545,2021-05-06,22
8,fix 8%,1547,2021-05-10,8
8,fix 8%,1548,2021-05-11,112
8,fix 8%,1549,2021-05-12,194
8,fix 8%,1550,2021-05-13,13
8,fix 8%,1552,2021-05-17,102
8,fix 8%,1566,2021-06-04,23
8,fix 8%,1567,2021-06-07,60
8,fix 8%,1569,2021-06-09,65
8,fix 8%,1572,2021-06-15,32
8,fix 8%,1575,2021-06-18,23
8,fix 8%,1576,2021-06-21,54
8,fix 8%,1577,2021-06-22,84
8,fix 8%,1588,2021-07-07,13
8,fix 8%,1591,2021-07-12,10
8,fix 8%,1592,2021-07-13,19
8,fix 8%,1597,2021-07-20,25
8,fix 8%,1603,2021-07-28,14
8,fix 8%,1610,2021-08-06,2
8,fix 8%,1611,2021-08-09,9
8,fix 8%,1612,2021-08-10,13
8,fix 8%,1613,2021-08-11,43
8,fix 8%,1615,2021-08-13,64
8,fix 8%,1616,2021-08-16,41
8,fix 8%,1617,2021-08-17,68
8,fix 8%,1619,2021-08-19,25
8,fix 8%,1620,2021-08-20,16
8,fix 8%,1621,2021-08-23,15
8,fix 8%,1625,2021-08-27,37
8,fix 8%,1630,2021-09-03,8
8,fix 8%,1631,2021-09-06,88
8,fix 8%,1632,2021-09-07,71
8,fix 8%,1633,2021-09-08,149
8,fix 8%,1635,2021-09-10,9
8,fix 8%,1636,2021-09-13,8
8,fix 8%,1637,2021-09-14,14
8,fix 8%,1639,2021-09-16,11
8,fix 8%,1641,2021-09-22,34
8,fix 8%,1642,2021-09-23,11
8,fix 8%,1645,2021-09-28,39
8,fix 8%,1646,2021-09-29,58
8,fix 8%,1648,2021-10-01,109
8,fix 8%,1649,2021-10-04,183
8,fix 8%,1650,2021-10-05,18
8,fix 8%,1651,2021-10-06,34
8,fix 8%,1654,2021-10-12,48
8,fix 8%,1655,2021-10-13,112
8,fix 8%,1656,2021-10-14,15
8,fix 8%,1658,2021-10-18,8
8,fix 8%,1660,2021-10-20,37
8,fix 8%,1662,2021-10-22,11
8,fix 8%,1669,2021-11-02,46
8,fix 8%,1676,2021-11-11,39
8,fix 8%,1678,2021-11-15,6
8,fix 8%,1682,2021-11-19,3
8,fix 8%,1688,2021-11-29,76
8,fix 8%,1689,2021-11-30,42
8,fix 8%,1697,2021-12-10,59
8,fix 8%,1698,2021-12-13,18
8,fix 8%,1699,2021-12-14,21
8,fix 8%,1702,2021-12-17,22
8,fix 8%,1715,2022-01-06,17
8,fix 8%,1716,2022-01-07,32
8,fix 8%,1717,2022-01-10,5
8,fix 8%,1718,2022-01-11,83
8,fix 8%,1719,2022-01-12,31
8,fix 8%,1720,2022-01-13,15
8,fix 8%,1721,2022-01-14,42
8,fix 8%,1726,2022-01-21,92
8,fix 8%,1727,2022-01-24,52
8,fix 8%,1728,2022-01-25,94
8,fix 8%,1729,2022-01-26,55
8,fix 8%,1730,2022-02-07,6
8,fix 8%,1731,2022-02-08,9
8,fix 8%,1734,2022-02-11,27
8,fix 8%,1736,2022-02-15,21
8,fix 8%,1741,2022-02-22,38
8,fix 8%,1743,2022-02-24,62
8,fix 8%,1744,2022-02-25,3
8,fix 8%,1747,2022-03-03,6
8,fix 8%,1748,2022-03-04,7
8,fix 8%,1749,2022-03-07,183
8,fix 8%,1750,2022-03-08,157
8,fix 8%,1751,2022-03-09,7
8,fix 8%,1754,2022-03-14,4
8,fix 8%,1755,2022-03-15,9
8,fix 8%,1756,2022-03-16,22
8,fix 8%,1763,2022-03-25,9
8,fix 8%,1764,2022-03-28,4
8,fix 8%,1769,2022-04-06,8
8,fix 8%,1770,2022-04-07,23
8,fix 8%,1772,2022-04-11,7
8,fix 8%,1773,2022-04-12,1
8,fix 8%,1776,2022-04-15,25
8,fix 8%,1782,2022-04-25,142
8,fix 8%,1784,2022-04-27,15
8,fix 8%,1787,2022-05-03,40
8,fix 8%,1790,2022-05-06,7
8,fix 8%,1791,2022-05-09,263
8,fix 8%,1792,2022-05-10,44
8,fix 8%,1793,2022-05-11,96
8,fix 8%,1794,2022-05-12,156
8,fix 8%,1797,2022-05-17,18
8,fix 8%,1804,2022-05-26,16
8,fix 8%,1815,2022-06-13,127
8,fix 8%,1816,2022-06-14,99
8,fix 8%,1817,2022-06-15,41
8,fix 8%,1818,2022-06-16,38
8,fix 8%,1819,2022-06-17,40
8,fix 8%,1820,2022-06-20,142
8,fix 8%,1821,2022-06-21,3
8,fix 8%,1822,2022-06-22,53
8,fix 8%,1823,2022-06-23,45
8,fix 8%,1824,2022-06-24,10
8,fix 8%,1827,2022-06-29,4
8,fix 8%,1828,2022-06-30,87
8,fix 8%,1829,2022-07-01,43
8,fix 8%,1830,2022-07-04,45
8,fix 8%,1832,2022-07-06,27
8,fix 8%,1835,2022-07-11,31
8,fix 8%,1836,2022-07-12,101
8,fix 8%,1838,2022-07-14,18
8,fix 8%,1851,2022-08-02,26
8,fix 8%,1852,2022-08-03,11
8,fix 8%,1853,2022-08-04,72
8,fix 8%,1858,2022-08-11,11
8,fix 8%,1870,2022-08-29,17
8,fix 8%,1875,2022-09-05,8
8,fix 8%,1876,2022-09-06,27
8,fix 8%,1877,2022-09-07,12
8,fix 8%,1881,2022-09-14,5
8,fix 8%,1882,2022-09-15,4
8,fix 8%,1883,2022-09-16,3
8,fix 8%,1884,2022-09-19,5
8,fix 8%,1886,2022-09-21,38
8,fix 8%,1889,2022-09-26,124
8,fix 8%,1890,2022-09-27,18
8,fix 8%,1891,2022-09-28,104
8,fix 8%,1894,2022-10-03,8
8,fix 8%,1899,2022-10-11,112
8,fix 8%,1900,2022-10-12,71
8,fix 8%,1901,2022-10-13,245
8,fix 8%,1903,2022-10-17,19
8,fix 8%,1905,2022-10-19,29
8,fix 8%,1906,2022-10-20,45
8,fix 8%,1907,2022-10-21,74
8,fix 8%,1908,2022-10-24,9
8,fix 8%,1909,2022-10-25,59
8,fix 8%,1910,2022-10-26,72
8,fix 8%,1912,2022-10-28,6
8,fix 8%,1924,2022-11-15,29
8,fix 8%,1927,2022-11-18,68
8,fix 8%,1928,2022-11-21,12
8,fix 8%,1944,2022-12-13,4
8,fix 8%,1947,2022-12-16,55
8,fix 8%,1948,2022-12-19,34
8,fix 8%,1949,2022-12-20,28
8,fix 8%,1950,2022-12-21,7
8,fix 8%,1955,2022-12-28,119
8,fix 8%,1956,2022-12-29,38
8,fix 8%,1961,2023-01-06,19
8,fix 8%,1964,2023-01-11,21
8,fix 8%,1965,2023-01-12,59
8,fix 8%,1967,2023-01-16,14
8,fix 8%,1970,2023-01-31,18
8,fix 8%,1988,2023-02-24,14
8,fix 8%,1989,2023-03-01,6
8,fix 8%,1997,2023-03-13,52
8,fix 8%,1998,2023-03-14,12
8,fix 8%,1999,2023-03-15,21
8,fix 8%,2000,2023-03-16,2
8,fix 8%,2025,2023-04-25,43
8,fix 8%,2026,2023-04-26,2
8,fix 8%,2030,2023-05-03,40
8,fix 8%,2034,2023-05-09,11
8,fix 8%,2036,2023-05-11,33
8,fix 8%,2038,2023-05-15,10
8,fix 8%,2046,2023-05-25,5
8,fix 8%,2050,2023-05-31,8
8,fix 8%,2057,2023-06-09,137
8,fix 8%,2067,2023-06-27,78
8,fix 8%,2071,2023-07-03,9
8,fix 8%,2073,2023-07-05,107
8,fix 8%,2076,2023-07-10,11
8,fix 8%,2077,2023-07-11,30
8,fix 8%,2079,2023-07-13,109
8,fix 8%,2088,2023-07-26,138
8,fix 8%,2093,2023-08-02,127
8,fix 8%,2094,2023-08-04,69
8,fix 8%,2097,2023-08-09,81
8,fix 8%,2098,2023-08-10,201
8,fix 8%,2100,2023-08-14,235
8,fix 8%,2105,2023-08-21,57
8,fix 8%,2106,2023-08-22,70
8,fix 8%,2120,2023-09-11,124
8,fix 8%,2122,2023-09-13,58
8,fix 8%,2123,2023-09-14,77
8,fix 8%,2127,2023-09-20,68
8,fix 8%,2135,2023-10-03,72
8,fix 8%,2136,2023-10-04,8
8,fix 8%,2138,2023-10-06,69
8,fix 8%,2139,2023-10-11,121
8,fix 8%,2140,2023-10-12,84
8,fix 8%,2142,2023-10-16,48
8,fix 8%,2143,2023-10-17,72
8,fix 8%,2144,2023-10-18,61
8,fix 8%,2146,2023-10-20,20
8,fix 8%,2151,2023-10-27,72
8,fix 8%,2153,2023-10-31,23
8,fix 8%,2154,2023-11-01,17
8,fix 8%,2160,2023-11-09,38
8,fix 8%,2161,2023-11-10,45
8,fix 8%,2162,2023-11-13,48
8,fix 8%,2163,2023-11-14,14
8,fix 8%,2178,2023-12-05,21
8,fix 8%,2187,2023-12-18,15
8,fix 8%,2199,2024-01-04,15
8,fix 8%,2204,2024-01-11,9
8,fix 8%,2205,2024-01-12,9
8,fix 8%,2207,2024-01-16,37
8,fix 8%,2208,2024-01-17,25
8,fix 8%,2209,2024-01-18,46
8,fix 8%,2210,2024-01-19,24
8,fix 8%,2215,2024-01-26,9
8,fix 8%,2220,2024-02-02,20
8,fix 8%,2222,2024-02-15,8
8,fix 8%,2228,2024-02-23,17
8,fix 8%,2230,2024-02-27,58
8,fix 8%,2232,2024-03-01,10
8,fix 8%,2235,2024-03-06,3
8,fix 8%,2236,2024-03-07,7
8,fix 8%,2237,2024-03-08,29
8,fix 8%,2238,2024-03-11,8
8,fix 8%,2239,2024-03-12,11
8,fix 8%,2240,2024-03-13,9
8,fix 8%,2244,2024-03-19,12
8,fix 8%,2250,2024-03-27,31
8,fix 8%,2255,2024-04-03,32
8,fix 8%,2256,2024-04-08,7
8,fix 8%,2262,2024-04-16,125
8,fix 8%,2265,2024-04-19,24
8,fix 8%,2266,2024-04-22,5
8,fix 8%,2267,2024-04-23,9
8,fix 8%,2275,2024-05-06,120
8,fix 8%,2276,2024-05-07,30
8,fix 8%,2279,2024-05-10,49
8,fix 8%,2280,2024-05-13,125
8,fix 8%,2289,2024-05-24,35
8,fix 8%,2293,2024-05-30,37
8,fix 8%,2294,2024-05-31,38
8,fix 8%,2300,2024-06-11,45
8,fix 8%,2301,2024-06-12,38
8,fix 8%,2319,2024-07-08,6
8,fix 8%,2320,2024-07-09,2
8,fix 8%,2324,2024-07-15,29
8,fix 8%,2325,2024-07-16,12
8,fix 8%,2328,2024-07-19,48
8,fix 8%,2329,2024-07-22,58
8,fix 8%,2331,2024-07-26,62
8,fix 8%,2332,2024-07-29,60
8,fix 8%,2336,2024-08-02,42
8,fix 8%,2337,2024-08-05,561
8,fix 8%,2338,2024-08-06,12
8,fix 8%,2340,2024-08-08,125
8,fix 8%,2357,2024-09-02,5
8,fix 8%,2359,2024-09-04,143
8,fix 8%,2360,2024-09-05,104
8,fix 8%,2362,2024-09-09,51
8,fix 8%,2363,2024-09-10,125
8,fix 8%,2377,2024-10-01,16
8,fix 8%,2378,2024-10-04,38
8,fix 8%,2379,2024-10-07,24
8,fix 8%,2380,2024-10-08,19
8,fix 8%,2381,2024-10-09,21
8,fix 8%,2382,2024-10-11,118
8,fix 8%,2385,2024-10-16,51
8,fix 8%,2387,2024-10-18,30
8,fix 8%,2391,2024-10-24,31
8,fix 8%,2392,2024-10-25,8
8,fix 8%,2394,2024-10-29,70
8,fix 8%,2398,2024-11-05,13
8,fix 8%,2401,2024-11-08,14
8,fix 8%,2402,2024-11-11,34
8,fix 8%,2403,2024-11-12,107
8,fix 8%,2404,2024-11-13,46
8,fix 8%,2405,2024-11-14,143
8,fix 8%,2406,2024-11-15,48
8,fix 8%,2407,2024-11-18,139
8,fix 8%,2410,2024-11-21,27
8,fix 8%,2413,2024-11-26,16
8,fix 8%,2414,2024-11-27,17
8,fix 8%,2415,2024-11-28,19
8,fix 8%,2417,2024-12-02,14
8,fix 8%,2421,2024-12-06,25
8,fix 8%,2422,2024-12-09,31
8,fix 8%,2425,2024-12-12,71
8,fix 8%,2426,2024-12-13,20
8,fix 8%,2427,2024-12-16,129
8,fix 8%,2429,2024-12-18,32
8,fix 8%,2430,2024-12-19,66
8,fix 8%,2431,2024-12-20,40
8,fix 8%,2432,2024-12-23,50
8,fix 8%,2434,2024-12-25,25
8,fix 8%,2439,2025-01-02,21
8,fix 8%,2440,2025-01-03,22
8,fix 8%,2442,2025-01-07,22
8,fix 8%,2444,2025-01-09,67
8,fix 8%,2445,2025-01-10,70
8,fix 8%,2446,2025-01-13,111
8,fix 8%,2448,2025-01-15,49
8,fix 8%,2450,2025-01-17,11
8,fix 8%,2454,2025-02-03,74
8,fix 8%,2455,2025-02-04,31
8,fix 8%,2458,2025-02-07,9
8,fix 8%,2460,2025-02-11,11
8,fix 8%,2467,2025-02-20,9
8,fix 8%,2468,2025-02-21,5
8,fix 8%,2469,2025-02-24,13
8,fix 8%,2470,2025-02-25,10
8,fix 8%,2472,2025-02-27,24
8,fix 8%,2473,2025-03-03,47
8,fix 8%,2475,2025-03-05,48
8,fix 8%,2477,2025-03-07,47
8,fix 8%,2478,2025-03-10,13
8,fix 8%,2479,2025-03-11,111
8,fix 8%,2480,2025-03-12,24
8,fix 8%,2481,2025-03-13,100
8,fix 8%,2485,2025-03-19,7
8,fix 8%,2487,2025-03-21,10
8,fix 8%,2488,2025-03-24,19
8,fix 8%,2491,2025-03-27,21
8,fix 8%,2492,2025-03-28,42
8,fix 8%,2493,2025-03-31,125
8,fix 8%,2495,2025-04-02,9
8,fix 8%,2496,2025-04-07,801
8,fix 8%,2497,2025-04-08,346
8,fix 8%,2498,2025-04-09,162
8,fix 8%,2515,2025-05-05,113
8,fix 8%,2529,2025-05-23,130
8,fix 8%,2530,2025-05-26,134
8,fix 8%,2537,2025-06-05,137
8,fix 8%,2539,2025-06-09,12
8,fix 8%,2540,2025-06-10,137
8,fix 8%,2544,2025-06-16,16
8,fix 8%,2547,2025-06-19,21
8,fix 8%,2548,2025-06-20,175
8,fix 8%,2559,2025-07-07,22
8,fix 8%,2560,2025-07-08,23
8,fix 8%,2562,2025-07-10,26
8,fix 8%,2564,2025-07-14,43
8,fix 8%,2569,2025-07-21,22
8,fix 8%,2570,2025-07-22,12
8,fix 8%,2572,2025-07-24,31
8,fix 8%,2577,2025-07-31,20
8,fix 8%,2586,2025-08-13,18
8,fix 8%,2587,2025-08-14,8
8,fix 8%,2591,2025-08-20,9
8,fix 8%,2599,2025-09-01,9
8,fix 8%,2602,2025-09-04,3
8,fix 8%,2607,2025-09-11,1
8,fix 8%,2609,2025-09-15,17
8,fix 8%,2617,2025-09-25,1
8,fix 8%,2618,2025-09-26,4
8,fix 8%,2623,2025-10-07,1
8,fix 8%,2624,2025-10-08,2
8,fix 8%,2626,2025-10-13,27
8,fix 8%,2627,2025-10-14,45
8,fix 8%,2628,2025-10-15,16
8,fix 8%,2634,2025-10-23,9
8,fix 8%,2636,2025-10-28,1
8,fix 8%,2637,2025-10-29,1
8,fix 8%,2638,2025-10-30,1
8,fix 8%,2642,2025-11-05,16
8,fix 8%,2643,2025-11-06,29
8,fix 8%,2644,2025-11-07,33
8,fix 8%,2645,2025-11-10,78
8,fix 8%,2646,2025-11-11,38
8,fix 8%,2647,2025-11-12,12
8,fix 8%,2648,2025-11-13,29
8,fix 8%,2649,2025-11-14,64
8,fix 8%,2650,2025-11-17,134
8,fix 8%,2651,2025-11-18,138
8,fix 8%,2652,2025-11-19,44
8,fix 8%,2654,2025-11-21,1
8,fix 8%,2666,2025-12-09,18
8,fix 8%,2670,2025-12-15,17
8,fix 8%,2671,2025-12-16,36
8,fix 8%,2673,2025-12-18,50
8,fix 8%,2680,2025-12-30,22
8,fix 8%,2683,2026-01-05,81
8,fix 8%,2685,2026-01-07,42
8,fix 8%,2690,2026-01-14,35
8,fix 8%,2692,2026-01-16,23
8,fix 8%,2693,2026-01-19,74
8,fix 8%,2695,2026-01-21,36
8,fix 8%,2697,2026-01-23,31
8,fix 8%,2698,2026-01-26,34
8,fix 8%,2702,2026-01-30,17
8,fix 8%,2703,2026-02-02,38
8,fix 8%,2704,2026-02-03,29
8,fix 8%,2705,2026-02-04,7
8,fix 8%,2706,2026-02-05,20
8,fix 8%,2707,2026-02-06,69
8,fix 8%,2708,2026-02-09,9
8,fix 8%,2709,2026-02-10,6
8,fix 8%,2710,2026-02-11,18
8,fix 8%,2712,2026-02-24,8
8,fix 8%,2716,2026-03-03,16
8,fix 8%,2717,2026-03-04,218
8,fix 8%,2720,2026-03-09,107
8,fix 8%,2721,2026-03-10,11
8,fix 8%,2722,2026-03-11,4
8,fix 8%,2728,2026-03-19,5
8,fix 8%,2730,2026-03-23,32
8,fix 8%,2735,2026-03-30,14
8,fix 8%,2736,2026-03-31,36
8,fix 8%,2738,2026-04-02,7
8,fix 8%,2739,2026-04-07,4
8,fix 8%,2753,2026-04-27,12
8,fix 8%,2766,2026-05-15,30
8,fix 8%,2769,2026-05-20,20
8,fix 8%,2772,2026-05-25,4
8,fix 8%,2795,2026-06-26,3
8,fix 8%,2809,2026-07-17,5
8,fix 15%,551,2017-04-13,200
8,fix 15%,677,2017-10-12,192
8,fix 15%,687,2017-10-26,9
8,fix 15%,688,2017-10-27,3
8,fix 15%,689,2017-10-30,17
8,fix 15%,695,2017-11-07,11
8,fix 15%,697,2017-11-09,5
8,fix 15%,699,2017-11-13,13
8,fix 15%,704,2017-11-20,12
8,fix 15%,707,2017-11-23,18
8,fix 15%,709,2017-11-27,8
8,fix 15%,712,2017-11-30,17
