arm,r,seed,cagr,mdd,vol,ca,ma,cb,mb,expo,x50_cagr,x50_mdd,x50_vol,trades,slot,maxw,first,end,eq_sha,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,drop_best_year,drop_best_geo,p2020-03,p2022,p2025-04,dd_單日暴跌型,dd_延續下跌型,dd_混合型,dd_n,x_new_n,x_tr_buys,x_tr_short,x_tr_blocked_days,x_tr_unbought,x_add_n,x_add_short,x_add_trig,x_add_blocked_days,x_trim_n,x_trim_blocked_days,x_mult_n,x_mult_short,x_rt_sell_events,x_rt_sell_n,x_rt_refill_events,x_rt_refill_n,x_rt_refill_short,x_rt_refill_fill_min,x_rt_blocked_days,x_cost_sell,x_buy_amt,x_mbar_nominal,x_mbar_actual,x_open_at_end,mbar,mbar_nominal,rt_cost_sell_pp_yr,rt_cost_refill_pp_yr,rt_cost_pp_yr
Ce,29,99029,0.23178014965299476,-0.302217780295359,0.21790817785794356,0.3607407458188545,-0.302217780295359,0.14804501373986922,-0.29150885391536274,0.7208924721683464,0.1553884383777726,-0.27838299995805843,0.14568636050388073,138,0.8871002592912706,0.3045178471761033,523,2837,cdcc7c66d2f0359936e722b9eb94b480cae7162c296f681dcac2c94268d13cfc,0.04194767204302896,0.1751982670826029,0.5869533904390805,0.6883775361331028,0.5274055465391159,-0.08952406371533805,0.4996511308728391,-0.05972668620403876,0.04213551411016336,0.06739497478053513,2020,0.18671391066702925,-0.10910986221383068,-0.08952406371533805,0.00595646313114484,0,0,3,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.803198174695038,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,30,99030,0.2720329665929926,-0.3625191131751294,0.2326906402029698,0.2653767238348983,-0.3625191131751294,0.2724013898868083,-0.3134188714161409,0.7224015693992386,0.15212701481250246,-0.2821765187938487,0.1442038472930912,138,0.8871002592912706,0.3582565375708072,523,2837,fdae47fb945cf290d9e27a22c44855a882eb21b7d83e3c52e892d251fb3e81d5,0.11021938639416984,-0.034624990145087464,0.45113229128799404,0.5939131963684534,0.26029364146637635,-0.029693504885023758,0.47942895824318055,0.028739560594593705,0.6046409326186102,0.3095293898407756,2025,0.2373775867392156,-0.11065572466839557,-0.029693504885023758,-0.015701042788879516,1,0,3,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.8011676548648796,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,31,99031,0.30520913205958244,-0.39270995353164045,0.23922085213856276,0.35684775165019933,-0.39270995353164045,0.2635728895480205,-0.30897761169580373,0.7175429437781472,0.16024702969317306,-0.27975194786816654,0.14561251024682836,138,0.8871002592912706,0.5169898374826046,523,2837,b78dffc41665da7c7f23b41d577621590d0d2832ac80d1fe28337fc020a0afb4,0.13354981821868073,-0.0844312855099244,0.5125036403818484,1.067109466706722,1.0183641092645215,-0.15499218996887665,0.36773633175381626,-0.13685374246772164,0.1689662196127779,0.6187291113533213,2020,0.23614024139315148,-0.09766352382589671,-0.15499218996887665,-0.04613719948264128,1,0,2,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.8018021022023479,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,32,99032,0.1944415564226516,-0.42725426243648207,0.24364296928024112,0.24261273962767538,-0.42725426243648207,0.16089892582351428,-0.3035213636196342,0.7304399878946877,0.15751824257595848,-0.28217651879384903,0.14716072722807497,138,0.8871002592912706,0.504065635052223,523,2837,2203c0ef3f68f299f1d0531574e9643055f2406fb9c0f7ac4699d3492af6fdde,0.013461342916010421,-0.0007646797820881623,0.4675601775355742,0.5552341393779623,0.3574032712724171,-0.08097539348041027,0.23759709626431547,-0.12278341902331369,0.20009985436429045,0.42460183848842825,2020,0.15775088741571452,-0.14062802563023835,-0.08097539348041027,0.030431364306645836,0,0,4,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8112691618360578,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,33,99033,0.27142229156331554,-0.41146501283721554,0.2361519415269831,0.28986961553026624,-0.41146501283721554,0.2560317403492993,-0.29745799821615654,0.7205538916608377,0.14899262489022025,-0.28155593233203746,0.14670514208190585,138,0.8871002592912706,0.3987265958157293,523,2837,c1f9c4f2cccbb3b137dd86bb95001a97a3fb6fde20ec8baa1a0cf19ff0d64fd8,0.1036098207098124,0.1879503505921638,0.4421051498333872,0.41182288369974196,0.6283546550296366,-0.14600367289788985,0.22208557214507207,-0.05397850022466699,0.32310490828689864,0.699762141126012,2026,0.21793555670009868,-0.13818293595253406,-0.14600367289788985,-0.002930223385261277,0,0,4,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8092240868621211,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,34,99034,0.28461776838495845,-0.3870124517892585,0.24436974728471764,0.20153017927117123,-0.3870124517892585,0.34260822653523015,-0.2368984751412029,0.7294983011657408,0.1548936988962233,-0.27604628082116034,0.14734989731712045,138,0.8871002592912706,0.42934738045914056,523,2837,74c3a3fd4b33aa31b11cd4291b1e944ed49d4102b7c22e4d43ff4a083ac2d5b3,0.0854732151183939,0.030234503794689838,0.30458284373821987,0.3916217256462311,0.6450355880500975,-0.14241696234720258,0.7028155923018171,0.16950540979914086,0.2562881893238518,0.4847590078254205,2023,0.24178474409245387,-0.13775780884340805,-0.14241696234720258,0.029393930232242793,0,0,3,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8098424435708492,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,35,99035,0.35918843217498675,-0.3894972006315003,0.24689840435092125,0.3660917527284151,-0.3894972006315003,0.3428526170429247,-0.3072119259687403,0.717151612907918,0.15882752371527853,-0.280013088331037,0.14461000198034688,138,0.8871002592912706,0.48374466616353873,523,2837,8a152a88d8eeda5e460baab0020ccbb1e21b635cf22fcf0b00fdf60383a30144,0.12288719237127665,0.0419720619822761,0.4733017674413327,0.9323300069617095,1.2554944097813499,-0.03293738262275281,0.2997835388480028,-0.01683872310850154,0.2191142512226183,0.6012793919481814,2021,0.2800305405388943,-0.20053634909944573,-0.03293738262275281,0.01585026093327757,0,0,3,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.7935317328878329,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,36,99036,0.2570548713594383,-0.3397725004665652,0.23386168372153776,0.21842006609468334,-0.3397725004665652,0.2817938164038569,-0.2375570031439498,0.7306119418573187,0.1591199719873193,-0.28217651879384903,0.1488620859129003,138,0.8871002592912706,0.48717277155889405,523,2837,e1ad8729cec332f966836abf92e8dd51ceeb61f4c4f2fac799a48f9c4a728a67,0.05739425564733858,-0.011615173091500508,0.3685266426065412,0.4980116036250204,0.5539379741502655,-0.15222957185687713,0.8774104335999637,-0.008948152942241605,0.009698719324180205,0.6349116391938512,2023,0.19819077056781698,-0.15480578302007486,-0.15222957185687713,-0.04040154971734766,1,0,2,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8115021827824798,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,37,99037,0.21466998914472213,-0.3364012335735477,0.21649189063759433,0.22155179349197085,-0.3364012335735477,0.20807986773524756,-0.26672650291326216,0.7118460102118872,0.15099606382394404,-0.2808889870576733,0.14446100876394327,138,0.8871002592912706,0.37804392886175814,523,2837,d77eda4b40466fac548dff61cee39a24dcfdc6bd3bc87ff1a9a1a81afc3d2553,0.12744952207100724,-0.1482598777884213,0.45691399957581136,0.5466549292848901,0.4532434825383338,-0.10768725335244944,0.4399931694865751,0.09172490251599097,0.15778961388711,0.22790558215404189,2020,0.18048718726436697,-0.12749200264705862,-0.10768725335244944,-0.0169871070311296,0,0,5,5,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.7957488019821503,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,38,99038,0.30371661662727556,-0.3962049559051122,0.24191642240360411,0.2568215085027681,-0.3962049559051122,0.33120697778139196,-0.3034856960633167,0.719883911196631,0.1542654644579331,-0.2777291332712071,0.14556180464219068,138,0.8871002592912706,0.39146106840419126,523,2837,65bb33dffa15f008d2e0f5c1730b00eba6426f11a37ee2f286e8574185c89f9c,0.07663497696646071,0.03303365892271182,0.37630025361316344,0.5776705803040365,0.4095301850587154,-0.15849130510355014,0.3233361964934185,0.013141625289121661,0.5040689115497123,1.1172390527490887,2026,0.22031324465999091,-0.1362837075298542,-0.15849130510355014,0.030521340636342265,0,0,3,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.8039525533599652,0.0,0.8115942028985508,0.8115942028985508,,,
