cell,kind,version,r,seed,param,cagr,mdd,vol,expo,x_mult_short,n_rebal,ctrl_cost_total
Ba,mbar,median,22,99022,1.0583941605839415,0.35422623826679156,-0.4714976440514075,0.28707469909712063,0.8768174657876338,23.0,,
Ba,mbar,pooled,22,99022,1.058940349087199,0.3543087269823084,-0.47159421114149663,0.28699345906995716,0.8767389436274067,24.0,,
Ba,mbar,paired,23,99023,1.0588235294117647,0.2631987992725544,-0.49187094987687063,0.27569312818149116,0.8810458039291139,23.0,,
Ba,mbar,median,23,99023,1.0583941605839415,0.26318580803143554,-0.49190096940689937,0.27566212446341504,0.8810378152084786,23.0,,
Ba,mbar,pooled,23,99023,1.058940349087199,0.263202331240324,-0.4918627825028592,0.27570158184287086,0.8810479775624724,23.0,,
Ba,mbar,paired,24,99024,1.0579710144927537,0.29864967681378674,-0.46484683760753026,0.2770177314005805,0.8805846764644396,23.0,,
Ba,mbar,median,24,99024,1.0583941605839415,0.29864106997786877,-0.4647925748160263,0.2770423129624418,0.8806132957788172,23.0,,
Ba,mbar,pooled,24,99024,1.058940349087199,0.2986299168597273,-0.4647224858212194,0.2770741918862812,0.8806502217046799,23.0,,
Ba,mbar,paired,25,99025,1.0547445255474452,0.25485622834609023,-0.449920530029293,0.2680505247771009,0.8750294715976452,22.0,,
Ba,mbar,median,25,99025,1.0583941605839415,0.25554814071124676,-0.450754635649877,0.26821517258718197,0.8750175297404879,22.0,,
Ba,mbar,pooled,25,99025,1.058940349087199,0.2556516528908499,-0.450879499035563,0.26824046133419505,0.8750157251944962,22.0,,
Ba,mbar,paired,26,99026,1.051094890510949,0.41543621695320754,-0.3972703695530072,0.29918587743694036,0.8811860670698138,26.0,,
Ba,mbar,median,26,99026,1.0583941605839415,0.41523760525407627,-0.3967201390854584,0.29913315277247365,0.8813739882129114,26.0,,
Ba,mbar,pooled,26,99026,1.058940349087199,0.4151107383448438,-0.3966790376246292,0.29909456781080035,0.881362832503922,26.0,,
Ba,mbar,paired,27,99027,1.0579710144927537,0.45497888640553463,-0.43028731031550554,0.2965964490119742,0.881644122339245,28.0,,
Ba,mbar,median,27,99027,1.0583941605839415,0.45502674576616275,-0.43032225876622227,0.29661299682429304,0.881670416661874,28.0,,
Ba,mbar,pooled,27,99027,1.058940349087199,0.45508895290247153,-0.4303673725563456,0.29663446441264985,0.8817043188829244,28.0,,
Ba,mbar,paired,28,99028,1.0735294117647058,0.34761568021066314,-0.41866918569756845,0.27574590410989025,0.8791297318042794,24.0,,
Ba,mbar,median,28,99028,1.0583941605839415,0.34669792857506976,-0.41997440108605844,0.27487431942388696,0.877705564411036,22.0,,
Ba,mbar,pooled,28,99028,1.058940349087199,0.34674343884044445,-0.4198974965073888,0.2749036319688878,0.8777571916151626,22.0,,
Ba,mbar,paired,29,99029,1.0543478260869565,0.2717252736466431,-0.4132136817215709,0.26159495192216675,0.8779541233104726,23.0,,
Ba,mbar,median,29,99029,1.0583941605839415,0.27215835270170796,-0.41272262672136484,0.26172922107834035,0.8781514614566215,23.0,,
Ba,mbar,pooled,29,99029,1.058940349087199,0.27221664368800913,-0.41265654002831764,0.26174809287810025,0.8781781652960761,23.0,,
Ba,mbar,paired,30,99030,1.0543478260869565,0.3136659113802893,-0.4346697522719516,0.27268678463549434,0.882122999865382,24.0,,
Ba,mbar,median,30,99030,1.0583941605839415,0.3122832407447562,-0.4353184547155733,0.2727016352868074,0.8825318041198132,24.0,,
Ba,mbar,pooled,30,99030,1.058940349087199,0.31209587540495787,-0.4354223104660032,0.27270487092587,0.8825869627788151,24.0,,
Ba,mbar,paired,31,99031,1.0543478260869565,0.33542756743388247,-0.4481137769374926,0.2814952167370621,0.875985176902341,23.0,,
Ba,mbar,median,31,99031,1.0583941605839415,0.3358750150086811,-0.4480017803284563,0.28167412883194837,0.8761560976958548,23.0,,
