cell,kind,version,param_med,cagr,mdd,ratio,vol,label_desc,cell_cagr,cell_ratio,cell_not_lose_cagr,cell_not_lose_ratio,class,pair_d_cagr_med,pair_d_mdd_med,expo_med
Ce,m̄,median,0.8188405797101449,0.23461909037735673,-0.36632700615155656,0.6404635378705612,0.22674016675313835,不合格,0.24681438699460279,0.6511253643278796,True,True,甲',0.006693184511564421,-0.01925793960490682,0.7369469030876613
Ce,m̄,pooled,0.816304347826087,0.2339463124033473,-0.3654216056213123,0.6402093056473148,0.2260842115792186,不合格,0.24681438699460279,0.6511253643278796,True,True,甲',0.007375697524837577,-0.02024628404628842,0.7347676696231191
Cf,ē,paired,0.7506744560000433,0.24144253929569148,-0.3601056894673302,0.6704768804203962,0.22993454276739886,另列,0.23834416189430485,0.6696301332371395,False,False,丙',-0.0007999556313936784,0.00881998800631939,0.7377287308317488
Cf,ē,median,0.7506744560000433,0.240658435482624,-0.3584755346459977,0.6713385216658632,0.22966258157528685,另列,0.23834416189430485,0.6696301332371395,False,False,丙',-0.0015895259954527008,0.007495822267709368,0.7375146369180288
Cf,ē,pooled,0.7512828373881917,0.24084890915646906,-0.3587188727851122,0.6714141000904286,0.2298497754584371,另列,0.23834416189430485,0.6696301332371395,False,False,丙',-0.0017139343824930098,0.007741734120743221,0.7381099968870333
Cf,ē,paired_p17,0.7506744560000433,0.24104628019710483,-0.360301631450752,0.669012458329799,0.229935616331636,另列,0.23834416189430485,0.6696301332371395,False,True,乙',-0.0004035942756601685,0.009273320065692814,0.7377287308317488
Cg,ē,paired,0.709198835171511,0.22861985685189523,-0.3429567217252216,0.6666143054489144,0.21713796454014583,不合格,0.2304350243621991,0.6745468184879487,True,True,甲',0.002127504907441957,0.002562074646230178,0.6968513984214084
Cg,ē,median,0.709198835171511,0.2276464351063029,-0.3417213495236282,0.6661756294233596,0.21690984309056177,不合格,0.2304350243621991,0.6745468184879487,True,True,甲',0.0017624193694592005,0.0030911200550098328,0.6969222339693462
Cg,ē,pooled,0.7095631194946683,0.22776094490774024,-0.3418699253911355,0.6662210624323199,0.21702177736171824,不合格,0.2304350243621991,0.6745468184879487,True,True,甲',0.0017043771549357656,0.003237641592020918,0.6972788017801929
Cg,ē,paired_p17,0.709198835171511,0.22819071563896265,-0.34317795959528025,0.6649340648451743,0.21714294514072346,不合格,0.2304350243621991,0.6745468184879487,True,True,甲',0.002556762522015865,0.0031508796646635417,0.6968513984214084
Ch,ē,paired,0.6997561791525371,0.22565343392240933,-0.33846990717949,0.6666868431607591,0.21419417988271827,不合格,0.20714702846953892,0.6143057019480666,False,False,丙',-0.016331185517732938,0.003834639242989518,0.6874564803964518
Ch,ē,median,0.6997561791525371,0.2246768643719077,-0.3378612480152906,0.6649974381250716,0.21400882099041657,不合格,0.20714702846953892,0.6143057019480666,False,False,丙',-0.01621606645568452,0.005344513699493764,0.687679328784293
Ch,ē,pooled,0.7001399087571103,0.22479759183691284,-0.33801844696068517,0.6650453366027653,0.21412669605967727,不合格,0.20714702846953892,0.6143057019480666,False,False,丙',-0.016323048692967967,0.005516694345989337,0.6880549511817764
Ch,ē,paired_p17,0.6997561791525371,0.22524073742899864,-0.3388923910977142,0.6646379303454296,0.2141978403024501,不合格,0.20714702846953892,0.6143057019480666,False,False,丙',-0.015906904114910136,0.004328110215295861,0.6874564803964518
