cell,j,r,seed,cagr,mdd,vol
Cc,6,1,99001,0.257515147628979,-0.41586959059171275,0.2778164529876709
Cc,6,2,99002,0.21075956673103025,-0.5043891729643656,0.27670209399786894
Cc,6,3,99003,0.2841312439721353,-0.4227337223265596,0.2647565028327533
Cc,6,4,99004,0.2605884703505936,-0.4187670381717688,0.264473474898989
Cc,6,5,99005,0.31014560301118,-0.48513900261147413,0.28784354571400467
Cc,6,6,99006,0.294948022284939,-0.432405324912961,0.2653340419270728
Cc,6,7,99007,0.32775230395763555,-0.4336251678462655,0.27865727017263575
Cc,6,8,99008,0.3359726325737884,-0.40298011045799864,0.27868340512707057
Cc,6,9,99009,0.3362558349208362,-0.3820097917042217,0.2887416280291441
Cc,6,10,99010,0.18927216255609336,-0.44425574548809094,0.2619189140087967
Cc,6,11,99011,0.3764180447261438,-0.468321977811759,0.29272124275495753
Cc,6,12,99012,0.2650619715104041,-0.4706341385624924,0.27338982659214167
Cc,6,13,99013,0.25533816826762257,-0.365935518554367,0.2675664603773253
Cc,6,14,99014,0.3297522657462635,-0.43389779456132255,0.28791081867746054
Cc,6,15,99015,0.27415433787393817,-0.4280839489134695,0.27246735305613223
Cc,6,16,99016,0.21455508313284422,-0.3529134855991392,0.2672924446856462
Cc,6,17,99017,0.3053040784024512,-0.4192712867649464,0.2726834838797514
Cc,6,18,99018,0.2751709184917335,-0.38741713198791156,0.2592515461904878
Cc,6,19,99019,0.40872948894500194,-0.4504074198469708,0.2767477470562319
Cc,6,20,99020,0.3813768193206364,-0.4838603955587516,0.28510216639551234
Cc,6,21,99021,0.35989268375761685,-0.45677202521768523,0.28442040228248117
Cc,6,22,99022,0.3075572012286911,-0.4607991696615034,0.2743207401133205
Cc,6,23,99023,0.3635545492653096,-0.4926907023017168,0.28732818671615884
Cc,6,24,99024,0.1624723810992046,-0.4861108686819387,0.26226450895035297
Cc,6,25,99025,0.19126345259058763,-0.3908381862469583,0.2615774944155722
Cc,6,26,99026,0.37920350243154655,-0.39671525183091205,0.29362626691082516
Cc,6,27,99027,0.3296451781924026,-0.4230691349950177,0.28172789141705
Cc,6,28,99028,0.277146087198922,-0.31740506405561647,0.2685943596572125
Cc,6,29,99029,0.4106097949732881,-0.3612094224847645,0.2762788425508124
Cc,6,30,99030,0.3271174595008286,-0.4006134930774733,0.2729828418281318
Cc,6,31,99031,0.3035755674898717,-0.509585935984958,0.28766211012161974
Cc,6,32,99032,0.2842201496903025,-0.4368726317773994,0.2828016190200603
Cc,6,33,99033,0.3260084752635466,-0.43532391651508984,0.27923757962862605
Cc,6,34,99034,0.2837160654802142,-0.4349129819021123,0.27760941753453594
Cc,6,35,99035,0.3832233364850155,-0.3894971790471786,0.2764372811872453
Cc,6,36,99036,0.32166121971287565,-0.3988377053006618,0.27109596116038287
