market,出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Date,SecuritiesCompanyCode,CompanyName,待註銷股本股數（單位：股）
tpex,,115,2,,,2946410.00,1816461.00,4762871.00,1236101.00,239264.00,1475365.00,493392.00,,212373.00,2394243.00,14570.00,0.00,3114578.00,,,172928.00,3287506.00,,0.00,0.00,63.13,1150905,1580,新麥,
tpex,,115,2,,,2992632.00,4686582.00,7679214.00,547276.00,2402110.00,2949386.00,2324705.00,,2044435.00,520231.00,-54777.00,-177757.00,4656837.00,,,72991.00,4729828.00,,0.00,7518000.00,20.70,1150905,1584,精剛,0.00
tpex,,115,2,,,1919000.00,1787309.00,3706309.00,1231062.00,466660.00,1697722.00,1068495.00,,832685.00,339400.00,-11669.00,-220324.00,2008587.00,,,,2008587.00,,0.00,5554000.00,19.83,1150905,1586,和勤,0.00
tpex,,115,2,,,406764.00,345670.00,752434.00,277967.00,26079.00,304046.00,380480.00,,149153.00,37518.00,-118763.00,,448388.00,,,,448388.00,,0.00,0.00,11.78,1150905,1591,駿吉-KY,0.00
tpex,,115,2,,,1183649.00,701906.00,1885555.00,382092.00,34654.00,416746.00,397848.00,,586226.00,436763.00,-54592.00,,1366245.00,,,102564.00,1468809.00,,0.00,0.00,34.34,1150905,1593,祺驊,
tpex,,115,2,,,2448582.00,1548791.00,3997373.00,931135.00,372934.00,1304069.00,555549.00,,815895.00,1328612.00,592.00,-7623.00,2693025.00,,,279.00,2693304.00,,0.00,233000.00,48.68,1150905,1595,川寶,
tpex,,115,2,,,1218226.00,1442000.00,2660226.00,536033.00,243035.00,779068.00,730287.00,,403213.00,796955.00,-49780.00,-32370.00,1848305.00,,,32853.00,1881158.00,,0.00,1000000.00,25.66,1150905,1599,宏佳騰,0.00
tpex,,115,2,,,347598.00,1099314.00,1446912.00,118710.00,55891.00,174601.00,926713.00,,162473.00,165721.00,17404.00,0.00,1272311.00,,,,1272311.00,,0.00,0.00,13.73,1150905,1742,台蠟,0.00
tpex,,115,2,,,1791495.00,1373257.00,3164752.00,522801.00,65004.00,587805.00,445917.00,,983776.00,1147254.00,0.00,,,,,,2576947.00,,0.00,0.00,57.79,1150905,1777,生泰,0.00
tpex,,115,2,,,1897889.00,659350.00,2557239.00,1001099.00,40286.00,1041385.00,1090752.00,,204438.00,211017.00,9647.00,,1515854.00,,,,1515854.00,,0.00,0.00,13.90,1150905,1780,立弘,0.00
tpex,,115,2,,,421300.00,234473.00,655773.00,155396.00,197145.00,352541.00,474076.00,,35107.00,-154501.00,-51450.00,,303232.00,,,,303232.00,,0.00,0.00,6.40,1150905,1781,合世,0.00
tpex,,115,2,,,1921160.00,1159182.00,3080342.00,450131.00,429193.00,879324.00,531212.00,,769056.00,89315.00,-8584.00,-153477.00,1227522.00,,,973496.00,2201018.00,,0.00,3291000.00,24.63,1150905,1784,訊聯,0.00
tpex,,115,2,,,31051034.00,8748272.00,39799306.00,17951058.00,4924702.00,22875760.00,5959802.00,,4277296.00,5967203.00,11577.00,,16215878.00,,,707668.00,16923546.00,,0.00,0.00,27.21,1150905,1785,光洋科,
tpex,,115,2,,,2729499.00,2564953.00,5294452.00,1754321.00,587787.00,2342108.00,445210.00,,1601988.00,943997.00,-38851.00,,2952344.00,,,,2952344.00,,0.00,0.00,66.31,1150905,1788,杏昌,0.00
tpex,,115,2,,,586870.00,679347.00,1266217.00,188046.00,294261.00,482307.00,414598.00,,294336.00,76396.00,-1420.00,,783910.00,,,,783910.00,,0.00,0.00,18.91,1150905,1796,金穎生技,0.00
tpex,,115,2,,,706361.00,585560.00,1291921.00,263831.00,304622.00,568453.00,1246895.00,,43902.00,-607925.00,26410.00,,709282.00,,,14186.00,723468.00,,0.00,0.00,5.69,1150905,1799,易威,0.00
tpex,,115,2,,,364773.00,603477.00,968250.00,294417.00,10023.00,304440.00,466355.00,,220149.00,24814.00,-17983.00,,693335.00,,,-29525.00,663810.00,,0.00,0.00,14.87,1150905,1813,寶利徠,
tpex,,115,2,,,8220538.00,13243036.00,21463574.00,3000416.00,4763924.00,7764340.00,6147035.00,,5813012.00,2020619.00,-266991.00,-14441.00,13699234.00,,,,13699234.00,,0.00,600000.00,23.42,1150905,1815,富喬,
tpex,,115,2,,,4569979.00,14071766.00,18641745.00,3866615.00,12310938.00,16177553.00,3500000.00,,46.00,-1136528.00,100674.00,,,,,,2464192.00,,0.00,0.00,7.04,1150905,2035,唐榮公司,
tpex,,115,2,,,1065698.00,245004.00,1310702.00,601767.00,30345.00,632112.00,573781.00,,33734.00,61065.00,10010.00,,678590.00,,,,678590.00,,0.00,0.00,11.83,1150905,2061,風青,0.00
tpex,,115,2,,,1099120.00,952900.00,2052020.00,851519.00,238810.00,1090329.00,481015.00,,241906.00,385616.00,-146786.00,-60.00,961691.00,,,,961691.00,,0.00,2000.00,19.99,1150905,2063,世鎧精密,
tpex,,115,2,,,1073836.00,1342568.00,2416404.00,1392308.00,95201.00,1487509.00,693300.00,,101567.00,151012.00,-17726.00,,928153.00,,,742.00,928895.00,,0.00,0.00,13.39,1150905,2064,晉椿,
tpex,,115,2,,,1426844.00,2116622.00,3543466.00,1100831.00,633528.00,1734359.00,635167.00,,778544.00,586854.00,-191458.00,,1809107.00,,,,1809107.00,,0.00,0.00,28.48,1150905,2065,世豐,
tpex,,115,2,,,2599900.00,1162055.00,3761955.00,1322288.00,282284.00,1604572.00,444495.00,,515893.00,1233719.00,-19971.00,-16753.00,2157383.00,,,,2157383.00,,0.00,260000.00,48.82,1150905,2066,世德,0.00
tpex,,115,2,,,850782.00,1079497.00,1930279.00,1398940.00,307076.00,1706016.00,451382.00,,,-411095.00,152001.00,,192288.00,,,31975.00,224263.00,,0.00,0.00,4.26,1150905,2067,嘉鋼,
tpex,,115,2,,,1042947.00,689349.00,1732296.00,455553.00,94388.00,549941.00,417828.00,,158740.00,647618.00,-41831.00,,1182355.00,,,,1182355.00,,0.00,0.00,28.30,1150905,2070,精湛,0.00
tpex,,115,2,,,299158.00,518333.00,817491.00,315904.00,107766.00,423670.00,275000.00,,54953.00,66710.00,-2842.00,,,,,,393821.00,,0.00,0.00,14.32,1150905,2073,雄順,
tpex,,115,2,,,1354227.00,498510.00,1852737.00,519520.00,152384.00,671904.00,423250.00,0.00,59634.00,601742.00,-69.00,0.00,1084557.00,0.00,,96276.00,1180833.00,,0.00,0.00,25.62,1150905,2221,大甲,0.00
tpex,,115,2,,,1288292.00,652432.00,1940724.00,667210.00,195100.00,862310.00,680296.00,,224896.00,150498.00,34975.00,-30501.00,1060164.00,,,18250.00,1078414.00,,0.00,1000000.00,15.82,1150905,2230,泰茂,0.00
tpex,,115,2,,,496258.00,941932.00,1438190.00,203605.00,38490.00,242095.00,358780.00,,497802.00,339513.00,0.00,,,,,,1196095.00,,0.00,0.00,33.34,1150905,2235,謚源,
tpex,,115,2,,,5630259.00,558787.00,6189046.00,3276184.00,400000.00,3676184.00,1000000.00,,189208.00,967737.00,0.00,,2156945.00,,,355917.00,2512862.00,,0.00,0.00,21.57,1150905,2596,綠意,
tpex,,115,2,,,1904616.00,2187284.00,4091900.00,1678997.00,327018.00,2006015.00,592650.00,,497933.00,914610.00,-2502.00,,2002691.00,,,83194.00,2085885.00,,0.00,0.00,33.79,1150905,2640,大車隊,0.00
tpex,,115,2,,,2578547.00,12241503.00,14820050.00,805365.00,4759870.00,5565235.00,3303337.00,,1806846.00,2968815.00,339442.00,,8418440.00,,,836375.00,9254815.00,,0.00,0.00,25.48,1150905,2641,正德,0.00
tpex,,115,2,,,2697625.00,486443.00,3184068.00,1116301.00,111864.00,1228165.00,350000.00,,421105.00,1115632.00,69166.00,,1955903.00,,,,1955903.00,,0.00,0.00,55.88,1150905,2643,捷迅,
tpex,,115,2,,,4380620.00,3053667.00,7434287.00,816360.00,516208.00,1332568.00,875760.00,,741359.00,4581967.00,-11457.00,-85910.00,6101719.00,,,,6101719.00,,0.00,1766000.00,71.11,1150905,2718,全心投控,
tpex,,115,2,,,726920.00,299621.00,1026541.00,269171.00,11847.00,281018.00,691825.00,,15125.00,38573.00,,,745523.00,,,,745523.00,,0.00,0.00,10.78,1150905,2719,燦星旅,0.00
tpex,,115,2,,,483150.00,63086.00,546236.00,84163.00,11476.00,95639.00,596564.00,,,-145144.00,-9472.00,,441948.00,,,8649.00,450597.00,,0.00,0.00,7.41,1150905,2724,藝舍-KY,
tpex,,115,2,,,273039.00,417773.00,690812.00,196010.00,137272.00,333282.00,379225.00,,70833.00,-35001.00,-50481.00,-15512.00,349064.00,,,8466.00,357530.00,,0.00,232637.00,9.26,1150905,2726,雅茗-KY,
tpex,,115,2,,,1243111.00,5151566.00,6394677.00,2691211.00,1431772.00,4122983.00,430408.00,,1368275.00,605841.00,-14710.00,-140357.00,2249457.00,,,22237.00,2271694.00,,0.00,754000.00,53.20,1150905,2729,瓦城,0.00
tpex,,115,2,,,2129804.00,3681152.00,5810956.00,2086732.00,1514324.00,3601056.00,465186.00,,1134664.00,380497.00,-20591.00,-177744.00,1782012.00,,,427888.00,2209900.00,,0.00,1823000.00,39.87,1150905,2732,六角,
tpex,,115,2,,,706291.00,411527.00,1117818.00,411848.00,51195.00,463043.00,572598.00,,282223.00,-196110.00,-4647.00,,654064.00,,,711.00,654775.00,,0.00,0.00,11.42,1150905,2734,易飛網,
tpex,,115,2,,,325363.00,1971923.00,2297286.00,305371.00,578607.00,883978.00,799721.00,,663059.00,-36331.00,-56395.00,,1370054.00,,,43254.00,1413308.00,,0.00,0.00,17.13,1150905,2736,富野,0.00
tpex,,115,2,,,137141.00,36318.00,173459.00,16077.00,29086.00,45163.00,167620.00,,56777.00,-96088.00,-13.00,,128296.00,,,,128296.00,,0.00,0.00,7.65,1150905,2740,華軒,
tpex,,115,2,,,2456993.00,856286.00,3313279.00,1870040.00,308356.00,2178396.00,468152.00,,213608.00,453123.00,,,1134883.00,,,,1134883.00,,0.00,0.00,24.24,1150905,2743,山富,
tpex,,115,2,,,2798346.00,237014.00,3035360.00,1765573.00,351518.00,2117091.00,338085.00,,124169.00,456015.00,,,918269.00,,,,918269.00,,0.00,0.00,27.16,1150905,2745,五福,
tpex,,115,2,,,448396.00,816666.00,1265062.00,427597.00,335190.00,762787.00,198144.00,,164911.00,71046.00,-53.00,,434048.00,,,68227.00,502275.00,,53750.00,0.00,21.85,1150905,2751,王座,
tpex,,115,2,,,1173627.00,1136883.00,2310510.00,640314.00,408815.00,1049129.00,266939.00,,483986.00,495960.00,-8388.00,,1238497.00,,,22884.00,1261381.00,,0.00,0.00,46.40,1150905,2752,豆府,
tpex,,115,2,,,903953.00,4224512.00,5128465.00,1121064.00,2180000.00,3301064.00,469110.00,,583085.00,772855.00,2351.00,,1827401.00,,,,1827401.00,,40000.00,0.00,38.96,1150905,2754,亞洲藏壽司,
tpex,,115,2,,,1054651.00,1332922.00,2387573.00,709849.00,572008.00,1281857.00,467925.00,,274882.00,360409.00,2500.00,,1105716.00,,,,1105716.00,,166087.00,0.00,29.45,1150905,2755,揚秦,
tpex,,115,2,,,674119.00,642200.00,1316319.00,534726.00,223407.00,758133.00,245976.00,,185302.00,135837.00,10192.00,-27904.00,549403.00,,,8783.00,558186.00,,0.00,353000.00,22.66,1150905,2756,聯發國際,
tpex,,115,2,,,1240749.00,726285.00,1967034.00,359427.00,68381.00,427808.00,646269.00,,463666.00,431194.00,-1903.00,,,,,,1539226.00,,0.00,0.00,23.82,1150905,2916,滿心,0.00
tpex,,115,2,,,993743.00,40688.00,1034431.00,581053.00,1391.00,582444.00,520359.00,,207394.00,-274951.00,-815.00,,451987.00,,,,451987.00,,0.00,0.00,8.69,1150905,2924,宏太-KY,
tpex,,115,2,,,4472932.00,10293063.00,14765995.00,5234554.00,8909952.00,14144506.00,473897.00,,79121.00,19123.00,43244.00,,615385.00,,,6104.00,621489.00,,0.00,0.00,12.99,1150905,2926,誠品生活,0.00
tpex,,115,2,,,2204649.00,846892.00,3051541.00,1922527.00,31345.00,1953872.00,478962.00,,136138.00,482569.00,,,1097669.00,,,,1097669.00,,0.00,0.00,25.21,1150905,2937,集雅社,0.00
tpex,,115,2,,,405383.00,339737.00,745120.00,221117.00,178003.00,399120.00,153900.00,,151372.00,41263.00,-535.00,,,,,,346000.00,,0.00,0.00,22.48,1150905,2941,米斯特,0.00
tpex,,115,2,,,879039.00,2217310.00,3096349.00,768296.00,1510189.00,2278485.00,236424.00,,313504.00,283680.00,-15744.00,,817864.00,,,,817864.00,,0.00,0.00,38.05,1150905,2947,振宇五金,0.00
tpex,,115,2,,,1901179.00,496439.00,2397618.00,1000741.00,377018.00,1377759.00,320000.00,,400597.00,257135.00,42127.00,,1019859.00,,,,1019859.00,,0.00,0.00,32.90,1150905,2948,寶陞,
tpex,,115,2,,,2884574.00,302717.00,3187291.00,1790098.00,200189.00,1990287.00,306411.00,,452617.00,369432.00,-1815.00,-65278.00,1061367.00,,,135637.00,1197004.00,,0.00,785000.00,35.55,1150905,2949,欣新網,
tpex,,115,2,,,49565.00,253522.00,303087.00,80454.00,167524.00,247978.00,130115.00,,774.00,-86931.00,6965.00,,50923.00,,,4186.00,55109.00,,0.00,0.00,3.91,1150905,3064,泰偉,
tpex,,115,2,,,1196087.00,1206402.00,2402489.00,538025.00,98097.00,636122.00,830706.00,,33136.00,326060.00,473316.00,,1663218.00,,,103149.00,1766367.00,,0.00,0.00,20.02,1150905,3066,李洲,
tpex,,115,2,,,62137.00,243473.00,305610.00,7529.00,50184.00,57713.00,200000.00,,18210.00,29687.00,0.00,,247897.00,,,,247897.00,,0.00,0.00,12.39,1150905,3067,全域,
tpex,,115,2,,,3043926.00,1180132.00,4224058.00,1914173.00,302399.00,2216572.00,1100000.00,,64372.00,363951.00,14509.00,,1542832.00,,,464654.00,2007486.00,,0.00,0.00,14.03,1150905,3071,協禧,0.00
tpex,,115,2,,,392115.00,1957058.00,2349173.00,1217669.00,461887.00,1679556.00,395111.00,,301191.00,6092.00,-33315.00,,669079.00,,,538.00,669617.00,,0.00,0.00,16.93,1150905,3073,天方能源,
tpex,,115,2,,,8338002.00,2179481.00,10517483.00,3047395.00,642279.00,3689674.00,2273911.00,,214554.00,4221874.00,117470.00,,6827809.00,,,,6827809.00,,0.00,0.00,30.03,1150905,3078,僑威,
tpex,,115,2,,,3350420.00,2867124.00,6217544.00,1163237.00,335401.00,1498638.00,1017690.00,,1800026.00,1904344.00,-3154.00,,,,,,4718906.00,,0.00,0.00,51.01,1150905,3081,聯亞,
tpex,,115,2,,,758123.00,713822.00,1471945.00,132555.00,12052.00,144607.00,864869.00,,359065.00,29326.00,42141.00,,1295401.00,,,31937.00,1327338.00,,0.00,0.00,14.98,1150905,3083,網龍,
tpex,,115,2,,,340067.00,148896.00,488963.00,95311.00,7265.00,102576.00,690193.00,,0.00,-309637.00,5831.00,,386387.00,,,,386387.00,,0.00,0.00,5.60,1150905,3085,新零售,
tpex,,115,2,,,224633.00,113858.00,338491.00,30802.00,1455.00,32257.00,272710.00,,29199.00,-536.00,-156.00,,301217.00,,,5017.00,306234.00,,0.00,0.00,1.10,1150905,3086,華義*,
tpex,,115,2,,,5801856.00,2668647.00,8470503.00,2417612.00,435983.00,2853595.00,1309676.00,,1164155.00,3009503.00,67365.00,,5550699.00,,,66209.00,5616908.00,,2366838.00,0.00,50.00,1150905,3088,艾訊,
tpex,,115,2,,,1384024.00,963589.00,2347613.00,768130.00,6309.00,774439.00,362888.00,,44670.00,612870.00,552746.00,,1573174.00,,,0.00,1573174.00,,0.00,0.00,10.84,1150905,3093,港建*,
tpex,,115,2,,,459514.00,581983.00,1041497.00,366856.00,473446.00,840302.00,161800.00,,89843.00,-67011.00,16563.00,,201195.00,,,,201195.00,,0.00,0.00,12.43,1150905,3095,及成,0.00
tpex,,115,2,,,15780547.00,47709414.00,63489961.00,9749518.00,9493151.00,19242669.00,4239404.00,,10058920.00,19658326.00,9853774.00,,43810424.00,,,436868.00,44247292.00,,0.00,0.00,103.34,1150905,3105,穩懋,
tpex,,115,2,,,2228666.00,467965.00,2696631.00,1027298.00,24346.00,1051644.00,677226.00,,52062.00,717592.00,215268.00,-17161.00,1644987.00,,,,1644987.00,,0.00,700000.00,25.53,1150905,3114,好德,
tpex,,115,2,,,589815.00,13673.00,603488.00,54056.00,8590.00,62646.00,721976.00,,,-185121.00,3987.00,,540842.00,,,,540842.00,,0.00,0.00,7.49,1150905,3115,富榮綱,
tpex,,115,2,,,450624.00,348453.00,799077.00,248660.00,10837.00,259497.00,324529.00,,56048.00,159003.00,,,,,,,539580.00,,0.00,0.00,16.63,1150905,3118,進階,0.00
tpex,,115,2,,,221032.00,190041.00,411073.00,84590.00,2805.00,87395.00,407948.00,,907.00,-85485.00,308.00,,323678.00,,,,323678.00,,7092.00,0.00,7.94,1150905,3122,笙泉,
tpex,,115,2,,,701411.00,1247997.00,1949408.00,719793.00,430211.00,1150004.00,501565.00,,150093.00,128140.00,,0.00,779798.00,,,19606.00,799404.00,,0.00,0.00,16.48,1150905,3128,昇銳,
tpex,,115,2,,,10912045.00,4444782.00,15356827.00,8365937.00,3804054.00,12169991.00,298316.00,,2861299.00,2741306.00,167843.00,-2910002.00,3158762.00,,,28074.00,3186836.00,,572696.00,1100000.00,109.94,1150905,3131,弘塑,0.00
tpex,,115,2,,,1928386.00,2174031.00,4102417.00,1014429.00,251577.00,1266006.00,754607.00,,418749.00,1568010.00,80275.00,-62495.00,2759146.00,,,77265.00,2836411.00,,0.00,1074000.00,37.09,1150905,3141,晶宏,
tpex,,115,2,,,7864300.00,657613.00,8521913.00,6559755.00,26715.00,6586470.00,436868.00,,237150.00,1264281.00,-4085.00,,1934214.00,,,1229.00,1935443.00,,0.00,0.00,44.27,1150905,3147,大綜,0.00
tpex,,115,2,,,2678191.00,1736224.00,4414415.00,754917.00,13732.00,768649.00,390162.00,,573532.00,2682072.00,0.00,,,,,,3645766.00,,0.00,0.00,93.44,1150905,3152,璟德,
tpex,,115,2,,,771001.00,568817.00,1339818.00,319628.00,65909.00,385537.00,306382.00,,347937.00,306663.00,-6714.00,,954268.00,,,13.00,954281.00,,0.00,0.00,31.15,1150905,3158,嘉實,
tpex,,115,2,,,7267828.00,5497099.00,12764927.00,7458034.00,1105196.00,8563230.00,1543411.00,,2165320.00,247538.00,163652.00,-4427.00,4115494.00,,,86203.00,4201697.00,,0.00,95000.00,26.68,1150905,3162,精確,0.00
tpex,,115,2,,,3588763.00,799908.00,4388671.00,957658.00,144892.00,1102550.00,946353.00,,601382.00,1766178.00,-27792.00,,3286121.00,,,,3286121.00,,0.00,0.00,40.80,1150905,3163,波若威,0.00
tpex,,115,2,,,2025306.00,161987.00,2187293.00,407951.00,10428.00,418379.00,633070.00,,493438.00,653949.00,-11543.00,,1768914.00,,,,1768914.00,,0.00,0.00,27.94,1150905,3169,亞信,
tpex,,115,2,,,1367445.00,468847.00,1836292.00,1085344.00,51264.00,1136608.00,331181.00,,164198.00,250805.00,12364.00,-195339.00,563209.00,,,136475.00,699684.00,,0.00,3000000.00,18.70,1150905,3171,炎洲流通,0.00
tpex,,115,2,,,3850388.00,3051186.00,6901574.00,683231.00,1508132.00,2191363.00,1393068.00,,225811.00,-132161.00,-10025.00,,1476693.00,,,3233518.00,4710211.00,,0.00,0.00,10.60,1150905,3176,基亞,0.00
tpex,,115,2,,,1057353.00,1713448.00,2770801.00,719559.00,835128.00,1554687.00,450500.00,,171083.00,587065.00,458.00,,1209106.00,,,7008.00,1216114.00,,0.00,0.00,26.84,1150905,3178,公準,0.00
tpex,,115,2,,,10296606.00,15504.00,10312110.00,5355439.00,1592907.00,6948346.00,1890878.00,,247597.00,1225289.00,0.00,,3363764.00,,,,3363764.00,,755599.00,0.00,17.79,1150905,3188,鑫龍騰,
tpex,,115,2,,,222582.00,159568.00,382150.00,43781.00,94377.00,138158.00,435974.00,,3385.00,-195306.00,-61.00,,243992.00,,,,243992.00,,0.00,0.00,5.60,1150905,3191,雲嘉南,
tpex,,115,2,,,882123.00,255259.00,1137382.00,133284.00,1159.00,134443.00,675456.00,,370412.00,-47891.00,3103.00,,1001080.00,,,1859.00,1002939.00,,0.00,0.00,14.82,1150905,3205,佰研,0.00
tpex,,115,2,,,2733657.00,482758.00,3216415.00,1369157.00,130563.00,1499720.00,589167.00,,198383.00,716951.00,49624.00,0.00,1554125.00,,,162570.00,1716695.00,,0.00,0.00,26.38,1150905,3206,志豐,0.00
tpex,,115,2,,,1793873.00,4400020.00,6193893.00,2324048.00,242532.00,2566580.00,664222.00,,865190.00,-60647.00,236855.00,-1280.00,1704340.00,,,1922973.00,3627313.00,,0.00,20000.00,25.67,1150905,3207,耀勝,
tpex,,115,2,,,13068580.00,5795180.00,18863760.00,9117032.00,786805.00,9903837.00,1543870.00,,2468687.00,5152695.00,-205329.00,,8959923.00,,,0.00,8959923.00,,0.00,0.00,58.04,1150905,3211,順達,
tpex,,115,2,,,4616376.00,1020361.00,5636737.00,1536307.00,156966.00,1693273.00,586855.00,,74381.00,2917224.00,325620.00,,3904080.00,,,39384.00,3943464.00,,0.00,0.00,66.53,1150905,3213,茂訊,0.00
tpex,,115,2,,,4420923.00,2704593.00,7125516.00,2197334.00,78769.00,2276103.00,901042.00,,851701.00,1825829.00,1270841.00,0.00,4849413.00,,,,4849413.00,,0.00,0.00,53.82,1150905,3217,優群,0.00
tpex,,115,2,,,1899083.00,4500338.00,6399421.00,1393210.00,1102551.00,2495761.00,847249.00,,381924.00,2534895.00,109710.00,,3873778.00,,,29882.00,3903660.00,,0.00,0.00,45.72,1150905,3218,大學光,
tpex,,115,2,,,2599691.00,837481.00,3437172.00,1364221.00,210044.00,1574265.00,717809.00,,230454.00,555897.00,15291.00,,1519451.00,,,343456.00,1862907.00,,0.00,0.00,21.17,1150905,3219,倚強科,
tpex,,115,2,,,1879333.00,1300605.00,3179938.00,776032.00,188184.00,964216.00,1050621.00,,708240.00,674135.00,-273157.00,,2159839.00,,,55883.00,2215722.00,,0.00,0.00,20.56,1150905,3221,台嘉碩,0.00
tpex,,115,2,,,2055968.00,1755944.00,3811912.00,641104.00,514687.00,1155791.00,781726.00,,945740.00,-343560.00,10495.00,-1864.00,1392537.00,,,1263584.00,2656121.00,,0.00,40000.00,17.82,1150905,3224,三顧,0.00
tpex,,115,2,,,1105120.00,1363057.00,2468177.00,577488.00,32913.00,610401.00,644306.00,,14904.00,1201817.00,-3251.00,,,,,,1857776.00,,0.00,0.00,28.83,1150905,3226,龍鋒,
tpex,,115,2,,,12386739.00,7189252.00,19575991.00,3985896.00,427759.00,4413655.00,1519381.00,,3873058.00,5990738.00,3739341.00,,15122518.00,,,39818.00,15162336.00,,0.00,0.00,99.53,1150905,3227,原相,
tpex,,115,2,,,320690.00,471936.00,792626.00,107730.00,4308.00,112038.00,719375.00,,313519.00,-328135.00,-24171.00,,,,,,680588.00,,0.00,0.00,9.46,1150905,3228,金麗科,0.00
tpex,,115,2,,,816858.00,472448.00,1289306.00,312933.00,84882.00,397815.00,860109.00,0.00,351031.00,-213211.00,-55935.00,-50503.00,891491.00,0.00,,0.00,891491.00,,0.00,895000.00,10.47,1150905,3230,錦明,0.00
tpex,,115,2,,,870228.00,324004.00,1194232.00,359802.00,143514.00,503316.00,465679.00,,164541.00,45063.00,15633.00,,690916.00,,,,690916.00,,0.00,0.00,14.84,1150905,3232,昱捷,0.00
tpex,,115,2,,,690735.00,569134.00,1259869.00,350724.00,197137.00,547861.00,1114747.00,,306828.00,-717275.00,-8247.00,,696053.00,,,15955.00,712008.00,,0.00,0.00,6.24,1150905,3234,光環,0.00
tpex,,115,2,,,1506200.00,1983689.00,3489889.00,1026594.00,673259.00,1699853.00,1050006.00,,181063.00,367665.00,191302.00,,1790036.00,,,,1790036.00,,0.00,0.00,17.05,1150905,3236,千如,
tpex,,115,2,,,563382.00,3410999.00,3974381.00,340619.00,1628340.00,1968959.00,501958.00,,282210.00,1144288.00,28500.00,,1956956.00,,,48466.00,2005422.00,,0.00,0.00,38.99,1150905,3252,海灣,
tpex,,115,2,,,375278.00,111636.00,486914.00,96201.00,52365.00,148566.00,729659.00,,0.00,-391311.00,0.00,,,,,,338348.00,,0.00,0.00,4.64,1150905,3259,鑫創,
tpex,,115,2,,,81060106.00,29596716.00,110656822.00,44675912.00,24933050.00,69608962.00,3338099.00,,10897694.00,27208975.00,-741435.00,-1339683.00,39363650.00,,,1684210.00,41047860.00,,0.00,9914000.00,121.53,1150905,3260,威剛,0.00
