seed,j,cagr,mdd
102006,2,0.15372418728613657,-0.4322783965232004
102006,3,0.11937136668634563,-0.3647096303428456
102006,4,0.10665313456458447,-0.4351152656924191
102006,5,0.09703288252517694,-0.4290699443674412
102006,6,0.1480903687499997,-0.3547772193903496
102006,7,0.0970123376099239,-0.46763946851749555
102006,8,0.16856577220396063,-0.3612728323881513
102006,9,0.04500139443890294,-0.4380115552246894
102006,10,0.11398015112030446,-0.3722058300228604
102006,11,0.11286069320689918,-0.4576846609207509
102006,12,0.14431883489231723,-0.3892288039936434
102006,13,0.13643191113128816,-0.41486643301121207
102006,14,0.16865435804289008,-0.4368154494895151
102006,15,0.15630117727090886,-0.2754568026621459
102006,16,0.07855929243482929,-0.4871606181702921
102006,17,0.11503289806107864,-0.3897763842861874
102006,18,0.06562172587464898,-0.3800080239317488
102006,19,0.1294983718984175,-0.35622199470301275
102006,20,0.1428051845815499,-0.4367460265474819
102006,21,0.2413957255692336,-0.30674210475684
102006,22,0.15113990492240514,-0.35302365997696145
102006,23,0.12122454399654914,-0.43007055538221234
102006,24,0.11914877816526404,-0.4079223307484856
102006,25,0.10485552330706005,-0.4022168372976539
102006,26,0.09874216559768079,-0.4084333169955218
102006,27,0.046635511095911575,-0.5183140665035262
102006,28,0.13534173401122573,-0.3683038002195753
102006,29,0.11590875719441973,-0.3902989782776052
102006,30,0.13517207094916928,-0.3994043424089259
102007,1,0.10171582163595083,-0.3730466213149807
102007,2,0.22670473894514864,-0.2876426258057599
102007,3,0.1288712384465125,-0.30033890326971996
102007,4,0.15406176113294245,-0.3906969850108488
102007,5,0.21234044557471132,-0.38253152086092823
102007,6,0.23670728560014864,-0.2885708710433231
102007,7,0.19673760179523558,-0.4541880841258034
102007,8,0.23506366536911116,-0.3296838305445084
102007,9,0.08268167514305613,-0.3631630411243475
102007,10,0.1879386964124803,-0.47520014706411223
102007,11,0.126867889952051,-0.38423461355492905
102007,12,0.18487467816008407,-0.3435779532380811
102007,13,0.1648467014964059,-0.28828503628062846
102007,14,0.16171257407763395,-0.3873425438938885
102007,15,0.1044851177253614,-0.3882856357812705
102007,16,0.15322568845247075,-0.33126939728921706
102007,17,0.19357412709668576,-0.35716466461555507
102007,18,0.12522823347965883,-0.34532133801291315
102007,19,0.17442517848517736,-0.2521281105763948
102007,20,0.25395829935042324,-0.30307793447384734
102007,21,0.13190508872019602,-0.3863803052450087
102007,22,0.1718067822553535,-0.2722511667703361
102007,23,0.15549354123086823,-0.454226707589832
102007,24,0.19550118576708586,-0.34822529549769987
102007,25,0.25700953590109,-0.23306248496164467
102007,26,0.0637652384329892,-0.4573090733814333
102007,27,0.10179451076319501,-0.3563217702682194
102007,28,0.10129277633749112,-0.4762964632936253
102007,29,0.16675163643486313,-0.2611331903638783
102007,30,0.12893365455088923,-0.29705886808170184
102008,1,0.15796770842555152,-0.39083358252519657
102008,2,0.1047092979100297,-0.4081223280077976
102008,3,0.1526288287459343,-0.2816040754670756
102008,4,0.10741559497736741,-0.45830876902860274
102008,5,0.08853390822693785,-0.3681223973834913
