seed,arm,cagr,mdd
102185,碎形k1,0.04552735456104573,-0.5224530875704352
102186,碎形k1,-0.07589403773817227,-0.5767918302772795
102187,碎形k1,-0.039363881315338745,-0.6501244212111021
102188,碎形k1,0.03741959882627044,-0.5061511145472104
102189,碎形k1,-0.07603156985078596,-0.6588485256292558
102190,碎形k1,-0.04781674780185419,-0.6812545175278489
102191,碎形k1,0.07909403709032126,-0.5797642190887332
102192,碎形k1,0.021639122642447273,-0.47790260265289164
102193,碎形k1,-0.024540742334684396,-0.5190362052178681
102194,碎形k1,0.0019128754090431688,-0.5096653719452856
102195,碎形k1,-0.012563156160653288,-0.5066301694344655
102196,碎形k1,-0.04037819977114765,-0.440138628507239
102197,碎形k1,0.04315708258935347,-0.41007887282557637
102198,碎形k1,-0.01711820694872046,-0.6065109924889435
102199,碎形k1,0.08619563868753488,-0.4523854672597959
102000,碎形k3,0.2127405697912883,-0.5334003635785042
102001,碎形k3,0.2320431445243447,-0.37791490587990556
102002,碎形k3,0.11530237202549842,-0.43031215307847176
102003,碎形k3,0.21432625680667394,-0.37694383425509714
102004,碎形k3,0.19483950066761735,-0.32340617774779334
102005,碎形k3,0.2155783972250196,-0.41075319636899615
102006,碎形k3,0.19149078911902961,-0.45100521385945425
102007,碎形k3,0.12835244864380324,-0.44122215794520525
102008,碎形k3,0.12726412648318486,-0.5446850624115073
102009,碎形k3,0.08760671381476426,-0.48964831694399713
102010,碎形k3,0.049583299907820955,-0.4699411622694292
102011,碎形k3,0.24529957731322716,-0.47606323095187053
102012,碎形k3,0.23699213636826721,-0.4447241053528727
102013,碎形k3,0.13055665600066302,-0.44791389742620064
102014,碎形k3,0.06091958772542849,-0.42243517780347256
102015,碎形k3,0.1584924417945095,-0.3728261783177711
102016,碎形k3,0.1252320179824824,-0.4412195405733147
102017,碎形k3,0.09316577772245704,-0.4946499961386371
102018,碎形k3,0.16894055121954787,-0.4268306551515566
102019,碎形k3,0.12535367522653895,-0.3721556238692815
102020,碎形k3,0.11422515199794736,-0.5150909988866588
102021,碎形k3,0.02714075047252229,-0.5373872864730377
102022,碎形k3,0.1930291052345976,-0.4820541347181119
102023,碎形k3,0.08912532638578408,-0.3798375987749402
102024,碎形k3,0.03634379292565937,-0.42004634413675224
102025,碎形k3,0.10375248555723937,-0.4639177881163084
102026,碎形k3,0.14764349985740743,-0.3870769818641536
102027,碎形k3,0.07834475324885348,-0.6248039450564384
102028,碎形k3,0.14434734614517697,-0.4052892746808075
102029,碎形k3,0.12848906407231442,-0.3111468707149862
102030,碎形k3,0.007282329813319333,-0.5680831405865208
102031,碎形k3,0.13556215730379462,-0.32498630949143403
102032,碎形k3,0.06666325222626357,-0.46324465290824357
102033,碎形k3,0.10288253504228506,-0.44941734602526606
102034,碎形k3,0.07520733996268691,-0.4975005342139741
102035,碎形k3,0.12849002573794,-0.46960921546295137
102036,碎形k3,0.09309845399651562,-0.45411130297547114
102037,碎形k3,0.07000158696069025,-0.598037883861441
102038,碎形k3,0.06001913019329863,-0.4551089916666077
102039,碎形k3,0.1602124451869813,-0.3533016052924871
102040,碎形k3,0.12363553427295004,-0.502877786534982
102041,碎形k3,0.14560764913705126,-0.37904257811543995
102042,碎形k3,0.03717694161193652,-0.5701664846578953
102043,碎形k3,0.25412956788572005,-0.47739525128389404
102044,碎形k3,0.13677610029730802,-0.40368463285599004
102045,碎形k3,0.132171152183153,-0.46038756860613045
102046,碎形k3,0.12375611982359191,-0.44258690221246266
102047,碎形k3,0.13504115508747838,-0.39265209626146214
102048,碎形k3,0.2351602593819635,-0.41798114831387545
102049,碎形k3,0.10370864827276471,-0.4871381832071516
102050,碎形k3,0.15002494632345154,-0.34044499985460275
102051,碎形k3,0.08306433781666422,-0.4047786587534953
102052,碎形k3,0.17971560336767056,-0.6140077851143076
102053,碎形k3,0.19312967625986666,-0.486921888553341
102054,碎形k3,0.15230932350384707,-0.3450118375650402
102055,碎形k3,0.12372504061346379,-0.36538562539446634
102056,碎形k3,0.12129922724748599,-0.38512487807772555
102057,碎形k3,0.18659390066471282,-0.5110399675448198
102058,碎形k3,0.0796057538787438,-0.4321444051971212
102059,碎形k3,0.10183404366425641,-0.5105013268424817
102060,碎形k3,0.15195436872200396,-0.49879498932758765
102061,碎形k3,0.17966531743459102,-0.3399292206228215
102062,碎形k3,0.12416362355170563,-0.4385038821944817
102063,碎形k3,0.18825873117806768,-0.3817066573461783
102064,碎形k3,0.05565248191512806,-0.4504248266862688
102065,碎形k3,0.11430073936427254,-0.40681525315222006
102066,碎形k3,0.1988485781573075,-0.3404264925643927
102067,碎形k3,0.16866354701263186,-0.3628320059194609
102068,碎形k3,0.058408306479014405,-0.5123863976697637
102069,碎形k3,0.14300408931608843,-0.3303867342085816
102070,碎形k3,0.15827351100702858,-0.32331416120985673
102071,碎形k3,0.17294109153188164,-0.4359577704047526
102072,碎形k3,0.2214556047331262,-0.43463821707453515
102073,碎形k3,0.05274398774533773,-0.5354258462285408
102074,碎形k3,0.13366008284118402,-0.40196355893177316
102075,碎形k3,0.11151630146111025,-0.5658805513220335
102076,碎形k3,0.16888446339551422,-0.4464826283452881
102077,碎形k3,0.13428778089623994,-0.4471167510668486
102078,碎形k3,0.11179631176693805,-0.5605386267979544
102079,碎形k3,0.07900457869550581,-0.4371605648174225
102080,碎形k3,0.1716334361729206,-0.3509974160739774
102081,碎形k3,0.15656980616920668,-0.5232590433091278
102082,碎形k3,0.15540436221138543,-0.48025578206184427
102083,碎形k3,0.1416754458716778,-0.3909219669896485
102084,碎形k3,0.279833286057525,-0.3424317570609747
102085,碎形k3,0.03023753480220126,-0.4902416324079239
102086,碎形k3,0.03995278055900009,-0.42299943017097863
