date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2015-10-23,1307,-56000,0,-3030,-59030,-3030,0
2015-10-26,1307,65000,-183000,-18000,-136000,0,-18000
2015-10-27,1307,144000,-228000,-5000,-89000,0,-5000
2015-10-28,1307,4000,-13000,3000,-6000,0,3000
2015-10-29,1307,-126000,0,-9060,-135060,-60,-9000
2015-10-30,1307,89000,0,-23000,66000,0,-23000
2015-11-02,1307,33000,0,40000,73000,-1000,41000
2015-11-03,1307,-168932,0,-3000,-171932,0,-3000
2015-11-04,1307,37000,-76000,20000,-19000,0,20000
2015-11-05,1307,9000,0,51000,60000,0,51000
2015-11-06,1307,-38000,0,11000,-27000,1000,10000
2015-11-09,1307,-1000,0,-31000,-32000,-1000,-30000
2015-11-10,1307,-4000,0,-6000,-10000,-2000,-4000
2015-11-11,1307,-54000,-80000,-63000,-197000,0,-63000
2015-11-12,1307,41310,-115000,-19000,-92690,0,-19000
2015-11-13,1307,-41000,0,-4000,-45000,0,-4000
2015-11-16,1307,-56000,0,3000,-53000,9000,-6000
2015-11-17,1307,-74000,-76000,5000,-145000,5000,0
2015-11-18,1307,-1429,-51000,0,-52429,0,0
2015-11-19,1307,65190,-141000,0,-75810,0,0
2015-11-20,1307,-3000,-91000,0,-94000,0,0
2015-11-23,1307,-8000,-53000,3000,-58000,-3000,6000
2015-11-24,1307,-120000,0,69000,-51000,-1000,70000
2015-11-25,1307,-28000,0,-15000,-43000,2000,-17000
2015-11-26,1307,-4000,0,6000,2000,0,6000
2015-11-27,1307,-67000,0,-5000,-72000,2000,-7000
2015-11-30,1307,121000,0,-7000,114000,0,-7000
2015-12-01,1307,-8000,0,100000,92000,2000,98000
2015-12-02,1307,-8000,0,-21000,-29000,4000,-25000
2015-12-03,1307,18000,0,-31000,-13000,4000,-35000
2015-12-04,1307,9220,0,-15000,-5780,3000,-18000
2015-12-07,1307,21000,0,7000,28000,8000,-1000
2015-12-08,1307,-58000,20000,-50000,-88000,0,-50000
2015-12-09,1307,-8000,0,-2000,-10000,3000,-5000
2015-12-10,1307,4500,20000,-5000,19500,0,-5000
