date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2017-04-06,00647L,0,0,-28000,-28000,-41000,13000
2017-04-07,00647L,0,0,-2000,-2000,-13000,11000
2017-04-10,00647L,0,0,0,0,-1000,1000
2017-04-11,00647L,0,0,-2000,-2000,0,-2000
2017-04-12,00647L,0,0,9000,9000,-3000,12000
2017-04-13,00647L,0,0,0,0,0,0
2017-04-14,00647L,-90000,0,9000,-81000,0,9000
2017-04-17,00647L,0,0,12000,12000,0,12000
2017-04-18,00647L,0,0,49000,49000,0,49000
2017-04-19,00647L,0,0,3000,3000,0,3000
2017-04-20,00647L,0,0,7000,7000,0,7000
2017-04-21,00647L,0,0,103000,103000,0,103000
2017-04-24,00647L,0,0,17000,17000,10000,7000
2017-04-25,00647L,0,0,12000,12000,0,12000
2017-04-26,00647L,0,0,413000,413000,0,413000
2017-04-27,00647L,0,0,2000,2000,0,2000
2017-04-28,00647L,0,0,38000,38000,0,38000
2017-05-04,00647L,0,0,3000,3000,0,3000
2017-05-05,00647L,0,0,5000,5000,0,5000
2017-05-08,00647L,0,0,6000,6000,0,6000
2017-05-09,00647L,0,0,1000,1000,0,1000
2017-05-11,00647L,0,0,14000,14000,0,14000
2017-05-15,00647L,0,0,0,0,0,0
2017-05-18,00647L,0,0,3000,3000,0,3000
2017-05-19,00647L,0,0,2000,2000,0,2000
2017-05-23,00647L,0,0,16000,16000,0,16000
2017-05-24,00647L,0,0,4000,4000,0,4000
2017-05-25,00647L,0,0,54000,54000,-1000,55000
2017-05-26,00647L,0,0,-3000,-3000,0,-3000
2017-05-31,00647L,0,0,-12000,-12000,0,-12000
2017-06-01,00647L,0,0,-6000,-6000,-10000,4000
2017-06-02,00647L,0,0,-4000,-4000,-86000,82000
2017-06-03,00647L,0,0,10000,10000,0,10000
2017-06-05,00647L,0,0,2000,2000,-20000,22000
2017-06-07,00647L,0,0,1000,1000,0,1000
2017-06-08,00647L,0,0,3000,3000,0,3000
2017-06-09,00647L,0,0,18000,18000,0,18000
2017-06-12,00647L,0,0,90000,90000,0,90000
2017-06-13,00647L,0,0,5000,5000,0,5000
2017-06-14,00647L,0,0,1000,1000,0,1000
2017-06-15,00647L,0,0,-3000,-3000,0,-3000
2017-06-16,00647L,0,0,8000,8000,0,8000
2017-06-20,00647L,0,0,60000,60000,0,60000
2017-06-21,00647L,0,0,-2000,-2000,0,-2000
2017-06-22,00647L,0,0,1000,1000,0,1000
2017-06-23,00647L,1000,0,0,1000,0,0
2017-06-26,00647L,-1000,0,0,-1000,0,0
2017-06-27,00647L,10000,0,0,10000,0,0
2017-06-28,00647L,26000,0,-74000,-48000,-33000,-41000
2017-06-29,00647L,0,0,1000,1000,0,1000
2017-06-30,00647L,41000,0,7000,48000,-26000,33000
2017-07-03,00647L,8000,0,0,8000,0,0
2017-07-04,00647L,11000,0,1000,12000,0,1000
2017-07-05,00647L,5000,0,-30000,-25000,-30000,0
2017-07-06,00647L,0,0,19000,19000,-1000,20000
2017-07-07,00647L,0,0,5000,5000,0,5000
2017-07-10,00647L,2000,0,3000,5000,0,3000
2017-07-11,00647L,2000,0,0,2000,0,0
2017-07-13,00647L,0,0,13000,13000,0,13000
2017-07-14,00647L,0,0,-3000,-3000,0,-3000
2017-07-17,00647L,19000,0,-3000,16000,0,-3000
2017-07-18,00647L,0,0,-1000,-1000,0,-1000
2017-07-19,00647L,-1000,0,-2000,-3000,0,-2000
2017-07-20,00647L,2000,0,1000,3000,0,1000
2017-07-24,00647L,-11000,0,-2000,-13000,0,-2000
2017-07-26,00647L,2000,0,0,2000,0,0
2017-07-28,00647L,-1000,0,0,-1000,0,0
2017-07-31,00647L,0,0,-1000,-1000,0,-1000
2017-08-01,00647L,0,0,-2000,-2000,0,-2000
2017-08-04,00647L,1000,0,0,1000,0,0
2017-08-07,00647L,1000,0,0,1000,0,0
2017-08-09,00647L,0,0,-2000,-2000,0,-2000
2017-08-10,00647L,1000,0,0,1000,0,0
2017-08-11,00647L,1000,0,-1000,0,0,-1000
2017-08-14,00647L,1000,0,0,1000,0,0
2017-08-15,00647L,2000,0,0,2000,0,0
2017-08-16,00647L,0,0,-1000,-1000,0,-1000
2017-08-17,00647L,0,0,-4000,-4000,0,-4000
2017-08-18,00647L,0,0,-4000,-4000,0,-4000
2017-08-21,00647L,-10000,0,-31000,-41000,0,-31000
2017-08-22,00647L,3000,0,-12000,-9000,0,-12000
2017-08-23,00647L,7000,0,-19000,-12000,0,-19000
2017-08-24,00647L,0,0,-8000,-8000,0,-8000
2017-08-28,00647L,-2000,0,-1000,-3000,0,-1000
2017-08-29,00647L,30000,0,-36000,-6000,0,-36000
2017-08-30,00647L,71000,0,-95000,-24000,0,-95000
2017-08-31,00647L,10000,0,-8000,2000,0,-8000
2017-09-01,00647L,40000,0,-38000,2000,0,-38000
2017-09-04,00647L,0,0,-8000,-8000,0,-8000
2017-09-05,00647L,20000,0,-17000,3000,0,-17000
2017-09-06,00647L,7000,0,0,7000,0,0
2017-09-07,00647L,2000,0,10000,12000,0,10000
2017-09-08,00647L,11000,0,-2000,9000,0,-2000
2017-09-11,00647L,5000,0,0,5000,0,0
2017-09-12,00647L,19000,0,0,19000,0,0
2017-09-13,00647L,1000,0,0,1000,0,0
2017-09-14,00647L,6000,0,0,6000,0,0
2017-09-15,00647L,1000,0,5000,6000,0,5000
2017-09-18,00647L,-23000,0,31000,8000,0,31000
2017-09-19,00647L,-100000,0,113000,13000,0,113000
2017-09-20,00647L,10000,0,1000,11000,0,1000
2017-09-26,00647L,3000,0,0,3000,0,0
2017-09-28,00647L,23000,0,0,23000,0,0
2017-09-29,00647L,41000,0,0,41000,0,0
2017-09-30,00647L,0,0,-2000,-2000,0,-2000
2017-10-03,00647L,0,0,0,0,0,0
2017-10-05,00647L,0,0,5000,5000,0,5000
2017-10-06,00647L,0,0,5000,5000,0,5000
2017-10-11,00647L,0,0,-2000,-2000,0,-2000
2017-10-12,00647L,0,0,-1000,-1000,0,-1000
2017-10-13,00647L,0,0,6000,6000,0,6000
2017-10-16,00647L,0,0,1000,1000,0,1000
2017-10-17,00647L,-2000,0,0,-2000,0,0
2017-10-19,00647L,0,0,1000,1000,0,1000
2017-10-23,00647L,0,0,2000,2000,0,2000
2017-10-24,00647L,-14000,0,0,-14000,0,0
2017-10-27,00647L,-2000,0,0,-2000,0,0
2017-10-30,00647L,-19000,0,10000,-9000,0,10000
2017-10-31,00647L,-14000,0,4000,-10000,-1000,5000
2017-11-01,00647L,1000,0,0,1000,0,0
2017-11-02,00647L,-4000,0,0,-4000,0,0
2017-11-03,00647L,-1000,0,11000,10000,0,11000
2017-11-06,00647L,-14000,0,0,-14000,0,0
2017-11-07,00647L,-11000,0,-19000,-30000,0,-19000
2017-11-08,00647L,0,0,1000,1000,0,1000
2017-11-09,00647L,-1000,0,0,-1000,0,0
2017-11-10,00647L,-10000,0,0,-10000,0,0
2017-11-13,00647L,0,0,3000,3000,0,3000
2017-11-15,00647L,0,0,-1000,-1000,0,-1000
2017-11-16,00647L,0,0,4000,4000,-1000,5000
2017-11-17,00647L,-5000,0,-1000,-6000,-1000,0
2017-11-20,00647L,-6000,0,0,-6000,0,0
2017-11-22,00647L,0,0,-6000,-6000,-40000,34000
