stock_id,rows,first,last
009809,217,2025-10-14,2026-09-03
00980A,329,2025-05-05,2026-09-03
009810,278,2025-07-16,2026-09-03
009811,269,2025-07-29,2026-09-03
009812,232,2025-09-18,2026-09-03
009813,213,2025-10-20,2026-09-03
009816,140,2026-02-03,2026-09-03
009817,137,2026-02-06,2026-09-03
009818,114,2026-03-23,2026-09-03
009819,93,2026-04-23,2026-09-03
00981A,313,2025-05-27,2026-09-03
00981T,228,2025-09-24,2026-09-03
009820,93,2026-04-23,2026-09-03
009821,55,2026-06-17,2026-09-03
009824,50,2026-06-25,2026-09-03
009826,24,2026-08-03,2026-09-03
009827,2,2026-09-02,2026-09-03
009828,2,2026-09-02,2026-09-03
009829,10,2026-08-21,2026-09-03
00982A,316,2025-05-22,2026-09-03
00982D,217,2025-10-14,2026-09-03
00982T,166,2025-12-26,2026-09-03
00983A,298,2025-06-18,2026-09-03
00983D,217,2025-10-14,2026-09-03
00984A,280,2025-07-14,2026-09-03
00984D,139,2026-02-04,2026-09-03
00985A,275,2025-07-21,2026-09-03
00985B,237,2025-09-11,2026-09-03
00986A,248,2025-08-27,2026-09-03
00987A,164,2025-12-30,2026-09-03
00988A,202,2025-11-05,2026-09-03
00989A,211,2025-10-22,2026-09-03
00990A,169,2025-12-22,2026-09-03
00991A,171,2025-12-18,2026-09-03
00991B,24,2026-08-03,2026-09-03
00992A,164,2025-12-30,2026-09-03
00993A,140,2026-02-03,2026-09-03
00994A,159,2026-01-07,2026-09-03
00995A,148,2026-01-22,2026-09-03
00996A,112,2026-03-25,2026-09-03
00997A,100,2026-04-14,2026-09-03
00999A,86,2026-05-05,2026-09-03
01001T,727,2015-01-06,2026-07-28
01002T,2048,2015-01-05,2026-08-25
01003T,1616,2015-01-12,2023-11-28
01004T,784,2015-01-12,2026-07-21
01007T,1050,2015-01-05,2026-09-03
01008T,57,2015-01-05,2015-04-07
01009T,492,2019-02-18,2026-08-31
01010T,578,2018-12-05,2026-09-01
020000,1170,2019-04-30,2026-09-03
020002,662,2019-04-30,2023-12-29
020004,208,2019-04-30,2021-12-08
020005,74,2019-04-30,2020-04-09
020006,91,2019-04-30,2021-10-14
020007,186,2019-04-30,2023-10-02
020008,712,2019-04-30,2022-04-27
020011,574,2019-12-03,2023-12-29
020012,655,2019-12-20,2023-12-27
020015,183,2020-03-27,2023-06-26
020016,545,2020-03-27,2023-12-21
020018,736,2020-07-30,2023-12-29
020019,626,2020-07-30,2023-12-29
02001L,1486,2020-04-16,2026-09-03
02001R,630,2020-04-16,2023-12-29
02001S,177,2022-12-05,2023-12-29
020020,1402,2020-11-02,2026-09-03
020022,729,2020-12-08,2023-12-05
020028,1178,2021-09-27,2026-09-03
020029,1157,2021-11-01,2026-09-03
020030,1115,2021-11-26,2026-09-03
020031,1041,2022-03-31,2026-09-03
020032,410,2022-04-25,2023-12-29
020034,1026,2022-06-01,2026-09-03
020036,158,2023-04-17,2023-12-29
020037,172,2023-04-17,2023-12-29
020038,731,2023-07-03,2026-09-03
020039,690,2023-10-16,2026-09-02
1101,2841,2015-01-05,2026-09-03
1101B,1493,2019-01-29,2026-08-28
1102,2843,2015-01-05,2026-09-03
1103,2835,2015-01-05,2026-09-03
