date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2026-05-28,00983D,-41000,0,53000,12000,0,53000
2026-05-29,00983D,39000,0,109012,148012,0,109012
2026-06-01,00983D,7000,0,-286724,-279724,0,-286724
2026-06-02,00983D,328000,0,264653,592653,0,264653
2026-06-03,00983D,0,0,-507748,-507748,0,-507748
2026-06-04,00983D,-1000,0,-170193,-171193,0,-170193
2026-06-05,00983D,239000,0,-173000,66000,0,-173000
2026-06-08,00983D,859000,0,369000,1228000,0,369000
2026-06-09,00983D,0,0,-113000,-113000,0,-113000
2026-06-10,00983D,15000,0,592000,607000,0,592000
2026-06-11,00983D,0,0,-161000,-161000,0,-161000
2026-06-12,00983D,0,0,93000,93000,0,93000
2026-06-15,00983D,3000,0,-157000,-154000,0,-157000
2026-06-16,00983D,-495000,0,-215000,-710000,0,-215000
2026-06-17,00983D,0,0,-408000,-408000,0,-408000
2026-06-18,00983D,0,0,45000,45000,0,45000
2026-06-22,00983D,-252000,0,320000,68000,0,320000
2026-06-23,00983D,0,0,-268000,-268000,0,-268000
2026-06-24,00983D,808000,0,376000,1184000,0,376000
2026-06-25,00983D,345000,0,285000,630000,0,285000
2026-06-26,00983D,5000,0,777334,782334,0,777334
2026-06-29,00983D,-7000,0,150666,143666,0,150666
2026-06-30,00983D,0,0,729000,729000,0,729000
2026-07-01,00983D,-49000,0,-292000,-341000,0,-292000
2026-07-02,00983D,-4000,0,36000,32000,0,36000
2026-07-03,00983D,-7000,0,-263000,-270000,0,-263000
2026-07-06,00983D,-30000,0,195000,165000,0,195000
2026-07-07,00983D,0,0,187455,187455,0,187455
2026-07-08,00983D,-1062000,0,537232,-524768,0,537232
2026-07-09,00983D,0,0,-10490,-10490,0,-10490
2026-07-13,00983D,-1076000,0,148803,-927197,0,148803
2026-07-14,00983D,-11000,0,-19000,-30000,0,-19000
2026-07-15,00983D,0,0,-334000,-334000,0,-334000
2026-07-16,00983D,-8000,0,-97526,-105526,0,-97526
2026-07-17,00983D,78000,0,1237053,1315053,0,1237053
2026-07-20,00983D,0,0,744473,744473,0,744473
2026-07-21,00983D,-47000,0,130000,83000,0,130000
2026-07-22,00983D,-182000,0,-5000,-187000,0,-5000
2026-07-23,00983D,9000,0,-418000,-409000,0,-418000
2026-07-24,00983D,-47000,0,148000,101000,0,148000
2026-07-27,00983D,313000,0,-53284,259716,0,-53284
2026-07-28,00983D,-1000,0,298284,297284,0,298284
2026-07-29,00983D,1000,0,391864,392864,0,391864
2026-07-30,00983D,0,0,225462,225462,0,225462
2026-07-31,00983D,-1000,0,-116175,-117175,0,-116175
2026-08-03,00983D,0,0,-561151,-561151,0,-561151
2026-08-04,00983D,6000,0,272219,278219,0,272219
2026-08-05,00983D,5000,0,239781,244781,0,239781
2026-08-06,00983D,0,0,-196000,-196000,0,-196000
2026-08-07,00983D,0,0,-187000,-187000,0,-187000
2026-08-10,00983D,-15000,0,-379000,-394000,0,-379000
2026-08-11,00983D,-345000,0,-570000,-915000,0,-570000
2026-08-12,00983D,-1000,0,414910,413910,0,414910
2026-08-13,00983D,10000,0,-285000,-275000,0,-285000
2026-08-14,00983D,0,0,-655000,-655000,0,-655000
2026-08-17,00983D,-93000,0,-1446000,-1539000,0,-1446000
2026-08-18,00983D,-376000,0,-734030,-1110030,0,-734030
2026-08-19,00983D,3000,0,-401314,-398314,0,-401314
2026-08-20,00983D,-21000,0,251141,230141,0,251141
2026-08-21,00983D,-11000,0,-83730,-94730,0,-83730
2026-08-24,00983D,-1000,0,-120842,-121842,0,-120842
2026-08-25,00983D,0,0,159127,159127,0,159127
2026-08-26,00983D,0,0,-69528,-69528,0,-69528
2026-08-27,00983D,0,0,-245378,-245378,0,-245378
2026-08-28,00983D,-8000,0,-271713,-279713,0,-271713
2026-08-31,00983D,316000,0,309273,625273,0,309273
2026-09-01,00983D,-65000,0,-529829,-594829,0,-529829
2026-09-02,00983D,331000,0,-402457,-71457,0,-402457
2026-09-03,00983D,0,0,90715,90715,0,90715
2026-09-04,00983D,-296000,0,255478,-40522,0,255478
2026-09-07,00983D,0,0,-299869,-299869,0,-299869
2026-09-08,00983D,-255000,0,-50385,-305385,0,-50385
2026-09-09,00983D,-73000,0,-368405,-441405,0,-368405
2026-09-10,00983D,4000,0,162808,166808,0,162808
2026-09-11,00983D,-65000,0,-129996,-194996,0,-129996
2026-09-14,00983D,60000,0,-257029,-197029,0,-257029
2026-09-15,00983D,5000,0,314082,319082,0,314082
2026-09-16,00983D,170000,0,142507,312507,0,142507
2026-09-17,00983D,71000,0,296714,367714,0,296714
2026-09-18,00983D,56000,0,271415,327415,0,271415
2026-09-21,00983D,144000,0,22884,166884,0,22884
2026-09-22,00983D,-244000,0,21492,-222508,0,21492
