版本,r,格,n,D,lo,hi,判過,判過_正
不排除（描述）,27,甲_box_H120,862,-0.001160092807424594,-0.025105602872003894,0.022785417257154706,False,False
不排除（描述）,28,甲_box_H60,862,0.0034802784222737818,-0.022560899525883978,0.02952145637043154,False,False
不排除（描述）,28,甲_box_H120,862,-0.008120649651972157,-0.030377309031615292,0.014136009727670977,False,False
不排除（描述）,29,甲_box_H60,862,-0.00580046403712297,-0.02819033674176674,0.016589408667520802,False,False
不排除（描述）,29,甲_box_H120,862,-0.013921113689095127,-0.03222716900134783,0.0043849416231575775,False,False
不排除（描述）,-1,甲_box_可抽日不足檔數,0,,,,,
同檔同月（描述）,0,甲_box_H60,862,0.02668213457076566,0.005061994289650366,0.048302274851880954,True,True
同檔同月（描述）,0,甲_box_H120,862,0.01740139211136891,-0.0010729848989134323,0.035875769121651246,False,False
同檔同月（描述）,1,甲_box_H60,862,0.024361948955916472,-5.8914282101082266e-05,0.04878281219393403,False,False
同檔同月（描述）,1,甲_box_H120,862,0.015081206496519721,-0.002130236661772693,0.032292649654812135,False,False
同檔同月（描述）,2,甲_box_H60,862,0.004640371229698376,-0.017866418460738605,0.027147160920135357,False,False
同檔同月（描述）,2,甲_box_H120,862,0.0034802784222737818,-0.017710101635338874,0.024670658479886438,False,False
同檔同月（描述）,3,甲_box_H60,862,0.01160092807424594,-0.009710273029747054,0.032912129178238936,False,False
同檔同月（描述）,3,甲_box_H120,862,0.015081206496519721,-0.0036715328914533676,0.03383394588449281,False,False
同檔同月（描述）,4,甲_box_H60,862,0.04408352668213457,0.019208176570752886,0.06895887679351625,True,True
同檔同月（描述）,4,甲_box_H120,862,0.030162412993039442,0.009763491430496828,0.05056133455558205,True,True
同檔同月（描述）,5,甲_box_H60,862,0.010440835266821345,-0.015757429776906123,0.03663910031054882,False,False
同檔同月（描述）,5,甲_box_H120,862,0.012761020881670533,-0.008500356137797208,0.03402239790113827,False,False
同檔同月（描述）,6,甲_box_H60,862,0.01740139211136891,-0.0050292707499944925,0.03983205497273231,False,False
同檔同月（描述）,6,甲_box_H120,862,0.009280742459396751,-0.009783530345589788,0.02834501526438329,False,False
同檔同月（描述）,7,甲_box_H60,862,0.009280742459396751,-0.013082170106608185,0.03164365502540169,False,False
同檔同月（描述）,7,甲_box_H120,862,0.00580046403712297,-0.013315772037026104,0.024916700111272044,False,False
同檔同月（描述）,8,甲_box_H60,862,0.02320185614849188,0.00393019977377302,0.04247351252321074,True,True
同檔同月（描述）,8,甲_box_H120,862,0.01740139211136891,-0.0021441320472201132,0.03694691626995793,False,False
同檔同月（描述）,9,甲_box_H60,862,-0.00580046403712297,-0.027534558293172456,0.015933630218926517,False,False
同檔同月（描述）,9,甲_box_H120,862,0.0034802784222737818,-0.014512126670497682,0.021472683515045245,False,False
同檔同月（描述）,10,甲_box_H60,862,0.01740139211136891,-0.003648189566678034,0.03845097378941585,False,False
同檔同月（描述）,10,甲_box_H120,862,0.012761020881670533,-0.005896863927253283,0.03141890569059435,False,False
同檔同月（描述）,11,甲_box_H60,862,0.022041763341067284,0.00203129847597942,0.042052228206155146,True,True
同檔同月（描述）,11,甲_box_H120,862,0.018561484918793503,0.0008227107035094355,0.03630025913407757,True,True
同檔同月（描述）,12,甲_box_H60,862,0.015081206496519721,-0.008821007614574751,0.03898342060761419,False,False
同檔同月（描述）,12,甲_box_H120,862,0.012761020881670533,-0.008886981453916407,0.03440902321725747,False,False
同檔同月（描述）,13,甲_box_H60,862,0.0069605568445475635,-0.01687823139232162,0.030799345081416747,False,False
同檔同月（描述）,13,甲_box_H120,862,0.002320185614849188,-0.01845816454526042,0.023098535774958795,False,False
同檔同月（描述）,14,甲_box_H60,862,0.031322505800464036,0.008021740296295182,0.05462327130463289,True,True
同檔同月（描述）,14,甲_box_H120,862,0.025522041763341066,0.007949670351995751,0.04309441317468638,True,True
同檔同月（描述）,15,甲_box_H60,862,0.001160092807424594,-0.023441181157716574,0.025761366772565762,False,False
同檔同月（描述）,15,甲_box_H120,862,-0.002320185614849188,-0.023651739775175495,0.01901136854547712,False,False
同檔同月（描述）,16,甲_box_H60,862,0.004640371229698376,-0.015879162566135415,0.025159905025532166,False,False
同檔同月（描述）,16,甲_box_H120,862,0.009280742459396751,-0.009202076258424629,0.02776356117721813,False,False
同檔同月（描述）,17,甲_box_H60,862,0.02088167053364269,-0.0005805526509484009,0.042343893718233785,False,False
同檔同月（描述）,17,甲_box_H120,862,0.019721577726218097,0.0005026967637818021,0.038940458688654395,True,True
同檔同月（描述）,18,甲_box_H60,862,0.018561484918793503,-0.0004028880302004885,0.03752585786778749,False,False
同檔同月（描述）,18,甲_box_H120,862,0.01160092807424594,-0.0038218942173656525,0.02702375036585753,False,False
同檔同月（描述）,19,甲_box_H60,862,0.010440835266821345,-0.011888666795319986,0.03277033732896267,False,False
同檔同月（描述）,19,甲_box_H120,862,0.00580046403712297,-0.011020625300182649,0.022621553374428588,False,False
同檔同月（描述）,20,甲_box_H60,862,0.001160092807424594,-0.022126598860883324,0.02444678447573251,False,False
同檔同月（描述）,20,甲_box_H120,862,0.008120649651972157,-0.012522192486918375,0.02876349179086269,False,False
同檔同月（描述）,21,甲_box_H60,862,0.010440835266821345,-0.013047182796750333,0.03392885333039303,False,False
同檔同月（描述）,21,甲_box_H120,862,0.0,-0.02083955536453236,0.02083955536453236,False,False
同檔同月（描述）,22,甲_box_H60,862,0.037122969837587005,0.015491754732382006,0.058754184942792005,True,True
同檔同月（描述）,22,甲_box_H120,862,0.025522041763341066,0.005661012339935982,0.04538307118674615,True,True
同檔同月（描述）,23,甲_box_H60,862,-0.009280742459396751,-0.02958572699355425,0.011024242074760746,False,False
同檔同月（描述）,23,甲_box_H120,862,-0.009280742459396751,-0.027998310455444975,0.009436825536651473,False,False
同檔同月（描述）,24,甲_box_H60,862,0.016241299303944315,-0.0033010096596147107,0.03578360826750334,False,False
同檔同月（描述）,24,甲_box_H120,862,0.012761020881670533,-0.006645012014238453,0.032167053777579516,False,False
