# commit=1f7962b81 run=2026-09-15 17:09 (Asia/Taipei) prereg=backtest/PREREGP3.md seeds=7000+r C1(shift)_seeds=9000+k C2(perm)_seeds=10000+k
N,d,rule,seed,A_cagr,A_mdd,A_ca,A_ma,A_cb,A_mb,A_slot,A_trades,B_cagr,B_mdd,B_ca,B_ma,B_cb,B_mb,B_slot,B_trades,avg_exposure,zero_exp_days,days,idle_day_share,longest_idle_run,avg_idle_frac,C1_mdd_p10,C1_mdd_p50,C1_mdd_p90,C1_cagr_p10,C1_cagr_p50,C1_cagr_p90,A_mdd_pct_in_C1,A_cagr_pct_in_C1,C2_mdd_p10,C2_mdd_p50,C2_mdd_p90,C2_cagr_p10,C2_cagr_p50,C2_cagr_p90,A_mdd_pct_in_C2,A_cagr_pct_in_C2
30,inf,null,7020,0.3154568604374135,-0.34270154381767853,0.28990833158902984,-0.27755212728266104,0.3303392140882375,-0.34270154381767853,0.8164742767564486,971,0.3335437785995332,-0.3789062091569383,0.2892210617128548,-0.3443561547781872,0.3617792152131596,-0.3789062091569383,0.8164742767564486,971,0.8127335651673979,5,2339,0.0025651988029072254,6,0.18726643483260208,-0.3933883289190673,-0.35554995266807704,-0.31337266409097864,0.2828308850743177,0.3088619470495859,0.3492048577086258,64.0,61.0,-0.38821827945807974,-0.3491394073111772,-0.31469934412950373,0.28163966066250384,0.31217160859368864,0.344642890902682,57.49999999999999,56.00000000000001
30,inf,null,7021,0.30984960861777,-0.3555345814641269,0.33779363626112024,-0.26458621822569445,0.28892452123068746,-0.3555345814641269,0.8147926464300983,969,0.32856412994215045,-0.3888193708423766,0.3369853770621165,-0.33315478909115775,0.32063460057261817,-0.3888193708423766,0.8147926464300983,969,0.812407094987853,5,2339,0.0025651988029072254,6,0.18759290501214698,-0.4023795422586577,-0.36438038215836077,-0.3213810566493305,0.27930378901383496,0.3064977817720561,0.3466073410626831,64.5,55.00000000000001,-0.39653162625659394,-0.3560526867898357,-0.32177686771651387,0.2781220260820715,0.3085391640256884,0.34265969785312483,51.0,53.5
30,inf,null,7022,0.31256473507903704,-0.344759859617948,0.31097347528060726,-0.2782363501107382,0.3119586322595034,-0.344759859617948,0.8156334615932734,970,0.33292295668870264,-0.38036130068954255,0.31411388445796473,-0.3416066860581107,0.3441954768854758,-0.38036130068954255,0.8156334615932734,970,0.8117522312612147,5,2339,0.0025651988029072254,6,0.18824776873878535,-0.39283329502346404,-0.3571918875244905,-0.3164586630860554,0.2779555296609728,0.3057914258193879,0.348900534589863,62.5,61.0,-0.38746425133318096,-0.34832818293152357,-0.31433612144358136,0.279700657415493,0.30961425422327604,0.3431958325220671,55.50000000000001,55.00000000000001
30,inf,null,7023,0.31347209052522174,-0.3282835983652269,0.33126831003627677,-0.2667606137564322,0.2981674283223281,-0.3282835983652269,0.8147926464300983,969,0.337626053511765,-0.36667947696635733,0.3175771119550459,-0.3303535854831397,0.3497262699962298,-0.36667947696635733,0.8156334615932734,970,0.8115401093062701,5,2339,0.0025651988029072254,6,0.18845989069372993,-0.38100600212764907,-0.345796327211192,-0.30196262487435177,0.2832250301110023,0.3091757423228396,0.34971126350410087,59.5,56.49999999999999,-0.3768146943516105,-0.3408956685146692,-0.30528522649454914,0.2828864830954112,0.3124914236607189,0.3445049040781121,65.0,50.5
30,inf,null,7024,0.3198313163208695,-0.3455562782253259,0.32332927106757414,-0.27880822135354794,0.31620347821249584,-0.3455562782253259,0.8147926464300983,969,0.3316445745305432,-0.3725091086713548,0.32568705111903573,-0.341998334835186,0.33439732497813024,-0.3725091086713548,0.8147926464300983,969,0.8125262429710014,4,2339,0.0021376656690893546,5,0.1874737570289986,-0.39595465088156284,-0.3578364159954963,-0.31129340095906194,0.2930400001693632,0.32006603566445735,0.36148072069563425,56.00000000000001,49.5,-0.39170121368148675,-0.34992019380254036,-0.31362173145647204,0.2935817529907139,0.32362469089436563,0.35660740665176016,56.49999999999999,42.5
30,inf,null,7025,0.3084079284378687,-0.3421863047229942,0.3503902675540531,-0.2633978762591027,0.27753096688135925,-0.3421863047229942,0.8156334615932734,970,0.32731362606070946,-0.3782526453778157,0.3530850605729625,-0.3260456219502958,0.3069917121874386,-0.3782526453778157,0.8156334615932734,970,0.8121037274315155,5,2339,0.0025651988029072254,6,0.1878962725684845,-0.3909552711213383,-0.3555908459367412,-0.30632519858490087,0.27895495906643286,0.30223550755226625,0.34134699897798776,55.50000000000001,58.5,-0.3889763923940411,-0.3469418015492535,-0.3094757706062391,0.27733587888522326,0.3056200323321293,0.34058351579349244,55.00000000000001,55.00000000000001
30,inf,null,7026,0.30914178799970093,-0.3423958793078475,0.3091801596384638,-0.26609293198174083,0.30693711997740647,-0.3423958793078475,0.8156334615932734,970,0.3273105841047512,-0.37824461753504623,0.31106629339525815,-0.3290970099606341,0.33629369146834787,-0.37824461753504623,0.8156334615932734,970,0.8126942804432964,5,2339,0.0025651988029072254,6,0.1873057195567036,-0.39551500291384767,-0.35748457666364697,-0.30740324574137173,0.28566283130465,0.3103993714842378,0.35173509293815064,56.99999999999999,46.5,-0.38842240905469183,-0.34874635328986575,-0.3091265148685659,0.2847192290910452,0.3151764137343537,0.35012062975229374,59.0,43.0
30,inf,null,7027,0.3034652718283426,-0.336705267900022,0.30648263856896474,-0.2782385616265365,0.2994001165073106,-0.336705267900022,0.8164742767564486,971,0.3220890349853014,-0.37208838402718397,0.3087453123465682,-0.3416058965789462,0.32921349938527955,-0.37208838402718397,0.8164742767564486,971,0.8136411327662215,5,2339,0.0025651988029072254,6,0.18635886723377848,-0.39013368050435737,-0.35872878233068434,-0.31629070458973585,0.27322407475372956,0.3003886997299473,0.33752226746694086,73.0,54.0,-0.38350310783541725,-0.34828155788690573,-0.3182958087287583,0.2729518912160289,0.3039033462537293,0.3363114905687669,67.0,49.0
30,inf,null,7028,0.3251992690193408,-0.3360677900510568,0.33258411480480476,-0.26669250395742805,0.3179374329959934,-0.3360677900510568,0.8147926464300983,969,0.3427750408936261,-0.37271300103361216,0.3346616126834203,-0.33045883364571016,0.3458715619913,-0.37271300103361216,0.8147926464300983,969,0.811806758110923,5,2339,0.0025651988029072254,6,0.18819324188907705,-0.3878081363492302,-0.3713866708739961,-0.3176234063929793,0.2890741030280407,0.3164105526356702,0.3562625649851762,77.0,62.5,-0.38510562945027665,-0.351334008076992,-0.3235062726732265,0.2878455607454359,0.32021134121154726,0.3522546244615002,74.0,60.0
30,inf,null,7029,0.3220513073351523,-0.34589567870532417,0.339325862478705,-0.27483044745859564,0.30715077332607277,-0.34589567870532417,0.8164742767564486,971,0.34072190960450155,-0.3817261711793515,0.3409399034464484,-0.3384053068571601,0.3372887269897551,-0.3817261711793515,0.8164742767564486,971,0.8135586324792692,5,2339,0.0025651988029072254,6,0.18644136752073082,-0.39560903747826137,-0.3589945979155846,-0.31586878276038766,0.2896519046865716,0.3165162176725729,0.35688813168265904,63.0,60.5,-0.38998232454855075,-0.34909724514234003,-0.31764266019180937,0.28685051173778875,0.3191286077324228,0.352389708839265,55.00000000000001,55.50000000000001
