# commit=1f7962b81 run=2026-09-15 17:09 (Asia/Taipei) prereg=backtest/PREREGP3.md seeds=7000+r C1(shift)_seeds=9000+k C2(perm)_seeds=10000+k
N,d,rule,year,A_ret,B_ret,bench_ret
40,inf,relvol,2025,0.5221359316091074,0.5390087056460027,0.36866130443015277
40,inf,relvol,2026,0.6683771087299695,0.7092422017178073,0.6750722295064753
30,inf,relvol,2017,0.33654578010714853,0.36624840212473075,0.13579782114743866
30,inf,relvol,2018,0.029798998312877245,-0.020279285808288527,-0.049384995407252275
30,inf,relvol,2019,0.17505630745386558,0.25371830806746964,0.33521144242551415
30,inf,relvol,2020,0.9626838883875017,0.8991274716357467,0.31139036269665965
30,inf,relvol,2021,0.5394018686104554,0.5169799719473767,0.21923260762445573
30,inf,relvol,2022,-0.21424153526390122,-0.23718485074039297,-0.21374671455413874
30,inf,relvol,2023,0.5083488309734625,0.5869260893509538,0.2751520409246322
30,inf,relvol,2024,0.10962321220964855,0.22053186938501734,0.4864399273474338
30,inf,relvol,2025,0.3807360928044339,0.3856787479393382,0.36866130443015277
30,inf,relvol,2026,0.8576680013401863,0.9156657786939264,0.6750722295064753
20,inf,null,2017,0.24258744300505342,0.24516898983301494,0.13579782114743866
20,inf,null,2018,0.0001646738139442494,-0.01380150028666527,-0.049384995407252275
20,inf,null,2019,0.2691257310879571,0.3046888277062072,0.33521144242551415
20,inf,null,2020,0.9721069283483093,0.8927439816774108,0.31139036269665965
20,inf,null,2021,0.47962061484207896,0.44741738474270987,0.21923260762445573
20,inf,null,2022,-0.160123862118012,-0.20070319584829388,-0.21374671455413874
20,inf,null,2023,0.4753733761178047,0.5329308532650534,0.2751520409246322
20,inf,null,2024,0.013250436737814564,0.0417338924974342,0.4864399273474338
20,inf,null,2025,0.5768169320399441,0.5736906162071138,0.36866130443015277
20,inf,null,2026,0.8777377468822147,0.9610054952220697,0.6750722295064753
2,inf,null,2017,1.169950861299081,1.1293265437858344,0.13579782114743866
2,inf,null,2018,0.12692947246557318,0.11394606010920749,-0.049384995407252275
2,inf,null,2019,0.8494009997933507,0.7657736555156207,0.33521144242551415
2,inf,null,2020,0.8740714217785464,0.8407166106989528,0.31139036269665965
2,inf,null,2021,-0.040263986345020264,-0.06411193411639238,0.21923260762445573
2,inf,null,2022,-0.15776942514463888,-0.16907220972851245,-0.21374671455413874
2,inf,null,2023,-0.08700435910590931,-0.07120250535997541,0.2751520409246322
2,inf,null,2024,-0.15466653805896813,-0.1737554135283973,0.4864399273474338
2,inf,null,2025,0.3327270760629659,0.3930260210775549,0.36866130443015277
2,inf,null,2026,-0.24881835560961418,-0.19768765642484265,0.6750722295064753
2,inf,relvol,2017,1.169950861299081,1.1293265437858344,0.13579782114743866
2,inf,relvol,2018,0.12692947246557318,0.11394606010920749,-0.049384995407252275
2,inf,relvol,2019,0.8494009997933507,0.7657736555156207,0.33521144242551415
2,inf,relvol,2020,0.8006178540669178,0.7690369581549208,0.31139036269665965
2,inf,relvol,2021,0.22196805516229756,0.19584644019014807,0.21923260762445573
2,inf,relvol,2022,-0.3006152167387032,-0.30969030667082853,-0.21374671455413874
2,inf,relvol,2023,0.0005172262501911273,0.018358231018952287,0.2751520409246322
2,inf,relvol,2024,-0.0687874005611977,-0.08885099715959,0.4864399273474338
2,inf,relvol,2025,0.48128897818435257,0.5460275474357501,0.36866130443015277
2,inf,relvol,2026,0.4174450004751984,0.5244443871059383,0.6750722295064753
3,inf,null,2017,0.5804658430957177,0.5532653828012941,0.13579782114743866
3,inf,null,2018,0.09749436028571434,0.09552730704829893,-0.049384995407252275
3,inf,null,2019,0.6195855397997905,0.5610170564029329,0.33521144242551415
3,inf,null,2020,0.5430081485003957,0.5317670928793063,0.31139036269665965
3,inf,null,2021,0.03365444497251935,0.0149071822600495,0.21923260762445573
3,inf,null,2022,-0.21227269305866803,-0.24683563535389696,-0.21374671455413874
3,inf,null,2023,-0.0599364234227886,-0.04063378382630256,0.2751520409246322
3,inf,null,2024,0.020730330792690488,0.02765635048231907,0.4864399273474338
3,inf,null,2025,0.47540744047615435,0.5215516660306048,0.36866130443015277
3,inf,null,2026,0.42184162053358376,0.5338696409286965,0.6750722295064753
3,inf,relvol,2017,0.5939983441501662,0.5647237789540487,0.13579782114743866
3,inf,relvol,2018,0.05492662226121969,0.050495562072998545,-0.049384995407252275
3,inf,relvol,2019,1.240816023663323,1.1504679076919855,0.33521144242551415
3,inf,relvol,2020,0.5362698654537608,0.5257630032346607,0.31139036269665965
3,inf,relvol,2021,0.13850093974064004,0.10477190135283077,0.21923260762445573
3,inf,relvol,2022,-0.3107586733051185,-0.34597057024748,-0.21374671455413874
3,inf,relvol,2023,-0.08846185161985776,-0.06983861247753176,0.2751520409246322
3,inf,relvol,2024,0.05134016386931828,0.05821409738184924,0.4864399273474338
3,inf,relvol,2025,0.47150335957040435,0.5077020476717806,0.36866130443015277
3,inf,relvol,2026,0.783520780289245,0.9118357926052183,0.6750722295064753
5,inf,null,2017,0.28841537261073946,0.27154861649815576,0.13579782114743866
5,inf,null,2018,0.10607668509024748,0.09572784876718354,-0.049384995407252275
5,inf,null,2019,0.4854600379044496,0.4716851926366119,0.33521144242551415
5,inf,null,2020,0.40602950581893293,0.4351266070332076,0.31139036269665965
5,inf,null,2021,0.03483229485775596,0.006037315854525271,0.21923260762445573
5,inf,null,2022,-0.1399187455878984,-0.17441781999731354,-0.21374671455413874
5,inf,null,2023,0.06649985859363916,0.07522007103965822,0.2751520409246322
5,inf,null,2024,0.010395151226092025,0.008699814402242989,0.4864399273474338
5,inf,null,2025,0.4115069929962687,0.4531274206346294,0.36866130443015277
5,inf,null,2026,0.6167346722388447,0.7000874866603624,0.6750722295064753
5,inf,relvol,2017,0.697072404821125,0.6721751908018352,0.13579782114743866
5,inf,relvol,2018,0.09474837785392665,0.08737904852254297,-0.049384995407252275
5,inf,relvol,2019,0.7258383541787974,0.7018726171852046,0.33521144242551415
5,inf,relvol,2020,0.28280762990775754,0.3159163281979471,0.31139036269665965
5,inf,relvol,2021,0.3218851536312284,0.28980563816657257,0.21923260762445573
5,inf,relvol,2022,-0.20969637896326865,-0.24091182349618645,-0.21374671455413874
5,inf,relvol,2023,0.06650189870637213,0.07554017437957228,0.2751520409246322
5,inf,relvol,2024,0.04020838215880529,0.040160351353072166,0.4864399273474338
5,inf,relvol,2025,0.3726072811474874,0.4218464456464408,0.36866130443015277
5,inf,relvol,2026,0.7703839001110129,0.8662756825815516,0.6750722295064753
8,inf,null,2017,0.5842736356001221,0.558637825865459,0.13579782114743866
8,inf,null,2018,0.12158747238586787,0.11098565909983615,-0.049384995407252275
8,inf,null,2019,0.3984388582993208,0.42148781941313196,0.33521144242551415
8,inf,null,2020,0.578060422926028,0.6048254848863772,0.31139036269665965
8,inf,null,2021,-0.10646528639830732,-0.12836638255634103,0.21923260762445573
8,inf,null,2022,-0.21334631735036869,-0.2540349360780295,-0.21374671455413874
8,inf,null,2023,0.4376150217320389,0.48087452468769376,0.2751520409246322
8,inf,null,2024,-0.0133394061540264,-0.040072200908660816,0.4864399273474338
8,inf,null,2025,0.45298606727441526,0.47661265931614616,0.36866130443015277
8,inf,null,2026,0.6083362634469349,0.7135101808617463,0.6750722295064753
8,inf,relvol,2017,0.5389222665483815,0.5132335070715788,0.13579782114743866
8,inf,relvol,2018,0.13682203982265784,0.12268985350476003,-0.049384995407252275
8,inf,relvol,2019,0.49170536651193975,0.5221991639729235,0.33521144242551415
8,inf,relvol,2020,0.5462194869836903,0.5682224819193413,0.31139036269665965
8,inf,relvol,2021,0.1532699191412079,0.11733530414290394,0.21923260762445573
8,inf,relvol,2022,-0.21684472805296984,-0.2589517325516718,-0.21374671455413874
8,inf,relvol,2023,0.48487340881131447,0.5307885416179183,0.2751520409246322
8,inf,relvol,2024,0.04260144636877028,0.009448281590587415,0.4864399273474338
8,inf,relvol,2025,0.644941367682077,0.6717644365223516,0.36866130443015277
8,inf,relvol,2026,0.5079192601395923,0.6089199025110703,0.6750722295064753
8,1.0,null,2017,0.6950690384611407,0.6716657751476209,0.13579782114743866
8,1.0,null,2018,0.11491658587747078,0.10448736325844155,-0.049384995407252275
8,1.0,null,2019,0.5271515560784477,0.5632751617534846,0.33521144242551415
8,1.0,null,2020,0.7490793802577895,0.7850864341827377,0.31139036269665965
8,1.0,null,2021,0.13776443255002602,0.10073801851438158,0.21923260762445573
8,1.0,null,2022,-0.14499050986446138,-0.1875425243372595,-0.21374671455413874
8,1.0,null,2023,0.10828078978536815,0.12781327609440218,0.2751520409246322
8,1.0,null,2024,-0.11844863189684607,-0.13072328117991772,0.4864399273474338
8,1.0,null,2025,0.6638625604908917,0.7013708867662507,0.36866130443015277
8,1.0,null,2026,0.32555350126930604,0.4121471174571405,0.6750722295064753
8,1.0,relvol,2017,0.6597976527127358,0.6364695693912332,0.13579782114743866
8,1.0,relvol,2018,0.14052985694173126,0.1262420808106628,-0.049384995407252275
8,1.0,relvol,2019,0.4962098867925022,0.5329331015235033,0.33521144242551415
8,1.0,relvol,2020,0.5462094892825682,0.571192229417322,0.31139036269665965
8,1.0,relvol,2021,0.3003391202891661,0.2644644154163325,0.21923260762445573
8,1.0,relvol,2022,-0.22005414742650464,-0.25962485199691687,-0.21374671455413874
8,1.0,relvol,2023,0.47509606008880323,0.5223688858715745,0.2751520409246322
8,1.0,relvol,2024,0.1876032102476397,0.16347427712418527,0.4864399273474338
8,1.0,relvol,2025,0.7282775686610135,0.7914492272234996,0.36866130443015277
8,1.0,relvol,2026,0.8869868039614042,1.0085937907554396,0.6750722295064753
8,2.0,null,2017,0.5471627236180219,0.5224690296959462,0.13579782114743866
8,2.0,null,2018,0.05607926014512765,0.04468296604815869,-0.049384995407252275
8,2.0,null,2019,0.5951982166582486,0.622034397917083,0.33521144242551415
8,2.0,null,2020,0.5892692556523693,0.6090586943681946,0.31139036269665965
8,2.0,null,2021,-0.10520005348814032,-0.1285319161278462,0.21923260762445573
8,2.0,null,2022,-0.23632124404390953,-0.2745648515749257,-0.21374671455413874
8,2.0,null,2023,0.368988133475731,0.40545623587777446,0.2751520409246322
8,2.0,null,2024,-0.036514079140048894,-0.06536653014587901,0.4864399273474338
8,2.0,null,2025,0.6557300581492735,0.6865120338816275,0.36866130443015277
8,2.0,null,2026,0.583866864330445,0.6873552299112744,0.6750722295064753
8,2.0,relvol,2017,0.6599403642541981,0.636014922353682,0.13579782114743866
8,2.0,relvol,2018,0.1373302065615689,0.12420806620562974,-0.049384995407252275
8,2.0,relvol,2019,0.5892461551629493,0.6259228419444978,0.33521144242551415
8,2.0,relvol,2020,0.5420077755716588,0.5638833222621598,0.31139036269665965
8,2.0,relvol,2021,0.15330206386139777,0.11734236349941085,0.21923260762445573
8,2.0,relvol,2022,-0.2168447405201912,-0.25895173335070143,-0.21374671455413874
8,2.0,relvol,2023,0.4848734088103528,0.5307885416300462,0.2751520409246322
8,2.0,relvol,2024,0.1959443198430646,0.17121047604833217,0.4864399273474338
8,2.0,relvol,2025,0.4888152243166086,0.507623491857256,0.36866130443015277
8,2.0,relvol,2026,0.5289402750308305,0.6426052581626818,0.6750722295064753
8,3.0,null,2017,0.5842736356001221,0.558637825865459,0.13579782114743866
8,3.0,null,2018,0.12158747238586787,0.11098565909983615,-0.049384995407252275
8,3.0,null,2019,0.3984388582993208,0.42148781941313196,0.33521144242551415
8,3.0,null,2020,0.578060422926028,0.6048254848863772,0.31139036269665965
8,3.0,null,2021,-0.10646528639830732,-0.12836638255634103,0.21923260762445573
8,3.0,null,2022,-0.21334631735036869,-0.2540349360780295,-0.21374671455413874
8,3.0,null,2023,0.4376150217320389,0.48087452468769376,0.2751520409246322
8,3.0,null,2024,-0.0133394061540264,-0.040072200908660816,0.4864399273474338
8,3.0,null,2025,0.45298606727441526,0.47661265931614616,0.36866130443015277
8,3.0,null,2026,0.6083362634469349,0.7135101808617463,0.6750722295064753
8,3.0,relvol,2017,0.5389222665483815,0.5132335070715788,0.13579782114743866
8,3.0,relvol,2018,0.13682203982265784,0.12268985350476003,-0.049384995407252275
8,3.0,relvol,2019,0.49170536651193975,0.5221991639729235,0.33521144242551415
8,3.0,relvol,2020,0.5462194869836903,0.5682224819193413,0.31139036269665965
8,3.0,relvol,2021,0.1532699191412079,0.11733530414290394,0.21923260762445573
8,3.0,relvol,2022,-0.21684472805296984,-0.2589517325516718,-0.21374671455413874
8,3.0,relvol,2023,0.48487340881131447,0.5307885416179183,0.2751520409246322
8,3.0,relvol,2024,0.04260144636877028,0.009448281590587415,0.4864399273474338
8,3.0,relvol,2025,0.644941367682077,0.6717644365223516,0.36866130443015277
8,3.0,relvol,2026,0.5079192601395923,0.6089199025110703,0.6750722295064753
