r,格,n,D,lo,hi,判過
7,甲_flag_H120,828,0.06521739130434782,0.023970525893540047,0.10646425671515561,True
7,乙_box,150636,-0.010319696603901236,-0.01130968194588655,-0.009329711261915922,True
7,乙_cup,397,0.007331128391890596,-0.006984598486791513,0.021646855270572703,False
7,乙_w,18277,-0.014442747138585343,-0.017156979809724623,-0.011728514467446063,True
7,乙_hs,5022,-0.007035652159445866,-0.011347359562615981,-0.002723944756275751,True
7,乙_flag,3603,-0.002779196320340379,-0.009687914174411694,0.004129521533730935,False
7,乙_trend,45169,-0.007828401867727723,-0.00912465029336176,-0.006532153442093688,True
8,甲_box_H60,10238,0.045712053135378,0.0373084473159265,0.054115658954829504,True
8,甲_box_H120,10238,0.030865403399101387,0.02364743447826485,0.03808337231993793,True
8,甲_cup_H60,127,0.08661417322834646,-0.005305749999329007,0.17853409645602192,False
8,甲_cup_H120,127,0.12598425196850394,0.013903449913800076,0.2380650540232078,True
8,甲_w_H60,4251,0.10185838626205598,0.08085072044431052,0.12286605207980145,True
8,甲_w_H120,4251,0.07410021171489062,0.05575454113258997,0.09244588229719126,True
8,甲_hs_H60,2709,0.0812107788851975,0.0556534413383163,0.10676811643207869,True
8,甲_hs_H120,2709,0.07087486157253599,0.046783214020959016,0.09496650912411296,True
8,甲_flag_H60,828,0.06763285024154589,0.02340695338657798,0.1118587470965138,True
8,甲_flag_H120,828,0.04589371980676329,-0.0045274248834627565,0.09631486449698934,False
8,乙_box,150636,-0.010157586136316071,-0.01105044144081408,-0.009264730831818061,True
8,乙_cup,397,-0.006279068668393744,-0.018500303308145245,0.005942165971357757,False
8,乙_w,18277,-0.013271189173073622,-0.01587082499928577,-0.010671553346861474,True
8,乙_hs,5022,-0.008463842419920969,-0.014013706736148346,-0.0029139781036935913,True
8,乙_flag,3603,-0.003511981708078106,-0.011039644885161596,0.004015681469005385,False
8,乙_trend,45169,-0.00866949510813425,-0.009932534391521341,-0.0074064558247471605,True
9,甲_box_H60,10238,0.04483297519046689,0.03606204468908863,0.05360390569184515,True
9,甲_box_H120,10238,0.03008400078140262,0.023183227734981243,0.036984773827823995,True
9,甲_cup_H60,127,0.015748031496062992,-0.08856971862574338,0.12006578161786936,False
9,甲_cup_H120,127,0.05511811023622047,-0.04751104104240132,0.15774726151484225,False
9,甲_w_H60,4251,0.08468595624558928,0.06405826500573059,0.10531364748544797,True
9,甲_w_H120,4251,0.061397318278052226,0.044498725365679476,0.07829591119042498,True
9,甲_hs_H60,2709,0.06127722406792174,0.03760885245574862,0.08494559568009487,True
9,甲_hs_H120,2709,0.052417866371354746,0.03282204732774202,0.07201368541496747,True
9,甲_flag_H60,828,0.09541062801932366,0.05228060982127883,0.1385406462173685,True
9,甲_flag_H120,828,0.08816425120772947,0.048031066876964276,0.12829743553849465,True
9,乙_box,150636,-0.010258011343289202,-0.011165118330504422,-0.009350904356073981,True
9,乙_cup,397,0.0015065942473370321,-0.010569132408803888,0.013582320903477954,False
9,乙_w,18277,-0.01396073854658843,-0.016341181537090646,-0.011580295556086213,True
9,乙_hs,5022,-0.007559437051815027,-0.01216071184419551,-0.0029581622594345427,True
9,乙_flag,3603,-0.005282277846645305,-0.012239843378662608,0.001675287685371998,False
9,乙_trend,45169,-0.008138544719958642,-0.009470539492861441,-0.006806549947055844,True
10,甲_box_H60,10238,0.04756788435241258,0.03871893203152771,0.05641683667329746,True
10,甲_box_H120,10238,0.030377026763039657,0.02265413525956134,0.03809991826651797,True
10,甲_cup_H60,127,0.023622047244094488,-0.07912545614706136,0.12636955063525035,False
10,甲_cup_H120,127,0.08661417322834646,-0.03542373711734029,0.2086520835740332,False
10,甲_w_H60,4251,0.09009644789461303,0.07038058901157819,0.10981230677764788,True
10,甲_w_H120,4251,0.06563161609033169,0.04714942541081727,0.08411380676984612,True
10,甲_hs_H60,2709,0.07419712070874862,0.05122439748760833,0.09716984392988892,True
10,甲_hs_H120,2709,0.06349206349206349,0.04377198878608753,0.08321213819803944,True
10,甲_flag_H60,828,0.051932367149758456,0.008374505729033838,0.09549022857048307,True
10,甲_flag_H120,828,0.059178743961352656,0.006796225477608962,0.11156126244509634,True
10,乙_box,150636,-0.009907066882756343,-0.010798982147300509,-0.009015151618212177,True
10,乙_cup,397,0.0010139255877360095,-0.012434459687991613,0.014462310863463633,False
10,乙_w,18277,-0.013524174527753046,-0.01609294013341234,-0.010955408922093752,True
10,乙_hs,5022,-0.008162248243568822,-0.012826220309673364,-0.003498276177464279,True
10,乙_flag,3603,-0.0068845686863946735,-0.014608464263335652,0.0008393268905463047,False
10,乙_trend,45169,-0.008246475103927292,-0.00962116703559108,-0.006871783172263503,True
11,甲_box_H60,10238,0.05137722211369408,0.043360395376829855,0.05939404885055831,True
11,甲_box_H120,10238,0.035553819105294,0.02858559781182087,0.042522040398767134,True
11,甲_cup_H60,127,0.07874015748031496,-0.00933880110798782,0.16681911606861774,False
11,甲_cup_H120,127,0.11023622047244094,0.015132984510258338,0.20533945643462354,True
11,甲_w_H60,4251,0.09056692542931075,0.07022135833686359,0.1109124925217579,True
11,甲_w_H120,4251,0.06022112444130793,0.043073360376493626,0.07736888850612222,True
11,甲_hs_H60,2709,0.07308970099667775,0.0440590747348521,0.1021203272585034,True
11,甲_hs_H120,2709,0.06016980435585087,0.032898603614931105,0.08744100509677064,True
11,甲_flag_H60,828,0.1111111111111111,0.05376865783824475,0.16845356438397746,True
11,甲_flag_H120,828,0.10748792270531402,0.05254118110038207,0.16243466431024595,True
