g,H,T_date,s_date,R,遞延天數
乙,60,2017-08-10,2017-08-11,0.0494743351886211,0
乙,60,2017-09-13,2017-09-14,-0.017010935601457944,0
乙,60,2017-11-09,2017-11-10,0.03309228652007601,0
乙,60,2018-02-05,2018-02-06,0.020408163265306367,0
乙,60,2018-03-23,2018-03-26,-0.007330482590103937,0
乙,60,2018-05-30,2018-05-31,0.06137593127850449,0
乙,60,2018-08-13,2018-08-14,-0.07109004739336489,0
乙,60,2018-09-12,2018-09-13,-0.12062937062937062,0
乙,60,2018-11-09,2018-11-12,0.0011613442940263674,0
乙,60,2018-12-14,2018-12-17,0.08572838806480765,0
乙,60,2019-03-08,2019-03-11,0.03230059327620305,0
乙,60,2019-05-06,2019-05-07,0.015247978063179346,0
乙,60,2019-08-01,2019-08-02,0.11165946946329419,0
乙,60,2019-11-29,2019-12-02,0.012842509271762781,0
乙,60,2020-01-06,2020-01-07,-0.15644947111021745,0
乙,60,2020-02-17,2020-02-18,-0.08260393873085348,0
乙,60,2020-05-22,2020-05-25,0.27195240945530674,0
乙,60,2020-08-20,2020-08-21,0.11209006363191376,0
乙,60,2020-09-22,2020-09-23,0.1420289855072463,0
乙,60,2020-10-28,2020-10-29,0.375,0
乙,60,2021-01-29,2021-02-01,0.07995319812792512,0
乙,60,2021-05-03,2021-05-04,-0.010858230936575008,0
乙,60,2021-06-21,2021-06-22,0.04580947781249556,0
乙,60,2021-08-10,2021-08-11,0.0054605023662177565,0
乙,60,2021-09-22,2021-09-23,0.02934782608695663,0
乙,60,2021-11-26,2021-11-29,0.03938590938723152,0
乙,60,2022-01-21,2022-01-24,-0.09394792399718499,0
乙,60,2022-04-07,2022-04-08,-0.1763609246830723,0
乙,60,2022-06-13,2022-06-14,-0.05418333557681809,0
乙,60,2022-08-23,2022-08-24,-0.03577441077441079,0
乙,60,2022-12-08,2022-12-09,0.066909311721989,0
乙,60,2023-02-21,2023-02-22,0.03489361702127658,0
乙,60,2023-04-13,2023-04-14,0.07666666666666666,0
乙,60,2023-07-06,2023-07-07,-0.01164587445747034,0
乙,60,2023-08-25,2023-08-28,0.05206247496996386,0
乙,60,2023-10-23,2023-10-24,0.06340872374798057,0
乙,60,2023-12-07,2023-12-08,0.21136319658136316,0
乙,60,2024-04-16,2024-04-17,0.3000961846745751,0
乙,60,2024-05-31,2024-06-03,0.09063212112273877,0
乙,60,2024-07-18,2024-07-19,0.04953642384105961,0
乙,60,2024-09-04,2024-09-05,0.1307492045125831,0
乙,60,2024-10-29,2024-10-30,0.01250777364278588,0
乙,60,2024-12-20,2024-12-23,-0.05751584446813107,0
乙,60,2025-02-03,2025-02-04,-0.10405370513813583,0
