# commit=10151c045 run=2026-09-15 13:23 (Asia/Taipei) prereg=backtest/PREREGM1.md | ⚠ CI 未修正跨段重疊（未來 H 日窗口跨段），實際覆蓋率低於 95%（隨機漫步假陽性 13%）——測得出的格要先過段標籤打亂安慰劑
variant,signal,label,window,state,H,n_seg,n_days,mean,p05,p10,p50,p90,p95,win_rate,rest_n_seg,rest_mean,rest_win_rate,diff,ci_lo,ci_hi,judge
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向多,60,28,4705,0.012504708191949841,-0.15716697270688781,-0.11898661089861133,0.020989685229751753,0.12664856544641595,0.15749880987463893,0.6071428571428571,45,0.03021113387429176,0.6888888888888889,-0.01770642568234192,-0.056901784189891724,0.021488932825207887,非判定格（方向−）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向空,60,22,2388,0.032444398299680585,-0.23523952868909065,-0.14032969888167152,0.023884628912387185,0.20730239485907104,0.3710028007366925,0.7272727272727273,51,0.015151370319543679,0.6274509803921569,0.017293027980136905,-0.03399495192141275,0.06858100788168656,非判定格（方向＋）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,不同向,120,23,1181,0.05087664235569985,-0.23138886237312195,-0.18609177918541975,0.04982709776689642,0.2806877273017292,0.3296695907968692,0.6521739130434783,50,0.03879075017750975,0.72,0.012085892178190102,-0.06436301312489458,0.08853479748127478,非判定格（方向＋）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向多,120,28,4705,0.023339273093760774,-0.20736091252852337,-0.15479075795075817,0.03578183221475295,0.19786675596912778,0.2400142288781315,0.6428571428571429,45,0.06315965977164856,0.7333333333333333,-0.03982038667788779,-0.1064248010685758,0.026784027712800224,非判定格（方向−）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向空,120,22,2388,0.06923430113188114,-0.2546571214647661,-0.1670932752065834,0.05283062359762736,0.34879393785147306,0.4451801869707316,0.8181818181818182,51,0.02886452506425858,0.6470588235294118,0.04036977606762256,-0.03255441218437193,0.11329396431961705,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,中,20,40,2344,0.011188957671815962,-0.09526070441180767,-0.06422007060461461,0.014290050715675684,0.08315094365404474,0.10841602444211712,0.725,59,0.005581277902155413,0.6271186440677966,0.005607679769660549,-0.01000797366759748,0.021223333206918576,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,低,20,30,2916,0.00928972591480646,-0.08060403212482695,-0.053278401607315284,0.010253320460045567,0.06983985401586235,0.09450890002484247,0.6333333333333333,69,0.006008434605819979,0.6811594202898551,0.003281291308986481,-0.014802863838093917,0.02136544645606688,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,高,20,29,3112,0.0021063953813037248,-0.11988279462324014,-0.08687828259691148,0.0025063965987613956,0.08758559981581379,0.11747578551991866,0.6206896551724138,70,0.010136075579907273,0.6857142857142857,-0.008029680198603548,-0.02310565684597409,0.007046296448766996,非判定格（方向−）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,中,60,40,2344,0.02906737965761863,-0.17949086273117965,-0.13089966839593,0.030098202317888845,0.16555072712472974,0.22251778791558166,0.625,59,0.018710559757596834,0.6610169491525424,0.010356819900021796,-0.03209620035742903,0.05280984015747262,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,低,60,30,2916,0.028377734279314733,-0.1351327565530413,-0.09279373526850399,0.02683743638882885,0.13559306726388387,0.18249568701324081,0.6666666666666666,69,0.017993350252523833,0.6376811594202898,0.0103843840267909,-0.039065623463646025,0.059834391517227824,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,高,60,29,3112,0.00965224327130847,-0.18609523820118945,-0.13968788188341888,0.012630438822674783,0.15668982726331762,0.20233446503607827,0.6551724137931034,70,0.028685059139912514,0.6428571428571429,-0.019032815868604044,-0.06082231114530934,0.02275667940810125,非判定格（方向−）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,中,120,40,2344,0.0555664874796769,-0.24388776482941968,-0.19158512154080504,0.06765288305793449,0.314877121065935,0.37275461057134635,0.65,59,0.03996478967995713,0.7288135593220338,0.015601697799719767,-0.05034104773159493,0.08154444333103447,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,低,120,30,2916,0.05554245557401435,-0.1609491618134304,-0.10921331372346493,0.050415647373408534,0.22327687133210417,0.2813734633749118,0.7333333333333333,69,0.038341971845549556,0.6811594202898551,0.01720048372846479,-0.04930653121923381,0.0837074986761634,非判定格（方向＋）
剔除 1990-92,c,c 20 日波動 500 日分位三態,剔除 1990-92,高,120,29,3112,0.02536823641933024,-0.2769900622164272,-0.169722417612975,0.020665927857834054,0.23553678876696083,0.32381961745100707,0.7241379310344828,70,0.05555316484908527,0.6857142857142857,-0.03018492842975503,-0.0921935084269801,0.031823651567470045,非判定格（方向−）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,多,20,81,4919,0.01060792383712551,-0.08523614221771567,-0.05884807648268622,0.01089097999703137,0.08074080692701412,0.10325536308872289,0.5308641975308642,81,0.005031368180814961,0.7530864197530864,0.005576555656310549,-0.007134868952482645,0.018287980265103743,非判定格（方向＋）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,空,20,81,3620,0.005031368180814961,-0.11915072275032645,-0.08422821354536211,0.007556241367329131,0.08669207169037278,0.12209585190009818,0.7530864197530864,81,0.01060792383712551,0.5308641975308642,-0.005576555656310549,-0.018287980265103743,0.007134868952482645,非判定格（方向−）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,多,60,81,4890,0.027820656840787307,-0.14964442489047342,-0.10858717360343656,0.02477656293084929,0.1558303174933521,0.20280149513183357,0.5432098765432098,81,0.020203550840710984,0.7160493827160493,0.007617106000076323,-0.021461947075546203,0.03669615907569885,非判定格（方向＋）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,空,60,81,3620,0.020203550840710984,-0.186215352325927,-0.13805823968141812,0.02418067892543241,0.1708954299869831,0.2296739245485865,0.7160493827160493,81,0.027820656840787307,0.5432098765432098,-0.007617106000076323,-0.03669615907569885,0.021461947075546203,非判定格（方向−）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,多,120,80,4850,0.04377760371789997,-0.1966677642560109,-0.14151450605623775,0.044180742379870686,0.23243130002721332,0.3006909043795264,0.6375,80,0.054468580063014145,0.675,-0.010690976345114178,-0.059334801947146416,0.03795284925691806,非判定格（方向−）
剔除 1990-92,d,d 月線方向（日展開）,剔除 1990-92,空,120,80,3600,0.054468580063014145,-0.24140969581526667,-0.18512145193541074,0.04524997673105047,0.3118639624199351,0.4099213879215361,0.675,80,0.04377760371789997,0.6375,0.010690976345114178,-0.03795284925691806,0.059334801947146416,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,上,20,19,4155,0.010269253746541423,-0.08513321095446766,-0.05765620692824776,0.01292318173661533,0.07485504574400767,0.09560756779129923,0.6842105263157895,20,0.015970113112422864,0.9,-0.0057008593658814406,-0.020167222172964558,0.008765503441201679,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,下,20,20,2467,0.015970113112422864,-0.10473891678288888,-0.07837524398936031,0.008383892072437282,0.12424835317712082,0.16562371252584407,0.9,19,0.010269253746541423,0.6842105263157895,0.0057008593658814406,-0.008765503441201679,0.020167222172964558,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,上,60,19,4155,0.015303651133418132,-0.15746068049816386,-0.1250200055350919,0.022217492662307547,0.13828752936596314,0.17463017523800842,0.631578947368421,20,0.058271163134277895,1.0,-0.04296751200085976,-0.09696457360436557,0.011029549602646044,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,下,60,20,2467,0.058271163134277895,-0.1583515019565978,-0.1209050007527219,0.04232174808659428,0.2537396345548108,0.38694406365870615,1.0,19,0.015303651133418132,0.631578947368421,0.04296751200085976,-0.011029549602646044,0.09696457360436557,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,上,120,19,4155,0.00987595166686891,-0.2334240924369351,-0.18033676420238928,0.022142825564050117,0.19512586562611411,0.24320224300202714,0.5789473684210527,20,0.08668241612352141,0.85,-0.0768064644566525,-0.1595461149745956,0.005933186061290577,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,全期,下,120,20,2467,0.08668241612352141,-0.22229886714180305,-0.17906475058989546,0.062221763040311684,0.3570412991185946,0.4407153059139745,0.85,19,0.00987595166686891,0.5789473684210527,0.0768064644566525,-0.005933186061290577,0.1595461149745956,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,上,20,13,3025,0.008465609236436656,-0.07150840361347986,-0.04922253852019835,0.013454241240081988,0.06347934491039942,0.08100862697615807,0.6923076923076923,14,0.016432787897891966,0.9285714285714286,-0.00796717866145531,-0.022753694319376835,0.006819336996466216,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,下,20,14,1470,0.016432787897891966,-0.09867353541496526,-0.06801471140054177,0.01391083393870507,0.11424386941593787,0.14801761256025603,0.9285714285714286,13,0.008465609236436656,0.6923076923076923,0.00796717866145531,-0.006819336996466216,0.022753694319376835,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,上,60,13,3025,0.014139886877070343,-0.15310579552616752,-0.11781576359714374,0.023751684476674084,0.11479027119030455,0.1492611356227856,0.6923076923076923,14,0.05324263934412885,1.0,-0.03910275246705851,-0.0841850970006574,0.005979592066540397,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,下,60,14,1470,0.05324263934412885,-0.1578248255815616,-0.1088118648445614,0.04509795315455023,0.20350800434216726,0.3022999886621057,1.0,13,0.014139886877070343,0.6923076923076923,0.03910275246705851,-0.005979592066540397,0.0841850970006574,非判定格（方向＋）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,上,120,13,3025,0.017074406865725162,-0.18769308240276766,-0.141725303233027,0.025531171811767894,0.1594241527954622,0.21660967229403508,0.6923076923076923,14,0.09039866122554177,0.7857142857142857,-0.07332425435981661,-0.17274083072644497,0.02609232200681176,非判定格（方向−）
剔除 7～9 月,a,a 收盤 vs 240MA,主判定 2001 起,下,120,14,1470,0.09039866122554177,-0.25348912582272365,-0.18404477681331693,0.06949701741676406,0.38218748288985077,0.4673810969001457,0.7857142857142857,13,0.017074406865725162,0.6923076923076923,0.07332425435981661,-0.02609232200681176,0.17274083072644497,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,正,20,38,4221,0.01283261959420605,-0.08611920449123367,-0.05784127761120972,0.013149038146746506,0.08527118357874852,0.1108067277671465,0.631578947368421,35,0.009306835146980516,0.7142857142857143,0.003525784447225535,-0.0111258045414724,0.018177373435923468,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,負,20,35,2504,0.009306835146980516,-0.11680108808085113,-0.08837351470526733,0.007070462543725231,0.10897501727654627,0.15335492170362264,0.7142857142857143,38,0.01283261959420605,0.631578947368421,-0.003525784447225535,-0.018177373435923468,0.0111258045414724,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,正,60,38,4221,0.022563667137752846,-0.1599062500568651,-0.1231935174310348,0.022702375332876112,0.15335435338456382,0.1954591762479989,0.5526315789473685,35,0.03545980833076108,0.7714285714285715,-0.012896141193008234,-0.056101411843540415,0.030309129457523946,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,負,60,35,2504,0.03545980833076108,-0.18315776240791573,-0.13910474206921092,0.035425401297474846,0.21566800041911324,0.3280847273689727,0.7714285714285715,38,0.022563667137752846,0.5526315789473685,0.012896141193008234,-0.030309129457523946,0.056101411843540415,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,正,120,38,4221,0.02582681202788374,-0.22623548618938505,-0.17236226404191468,0.030392400285029764,0.22267885021581413,0.2876386457116,0.5526315789473685,35,0.04839997353682812,0.6857142857142857,-0.02257316150894438,-0.09521773215829096,0.0500714091404022,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,全期,負,120,35,2504,0.04839997353682812,-0.2950401499855461,-0.2034355240413005,0.04132355350254047,0.3231431638750421,0.4284168959535045,0.6857142857142857,38,0.02582681202788374,0.5526315789473685,0.02257316150894438,-0.0500714091404022,0.09521773215829096,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,正,20,27,3147,0.009637710979591069,-0.07074985793821907,-0.04980032760413429,0.01291317098564182,0.0684027290997574,0.08933510519339458,0.5925925925925926,25,0.014337272129483738,0.76,-0.004699561149892669,-0.01779871491284401,0.008399592613058669,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,負,20,25,1344,0.014337272129483738,-0.10067190251499329,-0.07045720182870388,0.015198295839486842,0.10418640288056094,0.13398508418326066,0.76,27,0.009637710979591069,0.5925925925925926,0.004699561149892669,-0.008399592613058669,0.01779871491284401,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,正,60,27,3147,0.01430444259675442,-0.1552366339563667,-0.11789121035460699,0.0207829566894826,0.12297265841036104,0.15582280699573467,0.5555555555555556,25,0.056137152005156864,0.76,-0.041832709408402446,-0.07863128711530218,-0.005034131701502714,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,負,60,25,1344,0.056137152005156864,-0.15108132720407627,-0.10919764054166194,0.0522796577149367,0.1974341558791306,0.29863440123391366,0.76,27,0.01430444259675442,0.5555555555555556,0.041832709408402446,0.005034131701502714,0.07863128711530218,非判定格（方向＋）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,正,120,27,3147,0.021903687344357815,-0.2116543382798892,-0.14145141062029368,0.02959627532842246,0.17930404864801294,0.23695500195058014,0.5555555555555556,25,0.08533696175773449,0.64,-0.06343327441337668,-0.14074494658548925,0.013878397758735908,非判定格（方向−）
剔除 7～9 月,b,b 近 60 日報酬正負,主判定 2001 起,負,120,25,1344,0.08533696175773449,-0.19668149227323486,-0.15931563282766303,0.06198522079883406,0.37641766406194715,0.4911067889808651,0.64,27,0.021903687344357815,0.5555555555555556,0.06343327441337668,-0.013878397758735908,0.14074494658548925,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,不同向,20,22,1050,0.014269341240287895,-0.09081634528255435,-0.06412580112895362,0.010982778360523637,0.09280685988194054,0.16081805924759535,0.6818181818181818,52,0.01203952082967059,0.6923076923076923,0.0022298204106173045,-0.021816830700575145,0.026276471521809754,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,同向多,20,29,3608,0.0098605068093308,-0.08794560187065895,-0.05832354067014183,0.012590982771901627,0.07691788381660379,0.09819552554000589,0.6206896551724138,45,0.015424787590299034,0.7333333333333333,-0.005564280780968234,-0.02556451509915114,0.014435953537214672,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,全期,同向空,20,23,1964,0.016042516036078917,-0.10233152632264197,-0.0782898427907291,0.010065816164693708,0.11854604528771263,0.15529684796908932,0.782608695652174,51,0.010854340246966042,0.6470588235294118,0.0051881757891128755,-0.02662981092242111,0.03700616250064686,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,不同向,60,22,1050,0.044676631149279555,-0.14099900682068683,-0.1151840526974919,0.03278560026278843,0.23246113275959068,0.2951393184622509,0.6363636363636364,52,0.02879238463834752,0.7115384615384616,0.015884246510932034,-0.0361834242682855,0.06795191729014956,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,同向多,60,29,3608,0.013705362630099435,-0.1621186766080181,-0.1275632653000557,0.02117099156752733,0.13820865526538992,0.17160293886914726,0.5862068965517241,45,0.05238642386934875,0.7555555555555555,-0.03868106123924931,-0.07937760183518283,0.0020154793566842175,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,全期,同向空,60,23,1964,0.05650825806286845,-0.15647657559118844,-0.12098022945409637,0.0447026742179234,0.23539740526103853,0.38986992346124016,0.8695652173913043,51,0.02068686369174373,0.6078431372549019,0.03582139437112472,-0.013372658373479472,0.08501544711572892,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,不同向,120,22,1050,0.06174076667373417,-0.2380782993290021,-0.19063915152187802,0.04507160630229168,0.3098202446142858,0.4034429585335169,0.5909090909090909,52,0.034108452036099565,0.6538461538461539,0.027632314637634603,-0.05932364518843991,0.11458827446370912,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,全期,同向多,120,29,3608,0.009347104771937644,-0.24223383843371285,-0.18024137472179327,0.023554903784590686,0.18929939766824694,0.2369431885708008,0.5517241379310345,45,0.07337615983258682,0.6888888888888889,-0.06402905506064917,-0.13514734626976235,0.007089236148464018,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,全期,同向空,120,23,1964,0.0795967111649673,-0.2096088671187415,-0.17076212605081437,0.05775337857100327,0.3474843651315174,0.42569125710244315,0.782608695652174,51,0.021157612499908093,0.5686274509803921,0.05843909866505921,-0.02340789364934112,0.14028609097945954,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,不同向,20,16,652,0.01275179865494054,-0.07220494836229203,-0.05823652913812194,0.012798801741112587,0.07578404694428738,0.10798184842209196,0.6875,38,0.010785972788732983,0.6578947368421053,0.0019658258662075562,-0.023468617019799985,0.027400268752215094,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向多,20,21,2724,0.007602491581537894,-0.07459031184029592,-0.050662569943266074,0.012590982771901627,0.06504353486900304,0.08351149406600156,0.5714285714285714,33,0.01640625583399935,0.7272727272727273,-0.008803764252461457,-0.02551278919628387,0.007905260691360955,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向空,20,17,1119,0.01853557315370118,-0.09819458876951905,-0.06794032611276672,0.017001730071093624,0.11526140196950292,0.14437112660728701,0.7647058823529411,37,0.00859696676277561,0.6216216216216216,0.00993860639092557,-0.007608295852143737,0.027485508633994876,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,不同向,60,16,652,0.017296666870450846,-0.1456840062613311,-0.11523305806011772,0.02415969600489254,0.11119851696378512,0.16222259464499678,0.625,38,0.028561647369105707,0.7105263157894737,-0.011264980498654861,-0.061633897656975356,0.039103936659665633,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向多,60,21,2724,0.012787562964563614,-0.15811759490582317,-0.11930291621960372,0.021527753845515418,0.12065925972868456,0.15233676632167897,0.6190476190476191,33,0.0486767454113698,0.7272727272727273,-0.03588918244680619,-0.07732770110693958,0.005549336213327205,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向空,60,17,1119,0.06696075900268272,-0.1407186994178174,-0.10115571782487524,0.06127955511359673,0.21825890954049723,0.3403000881448938,0.8235294117647058,37,0.013658397012738516,0.6216216216216216,0.05330236198994421,0.01110344864255948,0.09550127533732894,非判定格（方向＋）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,不同向,120,16,652,0.03507206269035021,-0.23033764961970765,-0.17524684244761557,0.03258539116060444,0.2517519436816002,0.31338221332863536,0.5625,38,0.04206846939793303,0.631578947368421,-0.006996406707582822,-0.1008779379900883,0.08688512457492266,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向多,120,21,2724,0.01636311258484892,-0.19469002736397725,-0.13848313559788378,0.02579819065832145,0.15984777520549245,0.21406278322186054,0.5714285714285714,33,0.07903048791035379,0.6363636363636364,-0.06266737532550487,-0.14249688367542063,0.0171621330244109,非判定格（方向−）
剔除 7～9 月,ab,a∧b 三態,主判定 2001 起,同向空,120,17,1119,0.10464343987053461,-0.22092785824038183,-0.14678469191889512,0.0798973446842286,0.401008339097229,0.5157402333564302,0.7058823529411765,37,0.019976333991480088,0.5675675675675675,0.08466710587905452,-0.003075944166453043,0.17241015592456208,非判定格（方向＋）
剔除 7～9 月,c,c 20 日波動 500 日分位三態,全期,中,20,40,1758,0.016136587667349198,-0.08082509175548618,-0.060134064283902805,0.015576685967785053,0.09086491380251871,0.12731267774632143,0.75,55,0.010175094696627094,0.6545454545454545,0.005961492970722104,-0.009836309893353731,0.021759295834797937,非判定格（方向＋）
剔除 7～9 月,c,c 20 日波動 500 日分位三態,全期,低,20,29,2377,0.012401788749912324,-0.07830563591748553,-0.05441997716455316,0.012920402811351872,0.076877469259276,0.10216468336744983,0.6896551724137931,66,0.011448714357287657,0.696969696969697,0.0009530743926246671,-0.014749164877423379,0.016655313662672713,非判定格（方向＋）
剔除 7～9 月,c,c 20 日波動 500 日分位三態,全期,高,20,26,2315,0.007888765640618892,-0.10560380055865835,-0.07798412404631525,0.005998186012250217,0.09482732360391903,0.12545365900996358,0.6153846153846154,69,0.01398964279993748,0.7246376811594203,-0.006100877159318587,-0.022115838074567427,0.009914083755930253,非判定格（方向−）
剔除 7～9 月,c,c 20 日波動 500 日分位三態,全期,中,60,40,1758,0.03390863781030373,-0.17385364772561893,-0.12868481923624617,0.033208712309150124,0.18131740771639293,0.23938739079201993,0.675,55,0.029164535935739155,0.7272727272727273,0.004744101874564578,-0.0396383512206923,0.04912655496982145,非判定格（方向＋）
剔除 7～9 月,c,c 20 日波動 500 日分位三態,全期,低,60,29,2377,0.03005546979182304,-0.14977323678976204,-0.11586754696633521,0.026940930949667985,0.15523895830043624,0.2030329594553354,0.7241379310344828,66,0.030692250475285718,0.696969696969697,-0.0006367806834626788,-0.050288154485388585,0.04901459311846323,非判定格（方向−）
