stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
3158,嘉實,2022Q2,tpex,396532,145582,,,250950,,,250950,175510,,75440,934,76374,5714,70660,,,70660,488,,71148,70660,,0,71148,,0,2.69
3162,精確,2022Q2,tpex,876699,760082,,,116617,,,116617,185129,,-68512,-18946,-87458,-1236,-86222,,,-86222,-810,,-87032,-87496,,1274,-88470,,1438,-0.80
3163,波若威,2022Q2,tpex,1671722,1310189,,,361533,0,0,361533,150868,,210665,41399,252064,55601,196463,,,196463,11419,,207882,196463,,,207882,,,2.61
3169,亞信,2022Q2,tpex,716254,300957,,,415297,,,415297,155211,,260086,18154,278240,53849,224391,,,224391,10410,,234801,224391,,,234801,,,3.60
3171,炎洲流通,2022Q2,tpex,871972,678818,,,193154,,,193154,151015,,42139,5877,48016,11099,36917,,,36917,2652,,39569,36917,,,39569,,,0.60
3176,基亞,2022Q2,tpex,676278,339028,,,337250,,0,337250,870027,,-532777,-22583,-555360,6376,-561736,,,-561736,103472,,-458264,-204477,,-357259,-181702,,-276562,-1.47
3178,公準,2022Q2,tpex,735750,534799,,,200951,,,200951,86208,,114743,26512,141255,20530,120725,,,120725,419,,121144,122026,,-1301,122321,,-1177,2.71
3188,鑫龍騰,2022Q2,tpex,66004,48987,,,17017,,,17017,21901,,-4884,1911,-2973,1628,-4601,,,-4601,,,-4601,-4601,,,-4601,0,0,-0.04
3191,雲嘉南,2022Q2,tpex,117393,88768,,,28625,,,28625,42134,,-13509,10735,-2774,-371,-2403,0,,-2403,-3033,,-5436,-2403,,0,-5436,,0,-0.03
3205,佰研,2022Q2,tpex,268859,228801,,,40058,,,40058,90199,,-50141,3919,-46222,0,-46222,,,-46222,1189,,-45033,-45155,,-1067,-44172,,-861,-1.39
