stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2367,燿華,2025Q1,twse,4337449,3436765,,,900684,,,900684,490390,,410294,46471,456765,23094,433671,,,433671,81273,,514944,433671,,,514944,,,0.61
2368,金像電,2025Q1,twse,12062958,8286964,,,3775994,,,3775994,1209861,-22745,2543388,109796,2653184,900151,1753033,,,1753033,171432,,1924465,1753033,,,1924465,,,3.60
2369,菱生,2025Q1,twse,1209942,1253923,,,-43981,,,-43981,90676,,-134657,16788,-117869,1731,-119600,0,,-119600,6094,,-113506,-113475,,-6125,-107381,,-6125,-0.30
2371,大同,2025Q1,twse,10544961,8600510,,,1944451,,,1944451,1549808,-10,394633,79676,474309,291639,182670,,,182670,103958,,286628,305418,,-122748,385906,,-99278,0.14
2373,震旦行,2025Q1,twse,2608381,1414403,,,1193978,22251,25964,1197691,1033615,,164076,71062,235138,66749,168389,,,168389,216246,,384635,160305,,8084,353573,,31062,0.71
2374,佳能,2025Q1,twse,1492322,1054884,,,437438,,,437438,360312,,77126,44474,121600,33231,88369,,,88369,-43887,,44482,87219,,1150,35468,,9014,0.30
2375,凱美,2025Q1,twse,1294479,1037881,,,256598,,,256598,148445,,108153,70390,178543,45534,133009,,,133009,129480,,262489,133009,,,262489,,,1.22
2376,技嘉,2025Q1,twse,65747430,57267119,,,8480311,,,8480311,4240781,,4239530,237980,4477510,1085080,3392430,,,3392430,165040,,3557470,3116119,,276311,3281005,,276465,4.65
2377,微星,2025Q1,twse,53540350,48044071,,,5496279,,,5496279,4484440,,1011839,268954,1280793,203648,1077145,,,1077145,372664,,1449809,1077145,,,1449809,,,1.27
2379,瑞昱,2025Q1,twse,35022396,16965408,,,18056988,,,18056988,13153349,,4903639,701577,5605216,843681,4761535,,,4761535,733203,,5494738,4761555,,-20,5494758,,-20,9.28
2380,虹光,2025Q1,twse,611322,387103,,,224219,,,224219,207597,,16622,-11222,5400,702,4698,,,4698,39772,,44470,4090,,608,44915,,-445,0.02
2382,廣達,2025Q1,twse,485671990,447189335,,,38482655,,,38482655,13882206,,24600449,668847,25269296,5572154,19697142,,,19697142,1362639,,21059781,19498468,,198674,20793033,,266748,5.06
2383,台光電,2025Q1,twse,21680064,15089738,,,6590326,,,6590326,2050591,,4539735,127752,4667487,1200333,3467154,,,3467154,570930,,4038084,3468900,,-1746,4040065,,-1981,10.01
2385,群光,2025Q1,twse,23281285,18973734,,,4307551,,,4307551,2163041,,2144510,136177,2280687,479825,1800862,,,1800862,888856,,2689718,1592447,,208415,2349445,,340273,2.19
2387,精元,2025Q1,twse,4701342,4035517,,,665825,,,665825,423499,,242326,57849,300175,108105,192070,,,192070,203701,,395771,218443,,-26373,399278,,-3507,1.13
2388,威盛,2025Q1,twse,2052454,1464468,,,587986,,,587986,871792,,-283806,333683,49877,32977,16900,,,16900,342270,,359170,13067,,3833,328572,,30598,0.02
2390,云辰,2025Q1,twse,191079,146462,,,44617,,,44617,44585,,32,96276,96308,2643,93665,,,93665,3049,,96714,93665,,0,96714,,0,0.49
2392,正崴,2025Q1,twse,21383417,18160399,,,3223018,,,3223018,2222036,,1000982,-286227,714755,333915,380840,,,380840,673710,,1054550,125727,,255113,717021,,337529,0.27
2393,億光,2025Q1,twse,5026191,3498742,,,1527449,,,1527449,903092,,624357,111776,736133,143134,592999,,,592999,133575,,726574,584156,,8843,709129,,17445,1.32
2395,研華,2025Q1,twse,17351246,10323326,,,7027920,,,7027920,4103664,,2924256,315639,3239895,548576,2691319,,,2691319,456496,,3147815,2734000,,-42681,3179444,,-31629,3.17
2397,友通,2025Q1,twse,2598900,1859949,,,738951,,,738951,539546,,199405,-19716,179689,40976,138713,,,138713,50440,,189153,106558,,32155,142902,,46251,0.93
2399,映泰,2025Q1,twse,498427,460010,,,38417,,,38417,65927,,-27510,40480,12970,1593,11377,,,11377,3565,,14942,11377,,,14942,,,0.06
2401,凌陽,2025Q1,twse,1542027,790706,,,751321,,,751321,728009,-826,22486,58205,80691,41761,38930,,,38930,46502,,85432,-37666,,76596,2503,,82929,-0.06
2402,毅嘉,2025Q1,twse,2438830,2006451,,,432379,,,432379,246516,,185863,24232,210095,34970,175125,,,175125,99278,,274403,175125,,,274403,,,0.58
