stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
4755,三福化,2015Q3,twse,2624419,2300271,324148,,,324148,204434,,119714,53846,173560,31449,142111,,,142111,41736,,183847,142111,0,0,183847,,,1.59
4763,材料*-KY,2015Q3,twse,1085722,790071,295651,,,295651,102618,,193033,30106,223139,37052,186087,,,186087,18539,,204626,186087,,,204626,,,4.55
4904,遠傳,2015Q3,twse,71404573,42110291,29294282,,,29294282,16950164,,12344118,-990395,11353723,1955590,9398133,,,9398133,8710,,9406843,9357200,,40933,9366026,,40817,2.87
4906,正文,2015Q3,twse,13645165,12021022,1624143,,,1624143,1543737,,80406,172758,253164,42648,210516,,,210516,-56864,,153652,210516,,,153652,,,0.70
4912,聯德控股-KY,2015Q3,twse,2086574,1551919,534655,,,534655,322162,,212493,-26319,186174,43838,142336,,,142336,25587,,167923,142336,,,167923,,,3.82
4915,致伸,2015Q3,twse,45280322,40318172,4962150,,,4962150,3554732,,1407418,330163,1737581,432329,1305252,,,1305252,143315,,1448567,1268434,,36818,1380844,,67723,2.91
4916,事欣科,2015Q3,twse,1063888,920455,143433,,,143433,154783,,-11350,7659,-3691,4568,-8259,,,-8259,21616,,13357,-8259,,,13357,,,-0.12
4919,新唐,2015Q3,twse,5543008,3212575,2330433,,,2330433,1915865,,414568,79057,493625,89174,404451,,,404451,28267,,432718,404451,,,432718,,,1.95
4927,泰鼎-KY,2015Q3,twse,6507702,5278550,1229152,,,1229152,618929,,610223,-144556,465667,73447,392220,,,392220,-262259,,129961,390295,,1925,129216,,745,3.18
4930,燦星網,2015Q3,twse,10429712,9042980,1386732,,,1386732,1440013,,-53281,126823,73542,65046,8496,,,8496,95247,,103743,-55229,,63725,22450,,81293,-0.41
4934,太極,2015Q3,twse,5219010,4921357,297653,,,297653,238953,,58700,60762,119462,-4064,123526,,,123526,3682,,127208,123526,,,127208,,,0.41
4935,茂林-KY,2015Q3,twse,5270883,4042770,1228113,,,1228113,544860,,683253,63731,746984,126393,620591,,,620591,39764,,660355,620591,,,660355,,,4.79
4938,和碩,2015Q3,twse,801729003,749879922,51849081,0,0,51849081,25401597,,26447484,794213,27241697,6781921,20459776,,,20459776,781334,,21241110,16997338,,3462438,17751088,,3490022,6.60
4942,嘉彰,2015Q3,twse,5291174,4753073,538101,,,538101,701159,,-163058,-157068,-320126,104237,-424363,,,-424363,2896,,-421467,-424474,,111,-421578,,111,-2.79
4952,凌通,2015Q3,twse,2392345,1497029,895316,,,895316,553319,,341997,21449,363446,51689,311757,,,311757,8683,,320440,311757,,,320440,,,2.86
4956,光鋐,2015Q3,twse,1122495,897177,225318,,,225318,178258,,47060,15181,62241,24630,37611,,,37611,192,,37803,37611,,,37803,,,0.37
4958,臻鼎-KY,2015Q3,twse,58881274,47640073,11241201,,,11241201,5508047,,5733154,586194,6319348,1260587,5058761,,,5058761,454098,,5512859,5058761,,,5512859,,,6.46
4960,誠美材,2015Q3,twse,9573083,8077031,1496052,,,1496052,531606,,964446,274480,1238926,287877,951049,,,951049,78017,,1029066,953427,,-2378,1031310,,-2244,1.85
4961,天鈺,2015Q3,twse,4340189,3441231,898958,,,898958,673128,,225830,10474,236304,30889,205415,,,205415,246,,205661,208231,,-2816,208477,,-2816,1.57
4968,立積,2015Q3,twse,1255649,838593,417056,,,417056,277678,,139378,7074,146452,23821,122631,,,122631,-10,,122621,,,,,,,2.79
4976,佳凌,2015Q3,twse,1042455,975718,66737,,,66737,165030,,-98293,6494,-91799,-14916,-76883,,,-76883,,,-76883,,,,,,,-0.75
4977,眾達-KY,2015Q3,twse,1249855,945918,303937,,,303937,150089,-74,153774,36993,190767,2415,188352,,,188352,8147,,196499,188352,,,196499,,,3.57
4994,傳奇,2015Q3,twse,955569,90673,864896,,,864896,780389,,84507,5379,89886,63973,25913,,,25913,1161,,27074,25913,,,27074,,,0.23
4999,鑫禾,2015Q3,twse,1534395,1019265,515130,,,515130,211797,,303333,52157,355490,64819,290671,,,290671,46707,,337378,290671,,,337378,,,3.91
5007,三星,2015Q3,twse,5157522,4062737,1094785,,,1094785,355135,,739650,86891,826541,133221,693320,,,693320,-49200,,644120,660970,,32350,634744,,9376,2.24
5203,訊連,2015Q3,twse,1405685,204463,1201222,14332,,1186890,793156,,393734,92603,486337,87337,399000,,,399000,37564,,436564,399000,,,436564,,,3.98
5215,科嘉-KY,2015Q3,twse,1385248,1024305,360943,,,360943,192762,-1383,166798,60985,227783,61117,166666,,,166666,1472,,168138,171888,,-5222,173362,,-5224,3.16
5225,東科-KY,2015Q3,twse,6263612,5328805,934807,,,934807,778773,,156034,75932,231966,32949,199017,0,,199017,-27270,,171747,199017,,,171747,,,3.29
5234,達興材料,2015Q3,twse,2530831,1858454,672377,,,672377,433315,,239062,2489,241551,31588,209963,,,209963,146,,210109,209963,,,210109,,,2.25
5243,乙盛-KY,2015Q3,twse,6110329,5330060,780269,,,780269,606545,,173724,62627,236351,23955,212396,,,212396,-10384,,202012,225856,,-13460,214916,,-12904,1.26
5269,祥碩,2015Q3,twse,1116802,601226,515576,,,515576,392504,,123072,30548,153620,19224,134396,,,134396,,,134396,134396,,,134396,,,2.38
5284,jpp-KY,2015Q3,twse,886860,593414,293446,0,0,293446,138372,,155074,5292,160366,18020,142346,0,,142346,-61443,,80903,143027,,-681,81558,,-655,4.24
5285,界霖,2015Q3,twse,1762118,1444433,317685,,,317685,150138,,167547,16841,184388,40824,143564,0,,143564,17482,,161046,143564,,,161046,,,1.92
5288,豐祥-KY,2015Q3,twse,2848376,2300300,548076,,33,548109,177715,,370394,67303,437697,92852,344845,0,,344845,33947,,378792,344845,0,0,378792,0,0,5.35
5306,桂盟,2015Q3,twse,2456371,1504218,952153,,,952153,373904,,578249,97260,675509,147599,527910,,,527910,16512,,544422,527941,,-31,544480,,-58,4.80
5388,中磊,2015Q3,twse,25324452,21774853,3549599,,,3549599,2369404,,1180195,-38292,1141903,207083,934820,,,934820,154423,,1089243,938990,,-4170,1093345,,-4102,4.01
5434,崇越,2015Q3,twse,14148534,12331632,1816902,,,1816902,1015520,,801382,104908,906290,190033,716257,,,716257,-366,,715891,715116,,1141,714750,,1141,4.40
5469,瀚宇博,2015Q3,twse,29817263,27088069,2729194,,,2729194,2830761,,-101567,464486,362919,118367,244552,,,244552,508332,,752884,318231,,-73679,564422,,188462,0.71
5471,松翰,2015Q3,twse,2494974,1416442,1078532,,,1078532,766778,,311754,52549,364303,47852,316451,,,316451,-2427,,314024,316451,,,314024,,,1.89
5484,慧友,2015Q3,twse,881017,657104,223913,,,223913,360099,,-136186,2193,-133993,1581,-135574,,,-135574,4594,,-130980,-135574,,0,-130980,,0,-1.17
5515,建國,2015Q3,twse,3642219,3423698,218521,,,218521,257135,,-38614,-46663,-85277,-15405,-69872,,,-69872,-107295,,-177167,-69196,,-676,-176491,,-676,-0.20
5519,隆大,2015Q3,twse,1834410,1443961,390449,,,390449,165603,,224846,3524,228370,3154,225216,,,225216,1688,,226904,225216,,,226904,,,1.23
5521,工信,2015Q3,twse,5005379,4807559,197820,,,197820,114120,,83700,-19005,64695,10062,54633,,,54633,2329,,56962,56177,,-1544,58506,,-1544,0.16
5522,遠雄,2015Q3,twse,20085148,13223538,6861610,,,6861610,1456655,0,5404955,394723,5799678,1117871,4681807,,,4681807,797990,,5479797,4680214,,1593,5478175,,1622,5.60
5525,順天,2015Q3,twse,3150439,2306299,844140,,,844140,162606,,681534,-11485,670049,44457,625592,,,625592,,,625592,626358,,-766,625592,,,2.56
5531,鄉林,2015Q3,twse,1491045,862364,628681,,,628681,980235,,-351554,13617,-337937,85213,-423150,,,-423150,28027,,-395123,-185372,,-237778,-157345,,-237778,-0.21
5533,皇鼎,2015Q3,twse,2285104,1380030,905074,,,905074,179922,,725152,-39832,685320,127690,557630,,,557630,-1039,,556591,557630,,,556591,,,2.06
5534,長虹,2015Q3,twse,1823725,1127556,696169,1812,,694357,217056,,477301,-45625,431676,85252,346424,,,346424,,,346424,346416,,8,346416,,8,1.26
5538,東明-KY,2015Q3,twse,4589754,3949433,640321,,,640321,361834,,278487,1657,280144,67825,212319,,,212319,55743,,268062,212915,,-596,268672,,-610,1.27
5607,遠雄港,2015Q3,twse,936705,492052,444653,,,444653,242947,,201706,-29747,171959,0,171959,,,171959,-16877,,155082,142202,,29757,125325,,29757,0.84
5608,四維航,2015Q3,twse,3380045,3069717,310328,,,310328,174876,,135452,-81886,53566,70299,-16733,,,-16733,438523,,421790,-12311,,-4422,426212,,-4422,-0.03
5706,鳳凰,2015Q3,twse,2428065,2081736,346329,,,346329,191559,3660,158430,59920,218350,24141,194209,,,194209,-53250,,140959,189999,,4210,137943,,3016,3.04
5871,中租-KY,2015Q3,twse,26908981,10782167,16126814,,,16126814,9607887,76321,6595248,665935,7261183,1859735,5401448,,,5401448,240372,,5641820,5148125,,253323,5511365,,130455,4.52
5906,台南-KY,2015Q3,twse,831872,592740,239132,,,239132,655219,,-416087,30848,-385239,631,-385870,,,-385870,1531,,-384339,-385870,0,0,-384339,0,0,-4.01
5907,大洋-KY,2015Q3,twse,5394060,861209,4532851,,,4532851,3517974,,1014877,-532095,482782,369388,113394,,,113394,-34688,,78706,113616,,-222,78923,,-217,0.58
6108,競國,2015Q3,twse,5760237,5111803,648434,,,648434,568836,,79598,-268052,-188454,50427,-238881,,,-238881,133280,,-105601,-238881,,,-105601,,,-1.49
6112,邁達特,2015Q3,twse,6437186,5887200,549986,,,549986,352285,,197701,27602,225303,43409,181894,,,181894,,,181894,176187,,5707,176187,,5707,1.92
6115,鎰勝,2015Q3,twse,5335534,4511243,824291,,,824291,472441,,351850,259923,611773,155012,456761,,,456761,-3119,,453642,456897,,-136,455956,,-2314,2.56
6116,彩晶,2015Q3,twse,13409749,12876367,533382,-8864,,542246,1890637,,-1348391,533398,-814993,38941,-853934,,,-853934,-364929,,-1218863,-853934,,,-1218863,,,-0.26
6117,迎廣,2015Q3,twse,1494093,1285100,208993,,,208993,407695,,-198702,6244,-192458,-21443,-171015,,,-171015,-20592,,-191607,-171015,,0,-191607,,0,-1.93
6120,達運,2015Q3,twse,30715714,29513349,1202365,,,1202365,1449493,,-247128,277258,30130,198387,-168257,,,-168257,219738,,51481,-168257,,,51481,,,-0.22
6128,上福,2015Q3,twse,1449513,832345,617168,5061,4602,616709,336747,,279962,736,280698,58805,221893,,,221893,22340,,244233,221893,,0,244233,,0,2.44
